POA_CODE_2021,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
POA6412,3,9,0,0,0,0,0,0,3,15,3,15,0,0,0,3,0,8,5,11,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34
POA6413,9,21,0,0,0,0,0,0,0,5,0,5,0,0,0,0,4,9,4,9,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,38
POA6414,10,16,0,0,0,0,0,0,3,23,3,23,0,3,0,0,0,4,0,10,6,30,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,4,4,0,0,18,50
POA6415,314,614,5,28,26,113,4,32,173,645,205,815,5,18,11,35,34,118,57,170,260,986,0,5,10,24,10,38,37,106,58,173,0,0,5,12,37,81,41,91,99,264,8,12,679,1867
POA6418,77,159,0,5,10,23,3,17,46,184,61,232,3,7,0,7,5,20,12,42,65,268,6,12,5,13,0,0,8,30,11,48,0,0,0,0,5,11,5,11,23,67,3,4,172,498
POA6419,13,23,0,0,0,7,0,0,0,9,4,12,0,0,0,0,3,6,3,6,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,42
POA6420,6,10,0,0,0,3,0,0,4,27,9,30,0,0,0,0,0,9,0,9,11,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,3,6,0,0,20,61
POA6421,14,25,4,8,5,17,0,3,11,40,15,67,0,0,0,0,0,4,0,9,20,70,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,5,3,3,6,0,0,36,109
POA6422,7,16,0,0,0,4,0,0,5,26,8,28,0,0,0,0,0,0,0,0,9,26,0,0,0,0,0,0,5,11,5,11,0,0,0,0,0,0,0,0,5,11,0,0,15,54
POA6423,27,58,0,0,0,5,0,0,8,26,9,27,0,6,0,0,0,3,3,6,8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,92
POA6424,8,19,0,0,3,3,0,0,3,11,3,12,0,3,0,0,0,0,0,6,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,38
POA6425,17,34,0,0,0,7,0,0,4,15,3,17,0,0,0,3,0,3,0,5,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,56
POA6426,94,184,0,6,4,12,0,0,28,107,32,125,7,12,4,3,9,26,17,46,45,168,0,0,0,0,0,0,12,35,11,35,0,0,0,0,8,20,11,16,22,55,0,0,164,404
POA6427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6428,9,13,0,0,3,4,0,4,0,14,4,22,0,4,0,0,0,0,0,4,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34
POA6429,101,192,0,0,3,10,6,20,34,134,43,166,0,0,0,4,12,34,14,43,60,209,0,0,3,6,9,18,20,56,25,87,0,0,4,12,12,21,16,29,44,113,6,11,199,525
POA6430,1982,3905,45,258,190,893,117,547,1712,6643,2067,8336,91,351,132,402,386,1200,605,1957,2678,10296,11,62,45,161,34,123,353,982,443,1322,16,49,41,83,221,482,279,617,730,1940,87,177,5469,16315
POA6431,51,99,0,4,5,22,10,45,30,126,45,202,0,4,0,6,6,17,12,30,53,227,0,0,0,9,5,20,22,67,28,99,0,0,0,5,13,37,17,38,43,142,3,16,148,477
POA6432,564,1120,14,71,41,206,33,164,397,1585,485,2028,17,73,25,76,106,317,147,468,632,2501,0,14,12,43,11,49,160,439,191,544,5,11,15,37,116,253,136,301,325,851,32,63,1556,4539
POA6434,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA6436,6,14,0,0,0,8,0,0,6,14,4,18,0,0,0,5,4,4,3,16,7,36,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,3,0,3,4,6,0,7,21,56
POA6437,37,61,0,0,3,11,0,6,46,183,47,208,0,0,0,0,0,4,0,4,50,212,0,0,0,0,0,0,8,20,7,16,0,0,0,0,5,5,3,6,8,29,0,4,100,306
POA6438,58,114,0,0,4,17,4,13,21,75,28,102,0,6,0,3,7,21,8,29,35,131,0,11,0,0,4,15,12,36,18,63,0,0,0,0,8,18,8,18,23,83,0,0,113,325
POA6440,50,104,0,0,4,29,3,31,21,78,27,139,0,0,0,6,7,17,4,18,35,163,0,0,0,0,5,11,23,73,24,89,0,0,0,3,4,8,4,8,25,96,9,17,120,377
POA6442,215,426,4,26,18,92,8,47,147,559,181,724,8,22,13,42,24,87,46,150,231,869,0,3,6,19,6,11,47,125,58,159,6,19,5,13,19,37,34,67,89,232,12,21,550,1547
POA6443,64,123,0,4,0,8,4,11,16,59,23,89,0,4,0,0,3,19,7,17,27,108,0,0,0,7,5,8,10,24,17,40,0,0,0,0,20,35,20,35,34,75,5,11,131,320
POA6445,20,43,0,0,7,23,0,0,9,44,21,63,0,0,0,4,0,0,0,4,20,68,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,4,4,8,0,0,45,117
POA6446,17,35,0,0,0,10,0,3,12,31,12,42,0,0,0,3,0,0,4,9,13,50,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,3,0,3,3,3,0,0,35,88
POA6447,25,43,0,0,6,9,0,0,11,49,15,64,0,0,4,15,0,5,7,19,24,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,127
POA6448,44,80,0,6,5,22,3,8,21,87,25,122,0,0,0,0,12,29,12,29,35,153,0,0,0,6,0,5,4,21,6,29,0,0,0,0,3,8,4,9,11,35,0,0,92,270
POA6450,1465,2841,25,137,160,657,32,140,736,2901,955,3845,38,153,69,197,217,653,331,1005,1284,4850,8,42,41,163,19,75,185,508,257,785,14,40,33,72,169,339,215,456,468,1234,53,102,3268,9027
POA6452,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA6460,80,160,0,0,9,28,0,9,43,159,46,202,3,11,0,3,11,34,16,49,65,251,0,0,0,5,0,0,11,29,8,31,0,0,0,0,7,18,8,20,22,51,6,10,173,466
POA6461,60,119,3,4,7,25,0,0,21,90,32,129,0,3,0,8,7,27,14,37,49,162,0,3,0,3,0,5,14,33,16,45,0,0,0,0,4,9,8,9,16,54,0,0,126,340
POA6462,16,35,0,11,4,3,0,0,14,69,20,82,0,0,0,5,0,0,0,4,18,89,0,0,0,0,0,0,5,9,5,9,0,0,0,0,0,0,0,0,5,7,0,0,43,134
POA6463,0,3,0,0,0,0,0,0,3,8,3,8,0,0,0,0,0,5,0,5,7,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5,0,0,7,21
POA6465,8,13,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22
POA6466,7,18,0,8,0,0,0,0,3,16,5,22,0,0,0,4,0,3,0,4,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,40
POA6467,3,10,0,0,0,3,0,0,3,6,0,11,0,0,0,0,0,5,0,5,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26
POA6468,23,40,0,6,3,3,0,3,15,45,16,60,0,5,0,0,4,15,4,18,25,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,3,9,0,0,48,125
POA6470,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
POA6472,18,39,0,4,5,13,0,0,5,31,12,41,0,4,7,3,4,11,7,18,15,62,0,0,0,3,0,0,0,0,3,6,0,0,0,0,0,0,0,0,3,10,0,0,41,112
POA6473,7,9,0,0,0,0,0,0,9,29,9,29,0,0,0,0,0,0,0,0,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,47
POA6475,53,105,0,0,4,14,0,4,23,84,27,102,0,0,0,0,3,12,3,12,34,111,0,0,0,0,0,0,0,12,0,11,0,3,0,0,0,0,4,7,3,15,0,0,89,236
POA6476,9,8,0,0,0,0,0,0,3,14,3,14,0,0,0,0,5,13,5,13,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,36
POA6477,29,51,0,0,0,0,0,0,8,46,15,51,0,4,4,3,3,16,8,25,20,69,0,0,0,6,0,3,4,4,7,9,0,0,0,0,5,10,5,10,9,16,0,0,55,143
POA6479,75,158,0,6,8,21,0,0,38,139,47,168,0,4,0,11,9,29,13,44,58,214,0,3,0,3,0,0,7,10,5,21,0,0,0,0,8,8,7,9,10,37,0,3,149,402
POA6480,5,9,0,0,0,0,0,0,0,9,0,9,0,0,5,3,0,4,6,13,3,14,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,12,28
POA6484,9,9,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18
POA6485,58,109,0,0,3,10,0,0,15,62,21,70,0,4,0,0,7,22,10,25,28,95,0,0,0,4,0,4,12,21,12,29,0,0,0,4,6,9,7,12,14,43,3,3,103,254
POA6487,8,7,0,0,0,3,0,0,0,3,0,9,0,0,0,0,0,6,0,6,3,13,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,12,28
POA6488,24,46,0,0,0,0,0,5,3,15,3,12,0,0,0,5,0,3,4,8,9,19,0,0,4,4,0,0,0,12,3,12,0,0,0,0,3,3,5,4,5,21,0,0,40,93
POA6489,11,22,0,0,4,10,0,0,0,5,6,16,0,0,0,3,0,6,0,3,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,5,0,0,18,45
POA6490,30,61,0,5,0,4,0,0,7,35,14,43,0,0,0,3,5,18,8,25,21,63,0,0,0,0,0,7,0,5,5,16,0,0,0,0,3,7,3,7,8,20,0,0,62,156
POA6501,126,251,0,8,5,35,3,7,53,200,64,246,6,26,7,24,36,111,48,161,115,410,6,15,0,0,0,0,11,28,13,41,4,5,0,3,20,33,17,41,32,82,0,3,273,752
POA6502,180,344,0,15,9,40,9,20,47,190,69,263,4,11,6,27,35,92,46,128,112,393,0,0,0,6,0,3,19,53,21,63,0,0,3,5,14,34,19,43,41,104,5,4,334,854
POA6503,298,580,0,20,29,136,6,34,126,493,168,677,8,27,18,48,44,155,76,232,238,909,0,0,6,10,0,0,27,81,35,93,3,5,5,6,18,47,29,65,63,156,6,11,599,1656
POA6504,33,63,0,0,0,3,0,0,12,39,14,45,0,3,5,8,3,18,13,28,19,74,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,0,3,4,0,0,54,143
POA6505,14,23,0,0,0,0,0,0,11,48,11,52,0,3,0,0,9,15,8,24,18,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,95
POA6506,10,25,0,0,0,0,0,0,3,8,3,8,0,0,0,0,5,7,5,7,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,19,45
POA6507,78,150,0,4,0,4,0,0,28,119,32,129,0,0,4,10,9,19,9,26,42,156,0,0,0,0,0,3,3,4,4,11,0,0,0,0,4,8,4,8,8,20,0,0,127,325
POA6509,21,39,0,0,3,11,0,0,11,32,13,46,0,0,0,0,0,6,0,6,16,51,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,31,93
POA6510,217,420,0,15,14,59,3,17,102,393,123,482,0,8,11,34,31,94,43,129,168,608,0,6,0,6,4,18,41,125,49,162,0,3,6,11,22,47,29,60,81,220,12,20,470,1275
POA6511,66,133,0,0,3,7,0,0,28,100,29,107,0,0,0,4,6,24,5,24,38,131,0,0,0,0,0,0,5,8,5,8,0,3,0,0,3,10,8,13,14,25,0,0,114,291
POA6512,16,33,0,0,0,4,0,0,7,17,4,20,0,4,0,3,0,0,0,6,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,29,66
POA6513,17,31,0,0,0,6,0,6,8,40,12,53,0,5,0,0,8,13,4,16,21,72,0,0,0,6,0,0,0,5,5,7,0,0,0,3,0,0,0,3,0,14,0,0,41,117
POA6514,126,235,0,4,4,26,4,7,16,64,25,106,0,5,3,6,4,21,9,29,32,130,0,0,0,0,0,6,7,15,5,14,0,4,0,4,6,7,8,14,11,27,3,4,175,398
POA6515,45,88,0,0,0,11,0,4,16,72,25,90,0,0,0,0,0,14,5,15,29,103,0,0,0,0,0,0,4,11,4,11,0,6,0,0,5,11,7,11,7,24,0,0,81,215
POA6516,331,644,0,0,16,68,9,24,89,320,106,410,5,27,3,19,27,78,43,125,152,531,0,3,9,24,0,5,32,73,39,110,4,9,3,8,18,37,22,53,61,163,5,5,550,1343
POA6517,57,112,0,0,4,8,0,0,22,83,25,90,0,0,5,10,3,15,6,21,35,113,0,0,0,0,0,0,4,9,4,9,0,0,0,0,0,0,0,0,3,11,0,3,97,243
POA6518,35,67,0,0,3,14,0,0,5,13,10,25,5,4,3,4,0,0,5,7,9,34,0,0,0,0,0,0,0,3,0,8,0,0,0,0,9,10,9,10,9,18,0,0,55,110
POA6519,73,140,0,0,11,19,0,0,36,136,43,152,3,18,4,13,4,7,8,36,57,188,0,0,7,7,0,0,9,21,13,32,0,4,0,3,0,0,5,13,18,48,0,0,144,374
POA6521,49,99,0,0,3,10,0,0,20,71,23,83,0,8,0,3,9,18,13,26,28,110,0,0,0,0,0,4,0,8,0,12,0,0,3,5,0,0,3,5,9,12,0,0,86,222
POA6522,49,92,0,4,0,9,0,0,28,121,35,138,0,0,5,7,10,26,10,32,47,168,0,0,0,0,0,0,4,8,4,8,0,0,0,0,3,8,3,8,7,22,0,3,104,282
POA6525,529,1018,5,39,27,119,13,47,159,604,207,811,12,44,26,67,78,234,115,338,316,1156,0,0,14,35,5,22,57,157,76,219,0,13,6,20,36,73,50,112,125,325,10,22,984,2519
POA6528,56,108,0,8,4,22,0,7,21,83,29,120,0,0,5,6,8,16,9,28,40,142,0,0,0,0,0,0,4,7,4,7,0,0,0,0,10,18,9,20,13,25,0,0,99,274
POA6530,3532,6910,58,315,317,1421,104,493,1807,6996,2280,9220,113,466,187,563,585,1787,888,2821,3168,12043,23,128,115,396,107,405,702,1926,949,2855,53,178,123,246,520,1096,693,1517,1645,4369,150,304,8496,23625
POA6532,824,1589,8,38,90,387,30,127,491,1876,617,2424,33,141,62,194,133,375,226,712,848,3141,0,19,23,81,8,31,92,271,129,394,9,24,9,20,60,131,79,173,209,566,18,37,1894,5337
POA6535,237,466,4,13,8,46,3,17,69,294,90,373,0,14,0,3,23,64,28,77,114,449,0,6,0,3,7,12,14,52,21,70,0,0,0,3,25,44,25,46,45,112,5,11,404,1043
POA6536,231,454,0,4,4,25,6,28,59,219,76,274,0,6,6,21,27,83,35,109,105,385,0,0,0,11,0,0,6,31,18,45,0,0,6,15,7,19,17,40,32,80,3,5,379,923
POA6537,124,234,0,6,4,18,5,15,46,184,59,220,0,0,4,9,9,25,14,36,72,255,0,0,0,0,0,0,10,28,15,29,0,0,0,4,3,4,4,11,15,36,6,8,210,534
POA6556,231,446,10,39,28,127,9,50,106,403,157,620,22,78,20,60,52,158,87,297,242,911,0,0,10,25,3,19,24,60,32,106,3,19,3,9,29,63,42,94,76,199,3,5,553,1562
POA6558,106,203,0,4,10,50,6,12,41,140,52,208,3,13,8,34,25,85,41,133,88,343,0,0,3,4,0,0,9,27,12,37,0,0,3,8,11,21,14,25,23,56,0,5,225,605
POA6560,161,323,3,9,8,48,11,40,61,261,83,353,6,17,8,32,42,132,56,178,136,532,0,11,8,26,0,11,23,66,33,111,4,10,4,0,33,60,34,77,68,192,4,6,372,1056
POA6562,187,359,4,23,15,58,9,28,77,303,103,418,8,26,8,24,41,110,47,166,152,582,0,7,0,7,5,4,16,47,21,62,0,0,9,16,25,54,31,63,52,131,6,8,394,1071
POA6564,48,101,0,0,0,3,5,12,12,53,17,70,3,10,0,3,9,22,12,33,30,104,0,0,0,0,0,8,8,14,6,17,0,0,0,0,3,8,5,16,15,32,0,9,92,237
POA6566,527,1022,6,30,18,85,14,48,118,459,157,620,10,42,14,40,64,188,90,272,245,893,3,16,16,47,0,11,43,122,61,191,3,6,5,17,45,93,52,116,118,312,10,25,898,2251
POA6567,73,146,0,0,3,15,0,5,21,64,23,88,3,7,0,3,10,40,19,54,44,138,0,7,3,8,0,0,5,12,6,26,0,0,0,0,6,0,6,0,12,26,0,0,132,321
POA6568,26,49,0,0,5,12,0,4,8,40,14,55,0,6,0,0,8,23,9,28,23,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,8,4,8,0,0,54,145
POA6569,35,64,0,6,7,11,0,0,18,76,24,91,0,4,0,0,3,10,9,12,23,106,0,0,0,0,0,0,4,8,4,8,0,0,0,0,3,5,3,5,4,11,0,0,69,179
POA6571,11,18,0,0,0,0,0,0,3,6,4,11,0,0,0,7,0,0,0,7,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,37
POA6572,7,11,0,3,0,4,0,0,6,18,8,30,0,0,0,0,0,4,0,4,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,46
POA6574,10,20,0,0,0,0,0,0,9,18,7,21,0,3,0,0,0,0,5,8,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,50
POA6575,16,23,0,0,3,11,0,0,9,28,12,38,0,0,0,0,0,0,0,0,11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,69
POA6603,134,265,0,3,10,22,3,14,75,292,81,338,0,4,4,9,11,33,16,42,100,381,0,0,0,6,0,0,18,54,24,64,0,3,0,5,23,48,27,55,48,114,6,11,288,774
POA6605,0,3,0,0,0,3,0,0,5,7,4,16,0,3,0,0,0,0,0,3,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21
POA6606,16,36,0,0,0,0,0,0,11,35,12,35,0,0,0,0,4,14,4,14,10,46,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,5,9,3,10,0,0,37,89
POA6608,10,26,0,5,0,5,0,0,5,31,6,40,0,0,0,7,3,6,3,17,16,56,0,0,0,0,0,0,5,9,5,9,0,0,0,0,0,0,0,0,4,10,0,0,28,91
POA6609,84,166,0,10,15,52,3,8,61,243,77,312,7,12,3,15,11,38,15,56,98,363,0,7,0,3,0,3,6,20,8,31,0,0,0,0,6,17,6,17,14,40,3,6,200,576
POA6612,18,35,0,0,0,5,0,0,9,37,9,38,0,0,0,3,3,6,5,10,13,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,4,12,4,12,0,0,32,96
POA6613,6,18,0,0,0,0,0,0,3,16,3,20,0,0,0,0,0,0,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38
POA6614,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13
POA6616,3,7,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,3,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,7,25
POA6620,33,70,0,0,0,3,0,10,20,82,24,97,0,3,0,3,0,4,7,9,26,106,0,0,0,0,0,0,4,9,4,9,0,3,6,3,5,8,8,14,11,21,0,4,68,195
POA6623,56,116,0,0,4,10,0,5,36,147,41,157,0,3,0,4,7,29,13,33,50,196,0,0,0,0,0,0,5,12,4,18,0,0,3,10,4,10,8,14,11,27,0,0,122,336
POA6625,7,16,0,0,4,7,0,0,3,19,7,27,0,0,0,0,0,3,0,3,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,14,46
POA6627,11,18,0,9,0,0,0,0,3,6,4,13,0,0,0,0,0,0,0,0,4,13,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,3,0,3,0,11,0,0,12,49
POA6628,3,5,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,5,0,5,4,6,0,0,7,18
POA6630,48,87,0,0,10,18,3,4,18,68,27,94,0,0,0,0,3,14,3,14,33,114,0,0,3,8,3,19,10,32,18,54,0,0,0,3,11,16,12,21,24,79,0,0,106,281
POA6631,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
POA6632,9,17,0,0,0,4,0,5,7,28,6,35,0,0,5,6,0,0,5,6,8,40,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,16,62
POA6635,15,31,0,6,0,0,3,8,12,34,10,48,0,0,0,0,0,0,0,0,13,53,0,0,0,3,0,6,7,30,14,39,0,0,0,0,3,5,3,5,13,44,0,4,41,127
POA6638,40,70,0,0,0,0,0,6,14,54,16,57,0,0,0,9,0,6,0,11,18,69,0,0,0,0,0,4,7,32,12,35,0,0,0,5,4,7,7,10,15,44,0,0,71,188
POA6639,19,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30
POA6640,18,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,3,9,0,0,24,47
POA6642,70,144,0,0,4,29,4,28,36,141,44,193,0,10,0,0,6,14,8,19,52,213,0,0,8,25,10,34,22,64,33,126,3,10,0,3,6,15,9,31,42,159,13,26,182,543
POA6646,27,57,0,0,0,0,0,11,8,41,9,55,0,0,0,0,0,0,0,0,9,55,0,0,0,16,0,0,13,23,14,42,0,5,0,0,4,12,7,16,17,63,6,10,62,177
POA6701,511,1000,8,41,29,118,13,83,251,990,309,1235,14,47,18,41,74,232,100,319,408,1549,0,8,12,32,13,49,99,280,118,361,4,16,14,29,81,177,100,218,219,579,22,44,1152,3176
POA6705,8,24,0,0,3,15,0,9,11,46,15,69,0,0,0,0,0,5,0,5,18,71,0,0,0,0,0,8,3,14,7,19,0,0,0,0,0,5,0,5,9,26,6,7,40,125
POA6707,365,697,7,18,27,102,3,21,203,768,240,916,9,37,23,67,33,107,73,210,308,1127,0,0,3,11,0,0,29,82,33,96,3,4,8,16,28,56,36,79,71,172,5,10,755,2010
POA6710,99,199,0,0,0,4,0,0,79,289,81,298,0,0,0,4,4,9,6,15,86,309,0,0,0,0,4,11,14,27,17,36,0,0,0,0,9,24,9,24,22,60,3,5,210,576
POA6712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6713,103,209,0,5,24,129,4,25,131,489,164,645,4,12,4,14,26,74,30,104,193,751,0,0,0,0,0,0,15,35,15,35,0,0,0,0,5,12,5,12,16,48,0,7,322,1007
POA6714,1278,2473,33,173,214,936,60,255,1545,6023,1850,7391,41,165,102,311,172,535,316,1006,2169,8402,4,19,35,117,16,63,196,511,253,708,9,32,20,46,89,196,117,270,370,983,29,68,3849,11920
POA6716,10,20,0,0,0,10,0,4,22,85,28,92,0,0,0,0,5,8,5,8,24,99,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,3,6,0,6,43,131
POA6718,66,148,0,9,3,15,0,11,30,134,35,172,0,7,0,5,13,39,15,51,49,222,3,18,6,10,13,67,22,57,40,150,0,4,3,5,17,44,22,55,60,208,8,27,189,606
POA6720,140,269,5,36,25,113,13,52,196,773,236,970,4,16,19,59,25,75,44,147,285,1121,0,5,0,7,0,0,19,58,23,66,3,8,3,4,8,21,13,34,36,99,5,11,468,1499
POA6721,381,729,10,38,23,116,20,93,399,1546,454,1790,11,28,17,29,45,130,61,187,512,1978,0,0,3,17,5,3,41,110,46,132,6,9,5,10,16,35,24,51,74,186,11,29,975,2917
POA6722,825,1599,26,123,101,498,47,200,874,3479,1045,4303,25,86,40,110,128,409,181,602,1234,4901,4,26,26,94,30,119,224,618,286,850,7,28,33,67,101,236,142,329,426,1178,49,112,2532,7795
POA6725,811,1569,13,74,99,414,61,294,740,2922,909,3707,26,97,38,112,125,405,186,620,1100,4322,12,45,30,115,27,107,269,773,338,1036,3,4,33,70,155,358,189,435,530,1470,53,128,2494,7492
POA6726,492,937,6,44,40,178,15,80,358,1416,424,1718,17,66,30,89,56,171,106,331,531,2047,5,37,32,103,20,68,130,396,187,607,4,14,19,42,54,114,77,167,269,774,19,42,1311,3803
POA6728,344,698,6,50,22,115,38,246,241,975,313,1390,5,26,9,20,48,163,69,209,380,1594,0,12,11,50,39,196,130,408,182,661,7,15,7,19,69,178,77,215,262,873,45,107,1035,3277
POA6740,76,152,3,28,12,55,17,85,63,274,96,432,0,13,0,0,12,33,9,43,107,475,3,16,8,20,3,26,58,165,73,229,0,0,0,0,32,86,33,90,108,314,15,38,302,982
