POA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
POA6215,1704,1705,3411,683,286,969,156,427,587,104,65,166,62,65,124,1010,842,1849,541,737,1286,6.2,7.6,6.8,59.1,49.2,54.2,55.5,45.5,50.5,13,17,27,11,22,33,69,137,203,92,150,241,524,284,810,20,51,75,21,38,60,570,378,942,1589,1634,3222,257,265,514,1162,1162,2318,595,647,1241
POA6218,213,201,406,80,37,112,20,42,68,7,12,26,6,10,13,116,104,220,82,94,173,6.8,6.9,6.8,56.5,50.5,53.5,52.6,47,49.9,0,3,11,0,4,6,5,12,17,12,14,24,66,41,104,0,10,14,3,6,6,74,52,123,227,214,441,28,25,53,120,126,250,118,97,216
POA6219,234,258,490,98,49,148,30,70,99,14,12,28,9,4,15,152,138,290,70,103,174,6.6,4.3,5.5,64.7,54.5,59.4,60.4,52.2,56.1,4,4,3,4,0,7,9,19,27,22,21,40,70,49,119,5,5,8,4,0,3,76,57,138,235,239,481,35,42,76,180,176,355,76,96,170
POA6220,1784,1752,3540,804,429,1228,207,403,609,69,38,102,40,44,81,1124,904,2023,535,755,1295,3.6,4.5,4,62.9,51.4,57.2,60.7,49,54.9,17,19,35,7,26,37,138,203,340,93,126,216,458,267,722,20,41,63,21,39,57,499,347,841,1744,1672,3417,253,282,538,1193,1159,2357,689,693,1374
POA6221,200,169,374,56,36,86,13,27,42,15,19,33,4,6,13,87,91,177,92,65,156,5.9,7.8,6.9,42.3,52.9,47.2,39.8,48.8,43.9,4,0,3,0,8,7,12,26,44,0,5,12,39,33,64,10,12,17,0,0,3,46,45,87,174,150,320,21,22,44,135,116,248,54,52,107
POA6223,55,64,120,34,24,61,10,21,31,0,5,0,0,0,0,46,49,94,6,14,25,0,2,1,81,78.5,79.7,81,76.9,78.9,3,0,7,0,3,3,6,9,18,3,13,17,14,13,28,0,4,5,0,0,0,15,13,30,62,68,132,5,9,16,47,52,95,19,26,49
POA6224,505,503,1005,203,85,293,48,126,175,24,25,48,12,14,29,295,247,541,168,214,377,5.1,5.7,5.4,58.8,49.2,54,55.9,46.4,51.1,3,3,13,3,9,8,20,32,49,21,44,65,163,94,254,10,18,28,7,9,16,182,116,300,481,457,941,71,80,156,338,306,647,192,208,391
POA6225,3688,3613,7303,1424,636,2050,318,898,1219,162,126,288,162,126,286,2067,1784,3853,1317,1545,2861,7.8,7.1,7.5,55.9,49.5,52.7,51.5,46,48.8,22,31,48,20,51,64,110,243,357,142,255,394,1216,656,1874,60,98,157,63,80,144,1338,837,2170,3612,3476,7095,542,562,1102,2742,2540,5282,1180,1280,2462
POA6226,352,338,689,192,93,289,43,115,165,15,14,26,7,7,14,258,230,486,77,104,176,3.1,2.6,2.9,74.3,67.6,71,72,65.8,68.9,3,6,10,9,17,21,25,53,75,26,31,56,122,60,184,12,5,17,3,5,10,136,69,211,390,358,747,48,53,103,262,240,502,152,149,302
POA6227,275,294,571,163,78,244,26,97,119,17,8,24,0,4,12,207,191,392,59,94,156,2,3.2,2.5,73.7,64.8,69.2,72.3,62.8,67.4,9,0,7,5,11,12,16,44,55,23,29,51,103,51,159,4,11,17,0,7,5,108,70,180,316,343,660,44,36,82,251,260,507,91,102,195
POA6228,64,56,119,22,8,31,12,16,30,9,0,10,0,0,0,39,31,69,15,26,43,2.6,3.3,2.9,61.9,53.6,58,60.3,51.8,56.3,0,0,0,0,0,0,0,9,9,0,3,3,9,10,20,0,0,0,4,0,4,15,10,21,66,57,122,0,4,11,52,39,97,13,16,31
POA6229,94,67,163,29,14,38,13,15,22,3,0,3,4,3,7,43,25,70,39,28,66,7,11.5,8.7,44.8,38.2,42.1,41.7,33.8,38.4,0,0,0,0,0,0,7,3,13,0,3,7,25,14,36,0,0,0,0,0,0,24,17,40,67,48,116,17,10,27,46,39,83,29,19,52
POA6230,17167,18549,35708,7727,4446,12176,2019,5057,7070,614,600,1212,596,555,1153,10959,10656,21615,5271,6934,12206,5.4,5.2,5.3,63.8,57.5,60.5,60.4,54.5,57.3,465,468,930,206,483,691,1570,2623,4197,1180,1721,2905,4921,3135,8060,319,508,825,219,444,667,5463,4090,9554,16270,17515,33785,3291,3627,6916,10692,11372,22064,7764,8753,16518
POA6232,4047,4489,8539,2071,993,3060,454,1345,1794,173,158,328,134,127,263,2835,2619,5453,1014,1646,2663,4.8,4.8,4.8,70,58.3,63.9,66.6,55.5,60.8,37,62,95,35,76,107,241,471,714,263,414,682,1372,881,2254,74,152,225,55,126,174,1499,1151,2656,4237,4514,8756,709,803,1512,2851,2966,5812,1761,2038,3799
POA6233,7130,7828,14958,3735,1865,5604,761,2392,3146,292,308,596,222,226,448,5015,4786,9797,1864,2815,4684,4.5,4.7,4.6,70.3,61.1,65.5,67.2,58.2,62.5,117,151,265,69,193,261,543,1019,1563,494,811,1305,2498,1521,4029,132,225,359,115,205,317,2750,1953,4706,7742,8128,15867,1306,1425,2730,5140,5373,10513,3306,3686,6990
POA6236,860,878,1742,431,194,624,105,290,396,45,36,79,16,21,36,601,539,1136,223,290,513,2.3,3.5,2.9,69.5,61.6,65.5,67.9,59.4,63.6,18,11,26,10,26,34,81,156,235,70,94,163,281,141,422,18,19,38,16,16,30,310,176,486,891,887,1778,111,99,212,664,642,1309,283,302,581
POA6237,973,1048,2027,484,229,716,100,340,437,65,62,121,15,28,43,659,653,1316,254,341,596,2.3,4,3.1,67.9,62.2,64.9,66.3,59.7,62.9,12,16,29,14,29,37,74,156,232,77,109,185,333,183,516,7,24,32,8,34,42,349,241,594,1008,1082,2088,147,139,285,738,795,1534,366,379,742
POA6239,1757,1887,3647,781,378,1161,199,496,692,78,81,157,57,35,100,1118,988,2105,531,804,1331,5.2,3.8,4.6,63.4,52.5,57.8,60.1,50.5,55.1,34,39,72,18,56,77,115,253,364,130,179,313,524,278,795,25,51,74,24,45,70,571,371,940,1730,1809,3539,283,333,618,1223,1251,2469,694,787,1481
POA6240,71,79,145,30,14,41,15,24,40,6,0,4,0,0,0,42,42,85,22,29,45,0,0,0,65.7,55.3,60.3,65.7,55.3,60.3,3,0,3,0,0,0,7,13,20,4,10,14,21,5,23,0,7,7,4,0,4,20,10,32,66,71,138,9,3,9,51,48,101,19,23,38
POA6243,34,38,73,5,5,13,9,9,15,3,6,4,0,6,5,20,20,39,12,12,26,5.3,10,7.7,52.8,52.6,52.7,50,47.4,48.6,0,0,0,0,0,0,5,0,10,0,3,3,4,4,9,0,3,3,0,3,5,10,9,17,28,34,64,7,10,11,22,25,52,8,9,19
POA6244,605,618,1217,268,134,407,58,152,208,34,15,53,11,20,30,374,320,692,168,230,396,2.7,5.9,4.2,61.7,52.2,56.9,60,49.1,54.5,3,5,6,3,8,9,40,91,135,28,68,98,148,86,231,6,8,20,9,17,32,158,115,280,581,589,1174,72,86,158,431,408,838,189,232,416
POA6251,125,119,240,50,26,78,15,36,56,7,6,19,3,3,7,83,72,150,38,43,82,6.2,2.7,4.5,65.9,61.3,63.6,61.8,59.7,60.7,3,0,3,3,0,9,5,12,23,7,16,25,32,19,48,3,0,3,0,7,7,36,32,63,123,110,236,22,22,43,105,95,198,41,39,79
POA6252,64,57,120,23,9,36,7,11,19,3,9,12,0,0,0,42,31,72,20,23,47,2.4,3.4,2.9,62.1,52.7,57.9,60.6,50.9,56.2,0,0,0,0,0,0,5,4,10,7,0,9,19,12,28,0,0,4,0,0,0,21,15,35,57,49,103,14,10,27,44,44,88,26,10,36
POA6253,291,294,583,100,46,147,31,74,107,14,15,36,6,4,5,157,142,297,113,140,257,1.9,2.8,2.4,52.9,48.1,50.5,51.9,46.8,49.3,17,11,23,3,13,21,31,56,83,28,43,78,78,37,116,3,7,13,4,7,11,85,53,135,275,284,558,26,33,60,181,189,375,115,117,228
POA6254,321,218,535,152,52,198,26,46,67,16,9,23,11,0,12,201,103,303,80,98,178,5.5,1,4,62.5,47.7,56.6,59.1,47.2,54.3,7,4,14,0,0,0,20,18,35,13,17,36,104,42,141,8,3,10,3,4,4,113,49,156,268,203,471,41,25,66,199,159,361,101,63,168
POA6255,1689,1857,3551,648,337,976,200,525,723,72,57,132,46,34,76,965,949,1915,608,787,1395,4.6,3.6,4.1,56.9,51.2,53.9,54.3,49.3,51.7,50,36,85,20,52,77,151,259,403,121,250,375,515,277,792,27,42,67,37,44,78,584,364,944,1580,1650,3228,328,394,726,1048,1126,2173,770,843,1613
POA6256,175,160,339,97,42,130,26,56,80,10,9,20,0,0,0,130,107,234,31,46,72,1.5,0,0.8,73,66.3,69.8,71.9,66.3,69.2,0,0,5,0,3,3,22,31,48,13,11,26,45,31,75,3,5,7,0,4,6,51,40,89,164,153,319,32,27,61,128,108,238,66,61,126
POA6258,2561,2592,5153,1227,602,1827,312,734,1048,109,107,216,64,61,123,1706,1512,3215,694,911,1602,3.8,4,3.9,66.5,58.2,62.4,64,55.9,59.9,29,42,74,14,41,60,153,283,436,111,193,298,657,403,1054,42,91,137,40,57,96,742,543,1287,2535,2515,5054,378,402,777,1808,1758,3566,957,1011,1975
POA6260,683,659,1342,305,157,461,93,180,277,32,45,78,8,7,17,438,391,830,159,184,352,1.6,2.6,2,64.2,59.2,61.8,63.2,57.7,60.5,19,34,50,13,14,27,71,101,173,53,55,111,126,76,199,12,11,17,9,14,23,146,99,247,619,576,1197,84,88,170,445,388,834,218,248,463
POA6262,283,302,580,93,49,144,45,92,136,7,8,17,10,7,16,152,157,309,95,104,201,7.1,3.2,5.1,54.4,52.5,53.4,50.5,50.8,50.7,4,7,14,0,7,7,25,36,57,13,31,44,75,36,112,0,9,9,7,6,14,89,46,140,261,266,521,37,38,71,208,210,421,66,73,145
POA6271,1238,1376,2617,552,310,861,153,400,556,61,61,123,21,29,48,792,798,1586,378,514,889,2.9,3.3,3.1,63.7,57.8,60.6,61.9,55.9,58.7,16,34,49,12,43,52,91,175,263,81,116,197,373,243,613,12,38,53,16,33,52,402,312,716,1278,1394,2668,191,207,395,895,965,1859,506,559,1068
POA6275,656,643,1299,196,107,298,94,166,257,26,21,41,14,15,31,327,303,628,252,262,515,4.6,5,4.8,49.8,47.2,48.5,47.6,44.9,46.2,10,22,29,8,30,34,55,81,133,48,77,126,168,61,230,5,8,14,12,10,24,182,85,271,575,551,1125,83,91,172,420,398,814,217,224,445
POA6280,11369,12979,24351,4650,2694,7340,1690,3882,5574,450,443,897,274,234,511,7065,7256,14319,3646,5055,8699,3.9,3.3,3.6,62.2,55.9,58.8,59.8,54,56.7,207,293,496,138,368,502,962,1760,2718,873,1381,2259,3395,1970,5367,187,292,486,166,343,502,3748,2614,6359,11129,12325,23451,2185,2465,4647,7171,7871,15049,5468,6241,11710
POA6281,3068,3424,6495,1264,682,1938,553,1207,1755,177,166,342,40,41,79,2032,2093,4122,868,1137,2001,2,1.9,1.9,66.2,61.1,63.5,64.8,59.9,62.2,124,110,236,36,125,161,505,801,1307,339,500,837,861,380,1239,32,61,94,50,91,141,942,538,1474,3076,3282,6357,635,703,1334,1880,1923,3800,1612,1845,3451
POA6282,731,754,1486,274,152,423,131,243,370,47,47,93,13,10,16,459,446,908,191,223,420,2.2,2,2.1,62.8,59.6,61.2,61.4,58.4,59.9,37,33,72,12,36,42,164,197,363,83,92,173,151,62,215,8,12,23,14,17,35,178,94,275,675,659,1335,136,126,257,484,471,952,281,290,573
POA6284,961,1045,2010,463,235,694,159,412,572,56,48,107,23,15,32,699,702,1404,171,253,416,3,1.8,2.4,72.8,67.4,70,70.6,66.2,68.3,25,39,65,21,35,58,141,270,410,76,129,210,264,117,383,3,20,29,16,21,38,284,161,446,971,963,1939,214,249,460,607,576,1181,508,566,1069
POA6285,3960,4296,8258,1707,960,2666,747,1509,2256,213,206,422,82,73,160,2746,2755,5498,877,1225,2108,3,2.8,2.9,69.2,64.2,66.6,67.2,62.4,64.7,152,177,326,73,163,235,590,944,1534,348,550,898,1034,534,1569,59,79,139,70,100,167,1165,713,1879,3793,4060,7853,842,863,1703,2336,2482,4819,2002,2184,4185
POA6286,326,340,666,147,65,216,67,119,190,16,12,29,6,12,15,240,208,450,69,101,167,2.9,4.8,3.8,73.3,61.9,67.5,71.2,59,65,10,19,24,4,10,18,51,83,127,34,37,68,87,38,130,4,6,13,6,4,13,102,53,156,324,302,624,57,74,135,176,164,346,174,198,369
POA6288,253,241,488,113,52,167,52,88,139,16,11,29,9,7,13,187,160,347,44,66,110,4.3,1.9,3.2,75.2,65.7,70.6,72,64.4,68.3,6,7,16,3,3,9,25,45,73,18,20,42,65,37,102,0,8,4,4,4,5,68,41,113,224,236,463,38,42,77,160,151,308,94,116,206
POA6290,791,838,1627,166,101,270,133,216,350,24,29,58,14,10,22,334,360,696,401,440,836,4.2,2.8,3.5,42.7,42.6,42.6,40.9,41.4,41.1,22,22,44,11,24,38,78,84,165,69,106,174,208,110,318,13,11,27,12,27,43,232,144,384,675,719,1393,134,140,272,479,510,995,294,329,626
POA6302,1466,1486,2953,495,292,788,171,335,502,71,62,123,47,34,86,778,721,1503,550,641,1199,6.2,4.8,5.5,53.1,48.5,50.8,49.8,46.2,48,24,36,56,14,47,59,103,164,267,100,165,268,350,177,530,17,25,47,34,31,67,407,239,639,1348,1375,2727,193,209,407,987,987,1977,506,547,1052
POA6304,696,685,1384,213,110,320,69,142,215,30,33,62,21,17,40,333,301,640,276,303,581,7.2,6.3,6.8,47.9,44.1,46,44.5,41.3,42.9,5,9,17,8,9,16,44,80,123,42,66,107,156,70,229,10,12,17,11,16,25,169,99,266,612,624,1236,70,70,144,466,458,922,185,207,396
POA6306,394,383,779,175,87,254,33,86,120,18,14,33,16,13,22,238,197,433,118,162,282,5.1,5.6,5.3,59.7,50.9,55.4,56.7,48.1,52.4,0,12,7,4,12,12,22,47,66,16,24,39,76,53,131,6,5,9,5,7,8,89,73,158,375,368,743,45,51,100,270,262,529,118,139,261
POA6308,646,621,1259,261,112,366,53,135,186,27,14,41,28,15,41,357,273,639,214,273,486,7.5,4.7,6.3,56.1,44.7,50.5,51.9,42.6,47.3,4,4,8,6,10,14,28,57,86,30,65,89,150,76,230,5,12,19,11,21,28,169,111,277,602,558,1162,79,90,170,440,391,836,210,225,435
POA6309,128,112,235,48,25,73,19,29,42,0,0,4,5,3,3,69,58,129,46,39,87,4.5,3.4,4,53.2,52.3,52.7,50.8,50.5,50.6,0,3,3,0,0,5,6,10,17,10,6,24,32,8,43,0,5,5,0,3,10,35,17,53,127,102,230,3,8,14,101,77,179,28,32,58
POA6311,251,229,488,104,59,168,23,64,86,9,10,24,7,3,9,147,137,282,81,79,163,4.1,2.2,3.2,58.7,58.8,58.8,56.3,57.5,56.9,0,0,4,0,5,8,15,29,43,21,18,40,56,37,91,0,7,11,0,3,3,61,44,107,249,231,485,24,30,51,189,173,361,74,73,145
POA6312,1869,1921,3791,767,485,1252,225,448,669,62,62,125,74,51,121,1120,1043,2165,547,672,1220,6.3,4.8,5.6,60,54.2,57,56.2,51.6,53.8,23,21,47,27,42,63,147,247,393,85,178,271,445,245,687,22,39,63,19,30,43,482,318,802,1637,1728,3370,353,352,699,1174,1191,2363,734,787,1520
POA6313,88,96,184,45,22,65,10,27,35,0,3,3,0,0,0,53,50,108,29,34,67,0,3.8,1.9,59.6,55.8,57.6,59.6,53.7,56.5,0,3,3,0,0,5,5,12,16,3,7,11,17,13,35,0,4,4,0,4,6,20,17,45,99,102,201,3,9,12,78,79,156,19,25,39
POA6315,733,742,1470,293,133,429,70,202,275,30,27,61,23,13,36,422,378,797,240,294,533,5.5,3.7,4.6,57.4,50.9,54.1,54.2,49.1,51.6,6,3,13,6,13,18,45,89,132,28,41,71,166,78,240,9,13,15,3,16,20,174,103,278,694,658,1348,97,119,222,510,493,1006,233,247,476
POA6316,149,141,290,78,37,114,17,32,47,3,7,9,4,6,4,98,83,176,42,48,89,3.1,2.5,2.8,65.1,56.6,61,63.1,55.2,59.2,0,0,0,0,3,5,11,20,28,7,21,27,27,19,52,3,6,16,4,3,8,36,32,68,157,141,298,16,23,40,120,93,216,45,54,99
POA6317,1690,1606,3293,755,385,1135,196,370,571,67,60,123,55,47,98,1073,860,1935,430,583,1011,4.9,5.2,5.1,63.5,53.6,58.7,60.3,50.8,55.7,18,25,45,10,32,42,80,145,223,68,99,159,355,184,538,34,45,78,27,30,57,420,256,673,1552,1492,3038,262,259,524,1097,1021,2123,609,618,1225
POA6318,189,185,374,101,41,144,18,56,77,7,4,10,8,4,15,137,109,248,37,53,94,5.8,3.7,4.9,72.1,58.9,65.6,67.9,56.8,62.4,0,7,7,0,3,5,11,40,52,10,21,34,46,22,65,0,3,6,0,3,3,45,26,78,196,178,371,26,30,53,145,127,273,60,69,124
POA6320,216,198,416,104,43,150,22,42,63,3,7,10,3,5,12,140,101,236,58,65,125,4.4,6.9,5.4,63.1,51.5,57.6,60.4,48,54.5,0,6,5,0,4,4,9,25,31,7,12,21,35,21,57,5,3,6,7,0,6,49,29,76,224,209,433,20,18,32,172,160,336,62,49,104
POA6321,185,178,366,88,34,120,9,51,69,9,3,9,3,6,8,113,92,209,51,65,109,4.5,4.2,4.3,60.5,53.7,57.2,57.8,51.4,54.7,0,0,0,0,7,7,7,17,28,3,9,17,34,27,62,5,5,7,3,0,3,42,35,76,181,181,360,19,22,43,140,127,267,53,58,115
POA6322,93,96,184,30,17,48,8,26,32,6,4,12,0,0,4,52,49,95,33,34,69,2.1,4.2,3.1,52.2,50,51.1,51.1,47.9,49.5,0,0,0,0,0,0,4,3,12,3,11,16,24,10,33,5,0,3,0,0,0,29,12,35,95,92,190,9,7,18,71,65,137,19,32,50
POA6323,445,407,850,132,72,198,54,84,145,17,14,35,14,12,24,212,185,399,189,189,380,4.7,7.1,5.8,48.5,45.1,46.9,46.3,41.9,44.2,6,8,9,0,17,18,31,41,68,25,40,67,97,66,161,10,15,24,0,6,7,111,85,196,425,384,813,45,54,102,301,267,567,158,159,317
POA6324,1505,1487,2991,595,288,880,176,375,548,72,64,134,31,27,55,872,753,1622,484,572,1063,3.5,3.9,3.6,57.6,50.5,54.1,55.6,48.6,52.1,21,30,52,12,30,36,106,183,288,82,166,243,349,220,558,20,47,70,30,33,61,398,295,697,1394,1373,2766,179,190,372,963,963,1921,534,543,1072
POA6326,205,207,407,106,52,161,29,54,87,12,12,20,0,0,5,149,122,268,43,60,101,1.4,0.8,1.1,72.9,59.9,66.3,71.9,59.4,65.6,3,3,9,0,6,6,20,26,43,11,19,28,38,30,65,0,3,5,9,5,9,44,35,81,196,191,390,20,29,47,143,127,269,74,81,151
POA6327,115,86,202,45,21,63,16,28,41,3,8,8,5,3,13,68,52,125,20,25,48,11.1,3.7,7.9,63.7,60.7,62.4,56.6,58.4,57.4,0,0,0,0,9,9,4,11,14,12,13,28,24,10,41,0,8,8,0,0,0,24,16,42,103,88,187,20,14,36,81,69,156,32,29,59
POA6328,180,154,341,94,37,133,17,48,69,4,0,6,0,9,6,118,99,219,38,46,79,1.7,6.2,3.7,65.9,62.2,64.2,64.8,58.3,61.8,0,0,0,0,3,3,13,26,36,10,12,31,51,25,74,0,10,6,4,6,9,55,36,84,170,146,320,26,32,55,109,81,193,73,83,148
POA6330,14789,15904,30698,5881,3447,9329,2123,4534,6657,543,536,1076,396,289,694,8946,8808,17753,5014,6306,11323,4.4,3.3,3.9,60.5,55.4,57.8,57.8,53.5,55.6,346,433,778,190,434,619,1243,2291,3530,1099,1762,2866,4020,2371,6390,290,434,724,203,394,593,4517,3189,7707,14129,15213,29342,2544,2782,5325,9371,9942,19316,6451,7249,13701
POA6333,2491,2736,5230,756,450,1204,437,760,1201,97,113,204,57,44,99,1347,1361,2707,890,1104,1992,4.2,3.1,3.7,54,49.7,51.8,51.7,48.2,49.9,124,133,255,46,107,156,337,503,838,209,360,571,594,296,888,31,51,81,36,59,89,653,405,1061,2254,2443,4697,445,480,921,1508,1588,3091,1069,1203,2275
POA6335,308,283,593,174,61,238,32,72,105,6,13,13,10,5,19,217,158,375,59,106,167,3.6,5.1,4.3,71.2,54.9,63.4,68.6,52.1,60.7,3,4,9,4,5,4,21,36,58,12,16,34,77,38,115,5,5,9,4,3,11,84,45,127,301,298,599,53,29,83,207,203,404,118,104,225
POA6336,144,107,254,84,31,111,16,34,50,8,5,19,0,0,0,109,74,184,22,22,43,0.9,1.3,1.1,76.4,68.8,73.1,75.7,67.9,72.3,0,0,0,0,3,3,7,20,31,8,10,17,31,4,39,0,4,4,0,0,0,33,10,39,134,102,237,17,18,34,100,64,162,43,43,90
POA6337,228,180,405,143,55,201,21,41,66,7,8,17,4,3,12,177,113,290,25,38,60,2.3,4.4,3.1,77.2,63.5,71.2,75.4,60.7,69,0,4,4,0,4,5,12,25,40,18,17,28,58,25,81,4,3,5,0,6,8,60,28,93,208,150,354,56,37,93,135,91,224,100,87,191
POA6338,301,280,585,154,83,237,38,85,117,9,14,23,4,6,6,206,182,381,92,88,180,1,2.7,1.8,66.4,64.8,65.6,65.8,63,64.4,4,7,10,5,5,7,24,52,79,22,23,42,66,42,110,7,3,7,4,6,5,79,48,126,297,263,556,50,68,122,194,164,352,130,150,283
POA6341,110,89,195,68,29,101,10,27,37,3,0,3,0,0,0,84,64,144,19,25,44,0,1.7,0.7,76.4,66.7,71.9,76.4,65.6,71.4,0,0,3,0,0,0,8,15,19,5,7,12,18,18,35,3,0,3,0,3,3,25,17,43,97,88,186,26,21,48,74,64,136,44,33,79
POA6343,96,79,173,67,25,89,3,23,22,4,3,13,0,7,7,70,57,123,11,9,20,0,7.3,3.2,74,70.5,72.4,74,65.4,70.1,0,0,3,0,3,3,9,19,31,5,8,14,17,10,24,0,0,0,4,0,4,22,10,33,90,78,175,8,6,13,72,60,138,21,14,34
POA6346,869,342,1215,535,134,673,51,66,125,53,16,67,12,0,14,656,223,879,53,86,140,2,0.9,1.7,75.2,64.9,72.3,73.7,64.3,71.1,10,10,19,6,4,12,64,59,122,50,42,86,263,45,309,16,14,22,4,5,11,282,59,340,622,318,937,146,67,210,402,182,587,339,165,498
POA6348,467,424,896,197,83,286,44,86,135,25,21,50,7,7,12,280,206,488,140,182,326,3.2,1.9,2.7,60.1,48.2,54.4,58.2,47.3,53,8,11,19,5,4,9,40,53,92,30,44,75,136,48,181,0,8,9,6,13,18,139,63,205,386,337,724,121,114,240,217,182,401,254,245,495
POA6350,136,131,265,53,25,78,16,30,48,4,6,8,7,0,9,83,64,144,32,42,77,7.6,3.1,5.6,57.7,50,53.9,53.3,48.5,50.9,0,0,0,0,0,0,5,13,20,8,10,21,28,14,39,4,0,0,0,4,6,31,16,49,113,120,229,15,12,27,86,86,170,34,37,70
POA6351,26,16,42,23,0,25,0,9,9,0,0,0,0,0,0,23,11,30,0,0,9,0,0,0,73.1,75,73.8,73.1,75,73.8,0,0,0,0,0,0,0,6,4,4,0,4,10,0,7,0,0,0,0,0,0,10,4,11,29,21,54,0,0,0,29,16,42,4,0,4
POA6352,100,56,154,33,13,52,4,16,22,0,4,3,3,0,3,43,34,80,7,11,17,6.7,2.9,5.1,46.9,57.6,51,43.8,55.9,48.4,0,0,0,0,3,3,5,7,15,4,4,8,11,4,15,0,3,3,0,0,0,10,7,13,66,50,118,6,3,12,47,35,85,21,14,38
POA6353,334,285,615,238,98,337,27,81,106,10,18,22,0,0,0,273,190,467,33,71,107,0.4,0,0.2,81.7,67.7,75.2,81.4,67.7,75.1,3,3,9,4,3,8,17,57,75,7,29,43,96,33,127,3,0,4,3,3,6,107,37,140,322,278,607,50,52,102,231,196,422,124,108,234
POA6355,196,149,348,133,61,192,20,46,68,6,3,10,4,0,4,163,110,274,14,33,51,1.2,0.9,1.1,80.9,72.4,77.2,79.9,71.7,76.4,0,0,0,0,7,7,9,34,44,13,16,30,34,16,51,3,4,5,3,6,6,44,18,64,195,150,343,27,21,50,146,117,262,53,46,93
POA6356,66,28,98,47,10,56,9,6,17,0,0,3,0,0,0,56,26,78,9,7,12,1.9,0,1.3,80.3,71,77.3,78.8,71,76.3,0,0,0,0,0,0,6,9,9,11,10,14,6,3,11,0,0,0,0,0,0,10,3,13,62,39,96,5,4,11,42,27,69,23,10,27
POA6357,21,26,49,10,10,22,0,5,10,0,0,5,0,0,0,19,19,37,0,0,5,0,0,0,78.3,61.5,69.4,78.3,61.5,69.4,0,0,0,0,0,0,0,3,3,0,0,3,6,0,11,0,0,0,0,0,0,7,5,10,15,20,38,5,4,11,12,17,28,9,4,9
POA6358,36,36,76,28,9,38,3,8,14,0,0,3,0,0,0,31,23,57,0,4,8,0,0,0,81.6,65.7,74,81.6,65.7,74,0,0,0,0,0,0,0,9,10,0,0,3,10,0,17,0,0,0,0,0,0,10,5,13,37,34,76,0,0,10,32,27,55,7,16,21
POA6359,441,184,623,296,63,365,30,38,70,29,16,46,0,4,4,356,122,478,37,39,81,0,1.7,0.4,81.1,66.9,76.9,81.1,65.7,76.6,10,4,16,7,4,10,38,26,70,37,18,56,130,11,150,7,4,8,4,0,3,145,18,166,347,155,503,78,29,101,226,116,344,185,50,234
