POA_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA6111,13,45,331,3622,3146,551,125,343,8179,0,47,176,479,15,4,0,69,785,0,0,3,5,0,0,0,8,20,0,49,179,487,13,4,0,70,801,0,22,31,0,0,0,0,18,73,0,0,15,6,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,18,0,23,62,11,0,0,0,16,113,12,40,0,4,0,0,0,39,99,0,0,6,3,0,0,0,4,15,24,155,576,4123,3168,556,125,482,9211
POA6112,12,74,504,7921,11396,1128,201,935,22163,3,195,499,1209,70,4,4,190,2176,0,8,7,11,3,0,0,3,37,3,204,512,1218,68,4,4,189,2210,0,15,40,23,0,0,0,12,84,0,0,24,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,4,4,21,0,23,68,24,4,0,4,17,138,15,32,86,24,5,0,0,41,213,0,0,3,3,8,0,0,6,22,33,336,1167,9194,11481,1130,207,1190,24749
POA6121,4,4,32,118,539,178,57,31,967,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,6,0,3,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,15,32,119,543,178,60,31,983
POA6122,0,13,108,1569,4528,453,94,241,6990,0,7,13,45,3,0,0,6,77,0,0,0,0,0,0,0,0,0,0,7,13,45,3,0,0,6,77,0,0,14,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,10,0,3,20,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,139,1611,4533,453,94,248,7102
POA6123,0,3,30,229,417,41,9,46,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,229,417,45,9,46,777
POA6124,3,8,51,146,178,39,7,30,449,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,51,147,178,37,7,30,456
POA6125,0,15,59,226,533,99,39,56,1033,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,48,36,0,0,0,15,117,0,3,3,0,3,0,0,0,17,8,25,117,268,539,99,39,72,1167
POA6126,0,7,10,27,32,8,5,9,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,27,28,8,5,9,93
POA6147,4,23,126,2472,1851,225,54,174,4932,4,55,172,328,21,0,0,34,613,0,0,24,71,0,0,0,9,99,4,56,192,399,17,0,0,34,714,0,4,22,89,10,0,0,4,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,13,0,4,23,90,17,0,0,11,140,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,3,4,83,338,2966,1887,227,57,227,5793
POA6148,5,18,186,2218,2548,493,102,106,5679,0,25,380,497,68,4,4,56,1031,0,0,3,22,25,6,0,0,55,6,25,381,515,98,9,4,56,1087,0,12,15,13,6,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,56,3,0,0,0,3,62,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,9,0,20,72,20,9,0,0,5,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,63,646,2753,2654,509,105,165,6897
POA6149,0,8,53,1145,3761,734,112,68,5890,0,33,129,307,30,6,0,15,515,0,0,5,9,0,0,0,0,16,0,33,132,312,32,7,3,15,536,0,84,89,0,0,0,0,13,188,0,0,0,0,0,0,0,0,0,0,3,121,15,0,0,0,10,156,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,0,15,3,90,211,15,5,0,0,26,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,134,405,1482,3794,743,118,110,6784
POA6150,5,3,126,572,2406,615,131,69,3925,0,16,149,78,31,8,0,14,285,0,0,0,42,9,0,0,0,57,0,19,147,119,39,4,0,15,342,0,0,32,0,0,0,0,3,40,0,0,34,3,0,0,0,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,78,12,0,0,0,3,95,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,4,5,16,354,703,2450,623,134,95,4370
POA6151,0,33,430,1233,1200,313,34,74,3320,0,15,186,215,13,3,0,20,453,4,172,628,926,96,12,0,81,1930,4,190,814,1141,117,18,4,104,2384,0,75,173,43,0,0,0,27,328,0,136,242,57,5,0,0,32,467,0,119,161,212,3,0,0,37,540,0,83,327,117,5,3,0,22,562,0,0,0,0,0,0,0,0,0,9,418,906,436,12,3,0,116,1890,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,10,12,638,2145,2805,1328,333,40,303,7602
POA6152,3,36,383,2003,2405,527,120,170,5638,4,120,1254,791,111,10,0,115,2406,0,20,324,1044,215,22,4,48,1674,4,144,1577,1831,325,31,7,163,4087,0,56,370,138,32,3,7,39,643,0,77,241,37,0,0,0,18,369,0,23,38,25,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,157,652,203,34,3,7,59,1111,0,0,0,0,0,0,0,0,0,0,6,3,6,0,0,0,0,16,4,341,2613,4046,2762,557,130,401,10850
POA6153,0,23,305,2056,2466,666,115,111,5751,4,37,289,611,140,22,7,39,1138,0,0,85,298,167,27,0,18,597,4,41,365,907,306,54,5,52,1732,0,11,164,52,0,0,0,14,240,0,27,71,12,0,0,0,11,117,0,62,157,130,5,0,0,36,393,0,49,104,19,0,0,0,7,182,0,0,5,0,0,0,0,0,6,6,155,503,207,5,0,0,69,934,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,8,216,1175,3172,2779,717,126,236,8431
POA6154,0,13,117,1016,1410,262,43,49,2911,4,21,417,392,39,6,3,30,907,0,15,32,62,28,0,0,5,134,4,34,452,452,67,8,3,32,1046,0,8,23,7,0,0,0,3,38,0,4,10,3,0,0,0,0,12,0,18,21,3,0,0,0,8,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,61,8,0,0,0,5,107,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,74,625,1475,1483,266,48,90,4065
POA6155,6,42,145,3078,10357,1447,246,307,15635,0,23,105,478,76,4,0,26,715,0,0,21,25,27,7,0,4,86,0,28,122,501,103,7,3,29,793,0,31,101,251,13,0,0,9,415,0,0,4,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,16,0,39,114,247,11,4,6,11,444,0,5,0,5,0,0,0,0,9,0,5,0,4,0,0,0,4,13,8,110,390,3834,10474,1461,257,351,16893
POA6156,4,31,404,2286,2033,420,71,156,5413,0,56,443,417,48,0,0,53,1021,0,0,63,190,66,17,0,10,342,0,56,505,609,108,19,9,65,1364,0,17,87,7,0,0,0,3,117,0,24,62,8,0,0,0,3,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,43,157,17,3,0,0,10,224,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,8,9,128,1066,2903,2146,443,79,236,7020
POA6157,5,21,341,1839,1302,157,43,92,3802,3,42,891,793,82,7,0,76,1896,0,16,26,83,32,5,0,3,167,3,57,922,879,115,14,0,76,2063,3,68,82,4,5,0,0,20,181,0,30,92,14,0,0,0,10,151,0,3,21,3,5,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,3,103,192,25,14,0,0,30,372,0,0,0,0,0,0,0,3,3,0,0,5,8,11,0,0,0,25,13,182,1457,2750,1442,167,46,204,6262
POA6158,4,17,188,807,699,194,34,46,1982,0,11,87,108,9,6,0,9,233,0,3,90,200,28,3,0,9,335,0,12,183,305,38,8,0,21,570,0,16,24,12,0,0,0,8,60,0,39,97,17,0,0,0,11,163,3,35,102,41,0,0,0,7,182,0,0,30,4,0,0,0,0,35,0,0,0,0,0,0,0,0,4,4,89,250,77,0,0,0,23,449,0,4,7,0,0,0,0,3,18,0,0,0,0,0,0,0,0,3,8,120,630,1197,736,201,34,93,3022
POA6159,3,16,82,246,147,24,0,10,532,0,6,51,36,7,3,0,9,111,9,64,120,220,18,3,0,26,460,9,76,164,260,28,7,0,28,567,0,4,9,0,0,0,0,6,18,0,10,38,35,7,0,0,0,87,12,103,248,140,13,0,0,25,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,109,294,183,20,0,0,25,648,0,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,0,0,28,191,539,692,199,31,0,78,1762
POA6160,5,47,330,825,335,66,21,50,1679,8,53,342,199,27,0,0,25,654,0,81,268,266,51,0,0,55,731,5,135,608,467,76,9,4,80,1387,3,89,98,12,4,3,3,28,244,6,61,160,41,0,0,0,36,306,27,243,276,39,0,0,0,75,663,0,33,25,0,0,0,0,7,69,0,4,0,0,4,0,0,0,6,29,430,565,96,6,3,8,141,1282,0,3,3,3,0,0,0,79,89,6,4,3,4,3,0,0,7,22,43,613,1510,1402,425,72,35,358,4461
POA6161,0,7,23,30,4,0,9,5,73,0,5,31,14,3,0,0,5,57,0,0,0,0,0,0,0,0,0,0,5,31,14,3,0,0,5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,24,31,0,0,7,5,0,0,0,3,20,0,21,55,45,9,0,3,45,184
POA6162,3,85,509,1819,950,132,33,119,3656,3,68,235,138,26,0,0,35,505,0,22,96,159,26,3,0,20,320,9,86,327,297,52,3,0,54,818,0,48,48,9,0,0,0,7,115,3,59,95,37,0,0,0,20,219,0,23,13,12,0,0,0,6,49,0,0,0,0,0,0,0,0,0,3,8,3,7,4,0,0,4,32,7,142,157,67,4,0,4,38,412,33,73,51,9,4,0,0,15,188,0,6,0,5,0,0,0,0,15,48,390,1048,2190,1013,145,37,224,5087
POA6163,25,172,1027,7601,6680,898,139,584,17137,0,350,1141,1319,135,12,3,225,3189,6,76,210,256,73,6,4,48,678,7,427,1357,1573,214,15,7,275,3867,0,79,327,82,3,0,0,34,532,0,95,299,113,0,0,0,41,552,3,158,266,72,3,0,0,21,528,0,13,98,25,0,0,0,12,141,7,13,14,18,12,4,0,0,61,7,363,1005,302,19,4,0,110,1818,0,0,4,0,0,0,0,13,19,0,7,11,8,0,0,0,9,35,45,974,3402,9483,6911,920,150,995,22871
POA6164,7,35,240,5489,12563,1128,167,511,20147,0,63,299,991,159,10,0,72,1584,0,33,105,231,14,0,0,29,407,0,99,398,1215,171,10,0,97,1991,0,73,171,20,0,0,0,20,279,0,105,211,25,0,0,0,20,371,0,118,342,14,0,0,0,37,503,0,53,109,0,0,0,0,3,163,0,6,10,0,3,0,0,0,28,0,354,847,59,3,0,0,85,1350,0,0,0,0,0,0,0,9,14,0,4,0,4,5,0,0,4,12,13,487,1485,6777,12738,1145,166,706,23517
POA6165,3,0,0,8,11,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,6,3,0,0,8,11,0,0,13,39
POA6166,8,15,80,994,2039,310,49,126,3627,0,7,23,82,14,0,0,12,139,0,5,0,5,13,5,0,0,23,0,6,24,88,22,5,0,17,163,0,4,20,6,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,6,0,0,0,0,34,12,60,122,28,5,0,0,81,305,0,0,0,0,0,0,0,0,6,19,90,252,1116,2069,313,49,221,4127
POA6167,14,96,490,3935,4065,371,69,482,9519,0,64,116,138,10,0,0,21,350,0,12,52,21,0,0,0,6,95,0,76,168,161,10,0,0,31,440,0,56,176,49,0,0,0,54,330,0,0,90,39,0,0,0,17,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,10,0,58,265,91,0,0,0,78,490,0,0,0,3,0,0,0,15,22,0,0,0,7,0,0,0,4,16,16,224,925,4197,4071,371,72,608,10486
POA6168,12,35,359,3724,3044,334,47,373,7921,6,147,540,445,15,0,0,93,1241,3,30,167,187,29,3,0,33,453,5,182,712,635,41,3,0,123,1691,4,56,348,124,18,0,0,49,605,0,25,95,0,0,0,0,8,125,0,60,175,63,3,0,0,23,318,0,0,15,14,0,0,0,0,34,0,0,3,0,0,0,0,0,11,4,141,632,199,22,0,0,82,1088,23,106,59,4,5,0,0,73,274,0,0,5,0,0,0,0,9,21,49,460,1763,4570,3114,334,47,663,10989
POA6169,11,62,439,4360,6653,734,112,526,12897,0,27,98,201,3,0,0,25,359,0,12,17,6,6,0,0,0,41,0,40,120,208,7,0,0,24,400,0,57,290,105,7,0,0,49,512,0,0,21,9,0,0,0,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,3,0,0,19,0,63,315,120,13,4,0,56,572,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,3,13,166,873,4692,6684,734,117,610,13883
POA6170,3,19,100,1763,3166,260,40,232,5583,0,9,44,72,4,0,0,3,135,0,0,0,0,0,0,0,0,7,0,9,40,77,4,0,0,9,141,0,6,20,0,0,0,0,4,26,0,15,52,0,0,0,0,9,77,0,3,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,80,0,0,0,0,12,114,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,4,7,50,225,1842,3171,260,40,253,5853
POA6171,3,113,434,2582,7904,626,102,485,12251,0,4,145,146,17,0,0,7,318,0,8,37,45,0,0,0,0,102,0,14,185,191,17,0,0,16,421,0,0,0,0,0,0,0,0,0,0,5,35,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,35,0,0,0,0,0,47,5,35,47,0,3,0,0,21,117,0,0,0,0,3,0,0,0,8,15,174,702,2778,7929,625,102,523,12845
POA6172,3,3,21,591,3215,283,41,197,4352,0,12,155,82,8,0,0,13,276,0,0,0,5,4,0,0,6,11,0,12,158,85,8,0,0,17,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,180,679,3220,287,37,209,4638
POA6173,0,4,20,392,2976,384,29,87,3891,0,0,0,16,11,0,0,0,29,0,0,4,6,0,0,0,0,13,0,0,8,18,11,0,0,0,38,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,28,416,2983,384,29,96,3944
POA6174,0,6,78,725,930,131,10,79,1952,0,0,4,20,3,0,0,5,37,0,0,5,4,0,0,0,0,7,0,0,12,24,3,0,0,5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,4,21,0,7,90,753,952,130,10,85,2020
POA6175,0,5,32,312,844,116,17,38,1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,32,312,848,116,17,41,1368
POA6176,0,3,8,146,426,62,17,30,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,6,146,426,62,17,33,692
POA6180,0,46,193,591,1306,108,24,73,2343,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,198,598,1313,108,24,72,2351
POA6181,0,0,0,12,92,31,7,4,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,92,31,7,7,151
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,8,13,29,88,187,39,16,32,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,7,4,0,0,0,3,0,0,0,9,10,14,31,86,189,38,16,30,416
POA6208,7,46,378,1506,2244,224,54,220,4676,0,24,144,66,0,0,0,25,257,0,0,15,3,0,0,0,3,23,0,24,156,69,4,0,0,28,286,0,3,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,9,12,75,25,3,3,0,0,21,141,0,0,4,0,0,0,0,3,6,23,146,568,1583,2245,224,53,275,5120
POA6209,5,51,135,167,252,51,20,54,733,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,45,22,4,0,0,0,21,91,0,0,0,0,0,0,0,0,0,6,93,156,166,251,53,23,82,837
POA6210,27,268,1586,8422,12556,1259,194,966,25276,9,371,1430,1468,67,9,5,238,3593,5,48,295,633,64,7,0,49,1103,13,418,1721,2096,137,19,5,290,4692,0,100,212,91,0,0,0,50,463,0,4,59,121,12,4,0,10,203,0,7,65,120,0,0,0,14,212,0,0,29,87,0,0,0,6,131,0,9,11,4,6,0,0,0,33,0,119,382,425,22,0,0,83,1036,16,57,52,9,0,0,0,91,224,0,5,14,8,5,0,0,8,37,52,870,3757,10960,12713,1276,201,1437,31272
POA6211,8,18,109,806,1713,206,25,88,2969,0,15,38,15,0,0,0,3,79,0,0,7,20,0,0,0,0,32,0,15,51,39,0,0,0,4,108,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,39,0,0,0,0,0,0,0,0,5,0,0,23,20,0,0,0,4,45,7,43,23,0,0,0,0,0,80,0,6,0,0,0,0,0,0,4,13,84,201,864,1719,203,25,96,3209
POA6213,3,10,35,105,62,14,9,29,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,16,40,106,61,16,7,29,284
