POA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA6391,8,109,117,125,35,163,50,10,56,44,9,54,24,0,27,13,0,13,266,159,425
POA6392,3,63,67,70,13,82,17,0,15,14,0,16,9,9,11,0,3,0,112,83,195
POA6393,3,7,10,14,6,17,9,0,7,8,0,8,5,0,6,0,0,0,36,14,49
POA6394,7,66,65,75,9,85,28,0,26,10,4,18,10,0,13,0,0,0,132,80,208
POA6395,4,225,230,190,41,234,64,3,68,61,9,69,32,0,35,18,0,18,373,281,656
POA6396,5,63,69,41,14,47,23,4,24,20,0,19,0,0,0,0,0,0,87,83,163
POA6397,0,11,16,13,7,20,3,0,3,0,0,6,0,0,0,0,0,0,21,20,40
POA6398,9,116,120,109,27,134,20,0,22,15,0,19,3,3,3,3,0,3,157,150,306
POA6401,95,1004,1097,942,170,1103,362,43,408,311,44,355,153,15,170,103,15,117,1963,1287,3252
POA6403,3,26,25,24,0,21,9,0,12,4,0,4,0,0,0,0,0,0,45,32,70
POA6405,7,34,38,29,10,38,8,0,14,23,3,23,5,0,5,3,0,3,77,46,124
POA6407,10,122,127,104,13,114,42,4,44,32,7,40,24,0,24,8,0,9,218,145,362
POA6409,3,57,61,41,12,52,19,5,23,18,0,21,4,3,5,3,0,3,91,83,165
POA6410,6,152,158,136,21,153,38,4,45,26,5,33,14,0,14,8,3,9,233,183,416
POA6411,5,11,7,15,6,19,12,3,13,4,3,4,0,0,0,0,0,0,39,17,53
POA6412,3,6,7,3,4,7,0,0,0,4,0,4,0,0,3,0,0,0,10,10,21
POA6413,0,7,8,10,0,15,4,0,3,0,0,0,0,0,0,0,0,0,16,13,30
POA6414,0,3,6,9,3,17,0,0,3,0,0,0,4,0,4,0,0,0,20,11,30
