POA_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
POA6512,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,3,5,0,0,3,0,0,0,4,3,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,22,10,34
POA6513,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,4,4,0,5,0,0,0,0,9,7,0,0,4,0,4,3,0,0,0,6,6,4,9,0,9,5,0,11,0,0,0,3,0,3,5,0,5,0,0,0,41,20,63
POA6514,3,6,12,0,0,10,0,6,6,5,10,16,6,26,36,3,12,16,16,4,22,27,4,30,14,12,22,15,7,24,3,5,7,3,6,10,23,12,27,9,5,13,3,0,10,0,0,0,12,4,20,21,0,19,5,3,12,172,129,298
POA6515,0,3,3,0,0,0,0,0,0,0,3,3,3,0,7,4,5,9,4,4,11,7,3,10,0,5,9,9,5,8,11,3,9,5,4,3,8,4,14,3,0,3,3,0,3,4,0,9,4,0,6,8,0,8,6,9,9,82,48,134
POA6516,10,15,23,0,8,13,4,12,18,9,29,33,14,48,58,9,22,34,58,18,72,31,27,59,30,31,58,42,13,51,25,21,42,25,15,39,48,18,69,37,0,36,44,6,53,17,6,23,41,12,51,89,3,93,11,19,29,542,318,862
POA6517,0,4,4,0,0,0,0,4,4,0,5,8,0,19,19,3,3,5,4,11,15,0,4,9,7,6,21,9,7,17,4,5,11,12,0,11,10,3,16,5,0,5,7,0,8,0,0,0,10,0,6,11,0,11,0,8,8,96,82,173
POA6518,0,0,0,0,0,0,4,0,3,0,5,5,3,11,15,3,0,4,3,3,9,6,8,12,0,3,3,3,6,10,5,11,10,0,3,5,0,3,8,3,0,3,0,0,0,0,0,0,5,5,4,13,0,13,0,7,7,52,59,109
POA6519,7,4,6,0,0,3,0,0,0,3,8,8,4,14,20,3,5,13,6,3,7,10,9,18,9,11,16,4,9,16,6,10,18,6,0,6,16,9,29,8,0,8,9,0,9,10,0,10,15,0,18,23,0,23,0,3,3,136,84,223
POA6521,0,0,3,0,0,0,0,0,0,0,4,5,0,6,6,0,0,0,4,7,13,3,7,3,0,6,4,3,0,3,6,8,10,7,4,8,17,4,17,10,0,10,3,0,6,9,0,9,3,4,7,12,0,12,0,3,5,83,40,120
POA6522,0,4,4,0,0,0,0,0,0,0,3,3,0,14,14,0,0,8,6,6,10,8,3,6,8,12,21,6,5,9,8,3,5,10,6,9,17,9,25,4,0,6,9,6,13,0,0,4,10,12,22,13,0,13,4,28,30,101,114,210
POA6525,11,29,45,0,8,5,7,16,25,12,48,58,28,95,125,33,79,112,88,47,133,65,46,111,53,53,108,62,30,101,51,26,77,39,35,77,104,28,130,67,11,80,53,12,64,40,0,45,74,28,105,152,6,158,24,58,81,973,653,1624
POA6528,0,3,3,0,0,0,0,0,0,0,3,3,0,6,7,0,5,6,16,3,16,7,3,4,7,4,16,6,11,15,11,3,13,6,0,14,7,3,13,3,0,4,4,0,6,0,0,0,3,0,3,20,0,20,4,7,7,97,57,155
POA6530,90,121,219,32,48,87,58,183,236,50,314,367,153,677,830,183,438,618,541,332,872,459,364,822,490,371,859,555,289,851,473,209,683,457,196,658,1029,332,1358,793,42,833,644,82,730,390,13,400,826,95,922,970,65,1036,108,197,304,8308,4368,12674
POA6532,19,26,44,4,7,14,6,17,21,8,32,39,32,78,108,35,55,91,101,38,138,76,46,121,66,52,121,90,52,140,74,45,118,88,38,130,226,57,281,209,11,222,171,23,188,108,3,111,227,19,242,301,17,314,19,29,50,1856,648,2498
POA6535,10,13,17,5,4,9,0,15,12,5,15,19,17,62,81,14,14,25,45,18,62,28,25,52,27,21,44,31,22,53,24,11,34,20,13,30,41,12,56,34,4,37,14,6,22,11,3,17,23,8,33,47,0,47,9,29,34,403,291,690
POA6536,7,22,24,0,0,0,0,7,12,0,22,27,14,39,54,12,37,53,36,66,104,34,53,87,28,58,88,30,55,87,20,31,52,14,17,32,39,52,99,26,26,54,17,34,55,10,15,24,25,40,61,42,0,47,7,34,42,371,607,981
POA6537,6,17,26,0,7,12,0,7,11,4,21,23,3,49,59,5,17,27,17,82,99,10,56,67,15,66,77,14,57,74,5,33,42,17,33,53,24,58,83,21,32,50,14,27,41,9,18,21,12,65,72,29,21,45,3,145,143,211,808,1018
POA6556,5,9,10,0,3,5,5,8,11,3,12,14,4,33,34,12,11,18,17,13,27,30,11,38,25,13,41,26,12,40,17,3,24,26,8,38,64,14,79,54,0,51,44,0,48,42,0,42,76,9,85,89,0,95,3,9,13,540,172,712
POA6558,4,0,7,4,0,4,6,4,4,0,9,6,5,11,15,4,0,6,14,3,17,3,3,15,5,0,12,12,4,18,7,3,13,10,0,12,30,3,37,27,0,27,9,5,13,15,0,15,15,4,16,36,0,36,10,5,10,217,58,276
POA6560,0,0,0,3,0,3,0,4,5,0,10,10,4,30,40,11,20,33,25,11,34,28,6,37,23,6,33,25,11,30,22,17,38,24,8,29,35,12,50,34,0,31,33,0,32,12,0,11,38,0,38,37,0,40,3,7,12,363,148,511
POA6562,5,0,5,0,0,3,0,7,12,5,7,14,5,14,17,9,13,17,29,3,32,15,5,23,30,6,33,27,4,30,21,9,26,15,4,14,43,13,49,26,0,26,17,4,23,15,0,15,48,7,49,65,6,64,8,3,8,379,104,486
POA6564,0,0,0,0,0,0,0,0,0,0,3,3,0,11,7,0,3,3,15,0,21,5,3,13,7,6,8,7,8,14,9,0,10,10,3,11,13,0,12,9,0,10,4,3,7,3,0,3,6,0,10,14,0,11,0,0,0,88,52,137
POA6566,13,14,28,5,10,9,4,22,22,5,27,31,18,93,121,24,47,66,75,34,112,75,37,113,63,38,100,67,13,83,42,23,64,47,20,69,94,23,113,62,4,68,60,0,61,29,0,32,50,13,68,119,4,122,19,22,39,884,439,1325
POA6567,0,0,4,0,0,5,0,4,4,0,5,5,6,7,16,3,5,4,11,0,8,8,6,10,5,3,10,20,7,20,4,0,3,3,0,7,15,5,17,11,0,11,9,0,9,4,0,3,8,6,10,21,0,22,0,0,0,128,53,176
POA6568,0,0,0,0,0,0,0,3,3,0,5,3,0,4,5,0,0,0,3,0,4,7,0,7,0,0,0,3,0,3,6,0,9,0,0,3,6,0,9,5,0,5,0,0,0,3,0,3,4,0,9,16,0,16,0,5,8,57,29,77
POA6569,0,0,0,0,0,0,0,0,0,0,5,5,0,3,3,0,3,3,4,3,11,3,0,3,3,7,5,6,5,8,4,3,7,7,0,3,4,0,10,8,0,8,6,0,6,0,0,0,8,0,10,17,0,18,4,3,5,67,32,103
POA6571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,5,3,0,3,0,0,0,15,10,27
POA6572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,18,4,17
POA6574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,5,3,0,3,0,0,0,0,0,0,3,0,3,7,0,7,0,0,0,19,4,27
POA6575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,7,0,4,4,0,3,3,0,0,4,0,0,0,0,0,0,3,3,4,3,0,0,0,0,0,0,0,0,3,0,3,8,0,8,0,0,0,20,18,41
POA6603,0,3,8,5,0,6,0,10,8,5,3,4,5,28,35,14,12,29,22,13,35,17,14,33,22,18,40,17,11,28,13,11,23,18,13,26,36,13,49,24,0,21,27,3,33,5,0,5,23,4,25,33,0,31,0,11,6,285,170,457
POA6605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,3,16
POA6606,0,0,0,0,0,0,0,6,6,3,0,0,0,11,11,0,0,3,0,6,10,4,5,8,4,0,6,3,0,6,0,0,0,0,0,0,7,0,7,5,0,5,0,0,0,0,0,0,5,0,5,4,0,4,0,3,3,39,27,65
POA6608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,4,0,5,3,6,0,6,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,3,4,0,4,4,0,4,0,0,4,25,17,42
POA6609,0,0,0,0,0,0,0,0,0,0,6,6,6,0,5,9,10,15,9,8,17,12,6,20,8,12,20,11,13,21,10,3,15,5,0,12,27,8,42,27,0,28,17,0,17,13,0,13,23,3,27,23,0,22,4,3,6,192,82,280
POA6612,4,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0,5,5,0,0,4,0,4,0,4,0,5,0,4,12,0,4,4,4,0,5,4,8,11,0,0,0,5,6,4,0,0,3,4,0,4,6,0,6,0,10,10,33,49,82
POA6613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,12,7,21
POA6614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5
POA6616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,13
POA6620,0,0,0,0,0,0,4,0,4,0,0,0,0,7,12,4,0,4,3,4,6,3,0,3,5,10,12,8,10,12,3,3,7,7,0,9,9,11,20,6,0,6,3,5,8,0,0,0,8,0,8,4,0,4,0,17,13,72,65,133
POA6623,0,3,3,0,0,0,3,8,9,0,9,9,0,14,17,0,7,8,10,4,9,7,10,13,12,8,13,8,10,19,8,8,11,4,10,14,18,9,21,4,0,8,9,0,3,9,0,9,3,3,9,14,0,14,5,15,23,117,103,222
POA6625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,4,0,5,4,0,4,0,0,0,16,3,22
POA6627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,4,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,15,9,25
POA6628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POA6630,0,8,8,3,5,3,5,4,10,0,13,9,0,21,21,0,8,12,5,7,15,5,14,16,5,11,17,5,11,18,10,3,12,0,9,7,6,8,16,11,0,11,12,5,15,7,0,3,8,0,12,16,0,16,3,10,12,98,145,241
POA6631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,9
POA6632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,17,6,25
POA6635,0,0,0,0,0,0,0,5,5,0,0,5,0,6,4,0,0,0,0,0,3,0,3,3,0,0,6,4,6,5,5,5,9,4,0,7,3,11,12,0,0,0,6,10,9,3,0,3,0,0,4,5,0,5,0,12,11,37,64,98
POA6638,4,4,9,0,3,3,0,0,4,0,4,3,3,10,14,3,8,8,8,15,20,3,5,9,4,12,18,6,7,18,0,3,6,3,12,13,9,16,25,7,0,7,0,9,12,0,0,0,3,13,20,6,3,12,0,27,25,71,143,216
POA6639,0,5,6,0,0,0,0,4,4,0,3,5,0,6,6,0,0,0,0,7,4,0,4,4,0,6,6,0,0,0,0,5,7,4,0,3,4,4,9,0,5,5,3,3,0,0,0,0,0,3,5,0,0,0,0,0,0,16,58,71
POA6640,0,6,6,0,7,3,0,4,4,0,21,21,4,21,22,0,15,15,6,3,9,0,5,5,0,12,12,3,8,11,3,7,8,0,4,10,0,9,7,0,4,4,0,5,5,4,0,3,0,9,9,4,5,3,0,4,4,20,133,157
POA6642,7,9,10,0,4,7,5,5,10,7,11,15,6,15,21,6,10,9,14,20,29,7,11,16,12,23,36,9,20,26,9,7,20,11,18,30,18,29,53,7,0,7,9,8,17,3,6,7,4,14,20,26,0,26,11,29,45,170,236,402
POA6646,0,0,4,0,0,0,6,0,7,0,3,3,9,3,7,5,0,0,6,0,6,5,9,9,4,8,10,4,3,10,3,3,7,4,3,6,5,18,20,3,0,3,0,6,6,0,0,3,3,3,6,5,0,5,0,9,10,56,78,134
POA6701,9,45,57,7,24,35,13,46,53,11,67,72,28,144,177,26,105,129,81,170,252,57,185,243,53,223,278,77,166,243,50,81,133,72,100,176,133,160,293,105,69,181,88,65,150,45,46,97,105,137,242,131,25,156,27,148,170,1120,2013,3131
POA6705,0,5,4,0,0,0,0,3,3,0,0,0,6,3,9,0,3,3,0,3,6,3,6,6,4,3,8,4,6,10,4,9,11,0,6,7,5,13,15,0,6,4,5,12,13,4,0,0,3,7,8,3,0,5,0,12,12,38,100,134
POA6707,10,40,48,0,10,10,0,18,18,6,30,34,10,76,85,11,59,71,23,112,141,34,114,142,39,147,183,36,140,174,34,64,96,40,98,138,92,144,233,85,64,148,50,68,120,44,29,78,92,153,241,133,41,171,9,79,93,743,1494,2233
POA6710,0,16,16,0,6,6,0,3,9,4,5,13,0,28,24,9,14,20,8,31,44,5,32,37,4,36,45,4,31,34,3,19,22,10,31,30,25,39,66,27,15,40,21,17,34,19,3,26,47,35,88,12,3,19,4,66,73,209,426,636
POA6712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,7
POA6713,5,6,11,0,0,0,0,0,0,3,0,3,0,3,3,3,0,4,0,8,11,0,5,5,5,8,14,7,9,11,6,7,14,8,10,13,18,14,35,26,3,27,40,9,45,32,0,30,142,11,153,40,0,40,0,18,18,317,120,438
POA6714,12,35,48,6,10,19,4,28,32,7,34,44,16,50,63,16,37,57,24,74,100,34,90,121,53,127,179,64,130,195,81,151,238,132,186,308,371,361,733,327,44,372,452,149,596,317,25,344,1413,260,1679,436,44,479,23,159,191,3787,2008,5794
POA6716,0,3,3,0,0,0,0,0,0,0,5,5,0,3,4,0,7,3,0,5,3,0,6,6,0,5,5,0,10,12,3,9,8,3,8,8,4,19,22,5,9,12,10,4,13,0,0,0,10,8,11,9,3,11,0,7,7,48,105,151
POA6718,0,6,0,0,0,0,5,5,17,9,8,8,4,8,16,13,4,18,14,10,23,18,3,27,19,4,24,9,13,26,9,6,10,12,3,16,18,11,22,11,0,11,7,3,5,9,0,10,5,0,9,6,0,10,0,0,3,169,81,251
POA6720,0,7,7,0,10,6,0,0,0,0,3,10,0,8,10,0,7,11,6,16,24,5,13,19,4,16,32,8,19,28,5,23,27,10,21,33,36,60,93,45,7,46,46,24,71,43,0,50,187,37,222,47,3,46,7,83,88,459,367,822
POA6721,0,32,37,0,8,8,0,12,11,0,28,29,6,19,26,0,23,28,3,40,46,0,45,56,9,55,65,9,61,67,15,73,85,21,52,77,64,189,254,69,24,89,129,79,203,95,16,110,422,167,590,99,12,114,16,112,129,972,1045,2013
POA6722,24,22,48,5,10,17,12,42,55,11,51,66,25,30,54,20,29,57,51,44,89,49,35,81,59,80,138,67,91,162,63,115,173,97,119,215,257,271,532,244,19,262,287,100,384,214,20,231,632,126,755,286,33,319,55,179,239,2465,1411,3875
POA6725,15,93,104,12,38,47,15,63,81,29,133,165,41,144,183,45,109,151,102,173,271,70,191,261,102,265,369,112,234,345,81,159,238,101,157,258,267,295,563,241,125,372,239,108,340,152,64,219,347,246,594,343,47,389,58,208,267,2388,2841,5231
POA6726,9,34,47,5,8,15,9,24,24,11,39,54,17,69,80,27,40,69,34,87,120,38,85,126,52,142,200,45,140,183,38,86,124,42,110,157,154,142,296,114,72,183,136,67,210,91,31,123,228,138,372,191,40,231,23,68,92,1278,1414,2692
POA6728,3,34,38,0,13,18,22,38,58,15,40,50,75,59,136,29,44,72,78,53,127,45,83,131,65,87,147,55,116,177,39,88,128,46,68,121,74,130,198,51,38,89,66,42,103,26,26,52,67,99,163,121,12,134,36,79,122,926,1134,2064
POA6740,9,12,16,3,3,6,10,7,13,4,18,28,4,20,31,14,13,19,23,15,34,27,15,42,26,35,56,14,25,42,11,19,38,9,21,31,26,48,76,10,23,33,13,15,28,8,8,13,11,26,42,27,6,29,11,38,49,264,372,631
POA6743,9,63,70,9,20,22,9,38,49,18,50,68,28,68,96,30,56,83,32,88,119,46,102,147,64,137,201,66,152,217,46,126,170,68,98,160,156,188,341,134,69,206,123,63,189,57,40,94,174,158,334,200,17,214,33,116,148,1293,1641,2932
POA6751,3,10,17,0,6,6,0,12,17,0,7,7,8,21,22,10,12,18,3,27,30,5,38,45,9,60,69,5,67,73,9,34,47,21,67,84,81,156,237,69,27,91,103,72,170,75,12,82,193,99,299,80,11,94,5,74,82,679,808,1487
POA6753,5,10,11,0,3,4,0,7,7,3,11,19,8,7,13,6,8,11,18,17,33,15,22,38,24,21,44,20,55,78,37,48,82,40,70,114,77,158,233,121,16,133,107,65,177,108,8,116,302,78,379,113,19,133,3,52,57,997,674,1673
POA6754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,7,7,0,4,4,6,10,11,8,7,22,24,53,75,8,0,8,37,21,54,30,0,29,75,24,96,41,3,42,0,6,5,235,139,373
POA6758,0,0,0,0,0,0,0,5,5,0,0,0,0,5,4,5,0,3,0,0,0,0,0,0,7,3,7,3,7,10,0,3,6,0,3,3,3,9,6,0,0,0,0,5,5,0,0,0,0,0,6,0,0,0,0,5,5,24,35,58
POA6760,0,7,7,0,4,4,0,8,8,0,4,7,10,8,17,3,0,3,7,21,27,0,25,32,13,21,30,9,13,22,0,11,15,0,10,9,0,16,16,4,4,3,0,13,11,0,5,5,6,10,12,4,0,4,8,15,20,61,200,261
POA6762,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,0,0,0,3,0,3,8,0,13,3,3,7,5,0,5,0,4,5,0,0,0,0,3,8,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,8,0,8,44,21,66
POA6765,0,0,0,0,5,6,0,19,21,5,16,22,23,14,38,10,9,21,32,9,42,37,18,53,25,18,49,18,19,39,8,24,32,21,22,37,21,38,61,22,10,26,23,17,37,10,0,11,12,18,27,46,0,43,0,45,50,313,313,628
POA6770,0,13,13,3,7,12,18,26,41,18,30,46,43,33,77,36,26,65,50,45,91,52,34,92,51,53,106,44,62,106,20,46,65,23,41,65,32,76,113,37,22,61,19,26,39,7,13,20,14,51,62,66,6,77,45,69,111,576,679,1256
