POA_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
POA6488,0,0,0,0,22,3,0,28,0,0,0,0,27,3,0,25,0,0,0,0,12,3,0,14,0,0,0,0,0,0,0,0,16,3,0,24,95,17,0,137
POA6489,0,0,0,0,19,0,0,20,0,0,0,0,16,5,0,24,0,0,0,0,9,4,0,11,0,0,0,0,0,0,0,0,11,0,0,13,58,12,0,91
POA6490,0,0,0,4,34,10,0,43,0,10,0,10,25,11,0,52,0,0,0,0,8,7,0,10,0,0,0,0,0,0,0,4,23,21,0,41,123,53,0,216
POA6501,5,23,0,27,118,9,0,154,0,11,0,12,84,0,0,104,0,5,0,5,44,0,0,47,0,0,0,0,10,0,0,13,135,55,6,199,517,44,0,760
POA6502,3,30,0,34,145,17,0,192,5,17,0,24,149,16,0,179,0,6,0,3,75,12,0,98,0,0,0,0,23,7,0,29,122,73,10,202,675,89,3,970
POA6503,20,54,0,73,254,25,0,352,0,26,0,28,244,33,0,298,0,13,0,16,139,17,0,172,0,0,0,0,27,0,0,27,315,123,15,457,1292,139,17,1905
POA6504,0,8,0,6,32,9,0,47,0,0,0,0,26,6,0,36,0,0,0,0,16,3,0,24,0,0,0,0,3,0,0,3,20,9,0,34,114,43,0,195
POA6505,4,3,0,5,16,0,0,19,0,0,0,0,10,0,0,15,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,23,6,0,30,60,8,0,94
POA6506,0,0,0,0,10,0,0,10,0,0,0,0,8,3,0,9,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,8,0,0,7,39,4,0,56
POA6507,0,9,0,14,93,35,0,141,0,3,0,3,53,7,0,63,0,0,0,0,29,0,0,30,0,0,0,0,7,0,0,6,90,28,0,120,348,209,5,677
POA6509,0,3,0,3,19,10,0,30,0,0,0,0,14,15,0,24,0,0,0,0,13,7,0,15,0,0,0,0,0,0,0,0,20,8,0,26,85,38,0,142
POA6510,10,35,0,41,223,40,0,306,3,28,0,33,176,26,0,240,0,10,0,10,98,14,0,121,0,0,0,0,35,8,0,43,230,119,10,353,1011,221,51,1636
POA6511,0,11,0,8,82,7,0,102,0,3,0,3,98,10,0,118,0,0,0,0,47,6,0,46,0,0,0,0,15,4,0,17,65,21,4,82,343,31,0,452
POA6512,0,3,0,3,19,5,0,24,0,0,0,0,9,0,0,12,0,0,0,0,9,0,0,9,0,0,0,0,5,0,0,5,12,3,0,16,50,4,0,78
POA6513,0,4,0,5,13,6,0,26,0,0,0,0,15,0,0,16,0,5,0,5,3,0,0,7,0,0,0,0,0,0,0,0,32,17,3,44,74,12,0,130
POA6514,4,10,0,14,108,10,0,135,0,15,0,15,132,11,0,156,4,0,0,4,62,4,0,70,0,0,0,0,6,10,0,14,51,37,4,89,407,57,0,556
POA6515,0,9,0,9,47,14,0,68,0,4,0,4,34,10,0,50,0,0,0,0,18,0,0,18,0,0,0,0,4,0,0,6,47,14,0,68,162,56,0,283
POA6516,4,25,0,30,293,21,0,336,0,23,0,23,349,35,0,404,0,5,0,5,121,22,0,146,0,0,0,0,31,10,0,43,224,84,14,327,1219,152,11,1707
POA6517,0,9,0,8,53,6,0,65,0,4,0,4,55,8,0,70,0,0,0,0,19,7,0,31,0,0,0,0,10,0,0,10,45,16,0,68,224,65,5,358
POA6518,0,9,0,9,36,7,0,50,0,0,0,0,31,0,0,29,0,0,0,0,15,6,0,23,0,0,0,0,3,5,0,5,23,10,0,30,136,37,0,212
POA6519,6,8,0,12,62,11,0,90,0,4,0,8,67,8,0,75,0,5,0,5,39,4,0,45,0,0,0,0,7,0,0,6,83,18,3,108,306,85,0,499
POA6521,0,3,0,3,44,0,0,56,0,0,0,0,40,13,0,58,0,0,0,0,23,8,0,30,0,0,0,0,3,0,0,3,45,18,5,62,228,34,9,332
POA6522,0,7,0,7,63,34,0,106,0,7,0,7,64,28,0,99,0,0,0,0,29,14,0,41,0,0,0,0,0,5,0,4,67,24,0,91,260,105,0,450
POA6525,23,61,6,90,505,82,0,673,3,57,0,60,598,85,0,741,4,5,0,7,330,51,0,388,0,0,0,0,72,10,0,81,483,168,23,675,2233,415,4,3332
POA6528,0,5,0,13,57,5,0,67,0,7,0,7,49,11,0,67,0,0,0,0,18,0,0,18,0,0,0,0,9,0,0,10,53,25,3,77,208,24,0,315
POA6530,164,558,11,736,3234,325,8,4307,32,440,6,474,2726,262,3,3461,9,84,0,88,1662,223,9,1975,0,6,0,9,634,137,5,783,4697,1832,290,6811,17180,2760,44,26787
POA6532,32,157,0,190,711,75,0,974,0,84,0,84,629,58,0,780,0,13,0,13,216,12,0,243,0,0,0,0,56,6,0,58,1127,399,62,1588,3373,453,13,5421
POA6535,6,40,0,48,228,40,0,317,0,27,0,28,274,49,0,348,0,0,0,0,136,23,0,161,0,0,0,0,50,5,0,60,183,85,11,274,982,199,0,1459
POA6536,3,44,0,50,384,73,3,515,0,42,0,43,498,69,0,608,0,6,0,10,191,27,0,224,0,0,0,0,29,6,0,38,222,120,6,353,1543,303,13,2205
POA6537,17,48,0,67,395,90,0,548,7,39,0,48,450,110,0,614,0,4,0,4,161,44,0,208,0,0,0,0,9,6,0,14,276,121,12,408,1559,410,16,2391
POA6556,17,44,0,55,260,9,0,333,0,33,0,31,162,3,0,196,0,3,0,3,58,10,0,73,0,0,0,0,23,0,0,23,299,120,21,437,1040,64,0,1544
POA6558,11,10,0,25,118,140,0,278,0,9,0,11,71,50,0,132,0,0,0,0,33,14,0,48,0,0,0,0,9,7,0,6,101,46,7,152,411,1879,0,2446
POA6560,8,23,0,29,180,6,0,221,0,19,0,19,130,15,0,160,0,0,0,3,73,12,0,93,0,0,0,0,12,0,0,15,180,71,4,253,743,99,0,1095
POA6562,8,21,0,35,124,11,0,165,0,18,0,18,173,18,0,208,0,0,0,0,76,3,0,82,0,0,0,0,10,0,0,12,186,77,14,276,700,97,0,1078
POA6564,0,10,0,13,39,5,0,60,0,9,0,7,47,3,0,56,0,0,0,0,13,0,0,16,0,0,0,0,4,0,0,4,37,20,4,55,188,22,0,264
POA6566,18,78,3,93,467,75,0,635,0,53,0,53,488,62,0,605,0,10,0,10,211,38,0,257,0,0,0,0,49,10,0,61,320,199,32,546,1848,343,0,2738
POA6567,0,7,0,10,63,21,0,95,0,3,0,4,65,13,0,78,0,0,0,0,36,3,0,41,0,0,0,0,4,0,0,4,46,22,0,67,264,57,0,394
POA6568,3,5,0,5,33,5,0,45,0,0,0,0,22,3,0,32,0,0,0,0,12,0,0,15,0,0,0,0,3,0,0,3,28,4,0,28,112,11,0,153
POA6569,3,3,0,9,27,4,0,31,0,3,0,3,21,3,0,31,0,0,0,0,16,4,0,14,0,0,0,0,5,0,0,5,41,10,0,48,121,23,0,196
POA6571,0,0,0,0,11,0,0,11,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,42,3,0,49
POA6572,0,5,0,3,9,0,0,12,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,17,24,3,0,44
POA6574,0,0,0,0,7,0,0,6,0,0,0,0,8,0,0,8,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,11,3,0,11,38,6,0,53
POA6575,0,0,0,0,14,0,0,16,0,0,0,0,16,0,0,14,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,21,0,0,31,52,9,0,87
POA6603,3,21,0,23,120,14,0,158,0,15,0,18,121,14,0,151,0,0,0,0,62,7,0,69,0,0,0,0,16,0,0,21,173,62,5,239,575,77,4,894
POA6605,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,8,16,7,0,33
POA6606,0,0,0,0,20,0,0,23,0,0,0,0,26,0,0,26,0,0,0,0,12,0,0,12,0,0,0,0,3,0,0,3,16,4,0,24,90,4,0,114
POA6608,0,3,0,4,10,14,0,32,0,6,0,6,8,0,0,16,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,15,5,0,23,51,26,0,108
POA6609,6,21,0,26,75,16,0,116,0,10,0,10,55,11,0,79,0,8,0,8,33,13,0,51,0,0,0,0,23,5,0,25,130,60,4,203,373,117,0,692
POA6612,0,0,0,0,32,5,0,37,0,0,0,0,24,5,0,33,0,0,0,0,7,4,0,15,0,0,0,0,5,0,0,8,16,3,0,23,112,29,0,160
POA6613,0,3,0,3,9,0,0,8,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,11,3,0,14,28,0,0,40
POA6614,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,13
POA6616,0,0,0,0,4,4,0,10,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,0,44
POA6620,6,5,0,10,91,66,0,170,0,6,0,6,33,22,0,65,0,0,0,0,15,3,0,22,0,0,0,0,6,4,0,8,124,27,5,151,406,357,5,921
POA6623,0,10,0,12,60,19,0,95,0,9,0,8,63,46,0,118,0,0,0,0,28,14,0,42,0,0,0,0,11,8,0,23,69,21,3,98,271,150,0,517
POA6625,0,0,0,0,5,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,7,0,0,9,31,0,0,39
POA6627,0,6,0,6,8,0,0,12,0,0,0,0,3,0,0,3,0,0,0,0,11,0,0,9,0,0,0,0,0,0,0,0,6,9,0,14,43,4,0,62
POA6628,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,9,0,0,11
POA6630,5,9,0,15,77,22,0,108,4,13,0,20,103,20,0,140,0,0,0,0,22,0,0,30,0,0,0,0,3,0,0,3,57,36,3,103,320,103,0,532
POA6631,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,12
POA6632,0,0,0,0,3,0,0,3,0,0,0,0,5,0,0,5,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,14,0,0,13,37,0,0,56
POA6635,3,4,0,11,59,87,0,152,4,6,0,11,32,20,0,58,0,0,0,0,9,0,0,17,0,0,0,0,0,0,0,4,106,26,8,138,328,561,0,1028
POA6638,0,7,0,12,129,106,0,240,3,11,3,15,84,39,0,137,0,0,0,0,16,7,0,24,0,0,0,0,7,0,0,3,124,29,3,155,493,585,0,1231
POA6639,0,4,0,4,44,23,0,73,0,0,0,0,40,4,0,47,0,0,0,0,16,9,0,22,0,0,0,0,0,0,0,0,8,8,0,15,123,140,0,276
POA6640,0,9,0,6,97,9,0,113,0,0,0,0,80,12,0,89,0,0,0,0,25,0,0,29,0,0,0,0,0,0,0,0,66,18,0,84,421,49,3,551
POA6642,9,23,0,35,229,97,0,363,0,16,0,16,135,44,0,197,0,3,0,3,34,15,0,47,0,0,0,0,0,0,0,0,279,89,14,388,1117,703,12,2213
POA6646,6,10,0,12,86,49,5,151,0,4,0,0,43,21,0,66,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,134,45,0,181,545,481,5,1216
POA6701,20,116,3,136,1098,143,4,1381,10,116,0,130,1341,150,0,1627,4,15,0,23,513,66,0,599,0,0,0,3,80,17,0,98,888,372,68,1325,4811,988,109,7235
POA6705,0,5,0,6,49,4,0,62,0,8,0,8,47,7,0,68,0,0,0,0,11,5,0,14,0,0,0,0,0,0,0,0,27,22,15,63,176,24,0,263
POA6707,21,95,0,120,829,56,4,997,0,108,3,110,1045,62,5,1216,0,8,0,8,379,23,0,416,0,0,0,0,39,4,0,44,748,289,46,1082,4039,342,44,5502
POA6710,0,22,0,20,274,85,4,382,0,19,4,25,273,79,0,374,0,3,5,4,87,18,0,108,0,0,0,0,5,0,0,11,242,76,36,353,1126,399,37,1908
POA6712,0,0,0,0,18,24,0,48,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,29,80,186,4,301
POA6713,8,18,0,24,127,17,0,178,0,17,0,17,51,13,0,78,0,0,0,0,16,5,0,29,0,0,0,0,0,0,0,0,287,60,10,358,521,116,4,999
POA6714,53,196,0,256,1424,651,19,2345,3,90,0,94,694,188,13,990,0,9,0,9,194,36,3,235,0,0,0,0,11,3,0,20,3756,681,175,4617,8545,4362,124,17640
POA6716,14,27,0,35,223,101,4,367,0,4,0,8,92,19,0,120,0,0,0,0,13,3,0,15,0,0,0,0,0,0,0,0,355,65,30,449,1154,588,14,2207
POA6718,3,6,0,13,81,21,0,119,0,16,0,16,48,9,0,72,0,0,0,0,23,5,0,29,0,0,0,0,0,0,0,0,95,107,20,217,410,266,0,891
POA6720,5,29,0,38,224,119,4,384,0,22,0,22,151,95,0,272,0,4,0,4,42,19,0,70,0,0,0,0,5,0,0,3,473,124,28,621,1230,642,12,2506
POA6721,21,53,0,76,569,175,4,823,0,36,0,39,383,89,0,509,0,7,0,7,104,25,0,131,0,0,0,0,8,0,0,10,944,207,58,1219,2788,906,32,4939
POA6722,43,117,0,164,931,356,4,1455,3,51,0,56,365,106,3,528,0,0,0,3,88,18,0,115,0,0,0,0,23,6,0,33,2082,436,117,2631,5179,2523,37,10370
POA6725,60,176,0,235,1772,288,3,2300,11,157,0,163,1796,170,8,2138,0,36,0,38,478,69,0,579,0,0,0,0,62,22,0,85,2049,733,140,2921,8222,1785,122,13054
POA6726,32,107,0,139,1018,271,0,1432,6,130,0,134,1153,224,4,1518,0,21,0,28,400,110,0,534,0,0,0,0,37,11,0,49,1056,429,76,1559,4869,1423,54,7911
POA6728,21,79,0,103,697,177,0,979,0,44,0,45,573,109,3,736,0,6,0,6,121,27,0,152,0,0,0,0,24,4,0,31,794,395,74,1269,3257,1230,31,5780
POA6740,4,33,0,36,231,88,0,361,0,13,0,13,166,48,0,226,0,0,0,0,40,12,0,52,0,0,0,0,0,0,0,3,249,190,17,463,1061,458,20,1997
POA6743,27,92,6,128,1088,146,3,1373,3,69,0,79,861,101,4,1043,0,8,0,8,157,39,0,205,0,0,0,0,20,11,0,28,1103,475,163,1741,4596,1042,111,7493
POA6751,32,57,0,92,825,375,5,1301,4,34,0,40,363,102,6,508,0,5,0,5,75,22,0,102,0,0,0,0,5,0,0,4,1341,248,78,1658,3963,2314,47,7978
POA6753,49,92,4,145,1062,572,14,1792,5,29,0,40,230,105,4,379,0,5,0,5,34,8,0,47,0,0,0,0,6,0,0,6,1991,412,115,2512,5901,3889,87,12394
POA6754,7,8,0,16,138,64,3,219,0,0,0,4,24,16,0,39,0,0,0,0,4,9,0,12,0,0,0,0,0,4,0,3,253,32,12,289,655,444,6,1395
POA6758,4,13,4,28,182,152,0,357,0,7,0,6,29,22,0,55,0,0,0,0,4,0,0,9,0,0,3,3,0,3,0,4,326,89,34,452,1089,1147,13,2698
POA6760,5,18,0,27,236,120,0,375,0,14,0,14,118,23,0,158,0,0,0,0,29,4,0,32,0,0,0,0,6,0,0,6,172,106,37,312,1072,778,13,2178
POA6762,0,24,0,27,94,51,0,172,0,9,0,9,12,5,0,24,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,172,116,36,326,560,366,5,1252
POA6765,13,34,0,44,177,54,0,276,0,9,0,14,145,35,3,198,0,6,0,6,28,9,0,44,0,0,0,0,4,0,0,4,295,166,35,496,925,266,4,1688
POA6770,14,48,3,60,405,97,0,561,0,29,6,34,359,85,0,474,0,5,0,5,83,22,0,111,0,5,0,0,6,9,0,12,395,401,162,952,1986,586,22,3547
