SED_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
SED51104,143,139,281,38,49,88,57,120,174,91,274,363,219,626,854,327,423,755,773,258,1031,715,391,1106,828,461,1291,1046,386,1432,855,309,1166,889,265,1150,2035,373,2409,1517,43,1558,1222,88,1313,689,9,692,1471,94,1565,2053,73,2129,147,144,289,15135,4511,19655
SED51205,142,238,378,56,80,136,74,204,281,73,347,424,213,841,1055,262,463,728,781,359,1136,690,479,1169,946,591,1539,980,480,1456,827,406,1235,866,264,1126,1898,437,2334,1370,132,1497,1029,143,1167,592,53,650,1200,139,1337,1136,223,1354,123,167,291,13253,6054,19303
SED51304,96,99,201,58,58,120,51,102,153,30,126,158,161,427,593,133,315,454,378,258,632,417,229,639,580,212,793,596,183,777,438,165,603,477,117,590,1159,242,1397,934,26,957,1107,86,1195,819,11,832,3537,132,3672,966,66,1030,94,95,193,12033,2959,14987
SED51401,108,158,267,57,60,113,62,196,256,63,339,407,198,1026,1226,236,496,735,786,289,1072,589,405,988,639,421,1064,724,327,1048,460,284,749,519,224,740,1054,385,1441,748,32,782,555,83,644,310,15,327,751,120,871,1176,44,1221,182,262,448,9223,5166,14393
SED51504,102,145,243,45,70,121,47,151,200,37,263,297,119,519,637,135,417,551,272,325,604,323,368,693,471,386,862,593,352,944,403,305,709,494,216,712,1005,458,1458,843,50,894,869,117,988,648,37,682,4393,283,4674,860,111,973,81,101,176,11738,4670,16413
SED51605,102,120,217,49,46,94,45,87,132,61,215,274,141,468,607,180,271,450,522,233,756,466,294,760,585,390,970,722,359,1079,613,329,944,670,257,930,1787,391,2178,1504,59,1563,1308,100,1406,864,16,880,2184,131,2312,1262,91,1355,79,117,197,13135,3968,17109
SED51706,100,150,250,60,44,105,48,144,188,54,344,403,252,852,1099,244,410,654,857,308,1163,657,338,999,768,354,1125,833,273,1105,569,235,809,650,215,868,1476,330,1804,1180,30,1212,990,104,1087,577,12,590,1207,98,1310,1387,59,1448,148,221,372,12062,4531,16594
SED51804,106,190,294,66,86,152,36,174,205,36,304,337,101,599,701,110,462,574,241,342,583,287,390,668,357,422,779,449,360,802,298,307,607,408,272,679,797,532,1322,680,48,730,723,202,922,548,28,572,5022,563,5588,986,120,1111,68,175,242,11303,5566,16871
SED51902,94,105,200,55,34,81,41,83,126,50,141,191,164,328,493,167,246,414,527,178,702,491,197,690,593,281,871,767,221,992,631,223,860,776,179,957,1718,265,1988,1358,30,1385,1204,74,1277,717,8,723,1906,80,1982,1520,71,1596,125,82,206,12909,2819,15729
SED52006,184,202,377,63,51,117,61,157,220,71,308,379,247,887,1134,274,600,872,1068,333,1407,867,335,1205,904,344,1254,877,217,1096,535,218,758,578,175,755,1186,315,1504,875,32,903,831,93,924,504,8,511,1358,114,1473,1555,67,1620,149,172,319,12189,4644,16828
SED52102,95,149,243,49,48,107,39,110,153,69,246,314,163,553,716,196,425,620,583,251,839,503,322,826,689,413,1102,789,336,1130,619,287,904,679,191,871,1530,344,1875,1232,47,1279,957,83,1042,571,7,583,1199,98,1298,1188,103,1289,127,175,302,11273,4212,15491
SED52205,103,229,335,45,92,136,68,276,345,74,543,615,208,1018,1223,213,567,783,576,394,965,545,531,1071,592,585,1179,618,498,1114,549,424,978,519,379,900,1227,692,1920,981,114,1092,933,215,1148,633,40,665,2195,322,2515,1020,249,1270,99,274,375,11192,7444,18632
SED52301,108,147,252,40,58,94,61,190,256,56,349,407,178,737,907,206,490,694,636,356,988,523,395,923,536,413,953,629,339,965,537,248,788,530,229,762,1214,365,1573,953,44,992,790,95,883,482,17,496,996,105,1103,1220,78,1299,119,220,339,9810,4867,14675
