SA1_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
50402105337,0,0,0,4,4,4,5,11,8,34,50,25,23,39,46,34,50,78,79,418
50402105338,0,0,5,6,3,0,0,0,4,23,42,40,21,24,48,34,44,35,7,309
50402105401,3,5,7,5,0,8,5,3,0,33,52,34,42,48,36,46,44,19,6,309
50402105402,3,4,3,0,8,5,7,9,5,54,30,20,19,19,33,33,40,38,30,258
50402105403,3,5,9,0,5,0,0,4,0,28,90,51,78,60,60,50,33,17,3,434
50402105404,3,9,3,3,4,4,0,4,0,28,84,60,46,42,63,61,56,10,0,438
50402105405,8,4,6,0,3,6,0,0,0,31,40,30,24,28,41,37,21,14,0,243
50402105406,5,0,3,4,3,4,0,0,0,23,24,17,27,33,27,30,32,11,11,208
50402105407,3,4,0,0,3,7,4,0,6,26,71,78,48,55,71,88,76,48,16,548
50402105408,7,8,3,5,3,3,4,0,0,34,77,57,52,65,59,63,66,49,13,496
50402105409,4,4,3,9,0,3,0,0,5,35,52,33,43,49,51,49,59,31,14,380
50402105410,6,3,0,0,3,6,0,0,3,23,29,18,28,14,27,26,28,31,32,234
50402105411,4,3,4,3,6,7,5,4,0,31,64,48,40,48,49,65,55,17,3,395
50402105412,0,3,4,7,6,3,0,3,0,32,41,27,31,27,33,39,30,17,16,261
50402105413,17,5,10,4,6,4,3,0,0,67,81,51,40,51,61,32,33,16,10,383
50402105414,6,5,0,5,6,0,3,6,0,22,27,15,19,21,31,37,27,21,4,203
50402105415,0,4,0,0,5,3,5,3,6,32,66,57,37,41,84,100,87,46,17,537
50402105416,6,0,0,0,5,0,0,4,4,25,87,51,35,54,66,72,62,43,11,489
50402105417,6,11,8,9,11,5,0,0,0,47,37,44,41,32,35,50,59,29,11,336
50402105418,0,5,0,0,5,5,0,0,0,22,50,21,27,30,28,30,31,9,4,234
50402105419,5,8,8,3,8,5,7,0,3,41,75,56,76,49,52,56,48,24,8,437
50402105420,10,6,3,8,10,5,0,0,0,36,81,47,50,56,47,26,37,22,4,383
50402105421,13,4,6,0,0,5,3,9,14,51,68,22,61,35,55,56,66,105,95,558
50402105422,9,0,0,6,5,5,0,0,4,30,76,46,34,62,55,63,47,24,8,413
50402105423,9,4,7,5,0,4,0,0,0,30,112,56,64,65,57,62,41,42,8,509
50402105424,4,5,9,0,4,5,3,0,0,32,50,44,40,39,35,36,21,16,4,293
50402105425,0,5,5,5,9,5,6,0,0,28,65,41,30,50,53,67,77,23,6,412
50402105426,3,5,4,8,4,8,6,0,0,29,92,46,66,62,51,62,48,22,3,453
50402105427,13,11,8,15,7,14,3,0,0,64,70,56,59,61,50,75,56,27,3,461
50402105428,6,5,0,11,11,9,0,0,0,41,110,65,72,69,81,94,53,37,6,594
