IARE_CODE_2021,Rel_a_SecB_OSB_NRA_No_In_F,Rel_a_SecB_OSB_NRA_No_In_P,Rel_a_SecB_OSB_NRA_In_st_nsM,Rel_a_SecB_OSB_NRA_In_st_nsF,Rel_a_SecB_OSB_NRA_In_st_nsP,Rel_a_SecB_OSB_NRA_TotM,Rel_a_SecB_OSB_NRA_TotF,Rel_a_SecB_OSB_NRA_TotP,Rel_a_Rel_a_ns_Ind_M,Rel_a_Rel_a_ns_Ind_F,Rel_a_Rel_a_ns_Ind_P,Rel_a_Rel_a_ns_No_In_M,Rel_a_Rel_a_ns_No_In_F,Rel_a_Rel_a_ns_No_In_P,Rel_a_Rel_a_ns_In_st_nsM,Rel_a_Rel_a_ns_In_st_nsF,Rel_a_Rel_a_ns_In_st_nsP,Rel_a_Rel_a_ns_TotM,Rel_a_Rel_a_ns_TotF,Rel_a_Rel_a_ns_TotP,APAEI_0_4_Ind_M,APAEI_0_4_Ind_F,APAEI_0_4_Ind_P,APAEI_0_4_No_Ind_M,APAEI_0_4_No_Ind_F,APAEI_0_4_No_Ind_P,APAEI_0_4_In_st_nsM,APAEI_0_4_In_st_nsF,APAEI_0_4_In_st_nsP,APAEI_0_4_TotM,APAEI_0_4_TotF,APAEI_0_4_TotP,APAEI_5_14_Ind_M,APAEI_5_14_Ind_F,APAEI_5_14_Ind_P,APAEI_5_14_No_In_M,APAEI_5_14_No_In_F,APAEI_5_14_No_In_P,APAEI_5_14_In_st_nsM,APAEI_5_14_In_st_nsF,APAEI_5_14_In_st_nsP,APAEI_5_14_TotM,APAEI_5_14_TotF,APAEI_5_14_TotP,APAEI_15_19_Ind_M,APAEI_15_19_Ind_F,APAEI_15_19_Ind_P,APAEI_15_19_No_In_M,APAEI_15_19_No_In_F,APAEI_15_19_No_In_P,APAEI_15_19_i_st_nsM,APAEI_15_19_i_st_nsF,APAEI_15_19_i_st_nsP,APAEI_15_19_TotM,APAEI_15_19_TotF,APAEI_15_19_TotP,APAEI_20_24_Ind_M,APAEI_20_24_Ind_F,APAEI_20_24_Ind_P,APAEI_20_24_No_Ind_M,APAEI_20_24_No_Ind_F,APAEI_20_24_No_Ind_P,APAEI_20_24_In_st_nsM,APAEI_20_24_In_st_nsF,APAEI_20_24_In_st_nsP,APAEI_20_24_TotM,APAEI_20_24_TotF,APAEI_20_24_TotP,APAEI_25ov_Ind_M,APAEI_25ov_Ind_F,APAEI_25ov_Ind_P,APAEI_25ov_No_Ind_M,APAEI_25ov_No_Ind_F,APAEI_25ov_No_Ind_P,APAEI_25ov_In_st_nsM,APAEI_25ov_In_st_nsF,APAEI_25ov_In_st_nsP,APAEI_25ov_TotM,APAEI_25ov_TotF,APAEI_25ov_TotP,HYSC_Y12_e_Ind_M,HYSC_Y12_e_Ind_F,HYSC_Y12_e_Ind_P,HYSC_Y12_e_No_In_M,HYSC_Y12_e_No_In_F,HYSC_Y12_e_No_In_P,HYSC_Y12_e_In_st_nsM,HYSC_Y12_e_In_st_nsF,HYSC_Y12_e_In_st_nsP,HYSC_Y12_e_TotM,HYSC_Y12_e_TotF,HYSC_Y12_e_TotP,HYSC_Y11_e_Ind_M,HYSC_Y11_e_Ind_F,HYSC_Y11_e_Ind_P,HYSC_Y11_e_No_In_M,HYSC_Y11_e_No_In_F,HYSC_Y11_e_No_In_P,HYSC_Y11_e_In_s_nsM,HYSC_Y11_e_In_s_nsF,HYSC_Y11_e_In_s_nsP,HYSC_Y11_e_TotM,HYSC_Y11_e_TotF,HYSC_Y11_e_TotP,HYSC_Y10_e_Ind_M,HYSC_Y10_e_Ind_F,HYSC_Y10_e_Ind_P,HYSC_Y10_e_No_In_M,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,Tpe_ur_occ_pvte_dwg_Sh_Indi_M,Tpe_ur_occ_pvte_dwg_Sh_Indi_F,Tpe_ur_occ_pvte_dwg_Sh_Indi_P,Tpe_ur_occ_pte_dw_Sh_No_Ind_M,Tpe_ur_occ_pte_dw_Sh_No_Ind_F,Tpe_ur_occ_pte_dw_Sh_No_Ind_P,T_ur_occ_pte_dw_Sh_In_st_nsM,T_ur_occ_pte_dw_Sh_In_st_nsF,T_ur_occ_pte_dw_Sh_In_st_nsP,Tpe_ur_occ_pvte_dwg_Sh_TotM,Tpe_ur_occ_pvte_dwg_Sh_TotF,Tpe_ur_occ_pvte_dwg_Sh_TotP,T_ur_oc_p_dw_im_h_t_s_o_In_M,T_ur_oc_p_dw_im_h_t_s_o_In_F,T_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,T_ur_o_p_d_I_h_t_s_o_i_s_nsM,T_ur_o_p_d_I_h_t_s_o_i_s_nsF,T_ur_o_p_d_I_h_t_s_o_i_s_nsP,T_ur_o_p_d_I_h_t_s_o_TotM,T_ur_o_p_d_I_h_t_s_o_TotF,T_ur_o_p_d_I_h_t_s_o_TotP,Ty_ur_oc_p_dw_Ot_p_dw_In_M,Ty_ur_oc_p_dw_Ot_p_dw_In_F,Ty_ur_oc_p_dw_Ot_p_dw_In_P,Ty_ur_o_pr_d_Ot_pr_d_No_In_M,Ty_ur_o_pr_d_Ot_pr_d_No_In_F,Ty_ur_o_pr_d_Ot_pr_d_No_In_P,Ty_ur_o_p_d_O_p_d_In_st_nsM,Ty_ur_o_p_d_O_p_d_In_st_nsF,Ty_ur_o_p_d_O_p_d_In_st_nsP,Ty_ur_oc_pr_dw_Ot_pr_dw_TotM,Ty_ur_oc_pr_dw_Ot_pr_dw_TotF,Ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP
IARE507004,9569,19594,49,55,105,10347,9869,20212,19,11,25,592,560,1153,1066,900,1958,1671,1466,3140,20,3,24,258,263,527,0,4,4,272,276,548,107,101,210,2574,2414,4991,10,18,31,2698,2532,5230,23,28,46,800,743,1542,3,10,11,828,778,1603,3,5,5,137,152,285,0,0,0,137,157,290,3,18,22,288,780,1069,0,0,0,288,803,1094,85,103,192,7174,8581,15749,37,37,74,7290,8719,16015,36,34,66,1796,1837,3634,4,13,21,1835,1887,3721,68,65,130,4021,4097,8118,13,24,38,4108,4184,8289,22,23,51,813,694,1509,9,10,19,846,729,1577,15,3,20,439,438,879,5,8,8,457,448,909,0,3,4,68,39,114,0,0,0,69,45,114,358,331,685,14989,16318,31309,589,661,1247,15932,17309,33244,0,0,0,16,10,25,0,0,3,14,14,27,18,24,48,1216,1498,2707,108,117,224,1339,1637,2981,372,360,737,16215,17819,34036,695,777,1473,17288,18964,36251
IARE507005,1276,2951,20,11,37,1796,1372,3161,10,9,22,106,95,203,578,398,976,694,506,1197,6,0,4,45,39,86,0,0,0,49,42,94,27,35,62,371,333,707,3,0,7,400,376,772,11,9,18,82,86,170,3,0,5,95,91,192,0,4,3,25,21,46,0,0,0,26,27,50,0,4,4,36,81,119,0,0,0,40,87,123,29,36,68,1217,1203,2426,6,9,14,1258,1245,2504,16,16,26,354,317,675,8,0,7,374,333,709,41,38,80,885,703,1588,7,3,16,943,739,1684,13,8,20,201,152,350,3,0,3,222,155,379,12,4,13,147,105,251,3,3,7,161,111,272,0,0,0,7,3,13,0,0,0,7,3,13,146,134,281,2825,2634,5458,364,325,686,3338,3089,6429,0,0,0,4,0,4,0,0,0,4,0,4,13,9,22,87,89,174,33,17,54,132,119,254,159,148,302,2914,2721,5636,401,342,741,3472,3216,6683
IARE507006,6228,13048,27,25,54,7139,6515,13655,13,26,37,385,327,716,713,496,1211,1116,845,1962,14,10,20,256,206,458,0,5,3,271,213,485,115,91,208,1985,1828,3809,13,12,20,2109,1926,4038,28,29,55,610,629,1240,4,0,3,647,659,1300,5,0,7,88,119,206,0,0,0,90,124,216,3,19,25,197,477,673,0,0,3,200,496,697,75,76,150,4228,5189,9413,14,21,36,4311,5285,9596,37,51,93,1394,1430,2823,5,5,8,1439,1491,2923,95,92,188,3384,3058,6436,16,20,33,3488,3169,6656,30,25,61,679,547,1223,9,5,11,715,578,1296,8,0,4,336,311,648,8,7,12,344,321,663,0,0,0,24,24,47,0,0,0,27,25,54,372,367,743,11734,12105,23841,386,397,778,12494,12868,25364,0,0,0,16,6,21,9,0,13,28,6,29,9,12,21,366,473,843,58,55,117,441,542,984,386,375,762,12124,12586,24706,453,455,904,12961,13420,26377
IARE507007,1393,3170,14,13,27,1880,1512,3391,19,15,29,106,78,190,389,339,728,513,433,948,3,5,9,45,51,97,0,0,0,45,56,107,48,43,93,358,364,724,7,0,8,408,415,822,3,10,12,63,69,134,0,0,0,65,81,148,0,0,0,7,26,39,0,0,0,7,26,39,0,0,5,22,83,101,0,0,0,24,83,107,17,31,45,1350,1325,2671,8,8,14,1368,1362,2734,7,15,21,292,297,586,0,4,7,297,313,615,43,66,112,842,659,1501,11,3,14,899,734,1625,14,17,35,178,141,321,0,3,0,201,158,357,7,14,19,141,71,217,5,0,3,152,92,244,4,0,4,8,7,15,0,0,0,7,8,18,144,190,332,2988,2695,5683,342,310,653,3477,3194,6673,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,65,65,131,9,8,18,85,79,163,159,191,348,3057,2764,5813,349,322,669,3556,3271,6836
IARE507008,1286,2844,10,10,24,1677,1408,3076,19,16,35,117,94,210,284,277,558,418,382,803,3,5,7,48,32,81,0,0,0,53,35,90,39,49,87,383,380,763,5,6,14,427,433,860,5,16,16,66,65,125,0,0,0,66,72,144,0,0,0,9,24,36,0,0,0,9,25,35,0,3,5,20,98,118,0,0,0,18,102,122,23,33,56,1211,1253,2468,6,8,5,1238,1288,2522,10,16,28,244,237,484,3,0,0,259,254,510,47,45,91,716,530,1240,6,9,14,762,579,1344,15,12,32,159,75,234,0,0,3,175,91,264,15,13,23,107,66,168,0,0,0,119,73,191,3,0,6,8,4,15,0,0,0,10,10,16,166,185,353,2766,2446,5213,249,259,506,3181,2893,6070,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,58,64,122,14,8,23,75,72,149,171,187,363,2819,2513,5330,268,264,532,3260,2971,6228
IARE507009,21026,43020,115,105,217,22980,22067,45044,60,47,104,1376,1464,2839,2577,1943,4525,4010,3456,7466,39,36,83,675,660,1337,7,0,5,723,698,1419,348,355,709,5138,5084,10228,27,29,59,5514,5471,10984,83,101,183,1775,1847,3620,7,8,14,1863,1960,3825,18,29,44,513,716,1227,0,0,7,533,740,1275,20,33,55,729,1751,2478,0,11,11,750,1794,2542,248,312,557,15216,18097,33313,71,79,148,15534,18479,34018,133,130,258,4427,4903,9330,22,25,44,4582,5052,9634,271,303,568,10774,11397,22171,65,67,131,11113,11767,22878,90,84,175,2493,2370,4862,32,19,44,2614,2476,5081,34,34,69,1349,1316,2662,22,17,39,1398,1365,2761,14,10,18,118,111,228,0,5,3,132,120,247,1125,1207,2337,35232,38863,74100,1256,1346,2602,37613,41422,79031,0,0,0,10,5,17,0,0,0,10,9,17,94,108,199,3871,4927,8799,285,303,593,4251,5340,9590,1215,1319,2533,39114,43804,82914,1537,1654,3188,41869,46772,88643
IARE507010,4974,10341,60,33,95,5609,5199,10809,18,13,30,443,368,808,816,743,1562,1273,1121,2399,13,0,17,123,98,221,0,0,0,131,104,236,62,66,134,1083,975,2059,13,13,29,1160,1057,2220,20,30,49,386,383,765,7,7,15,413,424,831,0,0,3,40,38,80,0,0,0,49,45,84,8,7,15,107,290,402,4,3,5,115,301,420,51,67,115,3352,4051,7398,20,33,57,3426,4149,7571,18,31,53,842,936,1781,10,8,22,876,981,1853,65,69,131,2384,1948,4330,20,12,36,2468,2025,4497,19,18,39,542,403,943,4,6,8,570,414,990,10,4,14,293,238,527,4,4,15,312,248,557,0,0,0,69,41,118,3,0,4,74,43,119,215,247,471,7813,7944,15762,673,651,1330,8709,8850,17555,0,0,0,11,10,12,0,0,0,11,10,12,23,14,39,342,388,730,33,36,67,396,442,839,241,266,507,8164,8344,16508,706,694,1400,9117,9300,18416
IARE507011,3489,7695,53,38,94,4463,3710,8167,46,43,92,289,238,521,809,610,1421,1147,886,2027,4,4,6,94,90,184,0,0,5,105,96,194,88,92,174,855,820,1679,19,13,32,960,927,1885,38,25,62,272,274,546,8,4,7,318,300,612,0,0,0,49,75,125,0,0,3,53,75,129,7,6,12,73,221,300,0,3,3,85,233,316,54,73,131,2658,3142,5799,29,24,47,2740,3238,5980,40,37,81,813,761,1570,13,6,24,869,812,1680,90,67,155,2287,1829,4116,32,19,52,2411,1917,4326,26,20,45,478,334,813,5,3,6,506,351,865,15,12,27,270,166,437,5,3,5,290,180,470,0,0,0,32,29,66,0,0,0,32,31,66,269,283,548,6806,6720,13526,568,533,1101,7638,7532,15171,0,0,0,31,20,54,6,0,7,36,22,60,15,25,42,181,176,356,38,26,67,237,228,466,286,306,588,7017,6920,13933,616,563,1175,7918,7783,15700
IARE507012,3673,7659,27,26,55,4185,3865,8053,6,0,13,261,254,518,584,491,1073,848,754,1604,3,8,12,105,107,210,0,0,0,107,113,221,61,50,112,994,970,1959,8,10,19,1061,1029,2096,27,24,49,255,320,577,3,5,10,291,348,635,0,10,13,49,66,116,0,0,0,53,71,128,0,9,8,77,268,347,0,0,0,77,279,359,48,60,108,2086,2525,4613,15,14,30,2150,2599,4755,43,33,81,773,909,1686,3,10,16,823,956,1775,60,62,122,2122,1942,4061,11,9,23,2195,2013,4208,26,16,37,486,404,888,4,6,8,513,425,941,14,6,19,285,233,518,9,8,15,303,249,550,7,0,7,14,10,27,0,0,0,17,11,30,251,231,482,6429,6828,13255,366,402,771,7044,7459,14503,0,0,0,12,15,26,0,4,6,19,18,35,10,15,30,301,317,616,48,54,107,363,385,754,260,245,508,6746,7158,13905,415,461,879,7431,7861,15290
IARE507013,2276,5015,28,27,55,2985,2505,5493,26,22,54,220,180,401,635,596,1235,884,803,1689,0,5,8,67,69,131,0,0,0,67,72,142,75,69,136,681,631,1309,11,14,20,762,707,1469,17,27,49,207,206,410,5,3,3,226,239,464,0,6,3,49,60,107,0,0,0,46,64,113,0,10,12,65,200,267,0,0,0,69,209,281,60,73,132,2038,2284,4318,19,17,29,2113,2369,4483,40,45,81,558,598,1153,9,3,17,610,647,1255,76,93,168,1410,1202,2612,17,20,36,1497,1315,2811,22,28,51,369,277,643,9,4,11,396,305,702,23,12,32,260,194,449,5,10,10,286,207,496,3,3,6,82,66,146,0,0,0,86,71,151,309,313,626,5138,5027,10167,544,555,1099,5989,5894,11889,0,0,0,0,3,6,0,0,0,0,3,6,23,21,46,216,216,434,48,45,89,291,287,575,335,338,669,5358,5250,10610,593,599,1193,6283,6185,12473
IARE507014,1167,2419,3,0,3,1397,1296,2696,14,14,27,78,81,160,336,305,642,432,405,828,11,4,16,34,38,78,0,0,0,45,47,89,63,68,131,324,314,644,0,0,0,390,388,776,19,17,34,119,107,231,0,0,0,137,129,266,0,0,0,16,25,42,0,0,0,21,28,48,3,6,6,30,96,126,0,0,0,32,99,133,45,27,73,818,1012,1833,4,4,4,874,1045,1912,22,30,58,250,317,568,0,3,3,282,349,627,51,77,130,712,675,1392,4,4,9,766,760,1530,17,28,45,180,141,322,0,0,0,198,169,368,8,11,19,110,112,222,0,4,6,127,119,249,0,0,5,13,5,25,0,0,6,14,8,27,223,247,474,2294,2529,4822,250,256,509,2773,3029,5805,0,0,0,0,0,0,0,0,0,0,0,0,14,20,36,112,117,233,20,21,43,150,161,313,239,267,505,2408,2645,5053,275,282,552,2923,3197,6119
IARE507015,17657,36513,105,106,209,19566,18363,37934,50,33,79,1118,1010,2127,2379,1912,4289,3552,2952,6498,12,22,40,496,520,1019,8,10,14,515,551,1070,222,228,448,4655,4320,8980,30,23,59,4909,4575,9485,66,77,140,1415,1360,2771,6,10,10,1481,1443,2925,4,11,16,230,296,528,5,0,3,236,307,545,14,34,47,508,1342,1850,3,0,5,523,1384,1903,158,203,360,11479,14504,25982,48,76,124,11679,14783,26463,99,121,220,3467,3385,6854,17,23,48,3583,3528,7115,211,212,427,8117,7075,15195,58,32,93,8387,7323,15711,59,51,111,1671,1303,2981,11,11,21,1739,1367,3114,22,16,39,854,644,1495,11,14,23,888,679,1563,3,0,7,69,64,132,0,0,6,74,66,143,804,836,1635,28882,30237,59117,1592,1576,3165,31277,32641,63919,0,0,0,21,11,32,5,0,5,28,11,34,30,37,71,1027,1206,2235,137,150,288,1194,1395,2593,834,872,1704,29934,31453,61386,1735,1727,3455,32499,34051,66551
IARE508001,259,547,3,0,11,526,461,984,39,35,74,25,14,36,342,402,746,409,454,858,16,11,28,9,3,13,0,0,0,23,20,40,93,95,189,52,35,80,0,0,0,142,130,272,20,16,34,9,8,15,0,0,0,23,20,45,5,0,5,5,5,12,0,0,0,10,5,10,0,11,14,12,19,34,0,0,0,18,34,50,93,123,216,233,298,534,0,0,0,328,424,753,63,78,143,53,53,102,0,0,0,113,132,248,120,110,231,154,96,248,0,0,3,270,211,481,47,45,89,31,19,48,0,0,0,78,59,134,34,38,69,11,6,17,0,0,0,45,40,90,4,9,16,4,0,3,0,0,0,9,11,16,436,489,927,426,408,839,284,339,625,1150,1232,2380,0,0,0,6,3,6,0,0,0,6,3,6,21,28,55,60,51,106,41,43,83,121,123,241,464,513,980,491,462,950,324,381,706,1277,1355,2634
IARE508003,12,30,0,0,0,112,92,205,258,264,522,0,0,3,11,3,15,270,269,539,15,10,26,0,0,0,0,0,0,22,10,25,111,101,206,0,3,0,0,0,0,109,102,208,14,17,30,0,0,0,0,0,0,14,16,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,5,46,65,111,16,20,38,0,0,0,62,88,149,61,85,148,4,4,7,0,0,0,60,92,154,127,145,269,9,0,9,0,0,0,133,149,276,50,20,69,3,0,3,0,0,0,50,21,76,50,35,87,3,0,3,0,0,0,54,35,93,15,19,31,0,0,0,0,0,0,15,19,31,489,490,977,22,25,51,5,3,10,514,518,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,5,3,6,486,492,983,28,30,51,5,3,10,518,524,1044
IARE508005,99,193,0,0,0,218,223,443,191,190,378,15,4,17,53,72,118,256,267,518,14,14,33,0,3,4,0,0,0,17,13,28,93,93,186,14,7,21,0,0,0,109,101,206,7,15,17,0,5,4,0,0,0,6,15,22,0,0,0,0,0,3,0,0,0,0,0,4,0,5,5,3,18,17,0,0,0,8,18,24,89,102,191,84,128,211,0,0,0,174,231,397,82,99,180,21,25,43,0,0,0,100,122,229,110,111,221,31,13,46,0,0,0,144,123,269,46,48,94,5,0,8,0,0,0,49,47,100,54,33,94,4,0,7,0,0,0,63,36,99,23,22,42,0,0,0,0,0,0,25,22,42,512,544,1051,106,111,218,30,52,83,652,707,1361,7,9,16,0,0,0,0,0,0,7,9,16,17,18,36,31,36,63,0,0,3,49,56,105,538,575,1109,139,145,283,32,52,87,710,775,1481
IARE508006,66,131,0,0,0,185,145,331,208,73,281,11,6,21,61,52,113,284,130,415,9,10,23,0,0,0,0,0,0,9,11,22,67,57,119,6,11,10,0,0,0,67,67,137,18,21,43,0,0,0,0,0,0,18,25,43,0,4,3,0,0,0,0,0,0,3,4,8,8,9,21,7,3,12,0,0,0,12,13,28,70,55,126,65,75,142,0,0,0,134,136,274,39,46,84,9,8,19,0,0,0,46,51,102,187,87,268,36,15,49,0,0,0,220,101,319,33,22,46,0,0,0,3,0,3,31,22,50,23,10,39,7,0,7,0,0,0,30,20,40,13,4,14,0,0,0,0,0,0,11,4,16,291,284,573,44,44,87,20,12,30,351,344,691,0,0,0,0,0,0,0,0,0,0,0,0,19,6,22,26,26,48,0,0,0,42,28,69,304,293,595,71,66,136,20,12,30,391,377,765
IARE594994,1073,2370,14,5,25,1452,1197,2652,620,502,1117,938,421,1364,752,439,1189,2311,1361,3674,6,0,6,17,17,28,0,0,0,22,17,34,18,24,48,144,140,282,0,0,0,163,164,327,3,11,8,31,31,65,0,0,0,38,44,76,3,7,7,26,33,52,0,0,0,26,33,62,6,4,10,57,103,162,0,0,0,63,106,169,39,42,75,950,991,1937,4,4,10,997,1029,2024,17,18,36,226,194,415,0,0,3,239,218,457,62,37,104,550,375,927,3,5,11,620,423,1036,20,23,42,114,72,193,5,0,12,143,100,241,17,9,28,63,33,91,0,0,0,80,36,118,4,5,5,12,9,24,0,0,0,10,14,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE597997,20,137,3,0,3,123,21,144,0,0,0,9,0,9,191,19,214,196,23,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,17,0,0,0,15,0,17,5,0,9,138,33,169,0,0,0,143,30,174,3,0,3,33,0,34,0,0,0,38,0,38,0,0,0,63,6,66,0,0,0,59,6,61,0,0,0,9,0,11,0,0,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
