IARE_CODE_2021,Ty_LTHC_Arth_Ind_M,Ty_LTHC_Arth_Ind_F,Ty_LTHC_Arth_Ind_P,Ty_LTHC_Arth_NoInd_M,Ty_LTHC_Arth_NoInd_F,Ty_LTHC_Arth_NoInd_P,Ty_LTHC_Arth_In_ns_M,Ty_LTHC_Arth_In_ns_F,Ty_LTHC_Arth_In_ns_P,Ty_LTHC_Arth_Tot_M,Ty_LTHC_Arth_Tot_F,Ty_LTHC_Arth_Tot_P,Ty_LTHC_Asth_Ind_M,Ty_LTHC_Asth_Ind_F,Ty_LTHC_Asth_Ind_P,Ty_LTHC_Asth_NoInd_M,Ty_LTHC_Asth_NoInd_F,Ty_LTHC_Asth_NoInd_P,Ty_LTHC_Asth_In_ns_M,Ty_LTHC_Asth_In_ns_F,Ty_LTHC_Asth_In_ns_P,Ty_LTHC_Asth_Tot_M,Ty_LTHC_Asth_Tot_F,Ty_LTHC_Asth_Tot_P,Ty_LTHC_Canc_Ind_M,Ty_LTHC_Canc_Ind_F,Ty_LTHC_Canc_Ind_P,Ty_LTHC_Canc_NoInd_M,Ty_LTHC_Canc_NoInd_F,Ty_LTHC_Canc_NoInd_P,Ty_LTHC_Canc_In_ns_M,Ty_LTHC_Canc_In_ns_F,Ty_LTHC_Canc_In_ns_P,Ty_LTHC_Canc_Tot_M,Ty_LTHC_Canc_Tot_F,Ty_LTHC_Canc_Tot_P,Ty_LTHC_Dem_Ind_M,Ty_LTHC_Dem_Ind_F,Ty_LTHC_Dem_Ind_P,Ty_LTHC_Dem_NoInd_M,Ty_LTHC_Dem_NoInd_F,Ty_LTHC_Dem_NoInd_P,Ty_LTHC_Dem_In_ns_M,Ty_LTHC_Dem_In_ns_F,Ty_LTHC_Dem_In_ns_P,Ty_LTHC_Dem_Tot_M,Ty_LTHC_Dem_Tot_F,Ty_LTHC_Dem_Tot_P,Ty_LTHC_Diab_Ind_M,Ty_LTHC_Diab_Ind_F,Ty_LTHC_Diab_Ind_P,Ty_LTHC_Diab_NoInd_M,Ty_LTHC_Diab_NoInd_F,Ty_LTHC_Diab_NoInd_P,Ty_LTHC_Diab_In_ns_M,Ty_LTHC_Diab_In_ns_F,Ty_LTHC_Diab_In_ns_P,Ty_LTHC_Diab_Tot_M,Ty_LTHC_Diab_Tot_F,Ty_LTHC_Diab_Tot_P,Ty_LTHC_Heart_Dis_Ind_M,Ty_LTHC_Heart_Dis_Ind_F,Ty_LTHC_Heart_Dis_Ind_P,Ty_LTHC_Heart_Dis_NoInd_M,Ty_LTHC_Heart_Dis_NoInd_F,Ty_LTHC_Heart_Dis_NoInd_P,Ty_LTHC_Heart_Dis_In_ns_M,Ty_LTHC_Heart_Dis_In_ns_F,Ty_LTHC_Heart_Dis_In_ns_P,Ty_LTHC_Heart_Dis_Tot_M,Ty_LTHC_Heart_Dis_Tot_F,Ty_LTHC_Heart_Dis_Tot_P,Ty_LTHC_Kid_Dis_Ind_M,Ty_LTHC_Kid_Dis_Ind_F,Ty_LTHC_Kid_Dis_Ind_P,Ty_LTHC_Kid_Dis_NoInd_M,Ty_LTHC_Kid_Dis_NoInd_F,Ty_LTHC_Kid_Dis_NoInd_P,Ty_LTHC_Kid_Dis_In_ns_M,Ty_LTHC_Kid_Dis_In_ns_F,Ty_LTHC_Kid_Dis_In_ns_P,Ty_LTHC_Kid_Dis_Tot_M,Ty_LTHC_Kid_Dis_Tot_F,Ty_LTHC_Kid_Dis_Tot_P,Ty_LTHC_Lung_Con_Ind_M,Ty_LTHC_Lung_Con_Ind_F,Ty_LTHC_Lung_Con_Ind_P,Ty_LTHC_Lung_Con_NoInd_M,Ty_LTHC_Lung_Con_NoInd_F,Ty_LTHC_Lung_Con_NoInd_P,Ty_LTHC_Lung_Con_In_ns_M,Ty_LTHC_Lung_Con_In_ns_F,Ty_LTHC_Lung_Con_In_ns_P,Ty_LTHC_Lung_Con_Tot_M,Ty_LTHC_Lung_Con_Tot_F,Ty_LTHC_Lung_Con_Tot_P,Ty_LTHC_MHC_Ind_M,Ty_LTHC_MHC_Ind_F,Ty_LTHC_MHC_Ind_P,Ty_LTHC_MHC_NoInd_M,Ty_LTHC_MHC_NoInd_F,Ty_LTHC_MHC_NoInd_P,Ty_LTHC_MHC_In_ns_M,Ty_LTHC_MHC_In_ns_F,Ty_LTHC_MHC_In_ns_P,Ty_LTHC_MHC_Tot_M,Ty_LTHC_MHC_Tot_F,Ty_LTHC_MHC_Tot_P,Ty_LTHC_Stroke_Ind_M,Ty_LTHC_Stroke_Ind_F,Ty_LTHC_Stroke_Ind_P,Ty_LTHC_Stroke_NoInd_M,Ty_LTHC_Stroke_NoInd_F,Ty_LTHC_Stroke_NoInd_P,Ty_LTHC_Stroke_In_ns_M,Ty_LTHC_Stroke_In_ns_F,Ty_LTHC_Stroke_In_ns_P,Ty_LTHC_Stroke_Tot_M,Ty_LTHC_Stroke_Tot_F,Ty_LTHC_Stroke_Tot_P,Ty_LTHC_oth_LTHC_Ind_M,Ty_LTHC_oth_LTHC_Ind_F,Ty_LTHC_oth_LTHC_Ind_P,Ty_LTHC_oth_LTHC_NoInd_M,Ty_LTHC_oth_LTHC_NoInd_F,Ty_LTHC_oth_LTHC_NoInd_P,Ty_LTHC_oth_LTHC_In_ns_M,Ty_LTHC_oth_LTHC_In_ns_F,Ty_LTHC_oth_LTHC_In_ns_P,Ty_LTHC_oth_LTHC_Tot_M,Ty_LTHC_oth_LTHC_Tot_F,Ty_LTHC_oth_LTHC_Tot_P,Ty_LTHC_no_LTHC_Ind_M,Ty_LTHC_no_LTHC_Ind_F,Ty_LTHC_no_LTHC_Ind_P,Ty_LTHC_no_LTHC_NoInd_M,Ty_LTHC_no_LTHC_NoInd_F,Ty_LTHC_no_LTHC_NoInd_P,Ty_LTHC_no_LTHC_In_ns_M,Ty_LTHC_no_LTHC_In_ns_F,Ty_LTHC_no_LTHC_In_ns_P,Ty_LTHC_no_LTHC_Tot_M,Ty_LTHC_no_LTHC_Tot_F,Ty_LTHC_no_LTHC_Tot_P,Ty_LTHC_Ns_Ind_M,Ty_LTHC_Ns_Ind_F,Ty_LTHC_Ns_Ind_P,Ty_LTHC_Ns_NoInd_M,Ty_LTHC_Ns_NoInd_F,Ty_LTHC_Ns_NoInd_P,Ty_LTHC_Ns_In_ns_M,Ty_LTHC_Ns_In_ns_F,Ty_LTHC_Ns_In_ns_P,Ty_LTHC_Ns_Tot_M,Ty_LTHC_Ns_Tot_F,Ty_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_ns_M,Tot_p_In_ns_F,Tot_p_In_ns_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P,Co_LTHC_no_SC_Ind_M,Co_LTHC_no_SC_Ind_F,Co_LTHC_no_SC_Ind_P,Co_LTHC_no_SC_NoInd_M,Co_LTHC_no_SC_NoInd_F,Co_LTHC_no_SC_NoInd_P,Co_LTHC_no_SC_In_ns_M,Co_LTHC_no_SC_In_ns_F,Co_LTHC_no_SC_In_ns_P,Co_LTHC_no_SC_Tot_M,Co_LTHC_no_SC_Tot_F,Co_LTHC_no_SC_Tot_P,Co_LTHC_1ms_LTHC_onec_Ind_M,Co_LTHC_1ms_LTHC_onec_Ind_F,Co_LTHC_1ms_LTHC_onec_Ind_P,Co_LTHC_1ms_LTHC_onec_NoInd_M,Co_LTHC_1ms_LTHC_onec_NoInd_F,Co_LTHC_1ms_LTHC_onec_NoInd_P,Co_LTHC_1ms_LTHC_onec_In_ns_M,Co_LTHC_1ms_LTHC_onec_In_ns_F,Co_LTHC_1ms_LTHC_onec_In_ns_P,Co_LTHC_1ms_LTHC_onec_Tot_M,Co_LTHC_1ms_LTHC_onec_Tot_F,Co_LTHC_1ms_LTHC_onec_Tot_P,Co_LTHC_1ms_LTHC_twoc_Ind_M,Co_LTHC_1ms_LTHC_twoc_Ind_F,Co_LTHC_1ms_LTHC_twoc_Ind_P,Co_LTHC_1ms_LTHC_twoc_NoInd_M,Co_LTHC_1ms_LTHC_twoc_NoInd_F,Co_LTHC_1ms_LTHC_twoc_NoInd_P,Co_LTHC_1ms_LTHC_twoc_In_ns_M,Co_LTHC_1ms_LTHC_twoc_In_ns_F
IARE507003,18,60,74,1253,2345,3596,9,23,29,1275,2428,3703,59,121,178,1126,1498,2620,3,8,14,1186,1627,2812,12,14,24,511,580,1093,3,0,3,523,600,1125,0,5,6,151,238,386,3,12,17,153,254,410,47,61,103,947,836,1775,7,7,13,1000,899,1898,17,30,52,816,595,1414,4,9,18,842,636,1478,5,8,16,161,137,296,3,3,9,165,154,314,8,18,24,329,378,708,0,3,3,338,398,745,69,120,183,1371,2167,3541,11,9,14,1447,2292,3741,6,10,14,166,198,363,5,3,4,178,209,389,53,54,109,1088,1551,2634,15,14,24,1150,1618,2766,367,360,729,8445,8296,16741,40,40,83,8848,8698,17552,145,57,203,1022,610,1637,899,785,1681,2061,1456,3518,703,701,1402,14517,15212,29725,974,881,1853,16194,16790,32987,393,380,779,8986,8876,17860,46,47,92,9422,9309,18732,114,151,264,3036,3647,6683,15,32,51,3167,3832,6996,31,56,94,960,1305,2261,8,6
IARE507004,16,17,32,1525,2577,4101,13,24,32,1556,2614,4165,43,49,95,1280,1728,3006,5,10,15,1335,1787,3114,9,9,12,697,757,1453,5,7,12,707,771,1477,0,7,3,136,192,329,6,4,10,142,202,347,19,11,30,908,711,1620,12,13,25,938,735,1671,17,5,19,1033,611,1647,10,5,19,1064,624,1683,0,3,4,178,157,333,0,0,3,184,162,343,10,12,17,370,382,750,3,0,7,383,397,774,42,56,95,1364,2143,3502,10,13,30,1416,2210,3627,3,3,4,213,198,407,4,0,3,215,197,419,28,40,66,1251,1676,2925,11,5,14,1291,1716,3008,267,234,498,11423,11514,22935,58,60,115,11741,11806,23544,42,27,63,700,750,1450,1067,905,1969,1808,1683,3481,418,383,797,18108,19456,37565,1170,1011,2181,19696,20852,40544,280,245,527,12104,12298,24399,58,59,116,12438,12608,25043,68,69,139,3666,4315,7981,28,28,54,3757,4415,8175,16,20,39,1117,1424,2543,7,15
IARE507005,11,15,26,316,421,732,6,3,9,327,440,770,24,28,51,298,341,635,0,0,0,323,367,688,0,7,7,132,113,241,0,0,0,132,123,254,0,0,0,17,37,50,0,0,0,17,37,55,14,15,30,233,159,391,4,3,4,251,177,425,9,12,20,209,107,315,0,0,0,217,122,342,4,0,5,40,34,76,0,0,0,43,31,78,6,11,13,95,79,175,0,0,0,101,88,191,15,32,47,235,345,582,5,3,5,252,380,634,0,0,5,35,36,70,0,0,0,36,41,73,15,18,31,221,249,469,0,0,0,236,268,504,98,81,178,2116,1791,3910,17,12,34,2231,1885,4113,16,14,30,155,118,278,579,401,976,749,535,1284,175,160,337,3440,3090,6531,609,425,1029,4227,3670,7898,107,83,186,2239,1895,4132,17,12,34,2357,1993,4350,41,31,69,686,690,1375,8,0,13,731,717,1454,14,17,32,241,249,491,0,6
IARE507006,17,32,53,987,1614,2597,6,23,31,1011,1671,2680,52,55,108,988,1272,2267,4,10,12,1048,1338,2383,6,3,15,419,449,873,0,7,8,434,466,896,4,0,4,63,79,139,0,0,5,66,78,142,24,22,49,754,560,1309,5,8,13,785,588,1372,12,11,17,626,383,1014,7,0,12,648,392,1037,0,3,3,124,94,217,0,0,0,125,93,225,10,8,10,263,249,505,0,4,5,269,257,526,50,50,98,936,1484,2420,3,7,9,996,1539,2535,0,4,7,128,92,221,3,0,5,130,95,227,30,34,67,898,1129,2025,6,4,13,941,1171,2108,247,245,492,8387,7975,16362,38,42,82,8679,8262,16939,20,22,43,561,532,1102,714,495,1207,1297,1048,2348,410,408,815,13097,13304,26403,775,576,1354,14285,14286,28567,270,268,533,8873,8506,17374,46,48,86,9183,8822,18000,93,73,172,2578,2868,5445,10,18,28,2674,2959,5633,16,27,44,733,953,1687,6,13
IARE507007,12,25,34,352,473,827,3,9,15,362,505,869,13,47,61,282,296,577,6,3,9,297,347,648,0,9,12,127,124,252,0,0,4,129,134,260,4,7,11,12,36,45,0,0,0,13,41,58,20,25,40,201,161,358,0,3,3,219,190,406,8,9,17,184,105,293,6,0,3,198,120,312,0,5,4,35,34,69,0,0,0,34,40,74,6,7,13,88,77,161,0,0,0,95,82,178,11,29,42,247,310,567,6,5,13,267,347,621,0,0,4,40,23,62,0,0,0,44,30,69,14,18,29,205,217,422,0,4,5,221,234,455,105,99,203,2113,1814,3928,15,13,21,2229,1927,4163,12,17,27,137,125,257,394,337,733,538,478,1014,176,214,385,3458,3126,6589,417,368,782,4045,3708,7752,109,107,217,2235,1904,4138,15,15,25,2359,2025,4380,33,43,80,761,744,1503,13,7,21,803,799,1599,11,30,37,234,229,466,5,3
IARE507008,6,12,22,302,342,638,3,4,9,315,355,668,20,28,52,227,252,480,3,4,7,253,286,537,0,5,3,121,101,221,3,3,3,125,103,232,0,0,0,15,14,37,0,0,0,18,14,36,15,16,29,188,133,320,0,3,5,203,149,352,9,3,16,159,85,241,0,0,3,168,94,258,0,0,3,25,11,34,0,0,0,26,15,40,0,0,3,64,46,112,0,4,3,65,46,114,11,20,34,212,299,515,0,4,3,220,328,556,0,3,5,35,19,55,0,3,3,42,25,63,5,11,12,207,215,424,0,3,3,214,227,444,109,107,220,1973,1732,3712,11,15,22,2093,1855,3952,24,29,55,118,91,214,290,279,565,432,400,830,192,206,393,3118,2787,5912,308,302,608,3616,3300,6912,111,116,222,2088,1830,3913,12,17,25,2209,1955,4166,40,37,76,624,572,1205,0,4,7,674,615,1289,8,15,19,189,202,391,3,0
IARE507009,59,104,165,4238,7250,11487,45,68,110,4344,7421,11766,147,214,358,3083,4543,7624,15,30,47,3249,4786,8033,30,32,63,2047,1889,3937,23,27,44,2103,1943,4048,0,3,10,332,430,758,4,12,20,342,440,786,77,82,160,3061,2400,5459,29,24,57,3172,2508,5679,46,32,79,3322,1944,5262,29,25,53,3388,2004,5393,14,11,22,581,527,1102,0,4,0,590,542,1130,21,25,48,1222,1348,2573,7,19,21,1252,1390,2642,150,244,398,3517,5604,9121,16,34,51,3690,5883,9571,4,15,19,694,590,1283,4,7,11,703,613,1320,142,132,273,3414,4581,7996,20,30,50,3573,4750,8323,797,816,1611,25057,25801,50860,125,107,229,25977,26727,52703,96,96,195,1938,2065,4002,2590,1956,4547,4625,4121,8749,1341,1431,2771,42773,46793,89565,2830,2216,5040,46942,50439,97378,870,865,1732,26696,27731,54425,137,116,254,27694,28720,56413,263,291,552,9045,10726,19776,54,75,125,9368,11087,20455,70,113,181,3213,4086,7301,32,44
IARE507010,14,20,37,920,1386,2301,15,14,23,950,1415,2363,28,50,74,653,919,1572,9,5,9,684,972,1664,0,10,10,405,370,770,0,3,3,400,385,785,0,0,0,61,105,165,3,0,3,60,105,169,22,13,32,569,427,995,4,3,11,597,441,1033,8,9,23,608,306,915,7,6,11,625,327,948,9,8,10,79,65,141,0,3,3,86,72,152,0,13,7,237,216,456,0,0,0,238,226,466,26,47,76,744,1123,1869,6,11,20,783,1185,1969,8,0,6,98,106,213,0,0,3,106,107,216,25,19,39,761,866,1623,9,4,11,789,888,1677,170,155,328,5553,5276,10829,45,53,94,5765,5482,11248,12,9,30,442,318,760,826,743,1569,1279,1073,2358,269,288,557,9256,9244,18500,904,826,1736,10432,10360,20795,180,163,341,5916,5607,11522,49,55,105,6146,5827,11976,50,71,124,1913,2160,4072,19,21,38,1981,2254,4238,18,30,44,638,777,1413,7,6
IARE507011,14,26,38,716,1011,1727,11,12,23,745,1045,1796,39,50,85,530,712,1240,0,0,3,566,768,1339,4,10,11,306,288,601,4,3,6,321,300,618,0,0,0,33,58,92,0,0,0,37,60,96,27,19,43,548,306,849,6,0,3,573,328,897,15,11,23,547,268,820,4,6,8,574,279,852,7,0,8,75,62,139,3,0,3,83,64,150,6,6,10,219,160,381,5,0,3,230,168,395,37,37,70,506,750,1263,14,8,18,555,794,1344,5,3,8,115,80,191,0,0,0,118,86,199,26,29,52,508,602,1109,3,9,14,540,635,1178,227,226,455,5000,4603,9604,77,59,139,5303,4886,10191,16,24,36,300,242,545,819,602,1423,1137,867,2006,366,367,732,7993,7622,15623,925,681,1606,9282,8670,17957,246,231,483,5265,4889,10162,78,63,139,5593,5186,10780,79,72,148,1653,1673,3329,13,9,26,1743,1753,3501,19,26,43,507,558,1066,11,4
IARE507012,7,26,36,752,1163,1912,8,9,22,764,1203,1966,30,47,81,597,767,1367,6,3,14,634,822,1457,0,5,3,325,296,624,0,0,4,328,304,634,0,5,5,32,34,69,0,0,0,38,34,68,21,15,36,521,389,914,3,0,5,548,410,955,10,10,13,475,268,733,4,0,10,486,278,761,3,3,9,91,84,171,0,3,3,95,89,185,0,6,6,229,181,412,4,0,4,231,187,425,21,40,64,640,936,1576,3,3,6,663,980,1645,8,3,10,116,74,182,4,0,6,124,77,198,22,20,44,570,729,1304,8,5,12,598,756,1353,179,135,322,4338,4270,8611,31,43,74,4549,4448,9000,20,16,38,380,358,740,590,493,1083,990,869,1861,292,265,558,7444,7673,15112,635,560,1195,8373,8500,16866,193,151,341,4605,4568,9173,34,43,77,4833,4757,9589,63,68,129,1634,1771,3413,8,8,17,1704,1852,3559,14,22,31,503,654,1157,10,6
IARE507013,22,36,58,561,847,1409,14,14,30,598,898,1494,39,47,90,424,518,944,10,7,18,470,574,1042,4,6,9,190,210,400,3,3,5,198,217,413,0,7,11,51,63,114,0,5,6,56,73,129,36,43,82,346,324,673,4,0,0,388,374,761,23,17,37,380,231,606,8,3,15,407,247,651,3,6,9,54,66,120,4,0,0,64,67,138,4,7,14,125,134,261,0,0,8,136,151,281,31,47,75,418,674,1093,5,10,14,452,731,1184,7,0,8,74,62,140,0,0,0,80,71,145,14,24,37,427,543,967,8,6,10,450,577,1021,197,201,402,3730,3328,7055,42,40,82,3971,3567,7535,39,42,81,250,200,448,640,592,1234,920,835,1756,357,377,731,5905,5732,11633,704,664,1372,6974,6770,13741,205,216,417,3921,3521,7444,47,40,89,4175,3772,7952,86,64,153,1158,1256,2409,13,11,16,1253,1329,2585,19,33,56,365,490,857,9,10
IARE507014,10,18,29,223,427,650,4,3,6,234,454,680,20,38,56,213,306,520,3,0,9,229,343,575,9,3,10,93,100,194,0,0,0,101,107,205,3,3,3,28,24,50,0,0,0,30,26,53,22,33,54,242,209,455,5,0,4,269,242,509,9,19,22,181,131,314,0,0,0,190,152,338,6,7,14,36,34,76,0,0,0,44,40,91,0,7,10,64,72,134,0,0,0,69,73,146,19,36,53,242,383,618,0,0,3,256,419,675,9,0,10,45,40,84,0,0,0,49,48,94,20,18,40,218,271,485,0,0,3,239,285,529,160,160,325,1521,1493,3018,11,9,22,1694,1666,3362,40,26,60,99,99,201,332,305,643,473,432,902,273,288,557,2625,2812,5441,353,327,679,3254,3424,6679,170,171,345,1638,1601,3240,9,9,18,1816,1782,3599,42,48,88,603,700,1305,5,4,7,647,751,1403,12,30,42,175,268,438,0,6
IARE507015,59,71,128,2631,4325,6960,15,37,56,2709,4431,7134,103,113,209,2418,3092,5506,18,21,41,2535,3223,5753,16,25,34,1095,1143,2241,9,12,18,1119,1179,2300,0,10,6,167,238,409,0,0,4,177,251,418,46,59,99,1730,1367,3102,22,20,36,1795,1443,3240,37,21,56,1721,949,2668,17,9,26,1773,979,2755,5,9,12,284,254,530,5,4,7,292,263,549,14,11,26,669,640,1307,6,8,19,688,659,1347,84,133,220,2411,3917,6327,19,20,39,2509,4074,6585,7,10,11,378,290,661,3,4,3,384,297,681,72,71,140,2343,2904,5244,11,8,17,2423,2979,5402,558,554,1119,20967,20242,41203,120,138,261,21643,20934,42582,53,71,126,1352,1287,2639,2377,1924,4299,3778,3287,7064,908,947,1849,32916,33834,66748,2577,2136,4721,36404,36920,73316,604,575,1177,22253,21591,43842,122,137,266,22972,22315,45284,187,197,390,6511,7315,13833,47,45,90,6754,7555,14309,39,65,101,1900,2486,4389,20,18
IARE508001,17,29,45,46,47,92,0,0,0,63,79,149,19,38,56,27,53,80,0,0,0,51,88,140,6,8,14,19,12,32,0,0,0,23,19,46,8,11,18,4,0,7,0,0,0,19,15,29,43,66,106,32,19,54,0,0,0,76,82,162,17,25,43,22,8,33,0,0,0,44,35,81,19,23,40,4,4,5,0,0,0,23,22,49,3,9,12,12,8,22,0,0,0,22,9,31,19,23,42,27,51,76,0,0,0,44,75,115,5,7,10,4,0,8,0,0,0,10,11,19,35,45,80,36,22,58,0,0,6,73,69,145,388,378,764,396,349,746,0,6,8,787,729,1516,30,47,82,25,21,44,344,403,749,396,472,873,551,604,1149,576,528,1106,345,408,757,1472,1540,3009,416,398,812,414,364,776,0,8,5,826,769,1590,63,98,168,100,102,199,4,0,4,162,207,371,28,38,63,31,32,62,0,0
IARE508003,4,5,10,3,3,9,0,0,0,7,11,20,0,22,20,0,8,8,0,0,0,0,25,28,0,9,3,7,0,4,0,0,0,3,6,11,0,0,0,0,0,0,0,0,0,0,0,0,39,52,98,4,0,4,0,0,0,42,51,97,10,16,24,7,0,4,0,0,0,17,20,31,3,3,3,0,0,0,0,0,0,3,3,3,3,0,6,0,0,0,0,0,0,5,0,5,5,3,5,4,0,4,0,0,0,9,4,12,0,0,0,0,0,0,0,0,0,0,0,0,21,16,35,0,0,0,0,0,0,26,16,41,446,416,860,23,24,43,0,0,5,467,437,905,10,18,26,0,0,0,11,3,15,22,23,47,522,530,1049,38,28,64,9,4,16,569,566,1133,461,423,889,27,24,48,0,0,5,487,447,934,38,70,112,0,5,5,0,0,0,45,74,117,10,14,21,3,0,6,0,0
IARE508005,9,16,21,0,6,4,0,0,0,8,23,31,9,27,37,9,20,26,0,0,0,19,44,66,9,6,10,4,0,5,0,0,0,11,11,17,0,6,10,0,0,0,0,0,0,0,6,10,26,61,88,11,5,18,0,0,0,31,68,102,18,26,45,5,3,3,0,0,0,22,27,47,4,14,19,4,3,7,0,0,0,10,17,22,0,4,3,0,0,3,0,0,0,0,3,6,7,17,23,8,26,29,0,0,0,16,42,55,4,0,10,3,0,3,0,0,0,10,0,13,25,32,56,11,13,19,0,0,0,33,45,76,439,456,895,138,131,271,0,4,4,589,581,1169,46,37,83,3,8,6,53,66,115,104,108,208,569,617,1190,185,180,371,54,67,122,812,869,1678,455,466,924,147,134,282,0,4,4,603,602,1210,58,63,122,30,31,60,0,0,0,82,97,181,8,29,37,4,7,13,0,0
IARE508006,3,0,3,9,9,18,0,0,0,11,7,20,6,11,21,12,8,13,0,0,0,20,15,36,0,0,0,4,0,6,0,0,0,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,19,16,39,3,0,3,0,0,0,24,16,36,6,3,10,6,4,6,0,0,0,10,5,15,5,0,6,0,0,0,0,0,0,5,4,9,0,0,0,0,0,4,0,0,0,6,0,4,8,3,15,7,3,9,0,0,0,18,4,22,0,0,0,0,0,0,0,0,0,0,0,0,7,11,18,8,4,15,0,0,0,22,14,38,231,236,465,83,93,172,3,5,5,313,330,645,219,68,286,12,6,24,63,48,115,297,128,422,502,346,845,132,122,257,65,50,123,700,520,1221,238,242,481,89,93,179,3,5,5,325,340,663,42,26,69,23,18,41,0,0,0,62,50,105,4,3,6,7,0,12,0,0
IARE594994,10,8,24,160,213,368,3,3,3,175,222,399,25,32,56,139,163,306,0,0,0,171,200,371,0,0,4,75,56,133,0,0,0,72,59,130,0,0,0,3,0,9,0,0,0,3,0,11,22,13,33,107,52,161,3,5,6,133,74,198,14,5,22,111,49,161,0,0,3,129,57,185,4,0,7,16,6,21,0,0,0,25,11,33,3,6,7,53,42,97,0,0,0,54,46,103,44,38,76,295,311,603,9,3,8,337,348,688,3,3,8,16,15,32,0,0,0,26,18,40,20,9,32,202,198,396,5,0,4,223,210,430,122,114,236,1366,1177,2539,10,8,18,1496,1296,2794,610,492,1106,915,384,1303,753,436,1191,2281,1315,3591,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055,123,118,243,1458,1259,2721,9,8,16,1594,1386,2976,49,54,97,478,427,902,11,5,16,534,488,1018,21,11,36,134,144,277,0,0
IARE597997,0,0,0,9,4,12,0,0,0,11,4,14,0,0,0,10,0,13,0,0,0,15,0,16,0,0,0,9,0,8,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,8,0,8,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,5,3,8,0,0,0,5,3,8,4,3,3,212,29,238,0,0,0,218,30,248,0,0,0,5,0,8,191,19,214,204,20,226,7,3,9,256,32,293,193,19,218,455,58,514,4,3,3,212,29,244,0,0,0,216,33,247,3,0,3,29,4,33,0,0,0,32,4,41,0,0,0,4,0,4,0,0
