LGA_CODE_2021,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Managers_C21_M,Managers_C21_F,Managers_C21_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Professionals_C21_M,Professionals_C21_F,Professionals_C21_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Tech_trad_wkrs_C21_M,Tech_trad_wkrs_C21_F,Tech_trad_wkrs_C21_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Com_pers_S_work_C21_Cens_M,Com_pers_S_work_C21_Cens_F,Com_pers_S_work_C21_Cens_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Cler_admin_work_C21_M,Cler_admin_work_C21_F,Cler_admin_work_C21_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Sales_workers_C21_M,Sales_workers_C21_F,Sales_workers_C21_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Mach_oper_driv_C21_M,Mach_oper_driv_C21_F,Mach_oper_driv_C21_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Labourers_C21_M,Labourers_C21_F,Labourers_C21_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Inadeq_descr_Ns_C21_M,Inadeq_descr_Ns_C21_F,Inadeq_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
LGA58470,14,6,25,19,3,20,10,11,23,7,4,14,0,4,4,10,10,17,6,0,9,6,0,8,3,0,0,3,11,10,3,7,11,0,3,5,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10,3,13,7,0,7,0,0,0,15,9,23,15,3,16,9,4,11,0,0,0,0,0,0,0,0,0,51,44,94,50,29,74,27,28,56
LGA58510,1258,698,1963,1263,827,2085,1529,1057,2581,2369,2385,4754,2388,2632,5023,3124,3299,6424,1937,384,2326,1947,436,2385,1862,518,2383,574,1002,1576,644,1244,1886,786,1607,2392,746,1753,2498,578,1627,2203,711,1705,2418,517,715,1230,615,745,1361,579,762,1340,737,99,839,716,85,804,895,143,1034,914,457,1367,990,502,1490,966,550,1521,141,91,232,153,104,257,189,128,316,9201,7567,16774,9287,8204,17494,10642,9766,20410
LGA58540,147,41,192,129,62,192,109,53,161,8,24,30,8,8,18,9,20,30,45,17,60,40,12,44,28,14,45,3,22,25,6,13,24,0,20,21,0,35,32,6,32,33,0,25,25,7,10,25,3,10,21,6,16,23,29,6,34,47,6,51,34,11,43,51,22,73,41,26,64,35,26,59,7,6,4,4,0,0,7,0,7,294,178,477,272,180,451,233,184,412
LGA58570,1553,961,2520,1647,1162,2810,2028,1421,3450,3378,3225,6605,3528,3631,7157,4257,4537,8789,1628,396,2024,1561,395,1954,1531,464,1989,571,934,1506,631,1096,1727,785,1404,2189,676,1673,2352,655,1501,2158,695,1664,2362,536,673,1204,497,769,1263,570,733,1300,419,37,457,403,37,443,522,60,588,708,359,1065,647,376,1022,666,397,1064,136,80,215,142,112,250,172,112,281,9614,8342,17955,9713,9071,18785,11223,10789,22010
LGA58610,163,64,224,126,57,186,112,49,162,21,50,79,17,56,75,19,53,73,93,19,106,79,17,94,79,18,100,16,54,68,7,67,74,3,69,74,15,74,90,11,63,70,5,65,67,20,33,54,20,38,56,11,36,49,60,13,76,72,12,82,61,12,70,58,45,102,56,42,96,73,51,124,5,4,9,8,6,9,9,7,16,440,355,797,384,356,744,377,362,734
LGA58680,60,31,86,44,24,74,57,28,79,3,19,20,3,12,16,6,10,17,24,4,31,26,3,33,24,3,23,0,6,8,0,7,9,0,11,10,0,22,27,3,19,16,3,18,18,0,0,0,0,5,3,0,3,6,35,3,37,27,8,30,39,13,46,14,12,25,20,10,26,22,14,36,0,0,0,3,0,6,3,0,3,136,99,237,126,87,209,148,90,242
LGA58760,4766,2613,7383,5586,3212,8798,6557,4280,10829,4830,6017,10845,5690,7932,13627,7033,10193,17222,12703,1901,14603,14411,2384,16795,15346,2890,18242,2124,5558,7683,2810,7689,10507,3569,10384,13956,2377,9034,11409,2716,9964,12679,3023,10885,13906,2423,4674,7094,3199,5928,9126,3281,6119,9406,4816,540,5357,5664,673,6329,7174,976,8149,5106,2870,7977,6204,3474,9679,7009,4043,11056,628,394,1025,967,578,1548,1091,744,1827,39774,33600,73377,47244,41848,89091,54083,50519,104601
LGA58820,109,57,162,114,57,173,124,72,192,39,75,116,50,86,134,47,102,144,300,52,347,294,74,367,326,81,407,21,110,137,36,152,186,19,150,174,20,134,154,18,128,147,23,135,152,15,72,80,28,75,105,24,82,105,237,30,267,236,34,263,249,42,286,131,106,233,114,105,219,130,108,236,13,7,18,23,11,29,33,17,51,886,638,1523,909,722,1627,967,790,1750
LGA58890,172,88,262,134,67,206,134,61,196,7,18,26,8,18,27,9,23,32,37,12,50,21,7,32,26,5,31,0,14,14,0,12,15,0,17,17,0,31,34,0,30,30,0,21,21,4,7,11,4,8,15,0,7,10,32,0,37,26,4,32,21,9,28,23,18,37,24,20,43,24,20,43,4,3,4,8,3,15,0,0,0,280,191,469,232,181,412,220,158,378
LGA59030,40,12,56,35,14,49,33,13,51,8,13,24,4,6,12,0,5,5,10,3,21,31,0,29,6,0,9,0,8,9,0,9,13,0,0,0,3,12,18,3,11,15,0,12,15,0,0,0,0,4,4,0,8,6,33,0,32,29,4,25,11,6,10,12,7,12,4,8,17,9,3,12,0,0,0,0,0,0,0,0,5,106,62,165,112,60,169,64,52,115
LGA59100,117,44,163,100,42,137,90,45,132,7,21,25,0,22,19,0,18,20,38,13,48,22,11,38,23,12,30,3,20,18,0,18,23,3,17,22,0,32,32,0,28,30,4,17,19,4,0,10,4,10,12,3,8,13,16,8,26,31,3,32,26,3,25,24,12,34,34,16,47,32,19,46,3,0,6,9,3,9,3,3,4,221,138,357,201,150,354,180,136,322
LGA59170,141,62,202,149,58,205,137,65,195,6,39,49,9,47,58,8,48,56,47,16,66,28,15,47,39,12,54,11,25,35,9,27,38,3,21,31,4,42,45,3,41,41,0,38,38,9,21,26,3,16,16,9,13,23,43,3,47,41,3,45,42,13,54,47,20,69,44,20,58,54,31,84,3,0,0,3,7,7,10,0,8,310,232,542,293,229,521,298,240,537
LGA59250,27,8,33,17,6,22,13,13,27,79,26,105,30,22,49,14,3,20,181,17,196,83,4,83,36,0,40,14,27,43,11,13,26,5,12,17,8,30,36,0,9,12,6,4,11,0,4,3,0,5,9,0,3,3,174,17,197,95,13,103,33,5,36,63,28,94,37,13,53,26,8,36,8,3,12,9,0,4,4,0,8,560,160,717,284,87,369,143,57,196
LGA59310,163,67,231,138,54,196,121,44,167,19,49,70,23,39,64,25,40,66,80,14,96,87,13,107,78,10,95,3,40,48,3,37,47,9,42,49,14,64,79,3,62,71,10,52,62,14,20,36,18,27,49,19,29,52,62,3,66,61,7,66,59,9,70,50,21,74,42,25,66,49,39,85,0,4,6,13,5,14,3,3,10,416,287,708,393,278,671,372,273,648
LGA59320,67,27,97,59,33,90,63,27,89,3,15,24,4,14,22,0,15,16,10,3,14,14,7,20,14,5,16,0,8,6,0,11,12,0,14,14,0,11,17,3,9,11,0,15,18,10,4,7,0,6,7,4,4,11,11,0,11,17,0,18,18,0,19,12,13,19,6,15,23,18,6,25,0,0,3,3,0,3,0,3,3,115,83,203,111,92,201,122,90,210
LGA59330,56,27,80,45,21,70,51,19,68,6,18,25,5,9,17,10,13,26,11,10,15,8,5,15,13,5,20,5,10,14,6,12,20,0,13,17,7,20,24,6,17,24,3,24,33,5,4,13,4,5,4,0,4,5,13,3,21,21,0,20,10,0,15,14,11,24,18,6,25,20,5,31,3,0,4,5,0,4,4,0,3,123,95,218,109,80,194,116,96,208
LGA59340,297,194,491,276,180,458,269,225,492,329,382,709,224,389,612,250,397,647,502,80,587,401,72,467,332,65,399,147,265,405,165,279,448,181,293,472,88,401,485,69,340,415,72,317,387,43,126,161,59,132,188,47,107,157,316,49,361,203,32,226,182,19,201,300,138,435,232,117,347,226,133,358,56,41,100,47,28,77,54,32,82,2078,1667,3740,1664,1570,3235,1615,1580,3198
LGA59350,17,8,25,19,19,36,14,8,14,18,14,30,13,7,27,3,11,9,42,6,52,30,4,33,20,0,24,6,3,10,8,7,11,4,3,7,4,13,16,5,12,15,0,8,8,0,0,0,0,0,0,0,0,0,67,11,75,47,10,54,40,3,39,19,8,28,10,11,19,11,5,14,0,0,3,0,0,0,0,0,0,176,61,239,132,62,197,88,35,120
LGA59360,146,45,192,114,36,151,113,40,155,27,38,70,11,28,37,12,17,27,160,31,187,109,15,119,92,14,107,6,36,45,3,21,27,8,19,32,10,64,72,0,40,44,10,42,52,3,23,24,3,15,16,3,10,16,185,35,216,126,14,134,111,22,138,50,28,79,39,21,63,47,34,78,18,8,19,7,0,12,9,5,14,614,299,912,412,193,600,401,218,620
LGA59370,207,117,324,166,91,257,169,82,249,69,119,188,69,115,189,56,139,193,175,34,209,160,37,198,160,52,215,21,115,138,36,125,159,38,129,164,27,136,155,26,134,159,23,128,152,38,82,121,45,75,121,33,69,97,127,16,138,115,7,124,133,11,136,106,65,175,118,61,179,104,61,162,8,5,17,9,8,20,9,19,29,778,680,1464,747,652,1399,726,682,1408
LGA59499,111,62,171,70,41,109,57,49,107,244,219,457,124,119,234,115,139,257,475,58,537,302,47,347,232,34,272,73,165,231,61,96,161,51,172,223,52,184,239,34,82,112,36,112,150,53,96,147,27,58,89,29,47,77,296,39,334,236,36,272,182,31,213,293,126,417,234,151,390,169,120,292,29,18,51,33,18,55,19,11,33,1619,972,2595,1127,643,1772,899,715,1614
LGA59799,9,0,8,8,3,9,9,0,9,53,0,55,72,6,81,32,0,33,74,6,74,82,8,81,77,11,83,4,9,12,4,4,3,0,4,9,0,0,6,7,0,8,10,0,10,0,0,0,0,0,0,0,0,0,41,0,41,31,0,31,25,0,31,128,3,130,100,0,102,86,15,98,4,0,4,13,0,13,12,0,6,310,18,328,321,15,332,246,29,277
