LGA_CODE_2021,Age_74_C21_P,Age_70_74_C11_M,Age_70_74_C11_F,Age_70_74_C11_P,Age_70_74_C16_M,Age_70_74_C16_F,Age_70_74_C16_P,Age_70_74_C21_M,Age_70_74_C21_F,Age_70_74_C21_P,Age_75_C11_M,Age_75_C11_F,Age_75_C11_P,Age_75_C16_M,Age_75_C16_F,Age_75_C16_P,Age_75_C21_M,Age_75_C21_F,Age_75_C21_P,Age_76_C11_M,Age_76_C11_F,Age_76_C11_P,Age_76_C16_M,Age_76_C16_F,Age_76_C16_P,Age_76_C21_M,Age_76_C21_F,Age_76_C21_P,Age_77_C11_M,Age_77_C11_F,Age_77_C11_P,Age_77_C16_M,Age_77_C16_F,Age_77_C16_P,Age_77_C21_M,Age_77_C21_F,Age_77_C21_P,Age_78_C11_M,Age_78_C11_F,Age_78_C11_P,Age_78_C16_M,Age_78_C16_F,Age_78_C16_P,Age_78_C21_M,Age_78_C21_F,Age_78_C21_P,Age_79_C11_M,Age_79_C11_F,Age_79_C11_P,Age_79_C16_M,Age_79_C16_F,Age_79_C16_P,Age_79_C21_M,Age_79_C21_F,Age_79_C21_P,Age_75_79_C11_M,Age_75_79_C11_F,Age_75_79_C11_P,Age_75_79_C16_M,Age_75_79_C16_F,Age_75_79_C16_P,Age_75_79_C21_M,Age_75_79_C21_F,Age_75_79_C21_P,Age_80_84_C11_M,Age_80_84_C11_F,Age_80_84_C11_P,Age_80_84_C16_M,Age_80_84_C16_F,Age_80_84_C16_P,Age_80_84_C21_M,Age_80_84_C21_F,Age_80_84_C21_P,Age_85over_C11_M,Age_85over_C11_F,Age_85over_C11_P,Age_85over_C16_M,Age_85over_C16_F,Age_85over_C16_P,Age_85over_C21_M,Age_85over_C21_F,Age_85over_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
LGA58890,10,20,21,42,17,13,27,27,29,56,5,3,8,5,0,8,0,5,3,5,7,11,0,0,5,5,0,5,0,0,3,11,4,13,4,0,3,0,0,0,0,0,0,7,0,7,0,0,9,3,7,3,4,0,4,12,19,27,15,16,29,25,5,30,15,7,20,7,9,16,7,13,20,8,3,10,16,8,19,13,8,24,449,418,870,417,392,805,414,362,773
LGA59030,4,8,3,16,4,3,10,10,4,10,0,0,0,3,7,4,0,7,8,0,0,0,0,0,0,4,0,4,0,0,0,0,6,6,3,0,3,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,3,8,5,5,3,6,10,4,16,0,5,6,4,0,5,3,4,9,3,0,0,0,0,0,3,4,6,166,113,276,182,124,307,123,125,248
LGA59100,4,17,20,35,25,14,37,25,14,34,4,7,9,4,3,6,3,0,11,0,0,0,0,0,0,0,0,3,0,5,5,0,3,3,3,5,11,0,0,0,4,0,4,0,0,0,0,3,3,6,0,9,0,3,7,7,16,18,7,11,26,18,17,37,6,9,13,5,19,24,8,12,21,5,8,13,10,3,18,4,10,18,388,365,752,376,343,720,366,329,690
LGA59170,13,13,16,27,35,24,62,22,25,42,6,0,6,4,5,7,3,4,10,4,3,3,4,3,6,3,3,5,0,6,5,0,4,4,6,5,11,0,5,8,0,5,4,4,5,11,0,4,4,5,5,6,4,4,9,10,20,28,12,13,27,21,22,42,8,10,19,6,10,21,11,17,24,3,0,8,5,5,10,13,9,17,476,438,917,517,461,979,521,500,1021
LGA59250,4,7,4,10,4,0,9,16,9,23,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,5,5,3,4,4,3,0,4,4,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,816,342,1160,509,233,745,345,189,535
LGA59310,19,18,18,33,36,24,62,43,34,78,3,4,9,3,0,10,8,5,14,3,0,3,0,0,0,7,6,10,0,0,0,3,3,11,7,4,16,4,5,12,0,0,6,0,0,9,3,0,3,0,3,4,8,3,8,14,15,25,11,18,27,35,13,51,18,15,31,11,5,17,8,13,24,5,16,19,8,18,26,11,9,20,738,693,1431,708,625,1334,696,601,1297
LGA59320,5,9,10,16,10,11,15,15,14,29,0,0,4,3,0,3,0,0,0,0,0,0,4,0,6,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,7,5,12,4,3,6,3,6,14,0,0,0,3,0,3,9,4,13,0,0,0,0,0,0,4,5,3,221,198,419,217,191,409,238,210,448
LGA59330,4,21,20,44,23,13,41,21,12,37,0,0,0,4,3,9,3,3,8,0,4,4,4,0,5,3,4,12,0,0,0,7,0,6,4,3,6,4,0,7,5,8,12,8,0,9,3,0,4,10,6,10,0,3,3,11,10,18,26,18,40,23,18,41,14,11,18,4,6,8,10,12,26,7,12,15,9,17,23,3,6,9,266,256,523,276,242,511,244,227,470
LGA59340,22,58,22,82,84,48,135,90,65,149,8,4,12,6,9,14,19,11,28,4,5,12,17,9,20,14,9,19,7,3,7,3,5,11,6,12,18,3,0,3,7,3,16,9,5,17,4,4,8,0,0,0,13,6,21,18,23,36,37,27,62,54,46,98,11,11,22,14,12,26,28,13,40,6,11,20,8,9,19,7,17,25,4053,3746,7797,3532,3615,7152,3699,3775,7477
LGA59350,4,0,5,12,4,0,3,8,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,3,0,0,0,0,0,0,4,0,4,4,4,7,0,0,4,0,4,4,0,4,4,281,127,403,220,118,338,242,101,340
LGA59360,8,23,10,36,22,15,34,38,26,67,0,0,0,6,4,8,3,3,5,5,0,8,11,0,11,0,3,3,3,0,3,3,0,5,0,0,0,3,0,6,8,9,6,0,3,5,4,0,3,0,0,3,0,3,3,15,8,25,21,14,30,14,16,25,12,12,22,14,7,18,14,6,21,6,3,10,13,6,23,9,9,21,1002,636,1632,728,470,1201,731,439,1173
LGA59370,63,88,92,180,126,115,237,170,155,322,16,11,34,21,11,33,28,17,40,11,14,23,12,17,29,17,29,50,6,7,17,22,21,39,30,22,52,8,15,27,17,19,33,24,16,40,11,10,22,20,17,33,17,21,38,63,57,118,87,86,171,120,108,217,36,42,84,52,45,99,78,81,152,12,35,48,31,49,81,52,54,108,1698,1702,3395,1807,1796,3604,1731,1731,3459
LGA59499,37,126,55,179,105,85,185,176,112,281,18,7,26,19,6,22,25,14,41,8,4,13,10,8,21,27,10,36,12,8,18,10,3,13,20,4,17,3,8,10,5,3,9,10,4,13,9,4,13,9,3,5,6,0,7,52,23,72,44,20,66,88,26,114,15,5,24,7,18,28,29,15,42,6,12,16,9,12,22,14,16,30,4282,3010,7294,3535,2417,5950,4639,3416,8055
LGA59799,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,34,415,405,27,431,455,58,514
