LGA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA59030,0,4,3,4,5,12,5,4,8,0,0,0,11,5,19,4,0,4,0,0,0,0,3,3,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,12,13,29,27,28,59
LGA59100,6,4,12,31,29,67,0,0,0,0,3,3,38,35,69,3,15,15,0,0,0,0,0,3,9,14,19,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,13,13,0,0,0,0,0,0,0,0,0,0,7,7,56,48,109,107,117,222
LGA59170,12,3,22,49,36,87,5,3,10,0,0,0,52,43,93,17,19,37,0,0,0,0,0,0,17,25,38,0,0,0,0,0,0,3,0,3,0,9,9,0,0,0,4,9,20,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,9,9,4,17,31,0,3,3,0,0,0,0,0,0,0,5,3,53,57,112,146,151,302
LGA59250,0,0,0,13,19,31,0,0,0,0,0,0,13,19,31,9,5,19,0,0,0,0,0,0,9,5,19,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,5,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,9,5,7,7,15,3,0,7,0,0,6,0,0,0,6,4,8,125,47,174,162,86,241
LGA59310,15,10,25,55,60,116,0,0,0,0,0,0,55,65,123,15,17,33,0,0,3,0,0,0,18,17,36,0,6,5,0,0,0,8,3,11,9,10,18,0,0,0,10,18,29,0,0,0,0,0,4,0,0,0,3,3,5,0,0,0,3,3,10,16,23,36,0,0,0,4,3,8,0,0,0,4,3,8,63,46,110,169,162,337
LGA59320,9,10,8,14,15,33,0,4,4,0,0,0,14,20,34,17,6,21,0,0,0,0,0,0,17,8,27,0,4,4,0,0,0,0,0,0,4,0,4,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,6,7,12,12,0,0,0,0,0,4,0,0,0,0,0,4,28,25,51,69,66,134
LGA59330,0,0,0,16,8,30,0,0,0,0,0,0,13,13,31,7,7,15,0,0,0,0,0,0,5,12,14,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,5,5,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,22,24,48,54,55,103
LGA59340,56,49,105,281,265,543,58,67,130,7,3,11,344,342,684,132,148,285,3,8,10,3,14,20,145,167,313,8,3,14,6,7,12,8,17,24,27,36,62,0,0,0,48,68,113,3,14,16,12,11,24,5,4,5,19,41,67,0,0,0,38,79,114,83,146,229,4,5,9,7,12,22,0,0,0,16,16,36,668,657,1320,1309,1378,2686
LGA59350,0,0,3,4,0,6,0,0,0,0,0,0,11,0,7,0,0,3,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,116,34,150,133,42,168
LGA59360,3,3,13,18,12,34,8,9,17,0,0,0,22,31,54,7,3,12,4,0,4,0,0,4,9,7,15,0,0,4,0,0,0,0,0,0,0,5,7,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,7,7,12,0,0,0,4,4,10,0,0,0,5,4,7,161,52,208,209,104,311
LGA59370,13,17,29,100,97,193,11,16,22,8,10,22,119,122,239,58,64,115,18,16,41,6,13,14,84,85,168,0,0,0,0,0,3,3,5,7,3,16,20,0,0,0,13,18,33,5,6,7,0,3,3,0,4,4,3,12,14,0,0,0,9,22,30,19,42,61,0,0,0,3,3,8,0,0,0,3,3,8,174,132,308,416,407,824
LGA59499,22,18,41,94,92,181,13,7,22,23,17,35,121,114,243,39,47,83,4,3,6,9,4,19,51,55,109,13,11,16,9,18,33,11,6,15,7,25,34,0,0,0,44,59,99,14,25,42,13,17,31,0,3,9,15,25,46,3,0,3,52,68,122,96,130,224,16,16,32,7,16,23,0,0,4,23,34,55,2227,1260,3489,2535,1623,4160
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,9,0,8,13,0,17,0,0,0,0,0,3,0,0,0,0,0,3,193,20,219,209,28,237
