LGA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA57280,187,200,98,66,61,3,4,620,97,54,30,9,10,0,0,201,120,110,47,31,15,0,0,323,690,599,315,162,127,4,0,1905,12,11,0,3,0,0,0,31,1107,979,489,271,210,13,3,3078,8,8,5,10,15,0,0,49,9,17,9,4,10,0,0,43,8,17,0,3,4,0,0,31,88,148,88,52,41,8,0,420,11,7,10,0,0,0,0,31,135,193,105,70,68,14,0,577,1238,1171,597,342,279,19,4,3664
LGA57350,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,11,4,0,0,0,0,0,0,6,31,31,12,3,3,0,0,79,0,0,0,0,0,0,0,0,31,30,13,5,3,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,5,3,0,0,20,0,0,0,0,0,0,0,0,4,8,3,5,3,0,0,19,38,41,21,8,6,6,0,119
LGA57420,15,16,13,3,4,0,0,51,15,7,4,0,6,0,0,33,11,12,0,0,0,0,0,26,79,69,28,11,8,0,0,198,0,0,0,0,0,0,0,0,116,104,48,19,15,0,0,309,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,6,7,3,0,0,40,3,0,0,0,0,0,0,5,13,18,12,7,3,0,0,51,132,125,57,28,21,0,0,358
LGA57490,1526,1933,1273,903,1147,396,217,7389,952,884,463,259,341,62,31,3007,978,929,488,288,321,92,30,3124,3668,3522,2179,1392,1550,350,139,12795,30,39,21,14,8,0,0,108,7152,7310,4421,2862,3362,901,420,26427,143,258,213,162,229,68,45,1125,242,310,213,129,137,34,18,1088,111,198,137,107,118,25,14,713,926,1266,840,626,618,103,61,4445,43,37,36,8,7,5,0,140,1473,2071,1441,1029,1116,237,138,7516,8628,9384,5862,3886,4482,1136,563,33937
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA57700,466,538,293,170,214,95,35,1805,281,251,123,84,94,30,5,873,256,251,133,74,86,17,8,814,1341,1168,634,420,419,79,41,4094,11,15,9,7,0,0,0,49,2363,2211,1187,761,807,225,92,7640,33,62,33,18,33,10,6,193,47,54,35,18,22,3,5,187,31,49,20,25,21,8,0,155,204,253,150,104,98,12,12,829,3,3,3,5,0,0,0,20,323,424,245,172,173,33,19,1380,2680,2636,1431,927,980,250,111,9020
LGA57770,5,3,0,0,0,0,0,6,4,0,3,0,0,0,0,7,11,5,0,0,0,0,0,20,24,38,10,6,4,0,0,77,0,0,0,0,0,0,0,0,35,43,21,3,5,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,0,0,0,17,0,0,0,0,0,0,0,0,6,9,8,0,4,0,0,21,44,51,23,9,6,0,0,128
LGA57840,633,620,293,162,253,177,124,2270,231,168,117,86,123,67,27,812,230,222,135,107,120,70,36,913,659,597,436,318,383,226,92,2708,12,6,0,0,0,0,0,16,1768,1611,977,674,879,534,283,6719,32,66,55,40,60,50,24,323,26,46,30,23,15,12,9,160,20,29,31,6,15,10,12,122,65,104,91,74,90,44,27,491,6,9,10,4,0,5,0,31,148,254,208,146,182,114,81,1129,1916,1870,1182,814,1064,649,358,7846
LGA57910,4728,4348,2178,1300,1755,1062,618,15983,1349,1049,568,390,531,266,124,4291,1309,1186,591,390,492,220,137,4327,4037,3643,2158,1393,1873,881,475,14452,50,43,26,12,7,6,0,148,11475,10266,5530,3485,4662,2433,1351,39206,371,613,409,293,413,235,196,2532,170,287,185,160,204,92,53,1146,117,215,167,107,141,71,45,864,469,837,577,401,532,210,118,3148,57,82,23,11,8,0,3,185,1192,2029,1364,973,1297,611,413,7880,12669,12302,6890,4455,5957,3048,1769,47084
LGA57980,229,296,174,97,107,67,29,1006,79,72,51,48,50,42,16,353,77,106,67,39,48,24,3,374,324,298,165,114,130,95,29,1156,3,3,3,0,0,0,0,7,715,778,461,298,339,228,69,2896,12,22,32,26,28,14,13,141,10,16,26,15,23,16,4,114,9,21,20,6,14,4,3,84,18,33,25,33,44,19,22,194,0,0,0,0,0,0,0,0,48,93,99,81,112,53,43,531,762,872,559,379,449,277,114,3424
LGA58050,3737,3725,1883,1180,1563,782,436,13310,890,818,417,266,304,126,61,2883,906,771,412,278,305,101,54,2831,3652,3327,1915,1245,1467,380,166,12163,56,54,36,19,14,4,0,179,9231,8693,4666,3001,3658,1391,721,31364,283,421,318,223,295,139,85,1763,169,299,161,114,132,37,17,938,106,155,112,90,123,33,25,634,895,1236,731,530,606,149,63,4202,44,52,39,16,11,0,0,169,1500,2172,1368,970,1167,356,189,7713,10735,10862,6032,3972,4824,1747,906,39078
LGA58190,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,9,13,3,6,3,0,0,34,0,0,0,0,0,0,0,0,10,17,9,5,7,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,5,0,0,0,3,4,0,0,11,0,4,0,0,0,0,0,0,4,6,0,3,4,0,0,21,16,23,12,8,11,0,0,66
LGA58260,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,0,0,0,5,0,0,9,20,23,7,0,3,0,0,60,0,0,0,0,0,0,0,0,29,31,10,0,10,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,3,3,0,0,0,14,0,0,0,0,0,0,0,4,3,8,0,5,4,0,0,24,33,41,10,5,11,0,0,97
LGA58330,11,13,10,11,7,0,0,52,13,20,17,10,11,0,4,73,16,17,8,10,12,0,0,63,74,108,52,37,45,5,0,321,0,0,0,0,0,0,0,4,110,154,84,73,73,7,3,506,0,3,0,0,0,0,4,10,3,4,3,4,8,0,0,20,3,0,0,3,0,0,0,11,22,28,28,19,25,0,0,124,5,3,0,4,0,0,0,9,30,37,36,27,33,0,4,169,145,191,125,103,107,12,5,678
LGA58400,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,5,0,0,8,0,0,0,0,0,0,0,0,0,3,3,4,4,0,0,15,3,7,8,5,9,0,0,33
LGA58470,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,4,0,0,0,28,0,0,0,0,0,0,0,0,12,7,4,4,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,11,19,9,9,4,0,0,0,41
LGA58510,693,572,213,122,142,102,49,1885,171,164,91,49,56,20,12,567,230,192,86,58,64,28,11,675,693,487,260,169,196,85,27,1922,3,0,0,0,4,0,0,12,1792,1411,653,402,461,233,97,5054,26,65,34,21,41,42,22,246,20,24,15,11,20,6,8,107,12,19,18,14,18,6,7,93,66,104,70,58,75,24,19,415,6,3,0,0,0,0,0,16,128,213,143,108,153,77,55,879,1924,1627,790,506,616,309,154,5933
LGA58540,3,4,0,8,0,0,0,14,3,0,0,0,0,0,0,6,0,7,8,0,0,0,0,18,18,30,16,3,5,3,0,77,0,0,0,0,0,0,0,0,29,36,23,14,6,3,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,38,25,14,6,3,0,117
LGA58570,403,332,189,99,106,73,39,1243,215,208,110,74,81,52,17,762,263,225,101,66,69,20,18,754,802,647,419,227,277,127,49,2560,4,0,0,3,0,0,0,14,1691,1413,827,467,526,279,130,5331,23,49,31,29,23,16,9,180,21,42,29,22,37,15,7,171,11,26,16,18,22,11,6,107,40,101,71,48,73,27,21,390,3,7,3,0,0,0,0,18,103,226,152,116,156,70,43,870,1796,1638,972,583,684,353,176,6196
LGA58610,4,5,0,0,4,0,0,14,10,3,4,0,0,0,0,24,3,3,4,0,0,0,0,19,43,56,32,19,17,3,0,170,0,0,0,0,0,0,0,0,67,68,43,24,24,4,0,222,5,0,0,0,0,0,0,3,0,3,6,0,0,0,0,10,0,0,0,0,3,0,0,3,8,3,9,5,4,0,0,38,0,0,0,0,0,0,0,0,12,15,15,12,8,0,0,57,80,79,50,33,31,4,0,283
LGA58680,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,9,5,6,0,5,4,0,0,17,16,14,6,4,3,0,0,39,0,0,0,0,0,0,0,0,21,22,14,3,6,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,21,22,17,5,9,0,0,71
LGA58760,4793,5324,3261,2242,3018,1422,870,20931,1598,1433,715,435,545,173,81,4988,1484,1398,686,396,470,141,64,4642,4293,4150,2246,1436,1585,394,235,14349,55,73,30,18,10,3,0,198,12229,12382,6950,4528,5627,2130,1252,45100,426,690,548,409,600,266,190,3128,267,391,251,177,208,51,25,1375,229,343,197,158,185,43,37,1190,926,1361,878,642,675,149,80,4704,66,58,44,28,18,7,0,228,1908,2850,1917,1404,1688,521,338,10631,14133,15231,8869,5939,7315,2653,1589,55730
LGA58820,11,16,16,10,12,0,0,56,8,4,7,7,6,0,0,29,18,15,10,6,12,0,0,61,126,144,82,57,71,11,5,490,0,0,0,0,0,0,0,4,154,170,118,77,97,12,3,645,0,0,5,0,0,0,0,10,7,11,4,4,4,0,0,23,3,5,0,0,0,0,0,13,15,23,20,13,16,5,0,92,0,8,3,0,0,0,0,11,21,35,29,26,27,5,0,143,182,215,151,98,121,15,5,787
LGA58890,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,8,4,4,0,0,0,14,11,32,19,4,8,0,0,76,0,0,0,0,0,0,0,0,21,44,21,6,11,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,12,20,45,24,13,11,0,0,109
LGA59030,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,6,0,7,4,0,0,0,23,0,0,0,0,0,0,0,0,16,9,8,4,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,6,14,13,7,4,0,0,0,40
LGA59100,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,4,5,0,0,0,0,15,23,29,20,6,5,0,0,79,0,0,0,0,0,0,0,0,31,36,22,3,5,0,0,103,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,8,4,3,0,0,0,17,33,40,33,8,3,0,0,119
LGA59170,4,0,0,0,3,0,0,13,0,4,0,0,0,0,0,8,12,5,0,0,0,0,0,14,50,58,36,7,11,0,0,159,0,0,0,0,0,0,0,0,62,71,36,5,11,0,0,188,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,6,0,5,0,0,18,0,0,0,0,0,0,0,0,0,4,3,5,6,0,0,24,64,74,44,13,18,0,0,210
LGA59250,5,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,3,0,0,0,0,24,0,0,0,0,0,0,0,0,12,11,4,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,9,3,4,5,0,0,22,0,0,0,0,0,0,0,0,8,7,3,8,5,0,0,26,14,22,6,7,5,0,0,58
LGA59310,7,17,0,0,0,0,0,27,5,5,4,3,0,0,0,14,5,3,0,0,0,0,0,7,47,48,39,8,3,0,0,146,0,0,0,0,0,0,0,0,60,68,46,9,6,0,0,194,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,5,14,7,3,3,0,0,36,0,0,0,0,0,0,0,0,7,13,9,6,3,0,0,37,73,79,54,16,10,0,0,232
LGA59320,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,21,23,12,8,4,0,0,72,0,0,0,0,0,0,0,0,31,22,15,8,8,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,5,31,28,22,12,10,0,0,95
LGA59330,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,8,5,0,0,0,32,0,0,0,0,0,0,0,0,11,16,8,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,5,4,0,0,18,0,0,0,0,0,0,0,0,5,3,6,5,4,0,0,20,14,17,16,10,3,0,0,61
LGA59340,39,22,21,10,10,0,0,104,16,12,9,11,6,3,0,60,36,40,10,4,5,0,0,95,261,234,147,67,49,6,0,769,4,5,3,6,0,0,0,16,359,317,195,90,72,7,0,1045,0,0,5,0,0,0,0,9,0,4,0,0,0,0,0,4,5,6,0,0,0,0,0,11,104,160,91,47,28,3,0,438,4,13,4,4,0,0,0,23,113,177,100,55,33,3,0,484,475,491,293,144,107,11,0,1529
LGA59350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,0,0,14,0,0,0,0,0,0,0,0,3,7,4,0,0,0,0,14,7,3,6,4,0,0,0,22
LGA59360,0,8,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,17,13,3,3,0,0,56,0,0,0,0,0,0,0,0,25,27,15,4,3,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,5,4,6,0,0,0,13,0,0,0,0,0,0,0,5,3,5,6,6,0,0,0,21,31,36,22,9,3,0,0,100
LGA59370,0,5,0,0,5,0,0,13,9,17,7,4,4,0,0,41,8,3,3,3,0,0,0,28,67,106,75,38,28,0,0,313,0,0,3,0,0,0,0,7,82,135,90,44,41,5,0,396,0,0,0,0,0,0,0,3,0,7,4,3,5,0,0,16,3,4,6,0,3,0,0,20,14,16,23,15,11,0,0,74,0,0,0,0,0,0,0,0,15,28,30,17,13,0,0,111,103,165,124,65,52,5,0,515
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
