SED_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
SED54701,228,1420,1312,12407,225,15594,5,79,29,1529,63,1702,150,6,8,32,0,196,17,13,7,71,0,101,278,78,70,171,0,604,2831,1242,1144,9760,258,15236,428,4,38,15,8,486,69,3,9,54,0,134,360,75,108,960,12,1518,19,6,6,24,0,60,10,4,0,0,0,18,121,14,10,8,3,155,496,226,148,2107,29,3004,246,140,51,707,6,1148,19,7,4,0,0,21,5,5,0,0,0,12,0,3,9,3,0,13,9,6,0,17,0,24,334,65,49,30,19,488,221,97,64,30,4,418,79,16,18,53,3,172,25,0,7,11,0,43,0,0,0,0,0,3,693,288,231,2197,38,3441,11,0,0,6,0,14,295,16,30,3,0,351,26,9,10,16,0,59,16,0,0,0,0,17,46,0,4,0,0,52,81,15,23,109,0,232,1336,182,211,445,48,2224,90,22,19,238,3572,3940,6826,2388,2095,22221,4133,37662
SED54804,407,2339,1960,9140,80,13930,9,30,16,340,5,402,1480,30,98,50,16,1665,211,77,49,244,4,597,499,145,85,258,5,990,6258,2018,1561,8158,142,18131,226,7,48,21,0,298,361,47,33,67,0,509,707,141,116,671,13,1654,219,54,39,180,5,495,117,24,12,26,0,181,632,44,46,44,4,773,1982,413,341,2718,36,5483,1382,452,214,1319,17,3382,65,0,8,5,0,77,35,6,3,17,0,58,128,39,24,76,0,269,27,22,9,41,0,106,228,30,22,5,0,296,345,117,77,26,6,566,358,82,48,115,6,607,135,12,19,23,4,187,19,12,4,0,0,40,1580,455,358,2107,20,4526,139,10,15,10,6,173,533,64,55,15,5,675,242,12,20,38,0,310,65,13,6,9,0,92,127,14,11,9,0,167,242,50,36,129,0,459,3877,463,590,491,31,5455,206,18,18,130,2279,2650,17799,4144,3342,17879,2600,45753
SED54905,414,1912,1596,7934,86,11939,12,33,27,501,19,583,3826,95,169,97,20,4209,158,53,42,192,9,455,392,137,92,255,3,881,4983,1737,1357,7232,101,15415,324,15,58,12,0,408,257,30,29,72,0,395,460,106,95,631,13,1293,176,38,26,131,5,376,81,12,5,14,0,111,1277,57,57,30,8,1427,1290,341,268,2377,28,4308,904,309,158,1033,5,2405,247,0,12,9,0,268,54,17,0,9,0,80,47,4,8,26,0,89,36,18,14,26,0,86,107,16,17,3,0,149,193,88,46,24,3,354,290,46,44,101,3,493,118,5,25,15,0,166,13,0,0,0,0,15,1303,390,313,1921,12,3946,79,11,6,5,0,102,369,41,36,14,0,468,177,12,15,35,0,238,137,19,10,10,0,182,274,8,13,5,4,308,210,39,23,108,0,385,4993,410,456,517,44,6419,181,10,11,87,1985,2276,19037,3401,2844,15664,2288,43240
SED55005,950,1804,1487,7330,92,11665,17,75,44,840,20,998,5649,80,161,93,19,5998,57,22,15,72,0,173,396,115,80,230,3,834,5726,1657,1314,5576,106,14379,1137,4,61,8,4,1223,153,3,6,37,0,204,376,96,72,387,7,941,38,21,11,39,3,106,37,8,5,21,0,73,4204,72,57,69,8,4399,1041,201,162,1087,12,2508,484,212,117,708,13,1535,243,0,4,0,0,246,121,22,16,24,0,181,18,0,0,8,0,23,48,18,0,25,0,93,444,53,39,17,0,548,287,114,52,33,0,485,165,34,21,83,0,302,57,0,8,9,0,75,58,4,0,0,0,66,1122,306,234,1243,16,2917,70,8,0,7,0,85,616,57,57,12,4,743,154,22,10,32,0,211,310,9,3,0,3,328,202,13,13,0,0,226,191,27,20,51,0,290,10946,536,422,480,61,12448,419,19,36,112,1702,2291,30492,3247,2615,12831,2008,51193
SED55102,624,2343,2036,11186,131,16319,18,107,70,1082,18,1291,465,14,46,39,0,564,202,57,40,208,3,505,522,128,109,287,0,1054,7286,2136,1840,8596,157,20013,570,18,55,6,5,661,172,27,29,58,0,289,549,131,128,667,8,1477,70,28,17,94,0,221,69,17,12,26,0,134,1144,61,32,52,5,1289,1344,315,231,1955,23,3852,700,295,191,1123,11,2324,23,0,4,0,0,27,15,10,0,20,0,46,54,24,5,44,0,127,60,20,21,43,0,146,742,94,72,25,12,945,450,168,92,40,9,766,233,53,41,128,0,455,73,3,14,20,0,111,79,10,6,0,0,97,1629,421,328,2009,21,4405,67,14,0,13,5,94,553,53,49,17,0,666,113,16,11,39,0,175,72,8,3,9,0,90,145,5,10,15,0,176,262,36,39,123,0,453,4714,465,398,494,62,6132,220,14,24,154,4055,4469,18343,4056,3344,19524,4431,49692
SED55202,1012,1844,1469,7096,123,11537,15,85,54,1132,27,1317,2893,39,93,55,25,3103,89,15,24,56,0,176,468,121,77,205,3,876,5849,1638,1308,6006,160,14959,2056,9,76,9,6,2166,147,13,13,52,6,232,397,91,79,438,10,1005,54,19,10,54,0,131,48,15,3,16,0,72,2192,52,53,36,7,2339,1076,262,186,1393,21,2935,627,175,95,555,9,1465,217,0,5,0,0,227,80,9,5,3,0,94,14,0,0,12,0,25,39,15,10,16,0,80,575,83,50,8,14,733,218,78,51,31,0,374,165,31,10,79,0,286,53,3,10,15,0,81,98,20,0,0,0,118,1242,337,225,1310,26,3139,76,4,3,10,0,96,225,22,34,18,0,310,155,7,0,19,0,190,180,3,5,0,0,195,260,5,23,3,0,292,164,32,27,68,0,291,10334,464,424,415,85,11716,443,24,28,103,2525,3127,26641,3165,2548,13192,2959,48500
SED55306,372,2219,1913,12823,189,17515,3,57,32,739,8,841,206,16,28,51,0,301,47,20,21,97,4,182,455,133,96,295,7,990,5839,2204,1744,11517,210,21525,163,10,46,21,0,235,207,25,30,82,0,347,522,146,123,822,14,1623,46,27,8,90,0,174,35,17,3,30,0,87,137,21,23,36,0,210,1126,401,270,2922,34,4753,417,185,99,971,22,1691,54,0,11,0,0,71,10,4,3,5,0,16,6,5,9,29,0,48,26,13,7,30,0,75,135,51,29,23,4,241,263,158,93,47,9,566,132,37,37,68,5,275,47,9,11,29,0,94,7,0,0,0,0,8,1212,445,356,2663,19,4698,27,4,0,8,0,42,280,53,47,16,3,402,69,14,6,81,0,178,31,5,5,8,0,53,65,8,3,8,0,81,208,46,27,116,0,398,1537,308,336,401,26,2612,85,31,27,245,2513,2889,10598,3852,3094,23844,2951,44333
SED55405,531,1906,1657,7414,162,11665,11,81,39,852,24,1010,4128,75,173,94,18,4495,118,37,29,134,4,314,378,132,63,239,4,820,4837,1749,1429,6368,150,14542,710,10,92,9,5,824,236,34,23,66,0,353,509,109,109,590,9,1326,95,46,18,89,0,251,50,16,7,23,0,91,1988,50,58,42,8,2150,1376,385,283,1988,31,4057,1070,280,146,977,25,2500,453,7,18,4,0,484,31,25,5,8,0,68,22,5,12,14,0,49,39,16,8,31,0,95,239,36,33,20,3,328,251,93,65,16,0,427,249,49,36,110,0,443,120,9,10,18,0,153,28,0,0,0,0,35,1230,438,339,1736,24,3761,62,10,11,10,0,88,232,40,20,9,0,303,182,9,22,39,0,248,186,12,13,15,0,230,475,3,38,0,0,527,185,48,34,113,0,375,8710,439,551,491,84,10279,283,11,22,102,3110,3523,24225,3480,2985,14337,3595,48622
SED55504,777,2362,2054,8749,85,14029,11,68,23,588,14,705,825,19,43,57,5,950,144,49,32,125,5,358,523,117,71,201,10,923,11476,2081,1827,6266,156,21803,829,13,68,24,5,933,200,26,14,50,0,295,622,121,90,494,6,1336,111,26,20,88,0,243,79,12,8,9,0,99,1665,40,24,28,0,1765,2661,368,273,1533,26,4861,730,312,179,916,14,2147,40,0,8,0,0,45,23,3,0,7,0,39,106,33,17,72,0,227,43,21,9,34,0,104,613,74,36,21,5,749,459,163,105,42,5,772,264,32,33,73,0,404,72,7,15,16,0,114,40,16,0,0,0,52,2786,345,344,1363,31,4865,69,19,3,11,0,107,1088,57,53,7,3,1220,142,14,11,41,0,206,64,9,9,4,0,87,393,14,27,17,0,439,471,49,39,72,0,633,4512,408,346,403,40,5715,316,29,27,142,1708,2227,25497,3934,3295,14704,2038,49470
SED55605,566,2734,2377,11891,125,17693,16,102,71,1172,8,1375,267,14,29,56,0,366,111,41,28,125,0,308,540,164,150,356,12,1226,10610,2464,2163,9171,129,24542,335,12,83,13,0,444,130,16,17,49,0,214,492,145,142,717,9,1502,44,24,17,65,0,147,39,8,6,24,0,80,230,43,13,38,4,332,1780,339,269,1959,36,4383,386,227,113,802,4,1545,38,0,0,0,0,42,10,8,8,7,0,36,22,4,5,17,0,46,35,24,7,39,0,105,1081,136,108,29,10,1360,458,169,119,55,3,804,154,35,25,93,3,304,62,8,15,22,0,105,95,12,4,0,0,115,2343,485,385,2038,29,5274,116,16,0,15,0,147,649,88,52,20,0,814,109,16,6,50,0,184,8,8,3,0,0,19,58,0,4,0,0,64,416,75,42,106,3,642,2325,386,400,448,28,3594,171,36,35,180,2198,2617,18201,4460,3808,20234,2525,49231
SED55706,353,1991,1709,11592,189,15829,7,73,29,724,9,847,187,18,14,33,0,254,80,41,14,117,0,263,499,139,82,249,12,975,5994,2058,1682,10490,282,20502,278,0,33,8,0,320,227,22,30,66,0,345,657,117,152,754,16,1702,54,25,3,61,0,140,47,13,9,9,0,80,129,20,17,23,0,191,1056,390,277,2617,57,4398,613,229,96,889,11,1836,38,0,0,0,0,39,10,0,0,8,0,18,131,17,11,69,0,227,37,13,8,18,0,72,123,47,28,8,0,214,253,124,69,38,5,485,159,34,19,94,3,311,44,6,9,15,0,75,4,0,0,0,0,9,1267,426,319,2614,60,4686,27,0,7,8,0,40,201,36,27,5,0,273,104,5,16,48,0,173,24,6,3,0,0,31,52,0,0,0,3,59,223,51,26,107,7,409,1642,323,313,475,37,2782,105,43,35,219,3448,3850,11373,3652,2884,21563,3974,43443
SED55802,1189,2082,1850,8739,91,13948,18,92,57,1139,18,1326,1466,42,77,60,9,1643,197,54,42,186,4,487,366,106,58,252,5,787,6184,1829,1476,6773,132,16389,2065,18,106,13,8,2208,210,19,21,40,5,298,410,129,96,540,4,1186,113,66,31,108,0,318,74,3,7,27,0,117,3052,86,49,54,4,3238,1297,298,199,1506,22,3328,868,359,204,1206,11,2648,76,0,0,4,0,83,45,9,3,9,0,65,269,48,31,70,6,429,67,18,13,51,0,145,725,79,60,38,4,902,370,123,83,49,3,627,278,50,43,139,0,519,81,4,15,10,0,111,72,20,6,3,0,95,1379,355,291,1435,18,3473,202,12,8,22,0,239,539,53,37,20,0,652,285,10,17,72,0,377,138,13,6,10,0,165,1468,29,39,28,0,1569,187,42,35,72,3,339,9629,486,438,573,65,11194,514,37,35,115,2082,2786,27806,3785,3081,15892,2412,52973
SED55905,506,1979,1598,7916,113,12113,11,48,29,795,12,897,1741,45,90,54,17,1945,729,161,41,308,11,1245,367,93,79,194,8,742,4681,1689,1338,6797,164,14660,626,10,54,15,6,710,220,32,37,46,5,340,456,104,102,514,6,1184,76,43,12,73,3,201,60,11,0,14,0,80,578,37,22,22,3,663,1117,361,246,1862,32,3610,1720,491,206,1336,26,3784,137,0,5,7,0,147,33,0,0,5,0,40,27,8,0,35,0,63,47,6,9,26,0,84,213,52,15,10,4,295,221,101,59,24,5,406,230,31,37,74,3,381,90,7,9,10,0,111,42,11,0,0,0,47,1248,416,292,1746,28,3734,239,10,16,17,0,285,321,57,39,20,0,437,199,19,14,34,3,280,82,18,3,6,6,113,153,0,10,0,0,166,177,49,33,105,4,366,3875,437,437,517,54,5319,186,28,13,90,1907,2228,16550,3646,2710,15265,2316,40484
SED59494,38,167,166,1347,24,1746,6,8,6,354,25,402,51,0,0,8,0,67,13,3,0,8,0,28,52,12,9,13,0,89,602,174,149,916,17,1856,34,0,9,0,0,34,44,0,0,5,0,52,104,17,7,95,4,227,7,7,0,4,0,18,7,0,0,3,0,14,23,0,0,0,0,29,146,32,16,278,6,481,79,19,10,60,3,175,8,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,11,44,8,5,0,0,56,50,8,9,6,4,73,20,3,0,11,0,37,12,0,0,0,0,8,4,0,0,0,0,4,141,29,34,255,0,463,0,0,0,0,0,5,34,3,9,0,0,52,25,0,0,0,0,32,9,0,0,0,0,9,14,0,0,0,0,14,17,0,5,7,0,31,314,29,24,68,16,450,19,6,0,32,3432,3489,1481,314,268,2478,3512,8055
SED59797,9,8,4,59,3,76,0,0,0,7,0,7,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,8,49,11,4,50,0,116,16,0,0,0,0,13,4,0,0,0,0,4,8,0,0,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,19,0,36,7,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,17,7,0,0,0,0,4,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,11,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,3,4,0,44,12,0,0,0,218,228,169,17,10,115,221,514
