UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL522028,0,0,0,4,3,4,0,0,0,4,5,7,4,7,14,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,11,17,18,30
UCL522029,8,7,13,16,19,32,0,4,6,3,0,3,18,20,40,7,6,10,6,9,15,4,0,7,23,14,34,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,5,6,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,4,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,15,5,16,66,54,118
UCL522030,4,4,11,9,7,21,0,0,0,0,0,5,10,6,22,5,6,7,0,0,0,0,0,0,5,6,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,24,18,50,52,34,86
UCL522031,9,9,20,26,26,53,0,0,0,0,0,0,26,26,53,7,9,14,0,0,0,0,0,0,7,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,50,45,93
UCL522032,4,3,3,17,27,42,0,0,0,0,0,0,17,27,42,5,6,9,3,0,3,0,0,0,4,6,12,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,4,9,9,0,0,0,0,0,0,0,0,0,0,0,0,17,21,42,49,60,112
UCL522033,0,0,0,10,15,21,0,0,0,0,0,0,10,15,21,7,8,19,0,0,0,0,0,0,7,13,18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,4,4,0,0,0,0,0,3,20,15,36,40,47,86
UCL522034,0,0,0,5,10,15,0,0,0,0,0,0,5,10,15,3,3,6,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,14,18,22,38
UCL522035,0,0,0,9,8,18,0,0,0,0,0,0,9,13,17,6,4,6,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,11,12,21,24,35,59
UCL522036,3,0,6,13,7,19,0,0,0,0,0,0,13,7,19,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,12,0,12,29,14,47
UCL522037,0,3,3,11,22,28,0,0,0,0,0,0,12,22,35,3,10,13,0,0,0,0,0,0,3,10,13,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,6,5,11,9,0,0,0,0,0,0,0,0,0,0,0,0,13,18,34,36,53,92
UCL522038,4,3,16,32,14,48,0,0,0,0,0,0,32,15,48,13,9,18,0,0,0,0,0,0,12,12,20,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,8,8,13,11,0,0,0,0,0,0,0,0,0,0,3,3,15,12,22,62,49,113
UCL522039,0,3,5,13,7,22,0,0,0,0,0,4,16,13,28,9,6,17,0,0,0,0,0,0,9,11,21,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,5,5,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,5,7,4,15,0,0,0,0,0,0,0,0,0,0,0,0,29,28,55,67,52,114
UCL522040,0,0,0,0,6,6,0,0,0,0,0,0,0,4,4,3,0,4,0,0,0,0,0,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,21,12,20,27
UCL522041,0,0,0,8,5,11,0,0,0,0,0,0,8,5,11,13,9,19,0,0,0,0,0,0,13,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,5,0,0,0,0,0,0,0,0,4,20,20,44,41,37,84
UCL522042,3,5,12,23,19,38,0,0,0,0,0,6,24,22,43,9,5,13,0,0,0,0,0,0,9,5,13,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,7,7,12,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,5,7,10,16,0,0,0,0,0,3,0,0,0,0,0,8,30,35,69,80,82,161
UCL522043,10,3,10,30,28,55,0,0,0,0,3,3,30,27,59,25,27,50,0,0,0,0,0,0,25,32,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,33,82,71,150
UCL522044,0,0,0,6,8,12,0,0,0,0,0,0,6,8,12,3,6,9,0,0,0,0,0,0,3,6,9,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,13,10,19,21,25,40
UCL522045,4,4,9,0,0,0,8,17,23,0,0,0,8,17,23,0,0,0,3,3,8,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,31,32,41,73
UCL522046,0,0,3,10,10,18,0,0,0,0,0,0,10,10,18,3,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,8,0,0,0,0,0,0,0,0,0,0,0,0,29,21,45,36,41,79
UCL522047,4,3,5,12,8,17,0,0,0,0,3,4,13,12,25,3,5,12,0,0,0,6,0,4,8,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,3,7,8,0,0,0,0,3,3,0,0,0,0,5,5,66,62,126,89,90,181
UCL522048,0,0,0,14,11,26,0,0,0,0,0,0,14,11,26,9,4,10,0,0,0,3,0,5,11,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,6,8,6,10,6,0,6,0,0,0,0,0,0,6,0,6,16,17,32,49,35,86
UCL522049,0,0,5,3,3,13,4,5,18,0,0,0,15,15,24,6,0,6,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,54,96,60,68,128
UCL522050,0,6,9,19,14,32,0,0,0,0,0,3,17,15,34,4,3,10,0,0,0,0,0,0,5,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,8,0,0,0,0,0,0,0,0,0,0,0,0,44,33,75,69,63,131
UCL522051,0,5,5,6,3,10,0,0,0,0,0,0,9,3,14,0,8,11,0,4,4,0,0,0,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,4,5,9,5,5,8,0,0,0,0,3,3,0,0,0,0,3,3,10,7,19,26,31,54
UCL522052,0,0,0,4,5,9,0,0,0,0,0,0,4,5,9,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,8,11,13,16,32
UCL522053,0,0,0,7,11,23,0,0,0,0,0,0,7,11,23,6,4,13,0,0,0,0,0,0,6,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,31,28,32,63
UCL522054,0,0,0,4,13,19,0,0,0,0,0,0,4,13,19,3,0,5,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,24,7,27,28,31,65
UCL522055,0,5,8,10,8,15,3,0,3,0,0,0,13,8,18,5,5,8,0,3,3,0,0,0,5,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,13,8,30,32,30,63
UCL522056,0,0,0,16,19,33,0,0,0,0,0,0,16,19,33,9,13,18,0,0,3,0,0,0,5,10,20,0,0,0,0,0,0,0,0,5,3,4,9,0,0,0,6,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,8,0,0,0,0,0,0,0,0,0,0,0,0,16,19,35,44,59,101
UCL522057,3,0,3,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,6,0,4,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,13,6,21,27,14,40
UCL522058,0,0,6,7,15,26,0,0,0,0,0,0,7,15,26,8,13,21,0,0,0,0,0,0,8,13,21,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,15,31,46,33,60,101
UCL522059,0,6,5,10,11,26,0,0,0,0,0,0,13,11,28,8,3,13,0,0,0,0,0,0,8,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,39,37,78,63,63,123
UCL522060,0,0,0,4,0,4,0,0,0,0,3,3,4,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,7,8,10
UCL522061,3,0,3,9,8,19,0,0,0,0,0,0,9,8,19,0,12,10,0,0,0,0,0,0,3,12,15,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,15,23,21,45
UCL522062,5,3,4,22,15,41,0,0,0,0,0,0,22,15,41,6,3,8,0,0,0,0,0,0,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,12,40,29,67
UCL522063,0,0,0,12,13,21,0,0,0,0,0,0,12,13,21,13,13,26,0,0,0,0,0,0,13,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,17,36,29,63
UCL522064,10,5,12,0,5,3,17,12,29,0,0,0,15,16,36,0,0,3,6,19,23,5,5,3,7,22,28,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,13,0,0,0,0,0,0,0,0,0,0,0,0,12,10,25,58,55,116
UCL522065,0,0,0,13,9,20,0,0,0,0,0,4,15,8,22,0,4,6,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,30,31,55,45,48,95
UCL522066,7,3,10,17,18,35,5,3,7,0,0,0,19,23,39,12,14,22,0,0,0,0,0,0,12,14,22,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,22,38,57,66,81,146
UCL522067,0,0,0,9,11,16,0,0,0,0,0,0,9,11,16,8,0,10,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,8,0,0,0,0,0,0,0,0,0,0,0,0,39,20,55,53,39,88
UCL522068,5,0,4,17,16,35,5,0,5,0,0,0,23,19,39,15,11,28,3,0,6,0,0,0,18,16,32,0,0,0,0,0,4,0,3,8,0,4,4,0,0,0,5,8,12,0,4,3,0,3,3,0,0,0,0,0,0,0,0,0,0,12,9,3,15,22,0,0,0,0,0,0,0,0,0,0,0,0,33,11,48,81,68,150
UCL522069,0,0,0,9,4,13,0,0,0,0,0,0,9,4,13,3,8,11,0,0,0,0,0,0,3,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,17,15,39,33,35,68
UCL522070,0,8,10,18,18,35,0,0,0,0,0,0,18,18,37,12,8,18,0,0,0,0,0,0,12,15,25,4,0,4,0,0,0,0,0,0,0,5,5,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,5,11,0,0,0,0,3,3,0,0,0,0,3,3,14,16,27,52,62,111
UCL522071,5,4,8,0,0,0,0,0,0,26,28,52,26,28,52,0,0,0,0,0,0,3,16,19,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,25,51,57,107
UCL531001,1033,999,2029,4128,3678,7802,1025,1002,2026,1028,916,1943,6187,5598,11780,2742,2565,5305,882,901,1789,1275,1267,2543,4897,4738,9640,224,186,414,72,162,235,549,253,794,305,762,1066,6,9,16,1159,1361,2522,402,658,1067,109,297,405,90,170,268,261,722,978,5,0,4,864,1850,2714,2023,3219,5244,136,138,275,202,369,570,6,4,6,342,509,851,14257,6812,21075,28735,21876,50614
UCL579997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,9,0,8,13,0,17,0,0,0,0,0,3,0,0,0,0,0,3,193,20,219,209,28,237
UCL599994,22,18,41,94,92,181,13,7,22,23,17,35,121,114,243,39,47,83,4,3,6,9,4,19,51,55,109,13,11,16,9,18,33,11,6,15,7,25,34,0,0,0,44,59,99,14,25,42,13,17,31,0,3,9,15,25,46,3,0,3,52,68,122,96,130,224,16,16,32,7,16,23,0,0,4,23,34,55,2227,1260,3489,2535,1623,4160
