UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL522050,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,15,16,8,16,40,10,36,0,165
UCL522051,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,10,8,21,4,5,25,16,3,16,3,110
UCL522052,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,9,0,0,7,4,5,0,39
UCL522053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,11,0,8,3,0,3,0,34
UCL522054,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,11,9,4,12,11,16,18,0,80
UCL522055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,14,3,9,11,19,14,52,3,142
UCL522056,5,0,0,0,0,6,0,5,0,7,4,0,0,0,0,0,0,3,0,12,10,11,10,9,26,20,17,57,3,176
UCL522057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,18,13,36,15,14,16,0,126
UCL522058,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,6,10,6,8,16,7,10,0,71
UCL522059,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,6,14,9,9,19,28,5,30,4,122
UCL522060,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,16
UCL522061,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,14,25,15,9,17,22,4,16,0,119
UCL522062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,11,6,9,6,0,10,5,37
UCL522063,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,14,5,3,8,0,6,5,37
UCL522064,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,12,7,0,18,13,22,15,6,13,12,104
UCL522065,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,13,14,7,23,15,8,18,0,102
UCL522066,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,6,11,20,20,13,14,40,17,42,6,189
UCL522067,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,4,6,3,3,14,15,3,41,3,102
UCL522068,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,5,0,0,3,16,15,28,21,14,35,39,13,35,4,202
UCL522069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,9,10,11,10,18,16,8,15,3,96
UCL522070,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,4,3,10,11,27,11,12,20,16,8,23,4,130
UCL522071,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,11,20,6,8,11,5,5,5,5,16,15,66
UCL531001,115,418,285,218,382,531,191,517,44,2699,221,468,306,194,331,520,145,534,626,3337,4595,10898,8540,5471,8991,12716,4920,21891,1763,79789
UCL579997,0,0,0,0,0,0,0,0,0,4,8,5,0,0,0,0,0,29,0,35,13,14,5,3,5,5,11,220,5,277
UCL599994,6,12,6,4,9,4,0,10,0,52,9,13,0,3,5,20,0,24,12,78,181,208,163,110,217,250,70,370,33,1614
