UCL_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL521048,4,5,6,5,3,9,13,8,3,62,0,3,9,7,9,11,3,3,4,53,0,4,8,5,8,17,10,0,0,52,0,5,9,3,7,14,3,0,0,43,0,0,3,10,9,4,4,3,0,31,0,0,5,0,8,9,4,0,0,24,0,0,4,6,10,9,0,0,0,32,0,0,0,4,0,5,0,0,0,3,0,0,0,3,6,5,0,0,0,13,0,3,16,10,6,15,12,14,4,84,33,35,90,85,86,161,181,95,34,808
UCL521049,0,3,7,3,3,0,0,0,0,17,0,3,6,0,0,3,0,0,0,18,0,4,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,8,0,0,0,3,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,9,9,6,4,4,0,0,0,42,42,57,88,87,66,46,11,4,0,406
UCL521050,3,11,6,12,4,3,14,0,5,56,0,3,7,11,3,13,4,0,0,45,0,4,10,13,10,7,3,0,0,49,0,5,6,0,10,12,3,0,0,29,0,5,8,4,6,9,0,0,0,33,0,0,8,9,6,0,0,0,0,24,0,0,14,13,8,0,0,0,0,39,0,0,0,0,0,0,0,0,0,6,0,0,4,4,0,0,0,4,0,12,6,4,9,5,0,4,14,9,0,52,25,41,97,95,69,95,108,43,19,593
UCL521051,3,7,4,5,4,8,3,3,0,38,0,12,8,9,12,8,3,0,0,56,0,7,7,11,15,15,0,0,0,53,0,5,9,4,12,13,0,0,0,44,0,7,4,4,16,16,4,0,0,47,0,0,0,8,8,15,3,0,0,28,0,3,4,10,6,14,4,0,0,32,0,0,0,0,0,0,0,0,0,9,0,0,5,5,0,0,0,0,0,8,4,3,6,14,7,7,11,15,5,66,56,62,82,92,122,152,80,49,10,698
UCL521052,0,0,0,11,7,0,5,0,0,27,0,0,8,3,6,4,0,3,0,27,0,3,9,10,10,4,0,0,0,31,0,0,9,6,8,5,0,0,0,36,0,0,5,5,8,0,0,0,0,18,0,0,7,6,6,4,0,0,0,16,0,0,3,10,8,7,0,0,0,30,0,0,3,0,3,3,0,0,0,12,0,0,0,0,4,0,0,0,0,9,6,8,23,33,17,20,8,3,0,121,42,36,101,118,101,90,49,25,0,575
UCL522001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,9,0,0,0,0,4,0,0,0,0,10,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,3,4,0,0,19,39,54,89,71,54,30,17,4,3,358
UCL522002,0,0,0,4,3,3,6,0,0,22,0,0,3,0,3,0,0,3,0,14,0,0,0,0,5,0,0,0,0,10,0,0,5,0,0,6,0,0,0,13,0,0,0,0,0,5,0,0,0,10,0,0,0,3,0,0,0,0,0,11,0,0,0,3,3,5,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,4,6,0,0,0,21,9,13,30,23,38,41,64,29,9,248
UCL522003,0,0,3,5,7,0,0,0,0,15,0,0,0,0,0,6,0,0,0,7,0,0,0,5,0,0,0,0,0,12,0,0,5,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,9,13,15,4,0,0,0,3,44,19,33,53,38,37,14,11,6,4,218
UCL522004,0,0,0,0,3,0,0,0,0,8,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,45,31,45,38,26,25,9,3,0,228
UCL522005,0,0,8,5,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,3,0,0,4,4,0,0,0,0,0,12,0,0,0,4,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,4,13,5,4,0,0,0,0,36,30,9,55,55,24,22,9,9,0,214
UCL522006,0,6,0,0,4,0,5,4,0,21,0,4,7,0,4,9,3,0,0,31,0,3,3,3,8,3,5,0,0,27,0,0,3,5,0,8,3,0,0,27,0,0,3,3,8,3,3,0,0,24,0,0,6,0,10,0,0,0,0,15,0,0,0,9,15,14,0,0,0,39,0,0,0,3,0,0,0,0,0,7,0,0,0,6,7,3,0,0,0,22,0,0,7,0,5,7,4,0,0,15,32,33,33,46,70,69,52,21,8,369
UCL522007,0,4,0,0,7,3,7,3,0,22,0,0,0,9,6,0,0,0,0,12,0,0,0,0,4,12,4,0,0,22,0,6,3,0,0,0,0,0,0,7,0,0,4,4,5,4,0,0,0,11,0,3,5,0,6,0,0,0,0,8,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,4,0,0,14,5,12,22,17,17,42,58,21,9,191
UCL522008,0,0,4,0,0,7,6,5,0,14,0,0,0,0,6,0,0,0,0,5,0,0,3,0,0,0,3,0,0,14,0,0,3,4,0,4,0,0,0,10,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,8,4,4,0,12,5,5,22,19,21,40,37,14,4,166
UCL522009,0,0,0,0,3,0,0,0,0,17,0,0,0,3,10,6,0,0,0,27,0,7,0,8,10,9,6,0,0,39,0,0,3,8,10,6,0,0,0,25,0,0,4,3,11,0,0,0,0,22,0,0,0,0,3,0,0,0,0,14,0,0,8,0,3,0,0,0,0,13,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,3,8,8,16,4,0,0,0,35,32,28,42,49,79,49,25,10,0,313
UCL522010,0,0,0,6,0,0,3,0,0,13,0,3,9,5,8,3,0,0,0,28,0,0,0,5,0,4,3,0,0,21,0,0,0,0,3,3,0,0,0,11,0,0,5,3,3,5,0,0,0,18,0,0,6,0,3,8,0,0,0,22,0,0,3,6,10,7,0,0,0,28,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,11,26,16,8,57,38,16,31,40,43,52,58,26,10,313
UCL522011,0,0,3,0,0,3,5,0,4,21,0,3,4,4,3,6,3,0,0,35,0,0,8,10,0,3,0,0,0,20,0,4,5,5,4,5,0,0,0,17,0,0,3,6,0,3,0,0,0,16,0,0,0,3,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,3,0,5,17,3,4,9,3,0,46,6,22,36,54,26,41,52,20,9,265
UCL522012,0,0,3,0,8,5,12,9,4,44,0,5,10,6,5,9,9,3,0,38,0,0,13,4,0,13,3,0,0,36,0,0,4,0,3,3,4,0,0,19,0,0,0,0,6,0,0,4,0,13,0,0,4,0,0,0,0,0,0,12,0,0,5,0,0,3,0,0,0,16,0,0,0,10,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,5,5,0,10,4,5,7,3,6,0,38,12,9,55,36,49,92,92,53,16,416
UCL522013,0,3,6,5,6,8,0,0,0,23,0,6,0,0,7,9,6,0,0,27,0,3,5,0,3,5,0,0,0,21,0,0,0,0,7,7,3,0,0,14,0,3,3,0,5,3,0,0,0,17,0,0,0,5,3,3,0,0,0,15,0,0,0,11,3,7,0,0,0,30,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,4,3,0,5,0,3,5,0,0,22,35,17,35,49,74,79,44,19,8,359
UCL522014,0,0,0,3,0,0,0,0,0,7,0,0,3,0,5,0,0,0,0,12,0,0,0,3,0,6,0,0,0,13,0,4,0,0,6,0,0,0,0,11,0,0,0,0,5,0,0,0,0,4,0,0,3,0,0,3,0,0,0,3,0,0,4,4,4,0,0,0,0,18,0,0,0,4,3,0,0,0,0,10,0,0,0,0,3,0,0,0,0,3,0,0,0,4,3,3,3,0,0,14,12,13,25,29,26,36,19,9,0,167
UCL522015,0,4,13,6,0,4,0,0,0,36,6,3,15,8,3,3,3,0,0,45,0,4,12,7,7,7,0,0,0,33,0,3,6,4,3,0,6,0,0,16,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,6,0,5,0,0,0,18,12,25,63,39,24,31,23,3,0,217
UCL522016,0,0,4,0,0,4,0,3,0,9,0,0,4,4,0,3,0,0,0,15,0,0,5,4,5,6,0,0,0,19,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,3,0,3,0,9,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,7,5,7,3,3,3,37,12,6,21,30,29,46,33,29,5,221
UCL522017,0,3,3,6,4,4,8,0,0,23,0,0,4,3,3,8,0,0,0,27,0,3,9,3,3,11,4,0,0,26,0,0,0,0,7,3,0,0,0,13,0,0,5,4,0,4,0,0,0,12,0,0,0,3,3,0,0,0,0,9,0,0,0,4,5,6,0,0,0,16,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,10,4,5,0,26,12,15,35,36,49,75,76,27,5,323
UCL522018,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,3,0,0,0,5,0,4,0,3,0,0,4,0,0,11,0,0,3,0,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,5,4,6,0,0,33,0,9,9,5,16,22,52,11,0,130
UCL522019,0,0,0,0,0,3,5,0,0,4,0,0,0,3,0,4,3,0,0,12,0,0,3,0,8,8,0,0,0,18,0,0,0,3,0,3,0,0,0,12,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,5,13,4,7,0,0,0,29,5,3,10,25,22,38,26,9,8,155
UCL522020,0,4,3,0,0,6,0,0,0,20,0,0,6,4,4,0,0,0,0,12,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,12,17,23,39,26,26,43,15,0,0,184
UCL522021,0,0,0,3,0,0,11,8,0,27,0,3,0,8,3,9,0,3,0,26,0,0,0,0,8,4,0,0,0,25,0,0,0,3,0,0,3,0,0,8,0,3,0,4,3,5,0,0,0,14,0,0,3,10,0,0,0,0,0,8,0,0,3,4,3,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,3,0,10,7,0,26,13,21,22,49,35,38,71,30,4,289
UCL522022,0,0,0,0,0,4,0,3,0,9,0,3,6,0,4,7,0,0,0,22,0,0,6,8,9,8,0,5,0,25,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,4,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,8,3,11,5,0,35,5,12,30,24,37,36,39,26,0,205
UCL522023,0,0,0,4,0,0,4,0,0,19,0,0,4,0,4,7,3,0,0,22,0,0,4,3,3,0,3,3,0,14,0,0,5,3,7,6,0,0,0,16,0,0,0,0,0,5,0,0,0,6,0,0,5,5,0,3,0,0,0,10,0,0,4,5,4,5,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,0,3,6,5,9,8,0,0,38,15,12,33,33,47,64,57,21,9,279
UCL522024,0,0,0,0,0,3,4,4,0,14,0,0,0,0,0,5,5,3,0,18,0,0,0,0,0,3,4,6,0,21,0,0,0,0,0,5,9,4,0,19,0,0,0,0,0,5,5,0,0,9,0,0,0,0,0,3,0,0,0,12,0,0,0,6,11,7,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,4,4,3,6,10,5,5,11,12,23,62,74,37,10,232
UCL522025,0,0,4,10,6,7,11,4,0,33,0,3,5,8,4,8,9,4,0,40,0,3,5,3,5,9,4,0,0,28,0,0,5,4,3,7,0,0,0,16,0,0,0,8,3,4,0,0,0,18,0,0,0,0,0,6,0,0,0,9,0,0,0,5,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,3,4,5,5,10,12,15,12,0,64,15,21,34,49,43,75,91,49,20,391
UCL522026,0,0,0,3,0,3,7,0,0,21,0,0,0,0,5,3,5,0,0,9,0,0,0,0,4,0,7,4,0,13,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,7,0,0,0,10,0,0,4,0,3,0,3,0,0,9,0,0,3,0,0,10,6,0,0,20,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,4,0,0,5,0,0,3,0,0,0,4,0,0,14,5,6,19,12,24,49,93,58,10,276
UCL522027,0,4,0,4,0,3,4,0,0,18,0,0,3,3,6,0,0,0,0,11,0,0,4,6,5,9,6,0,0,15,0,3,3,4,8,7,0,0,0,20,0,5,0,6,0,3,0,0,0,11,0,0,0,3,4,4,0,0,0,11,0,0,4,5,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,4,9,6,3,3,0,3,27,18,18,28,42,35,64,51,37,7,304
UCL522028,0,0,3,3,0,3,0,9,0,13,0,0,0,0,0,0,4,0,0,10,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,16,0,6,18,6,6,38,33,24,5,137
UCL522029,0,4,0,3,8,3,6,3,0,28,0,0,3,3,3,8,6,0,0,28,0,0,6,10,0,3,0,0,0,25,0,0,5,3,4,4,3,0,0,15,0,0,0,7,3,3,0,0,0,14,0,0,0,0,6,4,0,0,0,13,0,0,3,3,4,0,0,0,0,12,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,3,3,8,5,0,0,0,27,22,10,49,55,43,42,44,16,3,298
UCL522030,0,0,6,0,0,3,0,0,0,15,0,0,0,0,0,5,6,0,0,13,0,0,4,0,4,4,0,0,0,10,0,5,3,0,0,5,0,0,0,11,0,3,3,6,0,0,0,0,0,16,0,0,4,0,0,0,0,0,0,8,0,0,4,5,0,3,0,0,0,15,0,0,0,0,0,3,4,0,0,8,0,0,0,0,0,0,0,0,0,6,3,0,8,6,5,4,3,0,0,37,8,12,37,33,27,42,22,8,0,198
UCL522031,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,34,10,52,34,27,21,7,0,0,187
UCL522032,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,8,7,3,0,22,41,42,45,53,49,38,11,3,0,292
UCL522033,0,6,0,4,4,6,9,4,0,27,0,0,4,0,6,8,0,0,0,26,0,0,7,3,10,5,0,0,0,33,0,0,0,0,3,0,3,0,0,13,0,0,0,0,5,6,0,4,0,9,0,0,7,0,0,3,0,0,0,10,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,3,6,7,6,5,0,35,19,12,29,24,53,75,101,53,4,370
UCL522034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,22,8,38,29,15,20,10,4,0,146
UCL522035,0,0,6,0,8,3,6,3,0,16,0,0,5,6,0,4,3,0,0,15,0,3,0,0,3,3,0,0,0,10,0,0,6,0,7,4,0,0,0,15,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,4,0,5,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,5,0,0,4,0,20,12,9,22,20,38,43,32,11,10,193
UCL522036,0,0,6,4,3,4,0,3,0,15,0,0,0,0,3,4,4,0,0,11,0,0,0,0,4,5,0,0,0,15,0,0,0,0,0,5,0,0,0,9,0,0,0,3,4,0,0,0,0,11,0,0,0,5,5,0,0,0,0,9,0,0,5,0,0,4,0,0,0,10,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,5,0,0,0,17,9,5,12,18,39,38,44,16,0,185
UCL522037,0,3,7,0,5,0,3,0,0,10,0,0,3,0,4,0,0,3,0,9,0,0,7,9,4,0,4,0,0,23,0,0,5,9,3,4,0,0,0,19,0,0,0,4,5,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,7,3,0,7,8,5,8,5,3,5,35,15,4,31,37,36,39,38,25,9,234
UCL522038,0,4,3,5,6,3,5,4,5,28,0,4,4,3,5,10,6,5,0,37,6,7,9,10,5,8,0,3,0,53,0,3,13,0,4,6,5,4,0,29,0,3,7,0,3,5,0,0,0,24,0,0,6,5,4,3,0,0,0,20,0,0,6,8,8,5,6,0,0,32,0,0,0,0,0,0,4,0,0,7,0,0,0,5,0,4,0,0,0,9,0,3,0,0,5,5,9,5,6,25,26,35,66,59,47,56,43,35,9,379
UCL522039,0,0,3,4,0,0,3,0,0,13,0,3,3,7,7,8,0,0,0,24,0,0,0,4,0,7,3,0,0,20,0,0,3,0,0,3,0,0,0,8,0,0,8,5,0,9,0,0,0,23,0,3,0,0,4,6,3,0,0,20,0,0,8,7,3,9,4,0,0,31,0,0,3,0,3,0,0,0,0,14,0,0,0,3,3,0,0,0,0,9,0,6,18,5,9,14,3,3,0,56,19,26,73,48,48,82,35,4,5,345
UCL522040,0,0,0,0,4,0,3,0,0,17,0,0,0,0,4,0,4,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,5,6,0,0,11,0,0,0,0,5,4,0,0,0,9,0,0,0,0,4,3,0,0,0,10,0,4,0,0,6,0,0,0,0,13,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,6,0,3,0,0,13,10,4,6,0,25,0,7,10,5,42,46,61,24,3,204
UCL522041,0,0,0,3,0,0,6,3,0,16,0,0,3,3,6,7,5,0,0,14,0,0,5,6,3,8,3,0,0,23,0,4,0,0,0,5,5,0,0,14,0,0,3,0,3,4,0,0,0,17,0,0,0,0,0,0,4,0,0,7,0,0,3,3,3,5,3,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,5,0,0,9,0,3,0,0,11,12,9,0,3,48,15,12,26,25,38,85,86,17,8,306
UCL522042,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,12,0,0,5,3,5,0,0,0,0,13,0,5,7,3,6,3,0,0,0,31,0,0,9,5,5,3,0,0,0,20,0,0,4,0,8,0,0,0,0,18,0,3,19,17,9,8,3,0,0,61,0,0,3,7,0,0,0,0,0,12,0,0,7,4,0,0,0,0,0,13,0,17,15,13,7,9,0,0,0,60,6,36,75,58,51,33,9,0,0,277
UCL522043,0,0,9,4,0,0,0,0,0,12,0,0,9,4,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,14,10,13,6,0,0,0,86,38,37,79,59,41,25,12,0,0,283
UCL522044,0,0,0,3,0,0,3,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,8,0,0,0,0,0,3,0,0,0,8,0,0,3,0,3,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,8,3,0,0,0,20,14,9,19,20,21,26,22,7,0,136
UCL522045,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,7,0,0,0,0,0,27,20,19,41,23,24,14,5,0,0,142
UCL522046,0,0,0,8,3,0,0,0,0,12,0,0,3,0,0,0,6,0,0,9,0,0,5,7,6,3,0,0,0,25,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,3,3,6,17,9,5,4,44,0,6,18,25,28,53,41,24,9,210
UCL522047,0,0,0,0,5,3,0,0,4,15,0,0,4,3,8,5,5,0,0,25,0,0,5,5,3,3,5,0,0,24,0,4,3,0,7,5,0,0,0,18,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,4,0,0,0,6,0,0,3,5,3,11,0,0,0,19,0,0,3,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,21,0,9,8,4,9,30,5,11,98,35,15,38,40,40,56,75,28,18,349
UCL522048,5,0,0,3,0,0,0,0,0,16,0,0,0,0,0,0,4,0,3,17,0,0,8,0,4,0,0,0,0,16,0,0,5,0,0,4,0,0,0,12,0,0,4,3,0,5,0,0,0,10,0,0,0,0,5,0,3,0,0,13,0,0,6,3,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,5,3,0,7,4,0,0,4,3,0,29,16,12,35,30,31,36,30,30,11,234
UCL522049,0,0,3,0,0,0,0,0,0,4,0,3,4,6,5,5,0,0,0,21,0,0,4,0,3,6,0,0,0,12,0,0,0,4,7,0,0,0,0,12,0,0,3,3,5,4,0,0,0,11,0,0,4,0,0,0,0,0,0,4,0,0,5,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,7,8,10,14,12,16,7,0,0,71,6,12,33,34,42,50,47,17,3,248
