UCL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL521032,4,0,7,5,4,7,4,12,0,42,0,0,0,0,0,0,0,0,0,3,12,6,29,14,20,19,11,3,0,116,31,47,130,64,77,106,50,20,0,516
UCL521033,0,0,0,0,0,4,5,0,0,15,0,0,0,0,3,0,0,0,0,0,12,15,33,47,55,44,24,10,0,236,19,23,56,82,93,96,63,24,9,461
UCL521034,0,0,0,0,0,3,3,9,0,19,0,0,0,0,0,0,0,0,0,0,0,4,13,6,12,15,3,6,3,62,22,43,71,85,129,139,80,44,11,627
UCL521035,0,0,0,0,0,0,4,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,9,4,9,9,4,14,0,57,12,6,38,51,74,98,93,67,19,450
UCL521036,0,0,0,0,0,8,9,7,0,31,0,0,0,0,0,0,0,0,0,0,5,3,12,0,24,19,13,5,0,96,11,29,70,36,87,113,84,45,3,483
UCL521037,0,0,0,0,0,9,11,13,5,36,0,0,0,0,0,0,0,0,0,0,0,3,4,12,11,9,8,6,0,59,36,35,92,155,136,127,109,71,11,762
UCL521038,0,0,0,0,4,4,24,18,6,59,0,0,0,0,0,0,0,3,0,10,4,9,10,17,11,22,14,15,3,107,19,21,47,71,95,136,161,94,44,679
UCL521039,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,5,0,0,3,12,13,6,7,0,49,16,16,46,95,115,163,111,64,19,641
UCL521040,0,0,0,0,3,0,0,3,3,18,0,0,0,0,0,0,7,4,0,4,0,13,36,28,22,26,6,0,0,133,8,31,154,147,102,99,45,15,6,607
UCL521041,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,6,12,0,0,0,3,0,0,24,4,29,164,121,53,47,11,0,0,437
