UCL_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL522011,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,3,0,4,8,3,0,0,0,0,20,0,0,7,4,3,0,0,0,14,9,15,14,5,3,11,5,0,59,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,11,11,15,5,7,12,5,0,66,0,0,0,0,0,0,0,0,3,6,5,17,5,5,11,3,0,45,16,22,43,19,19,28,8,0,158
UCL522012,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,5,0,5,5,5,3,5,0,0,21,0,10,3,3,7,5,4,0,34,3,15,15,8,18,14,0,0,75,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,9,6,19,13,14,16,15,7,4,87,0,0,0,0,0,3,0,0,8,5,3,3,11,13,14,5,0,56,9,44,29,33,42,44,20,5,219
UCL522013,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,8,0,5,0,0,22,0,0,0,6,13,5,0,0,34,11,12,16,25,16,12,3,0,104,0,3,0,3,3,0,0,0,8,0,0,0,0,0,5,0,0,3,14,22,16,31,22,12,3,0,114,0,0,0,0,0,5,0,0,6,7,0,0,4,10,5,4,0,24,21,24,30,42,43,25,9,5,202
UCL522014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,9,3,13,12,0,14,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,7,13,15,3,14,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,0,0,11,3,18,14,5,18,6,3,0,70
UCL522015,0,0,0,3,0,0,6,0,0,0,0,0,3,0,0,3,4,19,15,4,3,0,0,0,41,4,0,8,0,0,0,0,0,11,5,16,6,7,3,4,0,0,43,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,4,8,18,7,7,5,4,0,0,54,0,0,0,0,0,0,0,0,0,0,5,6,0,7,0,0,0,18,19,47,33,13,15,8,0,0,132
UCL522016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,8,0,0,5,5,0,0,4,0,6,3,8,6,10,4,3,0,0,40,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,9,9,10,15,3,5,3,0,52,0,0,0,0,0,0,0,0,0,4,5,7,7,13,4,3,5,44,8,20,21,12,22,12,12,5,113
UCL522017,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,5,0,0,3,5,0,0,16,0,3,8,0,5,9,4,0,30,3,12,6,11,20,13,0,0,72,3,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,4,7,10,15,11,25,13,4,0,75,0,0,0,0,0,3,0,0,5,0,0,0,3,10,4,10,5,41,12,26,19,22,47,29,18,5,168
UCL522018,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,0,12,0,0,0,0,5,0,0,0,9,0,3,0,6,0,9,0,0,18,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,6,3,8,0,0,23,0,0,0,0,0,0,0,0,7,4,3,3,5,7,9,3,0,33,4,9,7,15,8,31,3,0,76
UCL522019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,13,0,0,0,0,3,0,0,0,10,0,6,4,3,11,6,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,11,6,0,0,33,0,0,0,0,0,0,0,0,0,0,5,13,4,3,0,0,3,32,4,9,19,14,24,8,4,4,88
UCL522020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,4,0,0,0,5,0,4,4,3,7,0,0,0,22,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,7,5,0,6,0,0,0,25,0,0,0,0,0,0,0,0,0,5,3,5,3,3,7,0,0,26,3,13,13,10,19,3,4,0,70
UCL522021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,23,0,0,4,9,0,3,0,0,21,0,3,7,8,4,9,0,0,45,4,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,7,7,4,7,11,7,15,3,0,57,0,0,0,0,0,0,0,0,0,3,0,4,3,0,10,0,0,27,4,11,26,24,12,36,13,5,132
UCL522022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,10,0,3,0,0,6,3,4,0,16,5,6,0,3,8,3,3,0,29,0,0,3,0,0,0,0,0,3,0,0,0,0,4,4,0,0,3,5,11,9,7,10,3,4,0,37,0,0,0,0,0,0,0,0,0,4,4,4,8,9,12,5,0,42,6,21,10,20,22,22,7,0,108
UCL522023,0,0,5,3,0,0,5,0,0,0,0,0,0,0,0,3,0,3,3,6,0,5,0,0,18,0,5,0,4,7,0,0,0,16,6,8,9,11,12,7,0,4,52,0,0,3,0,0,4,0,0,14,0,0,0,0,3,0,0,0,7,3,8,13,12,15,7,0,4,60,0,0,0,0,3,0,0,0,3,0,4,0,0,13,5,6,0,34,3,21,17,24,39,27,6,4,147
UCL522024,0,0,4,9,5,0,23,0,0,0,3,11,3,0,0,17,0,5,5,3,17,29,5,0,67,0,0,0,0,5,14,8,0,33,3,3,0,9,10,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,8,14,4,6,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,3,20,3,8,13,22,50,61,21,3,183
UCL522025,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,6,4,0,0,0,0,0,14,0,0,5,3,0,3,0,0,10,5,13,13,4,13,12,0,0,62,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,6,13,13,4,16,10,0,0,69,0,0,0,0,0,0,0,0,6,12,5,4,11,17,23,8,6,78,17,19,32,18,44,40,12,4,191
UCL522026,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,7,0,18,0,0,0,5,0,7,6,0,14,0,9,3,10,18,16,9,0,56,0,0,0,0,0,3,0,0,3,0,0,0,0,0,7,0,0,12,0,9,3,10,18,26,12,0,73,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,3,5,23,3,12,8,13,28,46,27,5,138
UCL522027,3,0,3,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,21,0,5,6,4,6,0,0,0,17,4,3,10,10,24,6,4,0,64,6,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,3,8,12,10,10,27,11,4,0,75,0,0,0,0,0,0,0,0,3,0,0,7,3,3,6,3,0,35,11,19,26,14,38,30,14,0,153
UCL522028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,13,0,3,0,0,5,3,7,0,18,0,3,0,4,4,6,0,0,27,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,3,0,4,4,4,3,0,30,0,0,0,0,0,3,0,0,3,0,3,0,0,4,4,4,0,17,0,12,6,3,24,22,17,5,79
UCL522029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,9,0,4,6,3,3,0,0,0,23,7,18,20,9,9,13,3,0,79,0,0,0,0,0,0,0,0,4,4,3,4,0,0,0,0,0,7,9,22,21,11,9,13,3,0,92,0,0,0,0,0,0,0,0,0,0,3,3,4,5,0,0,0,20,13,29,33,22,16,14,11,4,147
UCL522030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,0,0,4,0,0,0,14,0,0,0,0,6,0,0,0,10,3,12,8,3,5,6,0,0,44,4,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,16,8,3,6,6,0,0,46,0,0,0,0,0,0,0,0,0,11,3,6,11,5,3,0,0,36,12,32,23,19,24,3,5,0,117
UCL522031,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,3,0,12,11,8,5,0,0,0,38
UCL522032,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,3,0,0,0,3,0,0,4,4,4,0,0,0,12,4,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,4,5,4,3,4,4,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,5,6,8,7,3,0,27,7,0,9,19,23,7,3,0,61
UCL522033,0,0,0,4,0,0,0,0,0,0,0,4,3,0,0,3,0,0,3,0,4,5,4,0,17,0,0,0,4,7,4,0,0,21,6,11,5,20,20,19,10,0,88,4,0,0,0,6,0,0,0,9,0,0,0,0,0,3,0,0,8,6,11,6,19,20,24,10,0,101,0,0,0,0,0,4,0,0,4,7,5,3,6,6,10,6,0,40,10,15,18,26,43,54,27,3,183
UCL522034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,7,0,0,0,0,0,20
UCL522035,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,6,4,0,0,0,11,0,0,3,0,0,0,0,0,6,0,9,0,5,11,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,0,9,9,5,0,0,40,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,23,5,21,9,20,13,12,8,0,82
UCL522036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,5,0,0,0,0,6,0,4,3,4,10,9,4,0,34,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,10,3,10,11,12,4,0,41,0,0,0,0,0,0,0,0,3,4,0,0,3,3,7,4,0,19,3,11,6,23,14,14,8,0,84
UCL522037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,22,0,4,0,0,0,4,0,0,11,0,4,8,9,9,7,0,0,38,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,10,0,9,5,10,12,8,0,0,53,0,0,0,0,0,0,0,0,0,4,7,6,5,8,9,5,0,36,6,20,28,24,22,12,6,4,126
UCL522038,0,4,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,14,15,3,9,0,0,0,42,0,7,7,5,3,5,0,0,24,11,24,17,14,9,6,0,5,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,26,19,14,13,7,4,5,87,0,0,0,0,0,0,0,0,0,4,0,0,0,5,8,7,0,23,23,43,42,27,20,8,11,6,187
UCL522039,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,6,0,7,9,3,3,0,0,0,25,0,6,5,6,3,0,0,0,18,0,13,8,4,11,5,0,0,46,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,12,8,4,16,3,0,0,51,0,0,0,0,0,0,0,0,0,7,18,7,7,16,5,3,0,65,10,45,26,17,45,16,3,0,173
UCL522040,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,4,0,5,0,0,16,0,0,0,4,9,0,0,0,8,4,0,0,7,11,15,8,0,44,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,6,4,0,0,7,16,16,8,0,57,0,0,0,0,0,0,0,0,0,3,0,0,9,6,5,3,0,31,7,7,0,31,25,34,11,0,116
UCL522041,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,5,4,10,0,0,16,6,12,5,11,21,16,6,0,75,0,0,0,0,5,0,0,0,9,0,4,0,0,6,5,0,0,7,9,12,9,11,28,19,6,0,91,0,0,0,0,0,0,0,0,3,4,0,0,12,16,6,5,4,45,8,18,10,25,46,38,10,5,159
UCL522042,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,10,3,0,0,4,0,0,19,0,8,6,0,3,0,0,0,22,7,25,18,17,6,3,0,0,72,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,10,23,20,20,5,3,0,0,79,0,0,0,0,0,0,0,0,0,13,15,13,9,9,0,0,0,59,23,57,46,32,16,8,0,0,180
UCL522043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,5,0,0,0,0,21,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,11,3,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,23,18,14,13,6,0,0,0,85,35,23,23,22,13,5,0,0,122
UCL522044,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,0,3,4,0,0,0,15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,5,3,7,0,0,0,18,0,0,0,0,0,0,0,0,0,0,5,7,8,8,4,3,0,28,0,9,7,16,13,11,7,0,57
UCL522045,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,8,7,0,0,0,0,0,23,6,9,7,9,12,3,0,0,46
UCL522046,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,5,3,3,0,0,0,10,0,4,0,0,0,0,0,0,3,4,4,4,7,5,9,0,0,33,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,5,4,11,4,5,6,0,0,39,0,0,0,0,0,0,0,0,0,0,3,3,7,14,14,8,4,57,5,12,17,13,25,26,9,4,112
UCL522047,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,6,0,0,5,3,0,0,0,0,9,0,0,0,0,3,0,0,0,6,0,10,7,5,9,10,3,0,55,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,13,10,8,13,11,3,0,68,0,0,0,0,0,0,0,0,0,27,6,6,9,9,27,14,4,106,29,27,24,21,30,44,15,7,203
UCL522048,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,5,8,3,0,3,4,0,16,0,0,0,4,6,0,0,0,14,9,18,5,7,4,3,0,5,42,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,8,18,5,13,9,3,0,5,51,0,0,0,0,0,0,0,0,0,4,7,0,3,0,0,6,3,34,16,29,16,23,16,13,8,4,115
UCL522049,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,8,0,7,0,0,17,0,4,3,0,3,3,0,0,14,0,3,5,5,0,9,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,3,5,9,4,0,30,0,0,0,0,0,0,0,0,0,14,10,10,12,14,15,0,0,70,12,22,23,22,22,30,8,0,144
UCL522050,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,4,5,5,0,0,0,24,0,3,0,4,6,3,0,3,23,0,3,12,7,3,0,3,0,37,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,4,6,12,9,3,0,6,0,46,0,0,0,0,0,0,0,0,5,4,0,9,12,15,4,13,10,72,9,16,23,29,35,19,23,20,171
UCL522051,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,4,3,0,10,0,0,0,15,6,9,6,19,14,4,0,0,61,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,6,5,9,6,25,15,3,0,0,67,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,14,6,14,19,32,29,9,3,0,118
UCL522052,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,3,0,7,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,4,0,3,5,0,0,3,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,3,0,14,5,4,3,7,6,6,5,0,42
UCL522053,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,6,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,5,3,7,0,0,0,26,0,8,7,8,8,0,0,0,36
UCL522054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,3,7,3,3,0,0,0,24,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3,3,5,8,4,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,8,0,5,4,0,4,29,9,8,17,15,8,5,4,5,68
UCL522055,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,3,4,12,3,0,0,0,25,0,5,8,3,7,0,0,0,23,0,11,10,19,7,5,0,0,51,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,11,7,20,12,5,0,0,55,0,0,3,0,3,0,0,0,5,0,7,5,0,4,11,4,0,29,0,31,26,38,33,17,4,0,144
UCL522056,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,10,4,5,0,3,0,28,0,3,0,4,5,5,0,0,18,8,13,12,15,10,5,0,0,61,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,16,10,15,16,3,0,0,72,0,0,0,0,0,0,0,0,0,5,3,13,8,9,0,0,0,40,16,35,38,28,32,10,6,0,162
UCL522057,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11,3,3,3,0,0,0,29,0,11,3,5,0,0,0,0,23,4,11,5,0,0,0,0,0,28,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,5,6,0,0,0,0,29,0,0,0,0,0,0,0,0,0,4,9,0,0,4,0,0,0,24,13,44,12,17,14,3,0,0,109
UCL522058,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,5,3,6,5,7,8,4,0,30,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,3,10,9,7,8,4,0,38,0,0,0,0,0,0,0,0,0,16,7,7,6,7,0,3,0,46,23,8,19,13,19,10,7,0,103
UCL522059,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,8,0,4,0,0,0,16,0,0,12,0,0,4,4,0,20,0,6,10,9,0,6,4,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,10,14,5,9,4,0,45,0,0,0,0,0,0,0,0,0,4,15,11,5,10,11,10,0,61,7,23,32,17,23,26,17,0,155
UCL522060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,5,0,0,17
UCL522061,0,4,0,4,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,3,8,5,10,0,32,0,0,5,0,8,6,6,0,26,0,10,3,13,19,15,8,0,62,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,6,3,16,19,19,9,0,76,0,0,0,0,0,0,0,0,0,0,8,0,4,9,10,9,4,40,3,18,15,23,40,48,32,3,178
UCL522062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,11,0,0,6,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,12,6,0,0,0,0,36
UCL522063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,0,0,13,4,11,9,3,9,0,0,0,37
UCL522064,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,7,18,15,6,0,0,0,0,49,5,3,5,0,0,0,0,0,13,0,3,3,0,4,0,0,0,11,11,25,20,8,3,0,0,0,67,0,0,0,0,0,0,0,0,0,6,6,4,11,5,0,11,0,41,22,33,23,24,7,3,9,0,128
UCL522065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,11,0,3,0,4,0,0,0,0,11,3,4,3,3,12,0,6,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,3,4,12,5,6,0,40,0,0,0,0,0,0,0,0,0,0,9,0,4,14,8,8,7,51,7,20,11,12,28,15,12,7,111
UCL522066,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,13,3,0,0,0,0,22,0,3,10,0,0,4,0,0,23,6,21,18,10,6,4,4,0,63,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,23,20,11,8,9,4,0,70,0,0,0,0,0,0,0,0,0,3,7,8,10,8,5,9,9,53,12,39,47,27,21,13,11,4,184
UCL522067,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,0,0,15,0,5,4,4,3,0,0,0,14,6,8,5,9,4,3,0,0,32,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,9,5,9,4,3,0,0,37,0,0,0,0,0,0,0,0,0,7,8,14,10,3,5,0,0,47,13,23,30,29,7,12,0,0,123
UCL522068,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,8,0,3,0,4,4,0,4,0,24,0,4,3,6,8,5,0,0,39,13,3,21,24,16,12,3,0,81,0,3,3,0,0,0,0,0,6,0,0,0,3,0,6,0,0,7,9,6,21,20,20,14,3,0,101,0,0,0,0,0,0,0,0,3,8,0,9,14,15,4,3,0,52,26,19,38,56,47,25,12,6,225
UCL522069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,5,0,5,0,0,0,17,0,0,0,4,3,0,0,0,14,0,6,6,6,8,8,4,0,37,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,12,8,6,9,12,4,0,44,0,0,0,0,0,0,0,0,0,0,10,4,3,0,9,11,0,46,11,24,24,16,16,23,14,0,125
UCL522070,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,11,0,0,3,7,3,3,0,0,17,8,11,7,13,19,9,0,0,70,4,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,4,12,13,7,13,19,12,3,0,79,0,0,0,0,0,0,0,0,3,0,0,5,3,0,8,7,0,24,14,21,21,23,25,24,7,3,134
UCL522071,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,5,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,14,3,0,4,5,0,0,0,30,14,12,12,11,11,0,0,0,61
UCL531001,540,564,633,436,158,21,2729,14,246,389,530,525,344,57,11,2121,565,2464,3082,3205,2603,1843,549,79,14392,324,1100,1717,2438,2773,1912,642,109,11018,2426,4476,5213,5668,5487,3198,941,118,27519,795,345,361,321,280,158,37,4,2305,139,170,340,545,608,469,172,32,2465,3360,4989,5903,6536,6371,3827,1151,148,32289,46,80,125,157,200,197,91,16,918,2257,3026,3131,3427,3252,2404,1240,246,18989,6605,12260,14884,16860,16365,10962,3884,637,82455
