UCL_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
UCL522001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,22,12,8,0,0,94,0,0,0,0,0,0,0,0,27,30,22,12,8,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,9,0,3,0,0,21,0,0,0,0,0,0,0,0,3,7,9,0,3,0,0,23,27,36,31,12,10,0,0,118
UCL522002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,5,3,4,0,0,22,0,0,0,0,0,0,0,0,5,11,8,3,5,0,0,29,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,11,5,17,8,3,8,0,0,36
UCL522003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,29,17,9,0,0,0,70,4,0,0,0,0,0,0,0,14,29,17,9,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,8,5,0,0,0,35,6,4,5,0,0,0,0,12,12,15,10,6,0,0,0,46,28,44,25,13,3,0,0,118
UCL522004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,9,3,3,0,0,52,0,0,0,0,0,0,0,0,18,15,9,3,3,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,3,7,0,0,0,35,0,0,0,0,0,0,0,0,12,17,9,7,0,0,0,33,29,24,12,10,7,0,0,83
UCL522005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,17,6,5,0,0,67,0,0,0,0,0,0,0,0,20,15,17,6,5,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,6,8,0,0,0,32,0,0,0,0,0,0,0,0,7,12,6,8,0,0,0,32,25,27,27,11,4,0,0,97
UCL522006,3,3,0,0,0,0,0,11,0,0,4,0,0,0,0,8,0,9,3,4,0,0,0,18,14,17,10,6,9,0,0,57,0,0,0,0,0,0,0,0,15,30,20,13,19,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,13,32,17,18,19,6,0,102
UCL522007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,4,6,10,7,0,4,0,0,20
UCL522008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,14,0,0,0,0,0,0,0,0,3,7,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,4,0,0,13,0,0,0,0,0,0,0,0,3,7,0,0,4,0,0,17,11,12,4,0,4,0,0,34
UCL522009,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,12,16,8,5,12,4,0,41,0,0,0,0,0,0,0,0,11,20,5,3,16,4,3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,5,0,0,9,0,0,0,0,0,0,0,0,7,0,0,3,4,0,0,11,16,22,12,5,14,0,3,75
UCL522010,0,0,0,3,7,0,0,8,0,0,0,0,0,0,0,4,0,0,0,4,6,0,0,9,13,23,15,8,8,0,0,63,0,0,0,0,0,0,0,0,15,22,16,16,14,4,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,13,18,25,17,12,19,3,4,98
UCL522011,5,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,14,9,3,0,0,0,0,28,0,0,0,0,0,0,0,0,11,9,3,4,5,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,18,12,3,4,5,0,0,38
UCL522012,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,21,18,5,3,0,0,0,44,0,0,0,0,0,0,0,0,22,18,7,6,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,20,22,7,6,3,0,0,59
UCL522013,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,7,15,8,7,0,0,57,0,0,0,0,0,0,0,0,23,10,17,8,16,0,0,70,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,13,0,0,0,0,0,0,0,0,6,4,5,3,4,0,0,20,21,14,17,8,18,6,0,93
UCL522014,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,15,15,12,5,3,0,0,43,0,0,0,0,0,0,0,0,15,13,9,4,4,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,14,16,9,6,4,0,0,61
UCL522015,4,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,4,3,0,0,0,0,18
UCL522016,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,8,3,5,0,7,0,0,23,0,0,0,0,0,0,0,0,6,14,3,4,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,4,8,3,0,0,0,12,0,0,0,0,0,0,0,3,0,8,10,3,0,0,0,25,13,15,15,9,8,0,0,58
UCL522017,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,12,11,5,5,0,0,0,30,0,0,0,0,0,0,0,0,11,14,6,4,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,18,14,19,17,8,3,0,0,63
UCL522018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL522019,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,3,0,0,0,17
UCL522020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,4,7,5,0,0,38,0,0,0,0,0,0,0,0,9,14,4,7,5,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,3,6,0,0,0,28,0,0,0,0,0,0,0,0,16,11,3,6,0,0,0,28,25,21,3,13,8,0,0,73
UCL522021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,7,6,3,0,0,44,0,0,0,0,0,0,0,0,10,18,10,6,3,0,0,44,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,10,5,4,0,0,0,18,0,0,0,0,0,0,0,0,0,10,3,7,0,0,0,23,14,30,12,11,7,0,0,64
UCL522022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,19,0,0,0,0,0,0,0,0,16,11,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,11,0,0,0,0,0,31
UCL522023,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,8,10,0,5,0,0,24,0,0,0,0,0,0,0,0,7,18,8,0,5,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,0,0,0,17,0,0,0,0,0,0,0,0,4,4,4,3,0,0,0,17,10,24,16,3,5,0,0,55
UCL522024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,4,4,0,0,11,0,0,0,0,0,0,0,0,5,0,7,8,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,8,6,5,0,0,22
UCL522025,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,3,0,0,0,0,0,0,7,10,10,11,5,8,0,0,37,0,0,0,0,0,0,0,0,13,14,17,5,8,0,0,57,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,8,0,0,0,0,0,0,0,0,3,10,4,3,0,0,0,20,15,18,20,9,5,0,0,68
UCL522026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,7,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,7,0,0,0,0,0,17
UCL522027,0,0,3,0,6,0,0,9,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,3,15,8,3,6,0,0,37,0,0,0,0,0,0,0,0,10,19,12,3,9,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,10,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,10,12,20,14,9,9,0,0,60
UCL522028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,12,4,5,0,4,0,0,0,25
UCL522029,0,0,0,0,0,0,0,6,3,8,4,0,0,0,0,14,5,5,0,3,0,0,0,12,17,17,11,9,11,0,0,70,0,0,0,0,0,0,0,3,28,29,15,17,9,0,0,98,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,4,0,5,4,0,0,10,0,0,0,0,0,0,0,0,7,4,0,5,4,0,0,14,34,30,16,15,15,0,0,111
UCL522030,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,11,16,12,3,0,0,0,0,31,0,0,0,0,0,0,0,0,22,17,3,3,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,14,0,0,0,0,0,0,0,0,6,4,4,0,0,0,0,14,27,24,8,3,0,0,0,61
UCL522031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,13,7,4,0,0,0,49,0,0,0,0,0,0,0,0,24,13,7,4,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,4,7,0,0,0,53,0,0,0,0,0,0,0,0,17,23,4,7,0,0,0,53,34,41,16,7,0,0,0,104
UCL522032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,14,8,10,3,0,0,73,0,0,0,0,0,0,0,0,32,14,8,10,3,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,6,4,3,0,0,39,0,0,0,0,0,0,0,0,12,11,6,4,3,0,0,39,45,24,15,14,8,0,0,109
UCL522033,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,5,5,3,3,0,0,24,0,0,3,0,0,0,0,3,9,5,5,3,6,0,0,34,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,10,6,3,0,0,0,20,11,15,11,12,8,0,0,56
UCL522034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,9,5,0,0,0,26,0,0,0,0,0,0,0,0,7,9,9,5,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,9,10,12,9,0,0,0,35
UCL522035,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,3,0,0,0,13,0,0,0,0,0,0,0,0,10,10,4,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,6,3,0,0,0,0,8,10,11,7,4,0,0,0,30
UCL522036,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,7,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,4,12,8,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,5,12,9,0,0,0,0,32
UCL522037,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,3,0,0,0,0,5,13,12,15,3,3,0,0,42,0,0,0,0,0,0,0,0,13,15,16,6,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,8,10,17,16,6,4,0,0,54
UCL522038,0,6,0,3,4,0,0,8,3,0,0,0,0,0,0,7,0,5,0,0,0,0,0,10,25,22,8,0,0,0,0,60,0,0,0,0,0,0,0,0,34,28,17,3,5,0,0,89,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,15,39,39,21,3,9,0,0,106
UCL522039,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,6,3,3,4,0,0,19,0,0,0,0,0,0,0,4,10,3,7,3,4,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,8,0,0,0,0,23,0,0,0,0,0,0,0,0,3,11,8,0,0,0,0,23,13,17,10,7,5,0,0,56
UCL522040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8
UCL522041,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,6,5,12,7,0,0,32,0,0,0,0,0,0,0,0,5,10,5,7,7,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,9,10,3,7,8,0,0,47
UCL522042,3,12,3,0,0,0,0,25,8,4,0,0,0,0,0,11,3,3,0,0,0,0,0,11,15,16,0,0,4,0,0,37,0,0,0,0,0,0,0,0,32,32,8,3,4,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,36,39,8,3,3,0,0,85
UCL522043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,7,6,4,0,0,60,0,0,0,0,0,0,0,0,13,30,7,6,4,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,5,8,4,0,0,57,0,0,0,0,0,0,0,0,17,23,5,8,4,0,0,57,30,53,10,13,6,3,0,118
UCL522044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,0,0,15,0,0,0,0,0,0,0,0,3,3,4,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,7,4,6,0,0,0,24
UCL522045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,5,7,6,0,0,39,3,8,0,0,0,0,0,5,18,14,7,7,6,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,15,0,0,0,0,0,0,0,5,9,6,0,0,0,0,0,13,24,17,11,4,6,0,0,63
UCL522046,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,13,8,10,0,0,0,0,0,19,0,0,0,0,0,0,0,0,17,12,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,17,9,0,0,0,0,0,36
UCL522047,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,12,8,9,4,3,0,0,38,0,0,0,0,0,0,0,0,15,10,8,7,3,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,22,15,10,7,5,0,0,60
UCL522048,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,7,0,0,0,0,0,6,8,10,4,0,3,0,0,28,0,0,0,0,0,0,0,0,8,19,8,0,3,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,7,0,0,10,0,0,0,0,0,0,0,0,0,5,6,0,7,0,0,10,7,16,10,6,6,0,0,50
UCL522049,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,21,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,19,12,23,6,0,0,0,0,33
UCL522050,3,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10,6,17,12,0,0,0,0,34,0,0,0,0,0,0,0,0,11,23,12,4,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,3,0,0,0,11,0,0,0,0,0,0,0,0,4,7,4,3,0,0,0,13,18,26,13,5,0,0,0,62
UCL522051,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,8,0,0,8,0,0,28,0,0,0,0,0,0,0,0,8,9,4,6,8,0,0,38,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,13,9,4,6,8,0,0,37
UCL522052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,0,0,13,0,0,0,0,0,0,0,0,5,0,3,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,7,4,3,8,0,0,0,22
UCL522053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,6,4,0,0,0,23,0,0,0,0,0,0,0,0,3,11,6,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,4,0,0,0,18,0,0,0,0,0,0,0,0,4,8,4,4,0,0,0,18,9,20,10,7,0,0,0,45
UCL522054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,0,6,0,6,8,0,0,0,0,15,0,0,0,0,0,0,0,0,6,8,8,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,13,12,0,3,0,0,33
UCL522055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,15,6,6,0,3,8,0,0,19,0,0,0,0,0,0,0,0,11,16,0,3,8,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,0,3,8,0,0,38
UCL522056,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,13,15,7,3,3,0,0,45,0,0,0,0,0,0,0,0,17,21,8,3,7,0,0,53,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,6,0,0,14,0,0,0,0,0,0,0,0,4,3,4,5,6,0,0,19,22,27,8,8,9,0,0,75
UCL522057,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,11
