UCL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
UCL522047,168,186,349,50,38,91,12,28,35,5,0,7,8,0,3,72,72,143,49,67,117,5.6,1.4,3.6,43,37.3,40,40.6,36.8,38.6,0,5,5,3,4,6,0,9,9,4,8,6,34,21,55,0,7,6,5,0,5,39,27,68,122,121,244,34,34,61,90,83,167,49,67,118
UCL522048,125,110,234,60,21,73,13,21,30,6,4,11,0,3,4,70,42,120,34,53,91,1.4,4.7,2.6,58.7,39.4,49.8,57.9,37.6,48.5,0,0,0,4,4,8,4,11,16,4,5,14,30,17,42,3,0,3,0,6,6,30,20,51,99,90,184,30,16,42,65,51,119,59,46,107
UCL522049,128,116,248,31,21,54,8,18,26,0,0,0,3,4,4,48,44,84,45,43,90,6.4,7.3,6.8,35.9,35,35.5,33.6,32.5,33.1,0,6,4,0,0,0,6,10,17,11,8,14,18,11,24,0,0,0,0,0,0,21,11,30,97,95,185,22,10,30,67,65,131,38,32,63
UCL522050,177,176,357,70,36,107,17,32,51,4,4,8,8,4,14,96,77,173,48,70,120,6.3,5,5.7,53.7,45.5,49.6,50.3,43.2,46.7,0,0,3,0,3,3,3,20,24,10,13,23,25,10,37,3,3,9,4,0,4,30,17,46,151,152,295,23,27,47,111,106,220,54,57,115
UCL522051,93,120,210,43,21,67,12,26,37,7,3,11,0,0,0,53,58,109,37,54,89,0,5.3,2.7,57,48.3,52.1,57,45.8,50.7,0,0,5,0,3,3,4,3,6,9,13,15,33,29,61,4,0,4,0,4,6,41,27,67,86,102,191,20,17,35,63,83,145,36,39,74
UCL522052,72,53,124,15,3,23,5,3,11,3,3,4,9,0,6,31,10,47,33,35,69,18.8,7.1,15.2,45.1,26.4,37.1,36.6,24.5,31.5,0,0,5,0,0,0,7,0,11,4,0,10,3,0,7,4,3,5,0,5,3,8,4,14,60,49,113,11,10,18,44,51,91,27,11,39
UCL522053,49,73,124,0,5,10,3,10,17,0,0,3,0,9,11,14,29,41,26,32,66,23.1,25,24.4,27.1,37.3,33.3,20.8,28,25.2,0,0,3,0,0,0,0,3,3,0,0,4,0,4,9,0,0,0,0,0,0,0,6,10,46,69,117,9,18,25,49,60,108,5,25,33
UCL522054,75,70,140,35,21,61,0,18,19,0,3,6,0,0,0,39,38,81,16,16,31,0,2.4,1.2,51.3,63.6,57,51.3,62.1,56.3,0,0,0,0,0,0,5,3,10,0,4,4,9,6,24,3,0,6,0,3,3,13,11,26,52,59,115,10,12,26,47,45,94,14,31,49
UCL522055,103,98,198,62,35,100,7,18,29,4,8,16,0,0,4,75,68,141,16,17,32,1.4,1.5,1.4,71.8,70.1,71,70.9,69.1,70,0,0,5,0,3,3,3,19,25,8,19,23,40,10,51,3,0,3,0,0,3,44,12,55,88,81,171,19,15,32,60,41,103,40,53,93
UCL522056,150,134,285,79,44,122,8,27,38,9,3,13,5,0,7,101,76,179,20,49,72,6.7,1.3,4.4,70.5,54.7,62.9,65.8,54,60.1,4,0,3,0,0,0,10,18,28,7,10,18,35,20,61,0,3,3,3,0,4,36,27,72,114,122,238,33,39,75,74,72,142,69,75,148
UCL522057,84,68,149,50,31,81,17,24,36,4,8,8,0,0,4,64,57,128,6,3,6,1.5,1.7,1.6,81.7,85.5,83.4,80.5,84.1,82.1,3,5,8,0,0,0,11,11,29,13,6,23,16,9,28,0,6,0,0,0,0,18,10,29,50,30,74,31,35,72,23,16,38,49,49,97
UCL522058,116,115,228,29,13,40,10,13,26,0,5,8,3,5,12,48,34,82,52,53,107,12.5,19.4,15.5,41.4,31.9,36.7,36.2,25.7,31,0,0,3,0,0,0,0,5,11,5,0,5,19,15,30,0,0,7,0,0,0,21,18,38,103,118,221,14,10,29,83,88,172,33,26,64
UCL522059,146,140,286,46,25,80,9,24,34,8,4,10,8,6,9,69,58,127,53,53,108,5.8,6.9,6.3,46.6,41.7,44.3,43.9,38.8,41.5,6,0,3,0,0,5,6,5,16,12,14,20,33,15,44,0,0,0,0,3,3,30,20,45,118,111,232,23,26,54,81,78,163,52,49,102
UCL522060,16,30,50,3,11,14,0,0,0,0,0,0,0,0,0,6,11,15,12,20,32,14.3,0,6.3,35,32.1,33.3,30,32.1,31.3,0,0,0,0,0,0,0,3,3,0,0,3,3,5,6,0,0,0,0,0,0,3,4,10,25,31,55,3,4,9,23,25,47,3,6,9
UCL522061,155,152,308,34,22,53,16,34,52,4,7,14,3,0,10,64,66,128,83,85,160,9.5,1.6,5.5,40.6,42.4,41.5,36.8,41.7,39.2,0,8,6,0,0,4,10,17,32,10,16,26,43,21,62,4,8,7,0,3,3,47,29,76,132,128,261,26,33,56,93,89,187,62,59,125
UCL522062,77,82,168,5,8,12,6,13,15,5,0,5,0,3,7,15,18,36,60,64,122,6.7,9.5,8.3,18.8,25,22,17.5,22.6,20.1,0,0,0,0,0,0,0,4,6,3,0,4,3,4,3,0,0,0,0,8,11,4,10,14,106,103,206,5,8,14,69,71,145,28,32,56
UCL522063,67,79,143,3,8,12,5,16,24,0,0,5,3,0,5,14,26,38,42,40,90,23.1,3.7,10,19.7,35.5,28.2,15.2,34.2,25.4,0,0,0,0,0,0,4,6,12,0,0,0,0,0,0,0,0,0,4,4,7,5,8,12,75,83,154,7,5,16,67,70,137,10,13,25
UCL522064,181,164,344,26,26,56,12,25,35,10,7,14,16,15,30,65,66,131,94,94,188,23.5,23.1,23.3,38.2,38.9,38.6,29.2,29.9,29.6,0,3,6,0,0,0,0,11,10,3,4,3,29,12,49,7,4,13,3,5,11,47,21,67,205,194,391,14,19,39,125,132,259,60,60,118
UCL522065,111,100,212,42,22,62,9,18,26,10,9,12,12,3,10,63,47,112,25,29,55,12.9,4,8.9,56.4,49,52.8,49.1,47.1,48.1,0,0,0,0,3,3,4,10,11,4,4,11,25,12,35,0,0,0,0,3,5,24,14,40,99,93,191,7,3,15,71,65,134,28,29,62
UCL522066,150,169,316,79,42,119,11,43,56,5,5,12,0,0,4,97,93,187,33,51,82,2.1,1.1,1.6,65.1,54.7,59.5,63.7,54.1,58.5,0,3,3,0,0,0,9,17,22,13,13,23,39,24,63,7,0,3,0,0,0,41,28,70,144,158,304,27,25,56,87,100,191,66,70,135
UCL522067,126,71,200,59,22,75,13,10,16,4,3,5,0,0,0,72,33,103,32,26,54,2.9,0,2,55.6,42.5,50.8,54,42.5,49.7,3,0,4,0,0,5,5,4,15,9,6,14,28,9,32,0,3,5,0,0,0,24,13,37,82,57,139,32,21,51,57,31,90,52,41,89
UCL522068,181,179,364,78,42,122,7,49,60,14,10,19,6,6,13,107,109,211,49,63,110,4.7,3.8,4.2,58.6,58.2,58.4,55.8,56,55.9,3,0,5,3,4,8,8,15,24,19,17,39,58,25,81,4,6,6,4,6,7,59,39,101,170,179,348,21,29,51,134,140,282,50,58,108
UCL522069,133,129,266,37,22,55,10,19,29,4,6,8,5,4,7,57,49,105,63,60,124,7,8.2,7.5,42.2,38.3,40.3,39.3,35.2,37.3,0,0,0,0,0,5,4,7,17,7,10,14,24,17,37,0,3,10,0,0,0,22,20,44,106,111,214,30,21,48,79,71,150,58,47,103
UCL522070,143,133,277,49,20,67,16,30,44,5,9,13,8,3,10,73,61,138,58,67,121,9.3,4.8,7.2,52.4,46.3,49.5,47.6,44.1,45.9,0,4,9,0,0,0,0,9,11,5,9,17,44,27,70,0,7,9,0,6,4,48,34,79,153,142,293,20,20,39,71,75,145,91,76,163
UCL522071,151,144,295,14,8,25,11,17,29,10,3,19,0,0,0,38,32,73,99,112,208,2.6,0,1.4,25.3,21.9,23.6,24.7,21.9,23.3,0,3,3,0,3,3,0,5,8,0,0,0,8,6,12,0,0,0,0,0,4,9,8,20,186,205,388,9,12,23,157,155,308,14,24,34
UCL531001,75535,61530,137066,33138,15383,48517,7933,16981,24913,3526,2834,6357,1505,1144,2649,46098,36343,82437,19531,19560,39083,3.3,3.2,3.2,61,59.1,60.1,59,57.2,58.2,1230,1502,2729,557,1555,2121,5448,8944,14392,4658,6358,11018,19452,8066,27519,918,1386,2305,984,1488,2465,21348,10939,32289,64829,58259,123084,9603,8670,18275,47928,42673,90602,23289,21308,44601
UCL579997,455,61,516,221,27,243,14,4,18,17,4,14,3,0,3,252,29,277,12,9,18,1.2,0,1.1,54.6,50.8,54.2,53.9,50.8,53.6,5,0,3,3,0,3,36,9,39,24,7,35,100,3,100,3,3,4,8,0,7,110,7,117,200,24,229,55,10,71,123,16,139,137,24,163
UCL599994,4247,3030,7285,572,341,915,210,274,484,116,96,212,227,160,392,1125,875,2000,990,967,1955,20.3,18.4,19.5,26.5,28.8,27.5,21.1,23.5,22.1,64,90,148,29,49,77,227,340,563,143,190,335,662,286,946,39,49,85,26,42,66,726,376,1105,650,443,1089,1743,1662,3403,365,234,595,1901,1766,3664
