UCL_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
UCL522013,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,3,0,7,0,0,0,0,5,0,0,0,0,0,13,0,4,0,16,0,4,9,0,12,8,4,0,0,12,3,3,3,0,8,0,3,0,0,9,6,0,0,0,8,5,12,0,0,13,3,9,0,0,9,4,5,0,0,6,4,7,0,0,9,4,4,0,0,12,0,5,0,0,10,0,0,0,0,0,45,55,25,3,135
UCL522014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,5,6,0,3,0,0,0,0,0,0,5,0,0,4,0,5,0,0,6,4,3,0,0,7,0,8,0,0,7,4,0,0,0,5,3,0,0,0,9,9,10,0,0,18,0,0,0,0,0,22,32,8,0,67
UCL522015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,4,0,0,0,4,6,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,19,7,0,0,29
UCL522016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,10,0,0,0,13,0,0,3,0,6,3,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,5,5,0,0,12,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,7,4,0,0,0,8,0,0,0,0,0,41,14,12,0,69
UCL522017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,0,3,0,0,0,0,5,11,0,0,0,7,8,0,3,0,10,9,3,0,0,13,4,0,0,0,9,0,4,0,0,4,5,3,0,0,6,6,5,0,0,12,3,3,0,0,6,3,3,0,0,5,0,0,0,0,0,4,0,0,0,0,7,9,0,0,16,0,0,0,0,0,66,30,9,0,113
UCL522018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,4,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,3,3,0,19
UCL522019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,3,0,0,0,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,25,7,0,0,40
UCL522020,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,4,0,4,0,3,0,0,0,0,6,4,0,5,0,4,5,0,13,0,0,6,0,6,0,0,3,0,8,3,3,0,0,6,4,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26,22,0,61
UCL522021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,5,0,6,10,0,5,0,13,6,0,0,0,9,8,0,3,0,11,8,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,7,0,0,13,0,3,0,0,7,0,4,0,0,4,0,3,0,0,3,4,0,0,0,5,0,8,0,0,5,4,0,3,0,5,45,25,18,0,90
UCL522022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,3,6,0,0,0,6,0,0,0,0,4,8,0,0,0,8,3,0,0,0,4,4,3,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,5,0,0,0,0,4,34,16,3,0,55
UCL522023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,5,0,4,8,3,0,0,10,10,0,0,0,10,0,0,0,0,3,4,0,0,0,9,0,4,0,0,7,4,0,0,0,3,7,9,0,0,14,6,3,0,0,4,0,0,0,0,5,0,0,0,0,0,0,3,0,0,5,0,5,5,0,10,0,0,0,0,4,42,27,8,0,82
UCL522024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,6,0,15,3,0,0,0,3,0,0,0,0,5,0,0,0,0,5,9,0,0,0,9,3,0,0,0,7,10,0,0,0,8,4,0,0,0,6,3,0,0,0,3,8,5,0,0,7,4,0,0,0,5,0,0,0,0,0,63,11,3,0,81
UCL522025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,13,0,3,0,15,5,0,0,0,8,3,0,0,0,8,0,0,0,0,3,3,5,0,0,6,8,3,0,0,12,5,8,0,0,12,3,0,0,0,5,0,3,0,0,3,0,0,0,0,0,0,4,0,0,11,3,0,3,0,4,3,0,0,0,5,59,31,15,7,107
UCL522026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,3,0,0,0,0,0,13,0,0,0,14,16,0,0,0,17,6,0,0,0,10,10,0,0,0,9,0,0,0,0,0,3,0,0,0,3,4,3,0,0,7,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,3,6,4,0,11,0,0,0,0,3,74,14,7,0,95
UCL522027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,5,0,3,0,12,6,0,3,0,14,0,0,0,0,4,6,0,0,0,10,0,0,0,0,6,0,5,0,0,4,3,3,0,0,13,0,0,0,0,5,0,3,0,0,5,4,0,0,0,4,5,4,0,0,11,5,0,4,0,6,0,0,0,0,3,47,26,11,0,86
UCL522028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,7,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,24,3,3,0,38
UCL522029,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,7,7,0,3,0,6,0,3,6,0,6,7,0,0,0,7,0,4,0,0,10,0,5,0,0,11,8,10,0,0,18,0,11,0,0,12,0,5,0,0,3,0,0,0,0,0,0,5,0,0,3,0,9,0,0,11,0,4,0,0,4,35,46,20,3,108
UCL522030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,3,0,0,0,5,6,0,0,0,7,0,5,0,0,9,7,6,0,0,4,3,0,0,0,7,6,0,0,0,6,6,5,0,0,6,0,0,0,0,0,4,4,0,0,5,0,5,4,0,9,0,0,0,0,0,29,26,12,0,61
UCL522031,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,7,0,7,5,5,0,0,7,0,5,0,0,4,5,8,4,0,12,0,0,3,0,4,0,0,4,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,36,0,70
UCL522032,0,0,0,0,0,0,3,0,0,3,0,0,4,0,3,0,0,3,0,6,0,0,3,0,8,0,7,6,0,11,0,3,0,0,11,3,12,5,0,17,0,4,3,0,10,0,3,3,0,4,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,4,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,39,33,0,93
UCL522033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,7,0,0,0,8,12,0,0,0,19,10,0,0,0,14,4,0,0,0,3,6,4,3,0,10,0,0,0,0,0,0,0,0,0,12,5,7,0,0,12,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,0,0,11,0,0,0,0,0,64,28,14,0,112
UCL522034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,6,4,6,0,0,5,6,3,0,0,10,0,0,0,0,3,0,0,0,0,3,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,12,21,10,0,46
UCL522035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,3,0,0,0,4,0,4,0,0,5,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,4,9,0,16,0,0,0,0,0,29,12,10,0,54
UCL522036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,7,0,0,0,9,8,0,0,0,4,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,5,35,17,4,0,57
UCL522037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,3,6,0,0,0,6,0,4,0,0,5,0,0,0,0,6,3,0,0,0,4,4,0,0,0,4,5,5,0,0,9,6,3,0,0,10,0,3,0,0,3,0,4,0,0,4,3,0,0,0,3,3,5,0,0,12,4,0,0,0,4,32,26,7,0,73
UCL522038,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,7,7,0,0,0,7,0,8,0,0,4,3,0,3,0,8,4,5,0,0,6,6,3,0,0,10,9,7,0,0,21,8,5,0,0,13,3,4,0,0,9,0,4,0,0,4,6,9,0,0,17,0,3,5,0,5,0,0,0,0,0,56,57,12,0,118
UCL522039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,3,0,6,0,0,0,0,0,7,0,0,0,11,0,0,0,0,3,3,0,0,0,3,0,5,0,0,3,0,0,0,0,0,3,0,0,0,4,3,5,0,0,10,0,0,0,0,7,3,5,0,0,6,0,0,0,0,0,8,0,0,0,8,3,3,3,0,6,0,0,0,0,4,35,17,16,6,78
UCL522040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,0,0,0,7,5,0,0,0,8,5,0,0,0,5,5,0,0,0,4,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,5,0,0,0,12,0,0,0,0,0,51,8,3,0,63
UCL522041,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,8,0,0,0,10,4,0,0,0,3,7,0,0,0,7,4,5,0,0,8,0,4,0,0,4,0,0,0,0,0,8,6,0,0,9,6,5,0,0,4,4,0,0,0,4,0,0,0,0,0,5,3,0,0,3,7,4,0,0,12,4,0,0,0,3,47,23,5,0,79
UCL522042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,3,0,9,0,0,0,0,5,0,0,0,0,0,9,8,5,0,17,0,6,0,0,9,5,5,0,0,11,5,4,3,0,9,7,9,0,0,19,3,3,0,0,7,0,0,0,0,0,27,40,8,0,79
UCL522043,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,8,0,3,0,12,0,0,0,0,3,0,5,5,0,12,0,3,0,0,11,6,0,4,0,8,0,0,0,0,6,0,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,9,0,8,11,0,22,19,41,39,9,104
UCL522044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,13,8,9,0,23
UCL522045,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,0,4,0,7,3,0,6,0,3,0,0,5,0,6,0,0,9,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,11,12,28,6,8,51
UCL522046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,6,4,0,3,0,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,7,0,0,9,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,4,0,0,4,3,6,0,0,8,5,0,0,0,5,32,20,5,0,59
UCL522047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,0,4,0,7,0,0,0,0,9,3,5,0,0,10,3,3,0,0,5,3,4,0,0,4,6,3,4,0,14,3,0,0,0,3,0,5,0,0,4,0,0,0,0,0,0,4,0,0,4,5,5,0,0,11,4,0,0,0,7,39,30,10,0,81
UCL522048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,4,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,5,0,0,0,9,5,4,0,0,9,6,6,0,0,8,3,0,0,0,3,0,0,0,0,3,0,0,0,0,3,5,4,0,0,10,0,0,0,0,0,38,23,12,0,72
UCL522049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,3,4,0,10,3,0,0,0,3,0,0,4,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,7,0,0,0,8,5,4,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,5,24,15,16,0,53
UCL522050,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,6,0,4,0,3,3,0,3,0,7,6,0,0,0,13,0,0,0,0,5,0,0,3,0,3,8,5,0,0,19,6,6,0,0,6,3,0,0,0,4,5,3,0,0,3,0,7,0,0,5,5,8,0,0,12,0,0,0,0,0,55,35,11,0,102
UCL522051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,6,6,0,0,0,7,3,0,0,0,0,0,0,0,0,0,3,3,0,0,8,3,5,0,0,8,7,8,0,0,7,3,0,0,0,5,0,0,0,0,0,4,0,0,0,4,4,7,0,0,7,4,0,0,0,0,41,28,9,3,78
UCL522052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,7,0,0,3,0,3,0,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,8,7,16,0,33
UCL522053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,3,0,0,4,0,3,0,4,5,0,4,0,0,9,0,0,4,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,6,11,13,4,35
UCL522054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,0,4,0,0,0,0,0,0,0,0,0,4,6,0,0,0,3,3,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,12,11,0,40
UCL522055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,4,0,0,0,4,0,0,0,0,6,11,13,0,0,22,0,3,0,0,10,0,0,0,0,4,35,22,0,0,62
UCL522056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,0,4,7,0,0,0,8,3,0,0,0,3,7,0,0,0,9,0,0,4,0,4,3,0,0,0,3,0,6,6,0,3,3,6,3,0,10,5,5,0,0,5,0,4,0,0,9,0,0,0,0,5,0,5,0,0,8,7,10,0,0,11,0,0,4,0,4,33,31,17,0,83
UCL522057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,0,9,5,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,24
UCL522058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,5,0,7,5,3,0,0,5,5,0,0,0,5,0,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,3,0,0,6,6,3,0,0,3,0,7,3,0,7,28,18,15,0,67
UCL522059,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,9,0,0,0,9,0,0,5,0,5,9,0,0,0,9,3,0,4,0,8,3,0,0,0,4,0,0,0,0,7,4,0,0,0,0,0,0,0,0,3,3,0,0,0,9,0,4,0,0,6,0,0,0,0,4,3,0,0,0,0,8,4,0,0,9,0,6,3,0,9,0,0,0,0,0,43,22,16,0,83
UCL522060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,12
UCL522061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,3,0,0,0,4,14,0,5,0,15,6,0,0,0,9,5,0,0,0,8,11,0,0,0,7,0,0,0,0,0,3,3,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,7,5,3,0,0,7,61,14,7,3,88
UCL522062,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,4,8,0,0,15,0,0,0,0,8,0,9,0,3,10,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,7,29,17,7,57
UCL522063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,3,0,13,0,3,0,0,4,0,3,3,0,7,0,0,0,0,0,0,0,0,0,6,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,7,14,24,0,44
UCL522064,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,5,7,3,5,0,7,0,4,3,0,13,0,10,10,0,19,0,5,0,0,3,0,9,3,0,11,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,14,0,0,6,0,12,10,38,50,0,104
UCL522065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,10,5,0,0,0,4,6,4,0,4,8,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,5,0,0,4,0,7,0,0,7,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,26,12,13,4,55
UCL522066,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,10,0,0,0,0,0,0,0,0,0,5,5,5,0,0,9,0,3,0,0,9,7,3,0,0,10,10,3,3,0,19,8,3,0,0,10,0,5,0,0,3,0,4,0,0,3,4,3,0,0,3,0,0,0,0,9,0,0,0,0,3,45,40,12,0,91
UCL522067,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,5,0,0,0,5,0,0,3,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,7,0,0,0,0,0,17,4,15,0,37
UCL522068,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,8,4,3,0,0,6,3,0,0,0,3,8,0,0,0,10,0,4,0,0,8,0,4,3,0,3,13,7,0,0,20,0,5,0,0,11,0,6,0,0,0,6,4,0,0,7,0,4,0,0,4,8,14,0,0,24,3,0,0,0,3,50,53,16,0,118
UCL522069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,3,3,0,7,11,5,0,0,15,0,0,0,0,4,0,0,5,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,3,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,32,14,16,0,58
UCL522070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,4,0,3,0,5,9,0,3,0,16,4,0,0,0,7,3,0,6,3,8,0,7,3,0,9,8,0,0,0,7,3,3,0,0,7,3,4,0,0,9,0,3,0,0,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,5,0,5,0,0,9,0,0,0,0,0,44,34,20,0,100
UCL522071,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,9,0,13,7,10,6,6,19,3,9,3,0,14,0,11,0,4,17,0,3,6,0,7,0,7,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,16,0,0,0,0,0,24,52,28,4,113
UCL531001,433,88,53,11,588,222,32,23,0,282,142,37,83,9,269,106,28,129,15,269,663,125,227,20,1022,362,130,255,18,761,1865,214,275,29,2385,1311,337,358,54,2060,1515,574,347,46,2479,1638,779,304,25,2748,906,764,220,15,1905,1131,842,200,19,2196,2193,1917,292,25,4436,1536,1764,153,17,3470,1241,1504,89,10,2842,729,1073,58,9,1863,1905,3059,111,19,5098,1567,3374,444,16,5407,406,205,102,23,735,19878,16840,3732,375,40824
UCL579997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
