UCL_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
UCL522044,160,120,284,36,25,65,10,15,23,15,4,18,4,11,16,68,53,123,70,53,120,6,15.1,10,41.4,43.1,42.1,38.9,36.6,37.9,3,3,12,4,8,9,6,9,21,10,14,22,32,12,41,4,0,0,0,0,0,38,11,48,120,98,219,23,25,50,95,68,155,50,51,100
UCL522045,74,73,150,9,7,16,6,7,13,0,0,0,12,3,15,24,19,43,34,42,69,46.4,16.7,34.8,36.4,24.7,30.7,19.5,20.5,20,0,0,0,3,3,9,0,3,5,0,0,0,10,0,11,0,0,0,0,0,0,10,0,7,72,86,155,13,7,24,50,56,102,20,20,43
UCL522046,173,132,305,55,22,74,10,17,25,7,12,20,4,3,3,72,53,128,51,47,97,2.8,5.6,4,42.1,40,41.2,40.9,37.8,39.5,3,3,7,0,0,0,15,17,27,5,9,13,26,15,39,0,0,0,9,4,6,31,18,42,122,99,220,19,17,27,91,68,154,39,36,79
UCL522047,214,203,421,51,39,94,14,29,39,0,4,4,4,0,7,72,68,148,59,69,133,6.8,1.4,4.1,34.6,34.5,34.5,32.2,34,33.1,0,5,5,3,4,6,5,15,21,8,12,16,38,22,60,0,7,9,5,0,5,42,29,69,131,126,264,28,33,65,103,84,185,56,64,117
UCL522048,130,126,256,58,17,73,13,26,31,4,11,15,4,3,7,72,51,127,46,62,105,2.7,4,3.2,55.6,40,48.1,54.1,38.4,46.5,0,0,3,0,4,5,6,13,19,5,8,15,35,14,49,3,0,3,3,3,10,39,21,60,103,102,207,30,17,43,71,67,135,60,50,110
UCL522049,180,160,335,40,19,60,13,19,30,6,0,6,3,3,11,62,47,103,69,71,140,8.5,11.1,9.6,33,28.3,30.8,30.2,25.2,27.8,4,0,3,0,3,0,7,17,30,11,13,25,24,11,41,3,5,4,5,0,6,37,15,48,124,117,244,25,15,37,93,86,181,48,40,85
UCL522050,187,174,356,71,36,113,17,32,48,4,4,9,10,4,9,99,78,183,49,66,116,7.1,4.9,6.1,53.2,47.1,50.3,49.5,44.8,47.2,0,0,3,0,0,0,7,25,34,6,13,19,27,13,40,0,3,3,4,0,4,29,16,42,151,150,299,24,22,45,109,104,215,57,57,115
UCL522051,86,113,198,44,17,61,10,30,39,6,8,6,0,0,0,50,57,108,35,52,89,0,5.5,2.8,58,49.5,53.3,58,46.8,51.8,0,0,5,0,3,3,6,7,13,5,7,13,37,26,58,4,0,4,0,4,6,39,24,65,81,104,182,20,19,38,62,75,138,36,44,75
UCL522052,111,64,178,36,7,48,6,3,16,4,0,8,4,0,10,53,16,73,34,40,77,10.7,5.6,9.5,50,27.3,41.6,44.6,25.8,37.6,3,0,3,0,0,0,11,4,18,8,0,8,13,5,20,4,3,7,0,5,3,21,9,30,86,57,146,20,18,30,58,54,109,43,22,65
UCL522053,49,73,118,0,4,14,3,13,19,0,0,3,0,6,8,14,28,43,26,36,63,23.1,21.4,22,27.1,38.4,33.9,20.8,30.1,26.4,0,0,3,0,0,0,0,0,0,0,0,4,0,4,9,0,0,0,0,0,0,0,3,8,46,68,122,9,12,23,49,61,108,5,26,30
UCL522054,96,80,180,40,21,66,0,15,20,0,3,6,0,0,0,47,41,85,25,28,50,0,2.4,1.2,45.9,50.6,48,45.9,49.4,47.5,0,3,0,0,0,6,8,5,14,4,0,4,13,11,24,0,0,0,0,3,3,18,14,30,66,68,136,14,18,30,56,56,108,25,31,51
UCL522055,279,250,537,85,50,137,9,21,29,14,18,28,0,0,0,105,93,196,95,93,185,0,1.1,0.5,37.2,36.5,36.9,37.2,36.1,36.7,4,5,5,5,10,13,15,28,40,12,38,52,71,17,93,6,0,6,0,5,6,81,25,105,195,172,367,22,19,45,148,118,267,63,74,134
UCL522056,250,153,402,129,51,180,14,31,44,20,3,21,5,0,7,167,82,252,28,50,76,4.1,1.2,3.2,68.1,54.6,63,65.3,53.9,61,0,3,5,6,0,3,14,21,39,13,14,28,61,22,84,0,3,6,5,0,5,68,28,94,174,132,305,46,45,87,111,78,184,99,84,184
UCL522057,197,196,392,84,47,134,38,52,88,11,18,25,6,0,7,133,117,248,37,56,90,2.3,2.5,2.4,68.6,60.7,64.6,67,59.2,63.1,17,14,33,5,7,11,33,51,85,19,19,38,33,20,56,4,6,8,0,3,8,39,32,69,143,145,285,38,39,77,96,94,191,83,76,165
UCL522058,114,107,220,29,13,40,13,15,26,0,5,3,3,5,12,43,37,87,51,51,99,13,18.9,15.7,41.4,33.6,37.6,36,27.3,31.7,0,0,3,0,0,0,0,4,5,5,0,5,19,10,30,0,3,6,0,0,0,23,13,34,104,112,214,14,10,28,81,87,167,24,27,52
UCL522059,172,155,328,56,34,93,7,20,30,5,3,8,4,3,10,75,61,142,55,57,119,3.8,4.9,4.3,45.3,39.4,42.5,43.6,37.4,40.7,5,0,6,0,0,5,10,13,19,12,17,31,31,14,50,0,0,0,3,3,6,39,20,58,125,116,248,28,29,60,90,86,179,57,55,109
UCL522060,16,26,42,3,9,17,0,0,4,0,0,0,0,0,0,3,12,18,11,12,22,0,0,0,35.3,46.2,41.9,35.3,46.2,41.9,0,0,0,0,0,0,0,5,5,3,0,5,3,4,3,0,0,0,0,0,0,3,4,6,18,26,40,3,4,9,18,22,34,3,9,12
UCL522061,169,149,315,38,25,64,21,36,52,13,10,18,3,0,5,74,69,142,79,74,149,6.8,1.4,4.2,44,47,45.4,41.1,46.3,43.5,0,8,6,3,3,4,18,16,36,11,15,31,46,24,62,4,8,7,0,3,3,47,27,73,138,120,262,30,32,62,97,89,179,67,58,123
UCL522062,83,83,165,11,11,21,6,14,14,5,0,5,0,3,7,17,22,39,66,60,121,5.9,8.7,7.5,21.3,26.7,24.1,20,24.4,22.3,0,0,0,0,0,0,0,5,9,3,0,4,3,0,7,0,0,0,0,5,10,3,11,20,105,100,214,7,13,21,68,75,146,35,33,60
UCL522063,68,88,161,9,15,19,4,19,27,0,0,5,3,0,5,16,33,50,47,49,98,17.6,3,8,23.6,37.1,31.1,19.4,36,28.6,0,0,0,0,0,0,3,9,13,0,0,0,0,0,0,0,0,0,4,4,7,5,8,12,77,93,169,8,7,16,73,80,151,11,12,23
UCL522064,179,194,376,31,41,74,13,23,32,10,6,13,16,15,35,75,78,154,89,99,195,23.6,18.5,20.9,39.6,41.8,40.7,30.2,34,32.2,0,11,12,3,0,3,8,14,16,9,6,13,32,16,46,5,6,13,3,3,13,45,23,67,209,202,404,19,31,50,128,143,262,65,78,144
UCL522065,101,94,198,34,21,52,9,19,25,10,9,12,12,3,10,58,44,103,21,32,49,14.3,4.3,9.8,56.6,48.4,52.6,48.5,46.3,47.4,0,0,0,0,3,3,4,10,9,4,4,11,23,8,33,0,0,0,0,3,5,23,11,33,88,87,180,7,3,8,60,57,123,29,31,55
UCL522066,138,167,308,72,43,113,12,42,51,4,7,11,0,0,4,90,92,180,30,51,83,2.2,1.1,1.7,64.3,54.2,58.8,62.9,53.6,57.8,0,3,4,0,0,0,9,19,23,7,12,21,39,24,64,6,0,7,0,0,0,41,28,72,137,164,300,21,27,47,90,103,186,62,70,131
UCL522067,328,129,457,196,57,250,18,11,31,12,6,15,0,0,0,224,70,297,27,30,59,0.4,1.4,0.7,67.5,56.3,64.4,67.2,55.6,64,8,3,10,3,0,4,29,16,41,21,12,32,98,20,118,3,7,11,0,0,0,100,30,123,206,94,301,66,29,88,143,53,195,118,64,180
UCL522068,155,173,327,65,41,110,13,47,53,8,10,20,6,6,13,97,100,194,44,63,108,5.3,4,4.6,61.7,57.2,59.3,58.4,54.9,56.6,0,0,5,3,4,8,12,15,26,16,16,31,49,22,73,0,6,4,4,6,7,52,36,92,160,172,326,17,32,46,133,129,266,47,62,103
UCL522069,139,117,253,44,15,58,12,21,30,3,0,9,5,4,7,60,40,105,60,56,117,6.3,9.1,7.5,45.7,37.9,42.1,42.8,34.5,39,0,0,0,0,0,5,4,11,13,9,10,13,29,14,44,0,3,10,0,0,0,30,21,49,103,99,204,34,20,52,75,66,141,59,48,106
UCL522070,137,129,270,44,23,68,12,30,50,0,9,13,6,4,15,73,66,135,54,63,121,11.1,7.7,9.5,53.3,49.2,51.3,47.4,45.5,46.4,0,4,9,0,0,0,0,7,7,5,11,12,43,26,67,0,7,10,0,6,4,43,35,79,144,142,289,21,18,37,65,72,137,90,73,165
UCL522071,151,153,302,20,13,32,11,17,30,10,3,19,4,0,4,43,34,80,100,110,212,4.8,0,2.5,28.2,23.7,25.9,26.8,23.7,25.2,0,3,3,4,3,4,0,6,7,0,0,0,8,10,19,0,0,0,0,0,4,14,11,17,190,208,390,14,26,39,153,160,312,16,31,46
UCL531001,103108,70735,173841,44725,17852,62578,9050,17475,26525,5365,3971,9332,1608,1230,2840,60745,40534,101279,22355,22357,44712,2.6,3,2.8,58.9,57.3,58.3,57.4,55.6,56.6,2009,1922,3929,846,1823,2675,7811,10521,18338,6383,7250,13634,26715,9149,35860,1185,1549,2728,1192,1673,2867,29085,12374,41456,79394,63940,143331,12932,10442,23375,57446,46327,103774,31418,24971,56391
UCL579997,2854,392,3249,1339,139,1478,54,20,77,115,31,147,7,0,7,1525,190,1711,87,81,165,0.6,0.5,0.6,53.3,48.1,52.7,53,47.8,52.4,43,16,55,15,15,31,208,68,277,257,34,292,659,43,703,22,9,28,39,4,41,722,57,776,1324,213,1540,286,55,345,925,147,1067,678,129,801
