SAL_CODE_2021,Co_LTHC_1ms_LTHC_twoc_In_ns_P,Co_LTHC_1ms_LTHC_twoc_Tot_M,Co_LTHC_1ms_LTHC_twoc_Tot_F,Co_LTHC_1ms_LTHC_twoc_Tot_P,Co_LTHC_1ms_LTHC_3oMc_Ind_M,Co_LTHC_1ms_LTHC_3oMc_Ind_F,Co_LTHC_1ms_LTHC_3oMc_Ind_P,Co_LTHC_1ms_LTHC_3oMc_NoInd_M,Co_LTHC_1ms_LTHC_3oMc_NoInd_F,Co_LTHC_1ms_LTHC_3oMc_NoInd_P,Co_LTHC_1ms_LTHC_3oMc_In_ns_M,Co_LTHC_1ms_LTHC_3oMc_In_ns_F,Co_LTHC_1ms_LTHC_3oMc_In_ns_P,Co_LTHC_1ms_LTHC_3oMc_Tot_M,Co_LTHC_1ms_LTHC_3oMc_Tot_F,Co_LTHC_1ms_LTHC_3oMc_Tot_P,Co_LTHC_1ms_LTHC_Tot_Ind_M,Co_LTHC_1ms_LTHC_Tot_Ind_F,Co_LTHC_1ms_LTHC_Tot_Ind_P,Co_LTHC_1ms_LTHC_Tot_NoInd_M,Co_LTHC_1ms_LTHC_Tot_NoInd_F,Co_LTHC_1ms_LTHC_Tot_NoInd_P,Co_LTHC_1ms_LTHC_Tot_In_ns_M,Co_LTHC_1ms_LTHC_Tot_In_ns_F,Co_LTHC_1ms_LTHC_Tot_In_ns_P,Co_LTHC_1ms_LTHC_Tot_Tot_M,Co_LTHC_1ms_LTHC_Tot_Tot_F,Co_LTHC_1ms_LTHC_Tot_Tot_P,Co_LTHC_Ns_Ind_M,Co_LTHC_Ns_Ind_F,Co_LTHC_Ns_Ind_P,Co_LTHC_Ns_NoInd_M,Co_LTHC_Ns_NoInd_F,Co_LTHC_Ns_NoInd_P,Co_LTHC_Ns_In_ns_M,Co_LTHC_Ns_In_ns_F,Co_LTHC_Ns_In_ns_P,Co_LTHC_Ns_Tot_M,Co_LTHC_Ns_Tot_F,Co_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_Tot_p_M,Tot_p_In_Tot_p_F,Tot_p_In_Tot_p_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P
SAL50861,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,8,0,0,0,7,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,26,55,0,0,0,33,27,60
SAL50862,0,3,6,11,0,0,0,4,4,5,0,0,0,4,4,5,0,0,0,30,31,57,0,0,0,27,31,57,0,0,0,0,0,0,4,6,11,4,6,11,0,0,0,78,76,151,7,6,14,78,85,165
SAL50863,0,48,67,121,0,0,0,22,22,44,0,0,0,23,24,48,6,6,3,277,338,614,0,0,5,285,339,625,0,0,0,39,31,67,96,52,141,126,82,209,14,16,28,1098,1119,2214,104,58,167,1214,1196,2408
SAL50864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11,0,0,0,3,3,13
SAL50865,0,56,54,107,0,0,0,28,22,50,0,0,0,28,24,55,8,10,19,258,275,535,0,0,0,272,282,555,0,0,3,26,36,66,53,42,91,82,84,161,30,34,72,846,882,1726,55,47,102,935,963,1890
SAL50866,0,4,3,5,0,0,0,3,3,4,0,0,0,3,3,4,0,0,0,20,21,45,0,0,0,20,21,45,0,0,0,5,3,5,6,6,7,6,5,13,4,0,4,69,66,138,6,4,9,77,76,149
SAL50867,0,0,5,3,0,0,0,3,3,5,0,0,0,3,3,5,0,0,0,13,12,28,0,0,0,13,12,28,0,0,0,0,3,5,0,4,3,0,7,7,0,0,0,62,62,121,4,5,8,66,62,132
SAL50868,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,21,0,0,0,8,10,21,0,0,0,0,0,4,4,4,8,6,3,8,0,0,0,38,37,70,4,4,8,49,38,86
SAL50869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,17,0,0,0,7,4,17
SAL50870,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,7,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,15,10,25,0,0,0,17,10,31
SAL50871,0,72,104,177,0,0,0,40,48,90,0,0,0,42,48,98,10,10,20,393,472,865,0,3,5,401,482,886,6,4,6,45,35,80,63,47,109,114,84,195,27,37,64,1666,1692,3353,66,55,123,1763,1776,3541
SAL50872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,9,0,0,0,7,3,10,3,0,3,14,3,19
SAL50873,8,287,389,677,9,18,27,144,223,368,0,5,5,153,246,395,47,95,141,1342,1644,2986,11,8,19,1403,1746,3147,11,8,16,254,273,524,354,287,639,617,572,1182,179,229,409,5690,5628,11322,375,308,684,6249,6169,12419
SAL50874,0,147,176,322,0,0,3,69,110,177,0,0,3,73,107,178,5,10,11,721,938,1650,0,3,9,723,948,1674,0,0,0,121,113,234,88,49,138,208,162,373,26,25,56,3201,3399,6599,93,54,152,3326,3486,6805
SAL50875,0,66,98,165,0,0,0,31,39,67,0,0,0,31,39,67,13,10,20,383,459,841,3,0,4,398,465,860,5,4,4,68,77,141,81,59,145,153,135,298,46,36,79,1767,1825,3593,91,66,149,1905,1927,3830
SAL50876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,22,0,0,0,12,11,22
SAL50878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,20,0,0,0,9,5,20
SAL50879,0,16,31,35,0,0,0,12,0,15,0,0,0,12,6,16,0,6,3,112,133,245,0,0,0,111,136,250,0,0,0,18,16,41,23,11,30,44,27,65,12,7,20,391,387,777,27,9,30,424,407,829
SAL50880,0,26,28,57,0,3,4,13,11,26,0,0,0,14,18,31,11,10,17,107,96,203,5,3,5,119,103,223,0,5,4,8,17,20,21,24,47,32,45,80,38,35,71,353,325,676,32,29,55,420,388,806
SAL50881,4,126,155,285,0,4,3,58,44,109,0,0,0,58,52,115,8,10,21,611,683,1291,0,5,5,621,699,1319,6,4,5,89,87,176,73,53,123,163,142,309,54,49,105,2117,2132,4249,76,66,143,2251,2243,4499
SAL50882,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,7,0,10,0,0,0,3,4,5,0,0,0,3,4,5,0,4,3,6,0,9,0,0,0,11,4,12
SAL50883,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,7,4,14,0,0,0,7,4,14,0,0,0,0,3,3,6,3,6,6,5,12,0,3,3,15,22,41,6,3,8,20,29,51
SAL50884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,5,0,9,0,0,0,0,0,0,4,0,4,4,0,9,0,0,0,14,8,14,4,0,4,17,8,25
SAL50885,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,13,0,0,0,9,6,13,0,0,0,0,0,0,0,0,0,4,0,6,0,3,5,18,13,35,0,0,0,19,15,39
SAL50886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,30,0,0,0,16,17,30
SAL50887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,10,8,17,0,0,3,15,11,20
SAL50889,0,3,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,31,0,0,0,13,16,28,0,0,0,5,0,5,3,3,9,7,3,9,0,0,0,63,60,120,3,3,9,64,65,128
SAL50890,5,326,456,783,8,16,23,205,287,493,4,0,5,210,308,513,43,69,114,1373,1724,3100,14,14,31,1428,1816,3246,18,13,30,194,253,455,397,363,755,608,630,1239,157,193,347,3539,4098,7635,435,394,825,4128,4683,8804
SAL50891,6,143,199,342,3,3,8,67,103,167,0,3,4,66,105,170,36,35,65,600,781,1374,8,9,14,635,820,1457,3,8,8,82,73,160,114,95,208,199,178,377,115,106,216,1889,1942,3828,127,107,233,2126,2149,4279
SAL50892,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,24,0,0,0,11,12,24,0,0,0,0,0,0,3,5,4,4,5,6,0,0,0,18,20,40,3,5,4,23,22,42
SAL50893,0,98,110,211,7,0,7,33,64,96,0,0,0,37,64,103,18,9,27,460,594,1056,0,6,0,478,603,1083,0,7,7,56,67,126,73,47,124,129,126,253,51,54,102,1906,2077,3988,69,60,128,2032,2187,4219
SAL50894,0,4,7,9,0,0,0,0,0,0,0,0,0,0,0,0,3,18,24,0,0,0,0,0,0,9,18,24,0,9,9,0,0,0,0,4,5,0,7,9,55,52,112,5,4,7,0,4,5,57,62,124
SAL50895,0,6,3,6,0,0,0,5,3,7,0,0,0,5,3,7,0,0,0,21,15,39,0,0,0,19,16,39,0,0,0,0,0,0,0,3,4,6,3,8,0,0,3,68,59,132,7,6,10,78,67,149
SAL50896,0,250,377,625,0,10,5,148,206,358,0,4,4,148,214,370,23,44,62,1351,1626,2972,5,13,20,1373,1679,3056,13,7,24,244,240,480,149,122,269,409,365,775,99,121,215,4905,5062,9965,161,136,300,5165,5322,10483
SAL50897,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,18,0,0,0,9,6,18,0,0,0,0,5,5,0,0,6,0,6,10,0,0,0,28,27,55,0,0,6,29,24,60
SAL50898,0,8,8,23,0,0,0,0,0,7,0,0,0,0,0,7,0,0,4,51,49,105,0,0,0,54,51,104,0,0,0,5,6,13,16,9,27,26,22,43,0,4,6,231,220,454,20,9,28,255,234,487
SAL50899,0,17,8,20,4,3,10,3,0,3,0,0,0,10,9,15,26,30,56,61,20,75,3,0,3,89,45,140,5,3,10,11,5,13,226,45,268,237,57,294,128,124,254,305,97,405,231,45,277,670,264,927
SAL50900,0,0,0,5,0,0,0,5,0,5,0,0,0,5,0,5,0,0,0,6,5,14,0,0,0,6,5,14,0,0,0,0,0,0,5,4,7,10,4,11,0,0,0,18,15,37,5,4,7,25,21,45
SAL50901,0,7,11,22,0,0,0,3,6,5,0,0,0,3,6,5,0,0,0,45,57,98,0,0,0,47,57,102,0,0,0,0,4,8,5,3,12,12,5,18,3,0,3,203,230,437,5,8,11,211,235,446
SAL50902,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,32,0,0,0,22,5,32,0,0,0,5,0,3,296,66,364,301,67,368,6,7,11,197,33,232,298,66,366,505,101,609
SAL50903,0,152,223,376,0,0,3,53,86,136,0,0,4,57,89,142,14,20,32,870,1012,1882,5,13,13,884,1041,1929,4,7,14,153,146,294,331,239,571,488,398,876,72,80,146,4023,4121,8149,348,267,620,4445,4468,8918
SAL50904,0,31,16,46,0,0,0,13,12,20,0,0,0,9,12,21,0,0,4,106,102,212,0,0,0,104,109,214,0,0,4,24,14,34,22,28,52,48,40,84,8,4,10,432,378,808,22,24,51,459,414,876
SAL50905,0,64,65,128,0,0,0,25,26,49,0,0,0,23,28,55,3,0,5,286,299,589,0,0,0,293,301,593,0,0,0,43,39,83,36,24,65,75,71,146,3,3,7,1132,1191,2318,36,29,62,1176,1221,2390
SAL50906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,4,13,0,0,0,8,10,10
SAL50907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,8,13,0,0,0,11,12,17
SAL50908,0,5,0,7,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,11,11,16,0,0,0,11,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,57,0,0,0,31,29,58
SAL50909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
SAL50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
SAL50911,0,37,50,87,0,0,0,19,26,41,0,0,0,19,26,41,4,6,5,200,248,448,0,0,0,204,258,461,0,0,0,58,71,129,36,33,62,94,99,195,16,10,28,864,888,1754,39,34,73,917,934,1854
SAL50912,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,20,0,0,0,16,4,25,0,0,0,6,0,3,32,6,39,31,9,37,0,0,0,49,22,73,35,6,38,91,30,120
SAL50913,0,10,6,18,0,0,0,8,0,10,0,0,0,8,0,10,5,0,5,44,25,72,0,0,0,47,25,74,0,0,0,7,6,13,4,5,12,16,16,27,6,7,8,107,95,201,12,4,18,122,102,229
SAL50914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,4,0,4,0,0,0,4,0,4,0,3,3,11,5,18,0,0,0,11,10,20
SAL50916,0,9,3,14,0,0,0,0,4,6,0,0,0,0,4,6,0,0,0,32,24,59,0,0,0,32,24,59,0,0,0,0,0,0,7,5,11,4,7,12,0,0,0,79,85,163,7,5,11,86,94,174
SAL50917,3,315,356,665,0,5,5,125,145,273,0,0,0,130,153,281,28,33,58,1559,1832,3390,8,3,9,1587,1873,3460,4,11,13,199,155,350,366,307,675,567,462,1036,97,81,174,6158,6167,12327,381,313,699,6642,6557,13199
SAL50918,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,21,0,0,0,8,7,21,0,0,0,0,0,0,0,0,9,0,3,3,0,0,0,35,27,67,0,0,9,41,35,70
SAL50919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,5,0,4,0,0,0,8,0,13,0,0,0,0,0,0,0,3,0,0,3,0,12,4,16,10,5,9,0,3,0,23,12,32
SAL50920,0,96,121,218,3,0,4,52,58,114,0,0,0,56,60,118,25,26,50,513,551,1060,0,5,5,540,579,1116,10,10,23,76,63,143,69,59,127,165,136,292,107,84,191,1809,1835,3643,75,60,134,1989,1979,3970
SAL50921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,4,3,0,3,6,0,3
SAL50922,0,240,365,603,0,4,3,145,214,352,0,0,0,145,214,359,15,32,45,1117,1533,2645,0,6,10,1133,1575,2704,4,7,9,143,155,299,247,172,420,395,332,730,106,105,209,3977,4535,8514,254,188,443,4335,4825,9160
SAL50923,0,15,5,25,0,5,3,5,5,10,0,0,0,6,10,13,0,5,5,42,40,85,0,0,0,45,40,87,0,0,0,0,4,3,11,13,27,15,14,31,4,5,4,103,101,206,11,13,27,115,120,232
SAL50924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,3,4,7,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,7,6,16,0,0,4,7,7,17
SAL50925,0,82,120,201,4,5,7,50,69,119,0,0,0,50,72,120,19,18,32,369,410,777,4,0,3,390,430,816,0,6,4,65,34,106,76,61,141,147,104,247,53,42,98,1025,988,2014,78,65,148,1160,1101,2260
SAL50926,0,15,16,37,3,11,18,6,8,8,0,0,0,8,21,24,35,59,97,46,35,78,0,3,0,89,93,181,21,28,47,6,0,9,73,55,127,106,79,182,181,203,387,218,100,325,79,58,139,482,366,849
SAL50927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,10,0,0,0,8,4,10
SAL50928,0,5,3,5,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,29,24,51,0,0,0,29,24,51,0,0,0,6,8,8,6,4,3,3,10,14,0,0,0,92,74,162,6,4,3,91,79,174
SAL50929,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,3,3,8,0,0,8,0,0,4,0,0,0,4,3,7,0,0,8,14,9,22,0,0,0,16,10,29
SAL50930,0,9,3,14,0,0,0,3,3,5,0,0,0,7,3,8,0,0,0,28,20,51,0,0,0,25,20,52,0,0,0,0,0,3,3,6,3,6,3,12,6,6,12,75,68,146,3,6,3,87,82,159
SAL50931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50932,18,122,184,303,0,0,0,62,79,138,5,8,12,62,86,150,0,5,8,679,889,1565,19,19,40,695,912,1604,0,0,6,89,106,197,99,84,179,189,186,379,13,19,33,2793,3158,5954,115,105,222,2923,3286,6204
SAL50933,4,70,104,178,0,0,0,55,92,142,0,0,0,55,92,142,0,0,0,363,543,913,3,3,6,369,548,918,0,0,0,45,44,85,45,42,87,89,85,176,11,8,20,1206,1371,2572,55,46,104,1270,1420,2691
SAL50934,0,8,6,11,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,13,5,18,0,0,0,16,12,26,0,0,0,0,0,0,8,0,13,10,0,14,24,20,44,28,14,41,8,0,13,63,39,103
SAL50935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,13,0,0,0,8,7,13
SAL50936,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,18,0,0,0,11,7,18,0,0,0,0,3,3,12,8,14,14,6,18,0,0,4,36,36,72,12,8,14,44,44,87
SAL50937,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,13,0,0,0,6,14,13,0,0,0,5,0,4,0,0,0,3,0,3,0,0,0,30,23,53,0,0,0,35,24,57
SAL50938,0,89,106,188,0,5,10,43,48,83,4,0,4,45,51,96,31,23,63,330,368,704,3,4,9,367,403,767,6,9,19,39,36,70,135,111,242,177,151,331,81,76,153,1104,1076,2177,145,118,266,1331,1268,2604
SAL50939,6,168,283,449,3,3,11,101,193,294,0,0,0,110,196,304,30,26,48,827,1106,1937,10,8,19,859,1142,2003,0,9,11,98,112,212,163,157,323,268,276,544,85,78,162,2442,2624,5068,179,181,354,2705,2884,5587
SAL50940,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,0,0,4,6,13,138,5,142,44,6,45,0,0,0,179,9,193,138,5,144,58,13,67,0,0,0,196,23,219
SAL50941,0,5,3,11,0,0,0,0,3,3,0,0,0,0,3,3,0,0,3,25,31,60,0,0,0,27,39,62,0,0,0,7,9,16,13,14,29,18,24,39,4,0,3,118,119,238,13,14,29,137,133,263
SAL50942,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,0,0,0,4,9,8,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,16,16,32,0,3,6,16,17,35
SAL50943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,5,3,4,5,3,4,0,4,4,9,4,8,5,3,4,10,7,17
SAL50944,4,98,104,206,3,9,7,40,59,98,0,0,0,43,60,107,21,24,45,394,417,812,4,4,7,419,448,872,7,12,14,57,53,113,71,60,128,137,125,259,85,105,191,1279,1236,2511,82,66,143,1444,1407,2852
SAL50945,0,5,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,36,73,0,0,0,38,38,74,0,0,0,3,0,3,10,6,17,13,6,27,0,0,0,109,97,206,12,11,23,121,113,232
SAL50946,0,28,32,60,0,0,0,11,22,30,0,0,0,11,20,31,0,0,0,97,147,242,0,3,3,97,148,246,0,0,0,12,11,26,15,19,33,29,30,58,3,3,11,329,388,722,14,20,40,347,415,759
SAL50947,4,192,294,489,0,13,14,86,176,259,0,0,0,91,186,273,42,78,119,840,1063,1903,0,11,14,886,1149,2030,13,15,26,148,163,308,299,233,531,456,407,864,155,171,326,2649,2790,5440,308,255,568,3111,3222,6335
SAL50948,0,57,81,138,0,9,10,35,48,77,0,0,0,32,57,87,22,39,64,266,305,568,4,6,8,291,348,638,12,4,11,33,20,58,85,74,156,125,97,225,97,85,187,971,957,1933,91,81,166,1156,1128,2283
SAL50949,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,16,0,0,0,8,10,14,0,0,0,0,0,3,7,8,15,13,10,16,0,0,0,45,37,88,10,8,17,55,46,101
SAL50950,0,21,24,48,5,0,6,7,3,6,0,0,0,12,5,18,18,19,38,137,147,278,3,0,3,151,167,321,0,3,9,32,29,60,143,128,270,174,156,339,81,98,179,853,801,1655,145,128,272,1075,1028,2104
SAL50951,0,59,64,123,0,0,0,17,21,43,0,0,0,25,21,41,8,4,12,307,353,658,0,0,0,313,362,673,0,0,0,45,53,95,41,18,62,85,75,161,34,26,62,1278,1328,2608,39,26,66,1353,1379,2736
SAL50952,0,3,13,13,0,0,0,4,5,5,0,0,0,4,5,5,0,0,0,31,41,70,0,0,0,37,41,78,0,0,0,5,8,7,12,7,15,10,13,29,4,4,4,134,120,251,10,7,20,150,133,284
SAL50953,0,17,19,31,0,0,0,4,12,12,0,0,0,4,12,12,0,0,0,49,79,135,0,0,0,56,81,139,0,3,3,15,15,27,10,5,12,20,19,42,4,10,18,218,246,464,10,7,14,234,259,490
SAL50954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,0,0,0,4,3,9,0,0,0,0,0,0,5,4,12,5,4,12,0,0,0,13,15,27,5,4,12,23,16,39
SAL50955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,5,0,5
SAL50956,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,16,0,0,0,5,12,16
SAL50957,0,32,44,78,0,0,0,21,27,45,0,0,0,21,24,42,0,9,7,137,174,311,0,0,0,141,182,320,0,0,0,22,19,47,16,19,39,44,43,87,5,13,23,447,440,889,20,22,50,475,485,953
SAL50958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,11,0,0,0,9,4,11
SAL50959,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,6,0,7,0,0,0,0,0,0,0,4,3,3,3,5,0,0,0,31,20,43,0,4,3,31,20,49
SAL50960,3,169,218,386,0,0,0,67,92,159,0,0,0,68,92,163,7,9,16,881,1034,1915,7,4,11,897,1048,1941,3,0,3,136,152,292,130,66,195,275,218,490,32,24,58,3697,3883,7579,153,80,233,3878,3986,7867
SAL50961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,7,0,10,0,0,0,0,0,0,4,4,6,4,4,6,3,3,4,20,9,28,4,4,6,20,8,33
SAL50962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,0,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,35,0,0,0,18,9,32
SAL50963,0,5,12,16,0,0,4,6,7,7,0,0,0,3,4,13,0,4,7,34,38,77,0,0,0,41,44,83,0,0,0,11,3,11,25,21,44,34,27,57,10,8,18,104,89,192,28,21,45,138,114,258
SAL50964,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,20,0,0,0,7,8,20,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,41,37,78,0,0,0,37,37,78
SAL50965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,3,0,0,0,6,4,9,5,0,3,8,10,20
SAL50966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,8,0,0,0,6,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,37,0,0,0,22,17,40
SAL50967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,15,0,0,0,4,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,40,0,0,0,20,26,40
SAL50968,0,3,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,9,5,15,0,0,0,9,8,19,0,0,0,0,0,7,0,3,4,8,3,11,0,3,4,38,32,74,0,3,4,41,41,76
SAL50969,0,67,98,162,0,0,0,34,30,62,0,0,0,37,31,72,15,11,25,263,332,598,0,0,3,281,347,627,6,3,3,35,29,67,51,54,105,90,89,177,31,30,64,793,922,1716,54,57,112,876,1006,1890
SAL50970,0,184,254,431,4,13,21,107,132,233,0,0,0,112,143,253,45,57,100,856,979,1841,6,7,13,911,1040,1955,11,7,20,169,147,314,179,152,330,360,304,667,133,141,268,3676,3689,7370,196,171,365,4004,3995,8000
SAL50971,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,0,3,0,0,0,3,6,6,0,0,0,3,0,7,10,0,10,17,0,16,10,14,24,42,6,48,10,0,10,62,24,87
SAL50972,0,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,13,0,0,0,8,8,13,0,0,0,4,5,7,0,5,7,6,3,12,0,0,0,14,21,34,0,5,7,17,23,40
SAL50973,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,4,7,13,0,0,0,0,0,0,7,5,8,5,7,11,0,0,0,43,35,84,4,3,13,47,42,89
SAL50974,0,6,0,9,0,0,0,0,0,5,0,0,0,0,0,5,0,0,3,16,8,20,0,0,0,16,11,18,0,0,0,0,0,0,3,4,9,8,4,11,3,0,6,28,25,48,3,4,9,32,28,58
