LGA_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA57770,18,13,20,15,0,0,90,0,6,7,5,14,13,0,0,44,17,78,52,39,60,48,8,0,304,3,44,30,41,65,54,16,0,259,24,66,76,62,123,123,28,0,505,8,3,3,3,10,3,3,0,40,0,3,0,6,9,9,5,0,34,37,79,82,70,147,128,33,0,580,0,0,0,0,0,8,6,0,15,35,44,54,68,117,129,48,9,491,87,278,246,238,419,398,118,6,1786
LGA57840,1034,745,568,381,128,28,3991,35,262,300,286,279,196,54,10,1422,885,2647,2216,1747,1327,934,359,97,10210,231,447,531,596,643,585,293,90,3423,508,679,543,511,560,420,175,71,3459,153,49,30,26,35,30,17,0,348,21,50,52,78,108,114,73,31,530,683,788,627,611,701,569,261,98,4340,31,32,41,53,52,60,48,21,335,248,339,268,232,262,307,368,417,2434,2198,5540,5018,4267,3835,3031,1508,752,26153
LGA57910,4269,2466,1472,869,349,67,13914,95,1300,1453,1265,960,564,196,29,5852,2765,12257,11046,7074,4501,3037,1302,362,42339,1116,3726,3969,3454,2870,2178,1158,348,18820,2470,5273,4450,3758,3530,2379,1290,484,23638,725,386,307,233,209,169,62,15,2101,197,337,462,649,596,482,300,132,3150,3394,5997,5224,4639,4333,3025,1647,624,28890,78,282,322,250,191,255,189,83,1650,1181,2183,1885,1365,1192,1273,1283,891,11258,8915,29884,28164,20519,15516,11201,6125,2404,122723
LGA57980,616,477,361,284,123,28,2474,10,122,140,159,112,109,43,8,706,363,1197,994,760,638,509,224,52,4742,54,131,164,213,206,209,154,37,1168,118,170,145,105,131,97,65,20,845,47,8,12,9,12,11,5,0,110,12,19,22,25,56,39,26,13,206,181,194,177,138,194,152,92,38,1161,0,9,22,23,24,22,22,7,126,81,138,141,123,101,168,152,90,998,730,2346,2252,1892,1637,1451,810,254,11375
LGA58050,1292,620,406,233,68,9,3642,54,433,546,418,290,136,36,10,1930,953,4122,4093,2529,1498,861,297,65,14414,645,2393,2846,2282,1691,887,336,60,11144,2778,5932,5056,4264,3483,1862,698,142,24207,874,470,346,248,168,87,32,3,2222,208,299,417,493,442,257,110,27,2248,3863,6696,5817,5003,4095,2204,831,171,28679,75,136,206,155,152,114,68,24,935,1020,1357,1276,1103,922,794,639,393,7497,6660,16088,16082,12115,9050,5226,2288,727,68250
LGA58190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,16,6,0,0,39,0,3,5,4,3,0,0,0,14,4,8,7,8,3,3,6,0,43,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,10,8,8,11,5,3,6,0,50,0,0,0,0,0,0,0,0,0,3,3,0,12,12,6,6,0,45,17,22,20,41,33,15,10,4,161
LGA58260,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,7,0,5,12,7,4,0,0,0,37,0,0,18,3,10,7,4,0,44,3,10,20,17,6,13,4,0,79,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,7,4,12,17,19,15,16,4,0,94,0,0,0,0,0,0,0,0,4,5,19,22,12,17,13,13,0,101,15,42,72,52,50,42,20,0,292
LGA58330,14,10,27,21,14,0,83,0,8,12,8,15,20,0,0,67,0,35,47,43,68,59,30,0,288,5,22,43,62,100,84,30,4,345,50,89,116,146,210,163,39,0,806,16,7,8,9,6,13,0,0,56,0,3,5,17,18,23,5,0,70,65,98,121,170,233,196,46,0,933,0,0,5,8,5,3,8,3,35,37,45,43,80,119,89,62,14,493,114,215,276,390,574,473,187,23,2249
LGA58400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,5,0,0,9,0,0,0,0,3,3,0,0,7,7,16,0,9,4,9,4,0,51,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,19,0,9,7,13,4,0,57,0,0,0,0,0,0,0,0,5,4,5,0,10,4,6,6,0,32,8,25,4,22,19,26,12,0,119
LGA58470,4,0,5,7,0,0,14,0,0,0,0,3,3,0,0,9,0,3,4,8,17,11,7,0,49,0,0,5,0,0,13,0,0,13,3,3,11,9,12,13,0,0,50,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,8,3,6,12,14,10,14,0,0,58,0,0,0,0,0,0,0,0,0,0,3,3,3,4,8,5,0,24,3,15,23,29,41,54,7,0,169
LGA58510,931,455,266,133,44,7,2912,27,247,242,201,159,90,28,0,1004,591,2768,2000,1058,642,395,138,40,7625,333,670,607,507,442,302,116,39,3014,548,917,713,607,573,369,158,54,3932,204,73,47,43,37,19,10,0,425,27,44,68,101,82,66,27,15,429,771,1035,822,746,691,454,194,75,4795,17,60,50,42,37,44,21,11,267,324,548,442,379,314,295,371,437,3114,2123,6364,5088,3388,2548,1711,907,603,22734
LGA58540,0,3,0,0,0,0,3,0,0,6,0,0,5,0,0,7,0,9,15,9,10,0,0,0,53,0,11,3,10,11,10,0,0,46,7,20,19,20,22,12,0,0,97,3,0,0,0,0,0,0,0,10,0,0,0,4,0,3,0,0,18,8,22,22,22,28,13,6,0,125,0,0,0,0,0,0,0,0,3,6,7,10,20,13,23,13,3,99,17,43,61,66,67,56,23,3,344
LGA58570,1004,615,362,225,59,10,3444,19,368,348,308,221,102,20,0,1383,643,3165,2348,1449,923,480,135,29,9182,211,661,620,519,447,272,84,26,2837,401,744,596,472,431,224,97,42,2994,123,57,36,21,29,22,6,9,301,21,45,53,90,88,65,22,5,393,538,845,691,587,546,304,119,51,3691,16,58,39,37,30,32,21,0,235,189,549,351,230,238,169,145,85,1947,1679,6759,5408,3753,2760,1582,579,206,22722
LGA58610,0,4,5,0,4,0,10,0,0,5,5,0,4,0,0,15,3,29,34,13,16,12,4,0,116,0,12,10,9,16,20,4,0,68,13,39,39,32,48,35,19,0,224,0,3,5,0,6,0,0,0,17,0,0,0,3,9,0,3,0,20,9,49,41,40,58,43,22,0,259,0,0,0,0,0,0,0,0,4,21,24,22,24,21,37,17,4,174,40,109,112,90,115,121,52,7,646
LGA58680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,6,8,5,0,0,0,23,0,3,3,10,4,10,0,0,34,5,13,11,17,9,13,6,0,83,0,0,0,0,0,0,0,0,3,0,0,6,5,0,0,3,0,16,12,19,12,26,15,17,10,0,99,0,0,0,0,0,0,0,0,0,14,7,13,18,16,13,12,0,92,25,31,39,65,42,44,17,0,251
LGA58760,1664,1017,536,248,98,24,4678,78,589,796,653,367,173,44,7,2715,1439,5395,6009,3926,1987,1021,409,85,20272,1013,3080,3909,3747,2499,1342,480,127,16191,3560,7432,6807,6248,4755,2629,1045,238,32706,1228,555,411,364,236,119,44,3,2966,307,387,606,715,550,353,187,51,3140,5090,8377,7817,7326,5536,3102,1274,289,38813,98,188,271,271,196,167,109,34,1336,1212,1412,1489,1311,1004,902,892,570,8792,9009,20066,21959,18259,12119,6956,3298,1133,92795
LGA58820,10,7,8,4,0,0,27,3,3,5,6,13,3,0,0,33,0,34,45,43,43,26,14,3,203,3,21,40,56,50,41,25,4,241,78,124,153,165,160,91,35,8,810,23,9,15,8,13,0,4,0,75,3,3,0,16,13,9,6,0,60,103,136,168,190,187,104,44,8,942,0,0,0,6,6,6,5,0,23,40,37,49,75,47,55,54,33,390,153,243,314,376,358,243,135,52,1869
LGA58890,0,5,0,3,0,0,9,0,0,0,5,0,3,0,0,5,7,14,6,19,4,3,0,0,58,0,3,9,6,11,6,0,0,32,10,14,19,23,30,10,0,0,111,0,0,3,9,0,0,0,0,14,0,0,0,6,0,0,0,0,7,11,13,19,36,31,12,0,0,131,0,0,0,0,0,0,0,0,3,3,8,18,15,20,12,8,3,82,18,39,52,77,76,37,11,7,319
LGA59030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,5,0,0,0,0,17,0,0,0,11,5,3,6,0,29,7,13,20,9,21,0,0,0,68,0,0,0,6,3,0,0,0,3,0,0,0,0,3,0,0,0,5,11,16,19,11,22,0,4,0,79,0,0,0,0,0,0,0,0,0,5,17,20,20,22,5,0,0,89,13,39,42,50,50,14,10,0,220
LGA59100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,12,9,0,4,0,0,42,0,6,3,12,10,3,0,0,35,4,17,21,9,22,7,6,0,87,0,0,0,0,0,0,0,0,4,0,0,0,3,3,7,4,0,11,4,19,19,13,24,10,4,0,99,0,0,0,0,0,0,0,0,0,9,14,9,18,29,14,11,4,109,19,48,40,48,73,36,18,4,282
LGA59170,7,4,0,0,0,0,6,0,0,0,6,4,0,0,0,12,4,24,31,17,15,3,0,0,89,0,9,18,12,18,8,6,0,64,15,32,38,18,20,12,5,0,134,4,0,3,4,3,0,0,0,17,0,0,0,0,0,6,0,0,8,17,31,38,20,25,18,4,0,156,0,0,0,0,0,0,0,0,5,10,14,21,11,21,12,13,3,110,32,80,112,71,70,44,25,7,444
LGA59250,10,4,0,0,0,0,27,0,3,4,5,0,0,0,0,15,8,36,19,13,10,0,0,0,97,0,8,7,24,15,3,0,0,67,17,71,67,42,31,11,0,0,245,10,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,4,24,81,72,45,32,9,3,0,263,0,0,0,0,0,0,0,0,0,48,156,109,106,49,19,0,0,490,85,286,220,195,108,39,7,0,949
LGA59310,4,0,0,3,0,0,12,0,0,4,3,8,0,0,0,17,0,14,23,17,12,4,3,0,72,0,13,3,7,16,17,6,0,64,13,42,51,33,38,34,4,0,216,9,9,5,0,3,0,0,0,30,4,0,0,3,3,4,0,0,13,26,53,58,35,46,34,10,0,263,0,0,4,0,0,3,0,0,15,10,12,16,12,12,17,8,3,94,41,94,108,75,94,83,28,9,532
LGA59320,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,3,3,9,8,8,0,0,0,32,0,3,4,5,9,6,0,0,29,9,9,6,5,16,13,3,0,60,0,8,0,0,0,0,0,0,16,0,4,6,0,0,0,0,0,4,13,16,13,12,19,13,3,0,82,0,0,0,0,0,0,0,0,0,0,4,4,8,6,15,5,0,43,20,27,34,35,37,39,9,0,197
LGA59330,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,3,0,9,8,0,3,0,0,3,32,0,5,0,9,3,4,0,0,26,10,15,7,9,12,10,0,0,62,4,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,11,16,13,10,12,10,4,0,78,0,0,0,0,0,0,0,0,0,4,10,8,5,6,14,15,0,64,19,37,30,23,25,33,18,9,202
LGA59340,85,44,69,39,3,0,329,0,54,35,31,44,25,3,0,203,61,355,260,197,208,136,22,0,1237,16,117,125,122,197,129,9,0,713,102,317,329,331,291,220,34,3,1621,38,33,23,15,15,8,0,0,136,14,17,13,18,37,30,9,0,143,152,364,366,363,346,252,42,5,1897,4,14,5,3,4,7,0,0,43,216,321,285,295,263,187,49,17,1632,458,1309,1154,1059,1138,777,129,27,6047
LGA59350,6,0,4,4,0,0,10,0,0,0,6,5,3,0,0,6,7,25,12,10,6,6,5,0,63,5,3,6,8,13,8,0,0,41,9,49,30,31,20,3,0,0,142,3,8,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,6,9,58,30,38,20,9,0,0,160,0,0,4,0,0,0,0,0,5,43,176,110,123,84,25,9,0,575,61,258,160,183,128,58,18,0,864
LGA59360,4,9,3,3,0,0,23,0,6,0,0,5,0,0,0,9,11,45,29,16,20,6,0,0,125,4,10,27,32,22,8,7,0,100,25,85,89,65,60,25,4,0,349,8,5,5,4,0,4,0,0,24,4,0,3,3,4,0,0,0,15,33,89,102,73,62,25,4,0,388,0,0,0,3,0,0,0,0,3,32,105,108,108,97,28,5,3,499,77,265,260,248,203,68,18,8,1144
LGA59370,6,8,9,21,6,0,56,0,9,9,4,13,18,3,0,54,8,48,48,47,45,42,28,6,267,0,5,29,42,65,73,33,6,268,31,65,72,79,133,107,40,14,528,14,6,8,7,7,6,0,0,47,7,0,7,8,15,29,8,4,67,49,67,82,94,156,136,47,13,638,0,4,0,0,0,6,4,0,29,21,24,29,43,62,64,72,25,345,83,165,212,237,346,364,196,49,1660
LGA59799,10,16,12,0,0,0,55,0,3,7,8,7,6,0,0,31,6,69,69,62,43,21,3,0,277,8,29,90,89,58,13,7,0,292,35,129,215,193,110,17,7,0,703,7,8,4,6,4,0,0,0,28,0,3,10,13,11,0,0,0,41,44,141,231,211,122,22,3,0,776,0,4,9,3,6,4,0,0,20,53,223,434,404,223,52,10,0,1408,112,476,858,801,465,123,24,0,2853
