LGA_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
LGA58190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,0,0,0,6,0,4,5,0,6,3,0,3,0,9,0,6,0,0,7,0,3,0,0,0,0,7,0,0,8,5,3,0,0,6,6,6,0,0,10,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,14,0,0,20,0,0,0,0,3,36,38,16,5,87
LGA58260,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,9,0,0,0,9,0,0,5,0,5,9,0,0,0,11,4,4,4,0,12,7,3,0,0,12,4,0,0,0,10,0,0,3,0,5,5,0,0,0,3,5,8,0,0,15,0,4,0,0,11,6,5,0,0,7,4,5,0,0,7,5,5,0,0,19,0,14,0,0,24,0,0,0,0,0,73,57,18,0,144
LGA58330,17,0,4,0,15,3,0,0,0,5,4,0,0,0,4,0,0,10,0,10,24,5,13,0,37,14,4,16,0,35,92,4,15,0,109,71,9,20,0,102,58,12,14,0,87,57,34,16,0,104,25,14,15,0,54,32,28,7,0,67,74,43,5,0,128,46,42,0,0,90,48,27,4,0,80,25,20,0,0,42,45,35,0,0,82,69,96,16,0,172,14,3,5,0,24,721,374,148,16,1261
LGA58400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,4,0,0,0,0,0,7,0,5,0,10,11,0,0,0,11,3,0,0,0,8,0,3,0,0,5,3,3,0,0,7,3,0,0,0,8,7,0,0,0,7,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,14,0,0,0,0,0,41,15,13,0,68
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,8,0,0,0,0,0,8,18,9,6,40
LGA58510,66,11,20,9,106,12,4,9,0,19,26,0,12,0,35,9,0,23,9,43,50,18,35,8,111,53,17,66,3,139,208,43,85,6,347,177,52,105,17,356,220,95,102,26,445,305,129,103,41,571,187,153,75,28,446,237,150,67,21,472,529,383,132,55,1102,458,343,56,19,874,340,377,45,9,773,270,288,16,16,584,746,1012,59,18,1838,296,298,79,6,684,32,17,14,0,63,4224,3398,1092,289,9003
LGA58540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,14,0,0,0,13,7,0,0,0,9,7,0,0,0,8,7,7,0,0,8,10,8,0,0,20,3,7,0,0,13,8,11,0,0,18,7,7,0,0,21,17,4,0,0,18,5,0,0,0,7,9,14,0,0,28,11,18,0,0,31,4,0,0,0,5,115,80,8,3,209
LGA58570,48,7,23,6,83,20,0,7,0,24,14,8,4,9,30,12,7,18,0,36,42,9,28,4,88,35,17,42,11,102,170,22,74,5,259,125,32,79,19,254,189,54,99,22,364,238,73,92,12,409,154,83,86,10,341,193,92,74,10,371,475,243,137,20,877,480,291,51,29,851,392,362,44,5,803,306,293,18,5,619,1087,1626,101,21,2829,295,256,67,3,621,33,8,8,5,54,4302,3488,1051,182,9027
LGA58610,0,0,0,0,5,0,0,0,0,5,0,0,3,0,3,0,0,0,0,0,9,0,0,0,10,10,0,0,0,6,32,5,10,0,48,15,0,14,0,30,15,7,10,0,34,18,10,4,4,26,12,8,3,0,23,17,9,3,0,28,23,21,4,0,52,18,21,4,0,47,10,10,0,0,18,11,3,0,0,12,16,14,0,0,30,15,25,4,0,46,4,4,0,0,5,230,131,65,6,433
LGA58680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,12,0,0,0,12,5,0,0,0,12,0,0,0,0,4,3,0,0,0,9,4,0,0,0,5,6,5,3,0,6,9,4,0,0,19,0,3,0,0,7,10,3,0,0,12,5,0,0,0,6,7,7,0,0,20,12,12,0,0,26,3,0,0,0,3,76,48,12,0,138
LGA58760,414,101,178,14,708,115,22,48,8,186,113,44,113,0,278,85,37,234,9,361,415,89,395,17,915,338,140,735,28,1238,1716,323,837,36,2914,1252,474,998,77,2797,1217,870,1105,59,3250,1421,1451,947,90,3910,869,1577,761,52,3255,996,1704,624,63,3394,2408,4217,1019,95,7737,1769,3819,453,77,6120,1309,3191,269,48,4814,722,2027,136,20,2901,1281,4725,214,33,6250,1416,3947,748,36,6142,257,230,119,11,619,18119,28985,9937,761,57797
LGA58820,8,0,0,0,18,13,0,3,0,15,3,0,8,0,12,3,0,5,0,11,15,0,5,0,18,14,4,15,0,30,92,4,9,0,105,47,14,15,3,83,42,11,12,0,67,46,19,11,0,80,21,21,6,0,51,22,19,3,0,50,50,53,7,0,110,37,48,3,0,88,27,40,4,0,73,7,28,0,0,36,38,67,3,4,112,31,93,29,0,154,15,9,4,0,22,545,434,144,13,1131
LGA58890,4,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,10,3,3,0,13,11,0,0,0,15,8,5,4,0,20,14,3,0,0,16,4,3,0,0,10,5,7,0,0,16,9,9,0,0,20,6,3,0,0,9,9,8,0,0,16,0,0,0,0,4,9,9,0,0,25,15,12,0,0,30,9,0,0,0,9,112,73,18,5,206
LGA59030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,5,0,0,0,5,0,0,0,0,3,3,0,0,0,6,8,3,0,0,12,0,4,0,0,4,5,3,0,0,7,0,0,0,0,4,7,0,0,0,3,0,0,0,0,3,7,0,0,0,7,4,7,0,0,5,0,3,0,0,3,3,0,0,0,3,44,23,6,0,69
LGA59100,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,12,10,5,3,0,16,10,0,0,0,8,3,5,0,4,13,5,6,0,0,13,7,5,4,0,11,8,9,0,0,18,5,12,0,0,12,3,3,0,0,10,4,0,0,0,4,7,5,0,0,12,10,13,0,0,21,4,0,0,0,4,88,57,16,4,166
LGA59170,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,13,0,4,0,18,5,0,0,0,9,4,0,0,0,9,12,5,5,0,20,3,11,0,0,17,11,9,0,0,16,21,16,7,0,40,14,12,0,0,25,8,6,0,0,17,7,12,0,0,13,21,18,0,0,39,12,12,0,0,21,0,4,0,0,4,137,106,24,0,264
LGA59250,0,0,0,0,0,0,0,0,0,0,0,3,7,0,9,0,0,0,0,0,5,0,4,0,7,0,0,3,0,4,6,0,0,0,6,0,0,0,0,5,0,0,5,0,3,0,5,0,0,7,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,27,9,17,6,62
LGA59310,0,0,0,0,0,4,0,4,0,4,0,0,0,0,4,3,0,4,0,9,3,0,0,0,6,3,0,9,0,16,18,4,3,0,34,12,0,6,0,21,17,6,7,0,23,11,3,4,0,26,8,5,7,0,15,4,7,0,0,18,21,18,0,0,40,8,18,3,0,27,13,11,0,0,25,8,3,0,0,15,7,12,0,0,28,9,24,8,0,42,0,0,0,0,0,154,118,59,5,337
LGA59320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,9,0,5,0,9,4,0,0,0,4,9,0,0,0,14,0,7,0,0,8,3,11,3,0,13,5,4,0,0,5,6,8,0,0,20,0,4,0,0,3,5,3,0,0,6,0,3,0,0,5,0,3,0,0,10,4,6,0,0,14,0,0,0,0,0,49,53,13,0,114
LGA59330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,0,3,0,6,13,4,0,0,17,0,0,0,0,4,4,5,5,0,8,7,4,0,0,9,0,0,0,0,4,4,0,0,0,7,5,8,0,0,12,4,4,0,0,6,0,0,0,0,7,3,0,0,0,3,5,8,0,0,9,0,0,0,0,3,0,0,0,0,0,57,33,16,3,106
LGA59340,7,5,8,0,24,3,5,8,0,12,10,6,18,0,30,0,4,19,3,25,15,11,27,0,58,4,16,31,0,55,20,20,24,0,69,15,20,31,6,79,28,24,25,3,81,29,23,40,0,86,9,21,21,5,60,25,20,20,3,70,81,72,30,0,186,75,64,8,4,149,62,74,6,3,146,33,29,0,0,62,69,89,0,0,159,70,104,24,3,194,8,8,21,8,49,577,605,358,50,1591
LGA59350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,9,0,0,0,0,0,12,6,11,0,29
LGA59360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,3,0,0,0,7,13,0,0,0,14,9,0,0,0,11,14,5,3,0,22,14,0,3,0,17,0,3,3,0,10,5,5,0,0,9,15,5,0,0,21,16,5,5,0,24,11,5,0,0,17,4,5,0,0,9,15,0,0,0,16,10,23,4,0,38,0,0,0,0,3,122,63,25,3,214
LGA59370,14,0,0,0,16,0,0,0,0,0,7,0,5,0,6,7,0,9,0,11,15,0,3,0,20,10,3,18,0,34,75,4,8,0,95,54,0,14,0,72,45,16,18,0,75,36,23,13,0,73,22,20,7,3,46,34,24,4,0,61,51,39,14,0,104,32,40,6,0,78,21,22,0,0,44,7,11,0,0,23,34,29,6,0,69,45,37,5,0,94,14,0,3,0,20,523,269,133,7,936
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
