ILOC_CODE_2021,Neg_Nil_inc_Hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_2499_Hh_with_Indig_psn,2000_2499_Other_households,2000_2499_Tot_hhlds,2500_2999_Hh_with_Indig_psn,2500_2999_Other_households,2500_2999_Tot_hhlds,3000_3499_Hh_with_Indig_psn,3000_3499_Other_households,3000_3499_Tot_hhlds,3500_more_Hh_with_Indig_psn,3500_more_stated_Other_hhds,3500_more_stated_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
ILOC50800305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50800306,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,7,0,7,36,0,32
ILOC50800307,0,0,0,0,0,0,3,0,3,3,0,3,7,0,7,6,0,6,10,0,10,3,0,3,0,0,0,3,0,3,4,0,4,0,0,4,0,0,3,0,0,0,0,0,0,0,5,5,3,0,8,0,0,0,50,7,59
ILOC50800308,0,0,0,0,0,0,6,0,6,0,0,0,9,0,9,0,0,0,4,0,4,6,0,6,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,32
ILOC50800501,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6,10,0,10,8,0,8,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,30
ILOC50800502,0,0,0,0,0,0,0,0,0,8,0,8,6,0,6,3,0,3,6,0,11,6,4,13,3,6,10,4,9,9,0,17,17,8,16,16,6,32,37,7,13,15,3,19,19,0,20,21,6,11,16,0,0,0,68,139,210
ILOC50800503,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,13,3,15
ILOC50800504,0,0,0,5,0,5,3,0,3,3,0,3,8,0,8,0,0,0,8,0,8,7,0,7,7,0,7,5,0,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,5,0,5,67,0,67
ILOC50800505,0,0,0,0,0,0,3,0,3,6,0,6,0,0,0,0,0,0,8,0,8,9,0,9,7,0,8,0,0,0,0,0,0,3,0,3,8,0,8,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,52,0,54
ILOC50800506,0,0,0,0,0,0,7,0,7,3,0,3,5,0,5,9,0,9,10,0,10,6,0,13,13,0,13,9,4,10,4,0,4,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,86,10,96
ILOC50800601,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13
ILOC50800602,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,4,0,0,0,11,8,15
ILOC50800603,0,0,0,0,0,0,9,0,9,4,0,4,8,0,8,5,0,5,3,0,3,12,0,12,10,0,10,4,0,4,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,11,0,16,21,0,21,97,3,101
ILOC50800604,0,0,0,0,3,0,0,0,3,0,6,4,0,5,5,4,0,4,5,4,6,0,3,3,4,13,20,3,13,9,4,10,14,0,4,4,3,4,13,0,3,4,0,6,8,0,8,8,6,4,5,0,5,3,27,92,117
ILOC50800605,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,6,0,6,4,0,4,4,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,23,0,23
ILOC59499494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC59799797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
