POW_SA2_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
510021269,269,3681,12,3964,53,319,0,378,57,592,4,655,387,4589,16,4988,98,1111,5,1212,31,338,4,382,32,173,0,203,157,1625,15,1795,367,4793,18,5172,86,659,4,756,87,762,8,855,543,6212,30,6787
510021270,77,787,8,873,29,148,3,179,21,108,0,130,129,1042,4,1179,149,895,3,1048,71,545,0,618,34,128,0,165,252,1577,5,1829,230,1688,7,1918,100,694,3,794,55,237,0,291,379,2616,11,3008
510031271,423,8011,34,8471,47,623,4,677,89,1517,4,1615,567,10155,46,10760,138,1834,11,1985,53,503,0,556,51,374,3,428,241,2711,13,2967,559,9849,39,10453,104,1119,5,1233,141,1896,10,2043,804,12863,62,13727
510031272,121,3131,3,3257,35,450,0,490,25,310,0,339,182,3895,10,4087,91,1945,7,2042,68,1220,7,1296,17,225,7,250,180,3390,23,3590,215,5073,16,5300,102,1674,10,1786,44,537,8,589,359,7283,29,7675
510031273,193,3725,14,3929,50,302,3,353,40,593,3,636,280,4621,18,4919,93,883,3,985,60,288,4,352,22,148,0,170,175,1327,7,1507,286,4612,15,4914,112,590,6,705,63,743,3,806,455,5943,26,6426
511011274,38,1865,7,1907,15,397,3,414,7,184,0,193,56,2437,11,2512,29,1076,6,1115,49,1192,5,1241,11,204,0,214,86,2464,16,2564,75,2936,15,3020,60,1581,6,1651,16,389,3,403,148,4902,24,5078
511011275,26,1448,12,1483,7,173,3,177,4,149,0,154,38,1770,12,1822,11,424,0,440,14,356,7,366,4,85,0,89,25,866,7,900,33,1877,12,1922,16,531,7,549,11,234,0,248,61,2639,17,2712
511021276,36,727,11,776,11,188,3,208,12,67,0,80,63,987,13,1062,51,574,8,630,37,307,0,348,11,71,0,83,98,948,10,1056,95,1298,10,1401,51,501,7,553,21,140,3,163,167,1935,20,2122
511021277,47,959,7,1011,14,215,0,225,9,101,0,107,71,1271,8,1349,15,631,0,650,18,481,0,499,0,82,0,86,37,1195,3,1240,68,1589,11,1665,22,694,3,723,13,181,0,194,105,2465,13,2587
511031278,34,937,4,977,6,112,0,118,4,80,3,85,43,1123,10,1179,9,392,0,405,12,258,3,273,4,32,0,32,19,685,3,705,43,1333,4,1379,17,365,6,386,5,110,3,116,64,1811,7,1886
511031279,151,4059,17,4226,39,609,0,651,27,310,3,341,214,4984,25,5223,106,2526,9,2639,67,1719,10,1798,23,270,3,301,199,4521,14,4739,260,6588,24,6870,111,2334,7,2454,50,580,5,641,417,9502,41,9959
511031280,11,286,0,296,0,69,0,71,4,23,0,25,14,377,0,395,9,500,0,511,8,242,3,251,0,55,0,55,21,797,5,818,21,787,0,807,11,308,3,327,4,72,0,77,39,1171,5,1213
511031281,0,39,0,42,0,9,0,9,0,3,0,3,4,50,0,53,0,34,0,37,0,11,0,11,0,0,0,0,0,42,3,44,3,73,0,75,0,13,0,19,0,3,0,3,4,91,5,99
511031282,79,2988,16,3089,19,251,0,277,12,339,0,356,107,3581,26,3717,44,822,0,866,11,253,3,268,12,113,3,120,62,1187,6,1257,119,3815,22,3958,32,505,0,540,19,454,5,480,169,4774,32,4975
511031283,147,4695,15,4854,38,366,0,405,35,776,8,821,219,5843,19,6082,48,1089,3,1139,69,169,3,241,22,162,4,179,141,1416,5,1561,199,5786,14,5996,109,540,3,640,52,940,9,1001,355,7256,22,7641
511031284,26,503,0,528,0,37,0,37,3,57,0,60,30,594,0,622,12,175,0,192,0,32,0,29,7,28,0,33,16,237,0,258,36,684,0,722,0,69,0,70,9,85,0,92,47,838,0,878
511041285,146,3783,11,3939,62,1103,3,1172,21,294,0,320,233,5176,23,5433,151,3064,11,3220,173,3087,11,3272,31,413,6,448,357,6559,21,6940,306,6843,17,7168,237,4186,22,4448,50,711,4,763,595,11736,47,12372
511041286,67,1205,6,1278,16,177,0,185,9,92,0,105,94,1474,6,1572,39,369,6,411,40,334,5,373,9,45,0,58,85,750,7,843,108,1575,10,1696,54,510,5,568,18,140,0,159,178,2220,15,2414
511041287,10,176,0,182,5,104,0,106,0,19,0,19,9,298,0,309,7,124,0,129,10,216,0,217,3,21,0,25,15,362,0,378,14,301,0,315,8,316,0,329,3,42,0,41,26,661,0,683
511041288,11,183,0,195,4,133,3,143,0,13,0,17,16,330,4,346,7,158,0,169,19,300,0,319,0,16,0,22,30,483,6,513,12,343,0,361,22,432,5,458,0,35,0,36,39,815,9,863
511041289,13,331,0,345,5,106,0,115,0,43,0,47,17,480,0,495,0,201,0,201,11,301,0,314,0,47,0,47,11,545,0,563,13,533,0,541,15,411,0,429,3,84,0,91,27,1030,0,1062
511041290,105,2937,13,3057,15,239,0,250,26,471,3,503,140,3649,22,3812,57,675,4,733,27,128,0,158,13,120,0,137,102,921,7,1028,159,3615,16,3790,42,363,0,408,41,596,5,637,236,4572,23,4835
511041291,36,1186,3,1226,6,157,0,165,4,123,0,129,48,1467,9,1518,16,388,0,408,17,288,0,302,4,65,0,74,34,745,0,776,49,1571,10,1636,26,444,0,470,4,195,4,198,76,2210,12,2298
511041292,30,864,3,895,4,256,0,263,9,70,4,82,40,1187,8,1236,6,339,5,356,16,421,3,439,4,63,0,65,26,822,9,858,40,1205,4,1244,25,675,5,702,3,131,3,140,66,2011,17,2089
597979799,16,936,3,956,0,48,0,54,5,226,0,230,21,1220,7,1240,0,92,0,91,4,21,0,21,3,28,0,31,4,137,0,144,14,1023,3,1046,4,73,0,77,3,255,0,262,22,1355,7,1386
599999499,516,26087,96,26692,189,11770,51,12017,135,3732,26,3895,846,41586,173,42601,121,4791,24,4938,160,10948,43,11151,60,1803,10,1876,345,17543,79,17965,636,30879,118,31634,355,22724,94,23168,201,5531,41,5769,1189,59132,244,60566
