POW_SA2_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
509021237,0,7,0,0,5,7,4,5,0,24,5,9,8,8,4,4,6,4,12,62,68,198,154,94,155,247,111,374,24,1416
509021238,0,4,7,7,3,10,7,9,0,55,3,4,3,4,3,6,0,15,12,57,66,228,185,125,151,322,114,464,30,1687
509021239,4,12,15,3,14,15,5,11,0,91,13,29,26,14,8,29,7,21,23,175,200,527,460,245,483,664,274,913,90,3855
509021240,5,7,6,3,18,19,7,15,0,85,5,6,4,0,11,8,0,20,15,81,104,297,207,142,291,429,165,589,46,2271
509021241,3,13,3,10,8,18,13,21,0,86,3,18,5,4,4,15,6,19,10,84,82,282,213,162,222,413,179,654,42,2244
509021242,5,0,0,4,5,3,8,16,0,44,9,10,9,0,6,6,5,17,15,61,150,155,137,71,154,226,171,1081,52,2202
509021243,5,27,16,8,30,53,15,21,0,189,8,26,12,12,32,44,16,35,41,226,215,611,533,404,961,1011,330,674,94,4828
509021244,3,5,8,0,0,14,0,8,0,32,6,16,3,0,5,10,6,5,8,52,29,186,116,61,103,128,36,176,20,871
509021245,0,4,3,4,7,8,10,4,0,38,0,9,7,4,15,7,0,11,22,69,87,260,200,126,174,241,85,330,45,1554
509031246,0,7,3,3,3,9,5,12,0,50,3,7,4,3,0,3,0,9,11,38,70,184,154,114,133,279,105,403,24,1464
509031247,0,3,10,0,5,21,4,8,0,51,5,5,6,0,5,15,3,13,16,67,138,255,217,128,181,427,194,902,49,2485
509031248,3,3,4,7,8,10,9,14,0,42,3,8,6,4,5,7,7,11,22,83,298,179,168,61,325,394,277,1252,82,3039
509031249,4,14,9,0,19,35,13,10,0,111,5,9,7,0,8,17,6,5,17,82,102,299,277,207,364,451,133,305,43,2182
509031250,3,10,3,3,4,11,5,9,0,55,3,10,7,9,11,12,7,13,11,70,106,229,206,131,181,311,142,525,32,1859
510011262,10,27,28,29,56,53,21,70,4,294,8,30,22,20,61,49,18,64,97,363,359,707,616,600,1629,1471,472,1332,177,7364
510011263,0,13,13,4,16,18,4,17,0,94,7,9,7,0,5,11,9,16,29,93,138,192,171,120,461,464,172,730,79,2523
510011264,0,7,0,0,9,0,0,5,0,25,6,0,0,0,6,4,4,6,30,56,83,73,77,61,170,164,62,371,48,1119
510011265,3,13,8,9,24,28,12,35,0,124,11,22,10,5,35,24,8,28,39,181,183,279,211,228,693,707,260,897,83,3529
510011266,0,0,0,0,4,0,0,0,0,11,0,0,0,0,3,0,0,0,9,12,23,46,47,51,100,96,64,188,15,632
510021267,5,10,3,0,4,0,10,67,0,94,19,36,7,4,19,35,4,61,109,283,1634,459,359,130,525,500,1027,9155,346,14131
510021268,7,16,6,6,12,20,11,34,0,109,3,5,0,3,7,15,13,30,15,89,436,214,186,104,300,369,312,1857,57,3840
510021269,10,10,4,5,30,25,22,100,3,213,29,24,17,7,29,33,15,111,66,332,688,308,262,175,610,831,573,3159,169,6787
510021270,4,20,12,9,22,17,4,16,4,110,7,19,6,6,7,15,0,24,29,123,210,355,248,190,547,557,185,632,83,3008
510031271,6,21,9,7,13,12,15,55,3,148,38,34,15,10,29,32,20,190,102,461,1726,556,449,224,539,826,895,8193,322,13727
510031272,10,45,24,12,50,54,35,108,3,335,11,21,20,14,39,63,18,135,59,374,474,776,574,441,1046,1338,663,2256,110,7675
