SAL_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
SAL50839,5,15,9,8,11,3,0,55,11,6,8,17,19,6,0,63,6,8,4,9,5,3,0,28,0,0,0,0,0,0,0,3,36,48,21,32,55,20,0,213
SAL50840,78,104,39,12,45,10,0,294,43,70,41,22,57,7,0,250,18,23,16,14,57,6,0,137,7,11,5,3,101,5,0,133,915,977,292,162,608,184,11,3144
SAL50841,12,24,8,5,17,10,0,74,10,13,9,5,23,6,0,75,0,4,0,0,5,7,0,16,0,0,0,0,0,3,0,5,47,71,28,26,61,44,0,279
SAL50842,265,630,270,152,174,16,0,1506,176,467,348,209,287,19,4,1517,66,122,81,66,144,16,0,495,15,39,11,9,61,4,0,144,1990,2790,1330,813,1621,118,15,8680
SAL50843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL50844,15,32,14,4,63,68,3,202,7,14,6,0,17,10,0,50,0,0,0,0,5,0,0,5,0,0,0,0,0,0,4,4,203,257,64,51,413,543,8,1541
SAL50845,4,11,6,3,12,0,0,35,0,5,0,0,3,0,0,14,3,3,0,8,4,0,0,17,0,0,0,0,0,0,0,0,26,50,19,17,43,9,0,165
SAL50846,24,48,16,7,51,75,0,209,9,23,17,15,36,35,0,133,5,9,4,0,4,3,0,29,0,0,0,0,3,0,0,5,136,193,73,39,267,468,10,1188
SAL50847,73,165,84,69,77,13,0,484,34,110,92,57,57,12,0,366,10,29,28,15,37,5,0,117,0,9,3,4,0,3,0,18,448,695,395,299,377,63,0,2279
SAL50848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50849,175,393,158,96,161,22,0,1004,126,283,211,128,163,26,0,936,82,158,95,101,165,29,0,630,26,35,16,16,95,31,0,222,1461,2016,940,668,1284,180,5,6548
SAL50850,0,0,0,0,0,0,0,6,3,0,0,4,3,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,7,0,7,12,0,0,26
SAL50851,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,13
SAL50852,0,0,0,0,3,0,0,10,0,0,0,8,3,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,8,11,4,9,14,0,0,46
SAL50853,38,95,41,15,28,6,0,225,18,60,34,46,41,6,0,202,6,32,20,16,24,3,0,107,8,9,6,3,10,0,0,30,221,382,195,134,204,36,0,1170
SAL50854,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,15
SAL50855,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,12
SAL50856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL50857,71,105,48,28,119,23,5,387,43,59,47,31,109,16,0,308,22,30,18,10,67,16,0,157,0,4,0,4,12,0,0,26,520,581,258,192,884,207,9,2650
SAL50858,28,39,25,13,28,17,0,156,17,21,19,13,50,10,0,127,9,6,4,6,53,10,0,89,3,4,0,3,31,3,0,49,179,250,99,99,325,86,0,1044
SAL50859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,6,4,0,5,0,0,12
SAL50860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50861,5,4,0,0,4,0,0,10,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,4,12,0,0,45
SAL50862,4,11,3,11,4,0,0,39,6,11,11,5,4,5,0,33,3,7,3,0,8,6,0,22,0,0,0,0,0,0,0,0,25,43,25,18,22,10,0,145
SAL50863,47,108,68,54,45,23,0,350,20,42,49,30,17,11,0,173,6,25,17,11,21,10,0,81,3,3,0,0,5,0,0,16,381,517,271,202,289,119,5,1774
SAL50864,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,5,0,0,12
SAL50865,43,114,52,25,36,11,0,275,28,83,46,40,35,11,0,248,11,28,24,17,32,7,0,123,5,3,3,3,20,3,0,40,298,463,232,150,258,74,0,1479
SAL50866,8,22,4,5,4,5,0,43,0,14,7,11,0,0,0,34,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,52,23,26,13,5,0,134
SAL50867,6,0,0,0,0,0,0,10,3,4,3,4,3,0,0,15,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,20,23,13,9,15,8,0,94
SAL50868,4,6,5,0,0,0,0,13,4,5,0,0,0,4,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,22,8,3,4,9,0,69
SAL50869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,12
SAL50870,4,24,12,4,13,0,0,57,10,28,12,10,18,3,0,74,4,0,7,4,0,0,0,15,0,0,0,0,0,0,0,0,27,63,31,32,41,7,0,208
SAL50871,82,117,47,36,78,10,0,367,38,69,46,29,61,10,0,248,30,40,24,23,63,5,0,189,8,12,5,3,30,3,0,62,606,695,297,252,822,118,15,2803
SAL50872,12,11,4,0,8,12,0,46,5,13,7,3,12,28,0,64,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,36,45,23,16,45,67,0,223
SAL50873,177,298,112,99,366,78,10,1131,101,212,152,123,316,47,5,953,60,113,53,61,205,41,0,533,28,23,16,14,79,33,0,204,1624,2035,863,834,3523,734,26,9639
SAL50874,122,195,89,39,134,5,0,585,66,140,80,64,168,21,6,547,46,74,54,46,129,11,0,357,17,28,7,13,110,13,0,189,1178,1474,606,436,1375,142,15,5224
SAL50875,73,146,91,44,85,12,3,446,25,82,58,47,79,11,0,304,9,24,20,23,25,0,0,98,0,12,3,0,9,0,0,31,573,879,408,297,557,68,6,2783
SAL50876,0,0,0,0,0,4,0,3,0,0,0,0,4,12,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,18,0,22
SAL50877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,14
SAL50878,0,4,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5,5,0,0,0,21
SAL50879,18,50,20,14,19,0,0,132,7,24,16,23,21,0,0,95,5,11,11,6,7,0,0,43,5,0,0,3,4,0,0,14,142,194,96,82,131,20,0,662
SAL50880,21,40,11,10,27,5,0,118,6,14,8,13,24,5,0,81,3,8,6,3,10,4,4,42,3,0,5,0,6,0,0,20,136,191,72,61,176,61,3,705
SAL50881,104,233,86,78,106,19,7,627,62,116,99,84,127,10,0,493,25,51,28,42,65,7,0,222,10,19,5,7,30,10,0,79,741,1025,462,405,777,122,3,3542
SAL50882,0,0,3,0,3,0,0,14,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,6,9,0,0,37
SAL50883,0,8,0,0,0,7,0,11,0,0,0,3,0,0,0,5,0,4,5,0,0,0,0,7,0,0,0,0,0,0,0,0,4,11,11,5,3,6,0,40
SAL50884,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,4,3,5,0,22
SAL50885,0,4,0,0,0,0,0,7,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,5,5,0,0,33
SAL50886,0,3,0,0,0,0,0,3,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,3,10,0,0,21
SAL50887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50888,0,0,0,0,0,3,0,6,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,10
SAL50889,0,5,7,0,0,0,0,15,0,5,0,5,0,0,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,22,25,19,12,22,9,0,106
SAL50890,206,353,160,99,327,103,0,1249,149,274,164,176,442,98,0,1310,61,152,75,79,293,126,0,783,41,35,26,27,128,109,0,357,1149,1706,774,687,2314,945,3,7579
SAL50891,91,163,86,51,147,20,0,565,62,118,67,69,127,17,0,463,24,57,49,35,110,21,0,297,14,12,7,11,65,8,0,114,652,871,409,356,878,193,17,3377
SAL50892,0,3,0,0,0,0,0,5,0,6,4,3,0,0,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,10,4,4,0,3,0,35
SAL50893,77,175,60,40,95,14,0,456,55,133,72,49,89,8,0,407,24,31,29,16,66,0,0,178,3,13,0,4,56,0,0,79,772,1081,390,262,710,99,3,3318
SAL50894,6,4,0,0,0,0,0,4,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,31,15,0,5,6,0,93
SAL50895,7,4,0,4,3,0,0,16,0,3,0,0,3,0,0,17,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,18,42,17,11,19,10,0,116
SAL50896,202,382,164,122,381,55,3,1297,145,258,143,82,321,49,10,1013,55,100,62,40,211,88,0,564,16,25,9,0,77,125,0,248,1626,1999,833,639,2756,552,17,8425
SAL50897,0,6,5,0,0,0,0,13,0,3,0,0,0,0,0,13,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,7,17,13,11,5,3,0,51
SAL50898,11,28,11,10,5,6,0,60,0,3,13,6,6,4,0,40,0,3,0,0,5,0,0,8,0,0,0,0,0,0,0,3,67,115,60,35,47,24,0,341
SAL50899,33,49,23,12,132,121,0,375,18,38,16,15,46,24,0,158,5,9,5,3,4,4,0,32,0,4,0,0,0,0,0,6,210,294,139,69,677,785,13,2178
SAL50900,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,3,10,8,5,10,0,41
SAL50901,9,19,9,7,12,0,0,63,14,9,7,8,8,0,0,43,0,0,9,5,0,0,0,13,3,0,0,0,0,0,0,7,83,105,48,51,60,12,0,360
SAL50902,20,28,4,5,95,230,0,376,10,6,5,5,25,32,0,79,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,137,150,36,35,591,1348,26,2328
SAL50903,195,384,190,85,117,83,0,1063,109,261,177,96,124,51,0,818,36,61,50,41,101,15,0,304,25,14,6,5,58,16,0,124,1410,2065,952,667,1211,541,63,6904
SAL50904,17,46,21,24,25,4,3,135,10,38,25,16,32,3,0,126,0,11,10,6,13,0,0,42,0,0,0,0,5,0,0,5,128,181,105,78,178,33,4,699
SAL50905,57,139,57,26,40,5,0,319,43,110,53,43,64,3,0,314,14,33,20,25,47,3,0,139,9,12,6,0,19,0,0,38,410,604,267,186,324,36,4,1829
SAL50906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
SAL50907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,13
SAL50908,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,9,0,0,0,0,4,0,0,6,0,0,0,0,4,0,0,4,8,16,9,5,12,0,0,50
SAL50909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50911,39,74,43,23,38,10,0,224,25,44,26,25,52,17,3,187,10,16,13,13,35,25,0,116,0,5,0,3,24,54,5,98,274,368,167,139,369,140,10,1466
SAL50912,6,3,4,0,33,32,0,74,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,32,30,9,7,126,149,0,362
SAL50913,3,9,11,3,10,4,0,55,6,10,13,6,11,7,0,50,0,7,8,10,7,4,0,27,0,0,0,0,3,0,0,5,34,70,50,30,59,29,0,271
SAL50914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50915,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,4,0,0,13
SAL50916,9,11,10,3,3,7,0,28,9,8,5,0,0,0,0,17,4,3,4,4,5,0,0,16,0,0,0,0,0,0,0,0,33,41,21,13,18,10,0,128
SAL50917,245,382,148,74,299,53,10,1213,147,280,164,107,294,42,3,1038,54,97,54,44,170,19,0,443,24,26,8,6,43,7,0,120,2756,3502,1041,620,2569,584,34,11100
SAL50918,0,6,6,4,0,0,0,12,0,7,0,0,0,0,0,11,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,8,17,14,8,11,3,0,52
SAL50919,0,0,0,0,3,0,0,5,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,4,0,3,3,0,25
SAL50920,52,103,76,35,76,21,0,365,41,53,53,56,76,11,0,298,17,24,23,31,52,10,0,159,3,8,0,9,10,3,0,37,589,813,388,315,654,112,4,2879
SAL50921,4,3,4,0,10,13,0,30,0,4,0,0,3,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,6,8,20,28,0,83
SAL50922,143,287,134,86,204,35,3,879,80,186,121,85,241,27,4,753,70,104,79,75,239,25,0,582,39,39,18,23,234,20,0,368,1286,1724,742,715,1988,307,12,6770
SAL50923,4,10,13,5,9,0,0,31,0,4,6,9,15,3,0,40,0,0,3,4,4,3,0,6,0,0,0,0,5,0,0,5,25,29,33,30,43,22,0,170
SAL50924,0,0,0,0,11,0,0,14,8,12,0,0,5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,8,4,20,5,3,66
SAL50925,50,96,35,22,96,18,0,317,30,40,25,33,69,20,0,217,11,24,14,7,40,5,0,109,6,7,5,0,13,7,0,41,310,484,183,167,575,148,5,1872
SAL50926,48,41,15,12,65,57,0,236,16,19,12,11,30,29,0,112,11,6,0,3,11,3,0,33,0,0,0,0,0,0,0,0,244,228,87,62,344,344,3,1319
SAL50927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL50928,3,11,3,3,6,3,0,31,6,7,10,9,9,0,0,29,6,3,0,0,5,0,0,12,0,0,3,0,0,0,0,3,30,34,18,19,32,3,0,139
SAL50929,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,6,0,0,24
SAL50930,4,13,7,5,3,0,0,24,5,8,0,4,0,0,0,27,0,5,0,0,5,0,0,13,0,0,0,0,0,0,0,0,23,46,22,15,20,0,0,131
SAL50931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50932,158,278,123,62,106,27,0,752,73,168,94,72,82,15,0,504,31,83,52,39,91,24,0,321,30,33,21,15,104,36,0,243,1197,1568,639,431,843,188,3,4866
SAL50933,52,133,60,35,34,6,0,311,47,79,60,33,79,15,0,308,51,84,50,36,165,33,0,427,41,42,22,11,213,22,0,352,479,595,294,198,638,105,0,2305
SAL50934,3,5,0,3,10,8,0,36,3,13,4,0,3,20,0,39,0,0,4,0,0,6,0,9,0,0,0,0,0,0,0,0,24,32,17,6,45,41,0,165
SAL50935,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,6,0,3,0,0,0,13
SAL50936,6,9,0,4,3,4,0,24,4,0,0,0,4,0,0,11,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,16,17,3,11,11,14,0,70
SAL50937,0,3,0,0,0,0,0,4,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,8,3,3,5,0,0,39
SAL50938,54,106,42,33,79,46,0,366,47,61,36,35,83,34,0,291,15,25,13,19,33,17,0,122,8,8,5,5,28,6,0,56,413,536,235,210,465,280,3,2150
SAL50939,81,126,67,46,111,15,4,449,40,101,58,50,148,28,0,431,50,97,62,49,200,32,0,494,27,59,30,20,225,34,0,390,718,1051,470,388,1396,295,8,4326
SAL50940,0,7,0,0,0,12,0,13,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,3,13,0,4,10,191,0,216
SAL50941,6,18,5,0,5,4,0,42,6,13,10,0,6,11,0,46,0,0,0,0,8,3,0,14,0,0,0,0,0,0,0,3,43,81,41,15,34,45,0,268
SAL50942,3,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,8,5,4,0,0,0,22
SAL50943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,11
SAL50944,59,116,44,46,98,37,0,411,35,54,35,42,88,36,0,296,12,27,20,22,64,20,0,162,8,8,0,0,23,6,0,45,435,545,224,232,720,284,6,2445
SAL50945,7,19,12,5,9,0,0,45,4,6,10,5,5,3,0,37,0,3,0,0,5,0,0,9,0,5,0,0,4,0,0,5,35,53,30,20,25,19,3,180
SAL50946,41,48,24,12,18,4,0,153,23,41,19,16,17,0,0,123,11,21,6,13,16,0,0,63,9,6,6,11,18,4,0,49,184,217,94,68,123,38,16,734
SAL50947,115,151,65,44,247,107,0,735,66,92,46,47,233,114,0,597,33,71,40,30,150,104,0,425,27,32,6,13,118,128,0,327,1072,1159,397,359,1923,1056,12,5977
SAL50948,32,51,10,19,82,16,0,210,21,31,15,18,74,14,0,173,7,11,15,9,31,11,0,85,3,4,6,4,17,8,0,39,344,361,149,136,666,134,7,1798
SAL50949,4,4,0,0,0,0,0,16,4,0,0,5,3,0,0,14,0,6,0,0,4,0,0,7,0,0,0,0,0,0,0,0,23,20,8,10,15,9,0,87
SAL50950,45,66,10,11,29,29,0,175,13,12,8,7,21,5,0,68,0,8,0,4,8,0,0,19,0,0,0,0,0,0,0,0,310,428,109,148,323,213,6,1541
SAL50951,29,87,38,20,46,3,0,230,17,42,31,12,30,0,0,136,3,9,5,12,12,10,0,47,0,0,0,0,0,4,0,8,349,568,243,219,434,36,3,1851
SAL50952,4,16,4,6,4,4,0,41,4,9,4,8,9,0,0,34,0,5,0,0,7,3,0,15,0,5,0,0,0,0,0,3,28,64,25,40,36,18,0,206
SAL50953,13,30,13,5,15,0,0,73,8,27,14,14,23,0,0,77,5,9,6,4,9,0,0,33,0,0,0,0,4,0,0,8,81,135,56,49,80,9,4,407
SAL50954,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,0,6,0,22
SAL50955,5,3,0,0,3,0,0,12,8,9,0,0,3,0,0,22,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,33,40,5,0,16,6,0,90
SAL50956,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,11
SAL50957,24,52,16,8,35,3,0,147,17,30,18,26,27,8,0,123,7,14,11,13,25,4,0,75,0,0,0,0,10,0,0,21,122,199,102,92,166,37,0,723
SAL50958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10
SAL50959,5,5,4,0,0,0,0,12,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,5,3,0,4,0,36
SAL50960,213,427,159,119,216,33,3,1178,86,149,125,91,162,18,0,628,53,79,73,59,135,30,0,433,21,17,5,3,76,35,0,161,1503,1787,746,534,1548,233,16,6359
SAL50961,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,3,7,3,3,4,6,0,31
SAL50962,0,4,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,3,3,0,0,0,21
SAL50963,6,16,6,5,11,28,0,80,6,9,16,0,16,26,0,75,0,5,4,9,6,9,0,40,0,0,0,0,0,5,0,4,34,64,40,25,69,88,0,311
SAL50964,4,0,0,0,0,0,0,7,0,6,0,4,4,0,0,13,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,21,17,5,8,9,0,0,62
SAL50965,3,3,0,0,5,0,0,15,4,9,0,0,10,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,7,3,33,3,0,79
SAL50966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,3,4,3,5,9,0,0,25
SAL50967,4,0,0,0,0,0,0,9,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,8,6,0,0,0,28
SAL50968,7,15,4,5,23,3,0,55,8,17,5,6,20,5,0,56,0,5,0,0,11,0,0,18,0,0,0,0,0,0,0,0,54,79,24,17,92,17,0,284
SAL50969,49,101,45,19,34,17,0,260,19,67,47,18,38,9,0,197,25,40,25,24,41,14,0,168,7,10,0,5,16,0,0,48,319,485,194,145,262,88,3,1495
SAL50970,145,247,110,99,376,41,3,1031,103,141,78,68,302,41,0,729,30,38,20,20,170,19,0,294,13,4,5,7,89,4,0,118,1072,1073,471,472,2756,400,9,6255
SAL50971,9,6,6,5,16,7,0,43,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,62,22,12,202,79,6,416
SAL50972,7,4,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,14,5,5,4,6,0,35
SAL50973,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,17,18,4,16,6,7,0,67
SAL50974,5,6,0,0,3,0,0,10,0,6,0,0,3,3,0,9,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,15,12,3,8,12,4,0,56
SAL50975,5,14,4,5,6,0,0,35,4,8,6,7,8,0,0,34,0,0,0,9,9,0,0,15,0,0,0,0,0,0,0,4,29,54,19,20,38,10,0,174
SAL50976,0,3,0,0,0,0,0,7,5,0,0,0,3,3,0,19,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,8,5,8,10,12,0,53
SAL50977,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,17
SAL50978,4,22,7,8,0,3,0,55,6,18,10,3,7,0,0,39,0,7,0,0,6,0,0,16,0,0,0,0,0,0,0,3,14,56,24,22,17,9,0,141
SAL50979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,11
SAL50980,6,23,11,9,7,10,0,63,4,8,7,4,4,3,0,37,5,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,70,68,46,37,43,26,0,299
SAL50981,0,5,0,0,0,0,0,11,0,4,0,0,0,0,0,6,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,15,3,10,5,10,0,44
SAL50982,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,4,15,6,0,46
SAL50983,4,7,10,3,11,9,0,47,4,4,3,4,8,5,0,36,0,5,7,5,4,4,0,24,0,0,0,0,0,0,0,3,15,43,30,21,41,45,0,195
SAL50984,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,11,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,3,4,3,9,0,28
SAL50985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50986,3,3,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,0,0,0,0,20
SAL50987,7,10,5,13,0,7,0,34,0,5,3,3,7,6,0,36,0,0,0,0,4,5,0,6,4,0,0,0,0,0,0,3,39,40,17,20,39,50,0,211
SAL50988,46,84,25,16,55,36,0,265,25,55,28,19,62,27,0,218,7,27,8,18,39,17,0,112,6,6,3,0,25,4,0,40,239,379,133,114,360,215,51,1492
SAL50989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50990,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,5,0,14
SAL50991,4,0,3,0,3,0,0,18,0,5,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,4,7,7,3,0,43
