SAL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SAL51279,27,45,0,0,0,4,0,9,13,49,13,55,0,0,0,0,3,6,3,17,17,70,0,0,0,0,0,3,4,11,3,14,0,5,0,0,4,6,7,12,7,26,3,4,52,147
SAL51280,133,266,3,13,9,39,3,23,60,230,75,306,6,19,0,4,30,98,35,115,108,424,0,13,10,41,13,53,60,208,87,309,0,3,5,16,50,120,61,138,151,450,12,29,409,1171
SAL51281,62,122,0,7,6,34,0,3,36,159,51,203,0,6,0,6,5,22,8,28,62,235,0,0,0,3,0,6,12,27,14,33,0,0,0,4,4,14,11,19,24,48,0,0,145,404
SAL51282,339,654,7,23,25,120,14,63,153,613,199,818,0,10,10,38,38,125,57,173,257,990,0,0,6,8,4,17,47,140,57,162,5,14,7,11,36,76,49,101,105,267,7,16,706,1931
SAL51283,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL51284,4,8,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,10,0,10,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,8,0,0,10,22
SAL51285,10,24,0,0,0,7,0,4,3,14,3,24,3,14,0,4,0,6,4,19,11,41,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,4,4,6,0,0,22,69
SAL51286,0,6,0,0,4,7,0,0,0,0,4,7,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19
SAL51287,448,872,10,70,43,177,15,79,316,1184,382,1510,25,87,33,112,71,209,124,409,510,1920,7,19,7,31,12,38,99,263,125,347,11,37,12,27,84,188,111,252,235,601,24,52,1218,3453
SAL51288,20,31,0,0,0,0,0,0,4,15,4,15,0,3,0,0,0,3,0,10,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,6,0,4,29,61
SAL51289,24,51,0,0,4,10,0,0,21,71,20,81,0,8,0,0,6,21,6,25,26,103,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,53,160
SAL51290,0,9,0,0,0,0,0,3,5,15,8,22,0,4,0,0,0,5,0,3,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,31
SAL51291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51292,0,12,0,0,0,0,0,0,4,13,4,13,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18
SAL51293,37,68,0,0,9,31,4,9,12,54,24,98,0,3,3,14,5,19,7,35,38,139,0,0,0,5,0,0,3,6,5,13,0,0,0,0,0,10,0,10,11,21,0,0,82,223
SAL51294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51296,448,875,9,60,67,308,28,111,275,1055,378,1537,36,165,36,120,110,346,193,633,566,2170,15,70,16,73,12,52,96,269,136,463,7,19,26,57,69,159,105,242,241,704,21,36,1273,3796
SAL51297,19,38,0,0,0,7,0,4,6,23,8,35,0,3,0,0,5,9,6,14,14,47,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,3,4,3,0,7,0,0,33,90
SAL51298,462,923,8,44,155,696,15,52,466,1834,645,2630,59,251,130,463,124,388,315,1103,955,3731,3,7,11,48,8,18,73,187,92,261,17,53,41,92,75,146,136,290,227,552,20,50,1671,5253
SAL51299,1319,2567,11,71,61,285,14,55,625,2277,712,2685,28,133,45,140,103,327,176,602,889,3286,6,9,14,35,11,33,148,359,169,441,12,45,37,73,152,322,200,445,373,884,108,227,2685,6960
SAL51300,87,170,0,3,5,25,8,18,49,187,62,234,4,15,6,22,20,61,31,97,87,332,0,0,0,0,0,0,6,10,6,10,0,0,0,5,3,9,6,14,11,25,0,5,193,533
SAL51301,1963,3846,6,42,111,507,45,209,619,2319,785,3078,51,202,81,272,305,939,441,1414,1226,4493,5,32,33,110,20,88,282,687,351,913,11,43,79,168,318,644,403,848,752,1760,67,132,4006,10234
SAL51302,5,6,0,0,0,0,0,5,5,6,3,12,0,0,0,0,0,9,0,9,8,25,0,0,0,0,3,10,8,28,9,35,0,0,0,0,4,9,4,9,8,43,4,8,23,75
SAL51303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51304,13,27,0,0,0,0,0,4,4,13,4,13,0,0,0,3,0,4,0,6,8,18,0,0,0,0,0,0,4,8,4,8,0,0,0,0,4,4,4,3,5,13,0,0,23,59
SAL51305,63,142,0,9,3,15,0,11,30,134,35,172,0,7,0,5,13,39,15,51,49,222,3,18,6,10,13,67,22,57,40,150,0,4,3,5,17,44,22,55,60,208,8,27,187,601
SAL51306,54,108,0,0,4,8,6,27,31,139,36,171,0,0,0,5,11,27,11,27,48,201,0,9,4,13,0,4,6,16,8,44,0,0,0,0,0,3,3,8,15,47,0,4,126,364
SAL51307,118,227,8,35,12,61,6,41,63,256,91,389,6,27,12,27,22,72,34,126,132,514,0,0,0,0,0,0,10,29,10,29,0,0,0,4,7,25,5,26,19,54,0,4,270,798
SAL51308,931,1841,8,52,86,381,36,166,442,1724,573,2313,68,253,84,280,203,631,350,1171,929,3487,8,36,13,44,0,5,75,202,99,291,10,28,19,47,81,173,111,251,210,543,14,28,2083,5898
SAL51309,27,51,0,6,7,13,0,0,17,48,23,69,0,0,0,0,4,9,4,14,24,82,0,0,0,4,0,0,7,11,3,17,0,0,0,0,0,3,0,3,8,21,0,0,57,154
SAL51310,22,47,0,3,0,0,0,0,6,37,10,42,0,0,0,5,3,14,7,21,13,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,41,110
SAL51311,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,3,3,3,3,0,0,0,4,0,0,0,4,3,9,0,0,6,19
SAL51312,355,708,3,25,81,372,10,29,218,874,313,1302,30,131,76,280,96,293,203,699,516,1997,3,9,15,51,0,5,30,83,48,144,6,22,13,37,30,73,54,130,97,276,7,12,973,2994
SAL51313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51314,16,35,0,0,0,0,0,0,3,20,3,20,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,24,59
SAL51315,14,22,0,0,0,3,0,0,5,28,7,32,0,4,0,0,4,4,7,13,12,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,3,6,3,0,0,21,73
SAL51316,29,53,0,0,3,18,0,0,21,93,22,105,3,9,0,0,4,18,8,26,35,138,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,6,4,4,9,22,0,0,64,206
SAL51317,0,0,0,0,0,0,0,0,9,41,9,46,0,0,0,0,0,3,0,3,13,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,44
SAL51318,6,14,0,0,0,0,0,5,4,16,6,20,0,4,0,5,0,5,6,16,12,34,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,16,52
SAL51319,982,1937,18,83,76,316,24,99,466,1742,578,2244,38,148,56,194,203,612,301,956,876,3198,0,7,32,94,12,43,142,386,185,522,11,32,30,62,107,222,146,314,331,844,21,44,2212,6021
SAL51320,21,39,0,0,7,23,0,0,8,40,20,61,0,0,0,4,0,0,0,4,21,59,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,4,4,8,0,0,40,105
SAL51321,277,559,4,18,43,181,3,15,147,582,196,797,29,127,61,202,71,234,158,566,358,1361,0,3,0,3,0,0,13,34,13,40,0,9,13,36,39,82,55,129,68,165,12,33,720,2126
SAL51322,229,439,9,25,23,96,3,26,117,453,149,599,12,46,28,95,59,193,94,331,250,930,0,7,0,0,0,7,13,41,16,50,3,9,5,7,34,67,40,84,58,135,7,17,543,1519
SAL51323,153,301,0,8,10,56,0,22,55,203,68,289,13,36,11,38,22,74,46,141,119,433,3,12,5,15,0,4,12,34,19,70,3,8,6,5,7,17,11,28,29,97,4,10,294,836
SAL51324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51325,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL51326,19,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30
SAL51327,13,21,0,0,0,0,0,4,8,32,6,36,0,0,0,0,0,0,0,0,12,44,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,4,0,4,0,6,0,0,21,78
SAL51328,127,256,0,0,18,75,3,25,63,220,83,317,8,38,5,23,34,106,51,164,133,484,0,0,3,14,0,0,9,26,15,48,0,4,4,7,14,32,20,40,36,84,0,5,301,831
SAL51329,9,18,0,0,0,11,0,0,7,21,8,31,0,0,0,10,0,4,0,12,13,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,59
SAL51330,2093,4021,9,36,126,549,16,73,1082,3882,1234,4543,59,254,152,525,168,508,382,1287,1610,5831,7,26,50,153,9,27,278,626,344,830,27,69,97,202,216,429,329,695,680,1526,85,163,4463,11546
SAL51331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51332,80,161,0,0,0,6,6,8,31,129,38,150,0,6,5,13,7,26,11,41,47,188,0,0,0,5,0,0,3,9,6,16,0,0,0,0,0,0,3,0,8,21,0,0,136,363
SAL51333,0,6,0,0,0,9,0,0,3,10,5,11,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,9,0,0,10,28
SAL51334,0,8,0,0,0,0,0,0,7,30,7,30,0,0,0,0,0,0,0,0,7,30,0,0,0,0,0,0,4,6,4,6,0,0,0,5,0,0,0,4,4,12,0,0,11,46
SAL51335,7,15,0,0,3,8,0,0,9,43,14,54,0,0,0,3,0,0,0,3,12,55,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,20,70
SAL51336,12,32,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,8,3,8,0,0,0,0,0,3,0,3,3,16,0,0,22,53
SAL51337,940,1804,53,284,237,1043,92,389,967,3806,1352,5522,129,529,174,581,311,963,615,2080,1968,7603,10,40,60,201,28,82,233,640,328,960,22,61,40,97,121,278,185,433,510,1399,26,62,3445,10866
SAL51338,21,34,0,5,3,24,0,7,6,31,13,61,0,0,0,0,4,14,4,14,19,73,0,0,0,0,0,3,3,7,4,7,0,0,0,0,0,5,0,9,3,15,0,8,46,132
SAL51339,339,658,16,77,30,138,11,62,128,511,186,789,24,90,25,80,72,223,119,396,309,1188,0,3,5,13,4,4,31,64,35,93,3,11,8,9,32,74,41,88,75,185,6,9,725,2035
SAL51340,792,1566,47,288,163,798,61,310,910,3593,1180,4995,80,341,67,219,217,697,362,1253,1545,6247,11,46,39,151,29,134,239,736,325,1064,22,77,39,87,185,413,243,577,567,1642,50,102,2955,9558
SAL51341,4,11,0,0,5,0,0,0,0,11,4,17,0,3,0,0,0,13,5,13,6,31,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,4,3,18,50
SAL51342,118,214,0,8,13,71,4,9,39,157,57,241,0,0,3,18,10,24,17,44,74,284,0,0,0,6,0,0,9,27,15,39,0,4,3,3,4,5,4,8,22,51,0,3,208,554
SAL51343,0,6,0,0,0,0,0,0,6,10,6,10,0,0,0,0,0,6,0,6,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
SAL51344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51345,496,991,11,51,90,401,10,41,327,1279,435,1781,55,239,98,348,112,348,266,924,701,2705,0,13,19,47,0,7,51,125,70,188,9,30,29,79,47,99,91,213,161,401,10,21,1366,4119
SAL51346,411,813,9,29,57,245,3,21,359,1421,427,1714,19,80,76,280,52,175,152,537,580,2247,0,0,20,59,0,0,57,138,75,198,8,19,31,71,40,81,77,178,157,374,12,34,1159,3464
SAL51347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51348,501,984,9,31,22,102,14,49,205,810,248,995,14,64,42,127,76,225,135,418,379,1413,6,23,11,43,4,19,61,161,81,250,10,25,15,28,77,168,101,226,183,473,18,34,1083,2908
SAL51349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51350,10,18,0,0,0,9,0,0,0,4,3,11,0,0,4,7,0,0,4,7,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,38
SAL51351,203,392,5,20,9,42,5,11,77,276,93,359,4,22,7,22,31,90,46,137,134,494,0,3,3,21,9,14,32,81,43,118,0,0,8,14,23,47,28,63,73,181,7,14,418,1082
SAL51352,266,527,12,48,35,164,5,45,317,1218,372,1479,16,71,18,67,47,152,82,290,456,1765,0,5,11,33,4,14,72,195,85,248,8,26,14,25,39,88,55,134,143,379,17,34,878,2705
SAL51353,83,168,0,4,7,30,3,16,45,154,54,204,4,11,0,3,16,47,19,68,75,268,0,0,3,13,4,10,19,47,26,72,0,0,3,9,17,31,21,42,43,107,0,0,205,544
SAL51354,383,734,12,55,45,212,21,111,328,1258,409,1644,26,106,36,126,85,252,146,482,560,2125,3,28,16,43,12,36,74,217,101,324,8,20,14,33,58,137,82,191,186,509,14,25,1136,3394
SAL51355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51357,9,13,0,0,0,0,0,0,4,10,4,10,0,0,3,7,3,10,7,15,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,35
SAL51358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51359,365,708,12,60,55,239,19,102,353,1401,441,1810,19,84,28,88,80,252,130,429,575,2235,0,0,10,40,3,13,43,122,52,173,6,5,9,11,25,61,38,78,91,255,13,22,1037,3215
SAL51360,938,1860,13,57,108,487,18,90,513,2058,655,2692,87,360,145,531,241,772,477,1662,1131,4355,0,7,15,57,3,11,47,123,66,188,14,35,22,49,76,159,105,241,175,428,20,46,2270,6688
SAL51361,4,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13
SAL51362,103,207,0,9,5,36,4,36,59,233,78,312,0,4,3,3,21,64,26,73,102,389,0,0,9,34,3,16,24,68,41,115,3,8,4,9,28,59,28,71,72,189,5,12,273,794
SAL51363,1068,2088,9,45,88,371,23,106,501,1912,617,2436,37,153,55,164,116,339,205,660,821,3090,3,23,35,84,9,33,176,464,228,607,14,38,34,63,125,262,169,364,393,967,24,49,2306,6199
SAL51364,6,5,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17
SAL51365,83,163,0,7,0,7,0,12,25,101,33,130,3,3,0,7,15,52,19,62,48,189,0,0,5,12,5,14,21,63,28,88,0,0,4,7,15,33,18,41,44,129,7,18,193,493
SAL51366,0,3,0,0,0,4,0,0,0,4,5,8,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17
SAL51367,9,18,0,0,0,0,0,0,0,9,0,9,0,0,0,0,4,10,4,10,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,35
SAL51368,459,902,7,26,26,104,6,26,171,632,207,791,11,56,35,112,63,169,105,342,312,1136,0,0,0,0,0,3,33,81,38,91,4,12,14,32,49,105,70,151,108,238,11,29,893,2297
SAL51369,5,5,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
SAL51370,13,27,0,0,0,10,0,3,5,19,4,32,0,0,0,0,0,5,0,3,6,37,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,4,6,7,8,10,0,0,33,79
SAL51371,398,785,6,16,36,146,11,71,354,1316,408,1555,15,69,37,110,74,222,126,406,531,1957,0,15,13,39,5,27,58,146,84,220,3,12,19,37,40,79,65,129,140,348,18,41,1092,3129
SAL51372,804,1559,23,119,97,470,40,193,850,3389,1018,4173,25,86,40,110,122,396,184,594,1196,4770,4,26,26,94,31,116,224,618,278,851,7,28,27,68,101,236,146,329,422,1181,49,110,2479,7612
SAL51373,383,765,16,92,33,158,40,173,299,1170,381,1586,17,73,18,55,68,219,104,340,490,1928,6,16,10,34,9,43,99,280,118,370,3,6,13,21,59,130,74,160,194,530,27,51,1090,3273
SAL51374,4,7,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
SAL51375,10,27,0,0,0,0,0,0,9,34,9,34,0,0,0,0,4,4,4,4,6,44,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,24,71
SAL51376,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
SAL51377,555,1108,11,58,51,230,24,102,365,1365,451,1751,32,132,54,178,149,483,230,784,686,2542,0,5,15,41,17,60,102,278,136,393,16,64,28,61,123,277,168,403,304,800,39,80,1577,4529
SAL51378,0,6,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,3,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19
SAL51379,3,9,0,0,0,0,0,4,4,25,9,31,0,0,0,0,0,0,0,0,9,31,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,0,0,0,3,7,0,4,16,54
SAL51380,6,9,0,0,0,5,0,0,5,18,9,22,0,0,0,0,0,0,0,0,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,39
SAL51381,1707,3365,9,57,116,507,12,65,606,2232,757,2864,52,210,162,566,178,545,391,1323,1148,4180,0,6,15,54,0,6,134,296,154,365,16,41,57,127,122,236,191,408,345,772,85,171,3283,8489
SAL51382,13,28,0,0,0,5,0,0,19,67,16,75,0,0,0,4,7,10,4,15,22,87,0,0,0,0,0,0,6,13,6,13,0,0,0,0,5,6,4,9,10,22,0,3,48,140
SAL51383,6,18,0,0,0,0,0,0,6,22,5,26,0,0,0,0,0,0,3,9,11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,47
SAL51384,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
SAL51385,10,23,0,0,3,11,0,0,8,37,13,49,0,0,0,5,3,8,3,11,18,62,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,6,0,6,0,6,0,3,34,90
SAL51386,4,9,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16
SAL51387,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,6,0,6,4,14,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,7,21
SAL51388,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL51389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51390,577,1115,3,27,29,115,11,50,203,788,247,985,17,67,27,90,82,230,119,390,372,1379,3,6,5,15,12,37,80,215,106,273,8,14,12,25,43,88,56,131,162,411,13,27,1119,2923
SAL51391,23,43,0,0,0,6,0,0,4,16,3,22,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,65
SAL51392,4,11,0,0,0,5,0,0,8,36,10,39,0,4,0,5,0,10,5,22,16,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,73
SAL51393,73,151,0,6,4,4,0,0,26,103,29,108,0,8,0,4,5,17,8,33,37,141,0,0,0,0,0,0,14,27,10,32,0,0,0,0,6,16,10,18,19,52,0,0,136,341
SAL51394,842,1680,47,284,263,1222,53,257,1228,4772,1593,6533,139,578,191,676,291,949,620,2199,2217,8729,8,40,36,121,19,83,144,404,207,646,28,88,42,95,110,230,170,413,382,1062,44,89,3484,11565
SAL51395,177,358,0,16,10,58,7,43,80,317,105,441,7,28,5,7,41,112,44,151,151,593,0,6,7,14,13,60,59,153,76,238,4,14,4,7,45,93,56,123,130,363,13,26,471,1332
SAL51396,1252,2470,12,85,88,402,28,141,619,2287,748,2908,53,233,70,249,267,852,391,1333,1144,4244,5,14,33,125,8,18,216,538,261,696,30,89,40,95,224,498,294,682,556,1379,52,113,3008,8214
SAL51397,387,769,11,42,23,95,6,34,144,557,184,729,16,49,15,48,45,136,67,231,251,960,4,7,17,62,12,35,79,222,108,326,9,36,16,35,60,128,91,204,192,527,14,31,850,2292
SAL51398,13,23,0,0,0,0,0,0,0,11,0,11,0,4,0,5,0,0,0,3,5,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,5,3,4,0,0,19,45
SAL51399,39,72,0,0,4,13,0,7,13,55,21,81,0,5,0,11,7,21,10,31,31,111,0,0,0,0,0,0,0,7,0,7,0,3,0,0,0,0,0,3,5,11,0,0,76,197
SAL51400,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAL51401,59,126,3,20,6,36,17,91,78,335,102,480,0,3,0,0,14,55,15,57,119,537,0,0,3,16,17,81,35,105,54,203,0,7,4,5,20,56,27,72,82,278,15,38,267,981
SAL51402,491,973,3,10,48,197,9,46,299,1119,361,1376,17,76,39,134,48,146,106,356,464,1736,5,9,18,47,5,11,59,151,83,222,9,12,24,64,64,145,93,218,176,443,42,90,1177,3243
SAL51403,12,20,0,0,0,0,0,0,5,15,5,15,0,0,0,0,0,4,4,10,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,18,50
SAL51404,56,118,5,11,14,60,3,19,24,85,42,174,3,12,11,28,18,61,28,98,70,272,0,0,0,5,0,0,5,18,9,20,0,0,0,3,4,10,3,10,8,32,0,0,144,418
SAL51405,1175,2330,16,91,126,575,29,123,733,2801,902,3585,111,473,136,488,333,1079,588,2037,1488,5628,0,10,23,65,9,21,82,217,109,315,32,104,27,72,135,295,199,467,311,785,33,68,3005,8804
SAL51406,18,39,0,0,0,7,0,0,12,44,13,49,0,7,0,6,3,14,9,34,22,86,0,0,0,0,0,0,3,5,3,5,0,0,0,0,6,12,6,12,7,15,0,3,51,141
SAL51407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51408,306,595,0,18,31,154,3,31,173,656,222,857,28,108,25,85,91,266,142,451,360,1313,0,0,3,4,5,21,32,71,34,106,4,3,8,7,33,83,41,96,81,194,0,6,748,2107
SAL51409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
