SAL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SAL50210,133,48,179,463,290,18,778,2438,303,3520
SAL50211,0,0,0,6,0,0,9,0,0,13
SAL50212,0,0,0,0,0,0,0,13,11,19
SAL50213,0,0,0,14,0,0,16,27,9,45
SAL50214,3,0,3,13,4,0,16,22,0,40
SAL50215,0,0,0,5,0,0,8,21,0,28
SAL50216,0,0,0,0,0,0,0,0,0,0
SAL50217,3,0,9,179,36,7,220,334,38,589
SAL50218,0,0,0,0,0,0,0,9,0,11
SAL50219,0,0,0,5,0,0,5,16,311,339
SAL50220,0,0,0,0,0,0,0,3,0,3
SAL50221,10,0,8,824,307,26,1158,1961,84,3207
SAL50222,0,0,0,66,14,7,86,135,20,239
SAL50223,0,0,0,21,0,4,21,52,18,94
SAL50224,0,0,0,7,0,0,7,5,5,18
SAL50225,0,0,0,0,0,0,0,0,0,0
SAL50226,28,3,28,291,159,10,461,1874,203,2537
SAL50227,0,0,0,122,28,0,153,397,18,570
SAL50228,79,9,86,165,111,9,276,1232,152,1662
SAL50229,67,6,72,2573,701,117,3394,6340,546,10274
SAL50230,102,12,120,4277,1035,231,5541,7201,673,13418
SAL50231,15,7,25,860,244,67,1170,2600,648,4414
SAL50232,0,0,0,14,5,0,11,27,4,50
SAL50233,0,0,0,0,0,0,0,0,0,4
SAL50234,3,0,3,32,10,0,44,101,11,152
SAL50235,155,9,165,231,85,22,339,1245,98,1684
SAL50236,0,0,0,3,3,0,6,31,0,40
SAL50237,0,0,0,0,0,0,0,5,0,11
SAL50238,0,0,0,77,53,0,128,191,36,351
SAL50239,0,0,0,0,0,0,4,18,4,21
SAL50240,58,0,58,660,262,34,953,2339,240,3535
SAL50241,0,0,0,6,0,0,6,16,3,30
SAL50242,0,0,0,0,0,0,0,5,0,5
SAL50243,0,0,0,6,7,0,13,35,3,45
SAL50244,0,0,0,4,0,0,4,9,0,15
SAL50245,380,18,415,6400,1944,186,8526,17166,2113,27814
SAL50246,57,13,67,1011,212,15,1241,4026,540,5812
SAL50247,0,0,0,0,0,0,0,4,0,4
SAL50248,7,5,9,76,23,0,99,330,33,462
SAL50249,0,0,0,0,0,0,0,0,0,0
SAL50250,0,0,0,0,0,0,0,15,0,12
SAL50251,29,8,39,418,141,34,591,1333,153,2083
SAL50252,0,0,0,16,15,0,29,78,11,116
SAL50253,0,0,0,3,0,0,5,38,34,76
SAL50254,0,0,0,0,0,0,0,18,7,25
SAL50255,8,0,8,58,42,0,104,233,35,371
SAL50256,0,0,0,6,0,0,6,15,8,26
SAL50257,0,0,0,0,0,0,0,0,0,0
SAL50258,6,0,6,19,4,0,27,61,0,94
SAL50259,0,0,0,14,15,0,29,63,0,100
SAL50260,3,0,3,213,57,3,276,613,32,929
SAL50261,154,17,176,650,287,44,980,2928,374,4282
SAL50262,181,7,185,1438,664,65,2168,3416,167,5746
SAL50263,104,16,125,1026,283,28,1333,4023,417,5771
SAL50264,0,0,0,19,4,0,24,51,9,82
SAL50265,8,8,16,116,48,12,165,386,73,621
SAL50266,6,0,11,51,13,0,69,211,61,339
SAL50267,8,5,11,17,5,0,21,122,111,261
SAL50268,0,0,0,0,0,0,0,0,0,0
SAL50269,40,0,40,1396,484,65,1943,3475,213,5627
SAL50270,0,0,0,9,0,0,10,28,4,41
SAL50271,0,0,0,18,3,0,20,20,0,42
SAL50272,0,0,0,19,6,3,29,42,3,75
SAL50273,62,6,64,587,232,41,856,1959,322,3140
SAL50274,6,0,9,104,54,11,162,459,1241,1872
SAL50275,0,0,0,6,0,0,9,26,64,95
SAL50276,0,0,0,24,10,0,40,101,7,146
SAL50277,31,0,36,1617,364,43,2022,3230,275,5526
SAL50278,39,4,49,54,33,4,90,482,53,631
SAL50279,12,4,16,58,20,0,77,304,37,416
SAL50280,0,0,0,19,9,0,31,88,20,138
SAL50281,9,0,9,221,106,11,338,689,78,1109
SAL50282,0,0,0,0,0,0,3,14,0,20
SAL50283,0,0,0,11,8,0,11,40,3,56
SAL50284,0,0,0,12,6,0,15,82,15,110
SAL50285,0,0,4,17,14,0,29,56,10,92
SAL50286,3,0,3,9,3,0,13,38,8,59
SAL50287,0,0,0,17,12,0,29,20,9,52
SAL50288,0,0,0,4,0,0,7,29,7,38
SAL50289,0,0,0,14,4,0,14,29,3,41
SAL50290,24,0,24,285,111,17,414,1012,94,1517
SAL50291,9,3,9,166,57,10,234,548,61,848
SAL50292,0,0,0,11,0,0,11,13,0,21
SAL50293,54,8,61,705,255,14,976,1872,101,2949
SAL50294,296,12,319,1149,466,52,1675,3738,195,5601
SAL50295,4,0,4,37,22,4,59,197,21,280
SAL50296,402,49,452,1305,616,53,1980,5488,465,7932
SAL50297,64,3,71,2556,771,114,3443,6869,607,10922
SAL50298,0,0,0,0,0,0,0,4,0,5
SAL50299,0,0,0,0,0,0,0,4,3,8
SAL50300,0,0,0,0,0,0,0,0,0,0
SAL50301,179,20,197,1337,385,34,1757,4971,601,7333
SAL50302,0,0,0,10,0,0,11,25,0,36
SAL50303,0,0,0,0,0,0,0,0,0,0
SAL50304,6,0,6,165,61,8,234,1038,98,1369
SAL50305,0,0,0,0,0,0,0,5,13,15
SAL50306,3,0,3,0,5,0,3,33,0,36
SAL50307,0,0,0,16,4,0,23,61,3,81
SAL50308,0,0,0,3,0,0,3,4,5,17
SAL50309,15,6,14,228,89,0,321,641,579,1539
SAL50310,113,52,169,1023,508,68,1601,4045,567,6212
SAL50311,0,0,0,9,4,0,17,28,3,49
