SAL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SAL51377,247,486,545,364,388,221,310,383,49,2984
SAL51378,7,0,0,0,0,0,3,0,0,22
SAL51379,9,0,0,4,0,0,0,4,4,21
SAL51380,17,3,0,0,5,0,0,4,5,23
SAL51381,1149,2663,554,669,808,489,193,322,116,6954
SAL51382,57,4,11,4,4,0,0,14,0,105
SAL51383,19,4,0,0,5,0,0,0,0,34
SAL51384,3,0,0,0,0,0,0,4,0,7
SAL51385,29,6,5,6,5,4,4,10,0,68
SAL51386,3,0,0,4,3,0,3,4,0,20
SAL51387,9,0,0,0,0,0,0,0,0,11
SAL51388,12,0,0,0,0,0,0,0,0,12
SAL51389,0,0,0,0,0,0,0,0,0,7
SAL51390,190,187,321,181,168,148,206,158,25,1595
SAL51391,18,8,4,4,3,0,9,0,0,46
SAL51392,20,0,3,0,0,3,4,7,0,45
SAL51393,48,14,46,19,36,18,37,45,6,275
SAL51394,762,1539,1026,776,885,555,475,533,98,6645
SAL51395,54,49,115,88,55,67,99,127,13,666
SAL51396,552,952,1006,629,670,434,425,550,101,5323
SAL51397,120,244,222,240,136,141,84,162,31,1386
SAL51398,9,9,5,3,3,0,3,5,0,43
SAL51399,18,14,30,14,11,12,14,15,0,124
SAL51400,6,0,0,0,0,0,0,0,0,4
SAL51401,14,39,14,45,14,7,10,22,11,171
SAL51402,282,745,382,376,310,199,170,266,49,2786
SAL51403,6,10,0,0,7,3,3,0,0,34
SAL51404,36,41,53,33,33,23,22,23,9,270
SAL51405,815,1551,645,470,772,496,184,301,82,5319
SAL51406,13,17,10,8,10,0,8,17,4,79
SAL51407,0,0,0,0,0,0,0,0,0,0
SAL51408,159,244,236,132,166,84,98,106,28,1251
SAL51409,0,0,4,0,0,0,0,0,0,3
SAL51410,67,97,145,66,80,51,58,71,10,643
SAL51411,51,96,85,39,43,26,31,36,5,415
SAL51412,4,0,0,0,0,0,0,0,0,4
SAL51413,100,146,252,193,195,174,184,193,31,1469
SAL51414,0,6,0,0,0,0,0,0,0,8
SAL51415,4,16,5,9,6,5,0,7,0,56
SAL51416,893,2676,321,419,562,313,77,191,76,5534
SAL51417,664,1433,1021,770,855,478,443,553,85,6295
SAL51418,22,6,8,8,7,0,5,3,0,58
SAL51419,63,143,137,117,89,67,66,73,14,759
SAL51420,366,533,664,454,499,308,347,396,84,3655
SAL51421,498,962,93,279,201,140,36,59,21,2293
SAL51422,26,5,11,4,6,0,6,11,0,76
SAL51423,0,4,14,5,4,0,6,15,3,53
SAL51424,28,7,0,5,4,4,5,0,0,55
SAL51425,4,0,0,0,0,0,0,0,0,8
SAL51426,5,0,0,0,0,0,0,4,0,19
SAL51427,0,0,0,0,0,0,0,0,0,0
SAL51428,0,0,0,0,0,0,0,0,0,5
SAL51429,0,0,0,0,0,0,0,0,0,0
SAL51430,17,6,17,8,6,0,12,10,0,71
SAL51431,8,0,4,3,0,5,0,7,0,26
SAL51432,16,0,0,0,0,0,0,7,0,20
SAL51433,7,22,6,14,0,6,3,9,6,79
SAL51434,4,0,0,0,0,0,0,0,0,11
SAL51435,589,924,875,659,685,507,358,432,94,5120
SAL51436,108,182,115,83,83,44,46,65,10,732
SAL51437,0,0,0,0,0,0,0,0,0,5
SAL51438,7,8,0,0,5,0,0,3,0,25
SAL51439,11,6,4,3,5,0,3,9,3,44
SAL51440,21,56,98,13,10,0,90,29,0,320
SAL51441,21,0,3,0,4,0,0,6,0,33
SAL51442,41,11,7,7,8,3,3,11,3,99
SAL51443,0,4,6,0,0,0,3,0,0,17
SAL51444,12,0,3,0,5,0,4,3,0,30
SAL51445,0,0,0,0,0,0,0,0,0,0
SAL51446,495,552,474,368,438,280,230,222,52,3118
SAL51447,15,8,6,4,0,0,0,3,0,44
SAL51448,861,1742,1911,1390,1463,922,1150,1325,183,10944
SAL51449,17,12,23,17,12,3,19,14,4,122
SAL51450,18,3,7,5,3,4,0,4,0,52
