POW_LGA_CODE_2021,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
LGA53430,96,47,20,68,922,275,1199,77,21,103,1837,514,2347,0,7,6,27,32,59,64,42,104,10,19,27,0,0,0,21,5,28,3,0,3,0,0,0,129,104,236,3,13,18,79,84,159,0,4,9,49,51,105,143,152,295,0,0,0,36,26,65,149,224,367,186,248,436,8,8,13,776,770,1548,182,49,223,957,830,1787,0,0,0,102,129,236,135,152,283,241,283,525,0,7,7,503,545,1051,54,14,64,326,132,456,884,699,1578,22,39,58,323,1168,1489,250,498,751,62,130,196,654,1841,2496,12,39,57,354,1256,1612,232,816,1043,75,371,451,513,1311,1821,1183,3794,4981,10,12,24,50,83,135,107,104,205,114,142,259,4,5,11,281,354,634,0,0,0,370,62,431,156,379,540,0,4,4,523,444,971,726,476,1204,133,114,249,13677,13895,27577
LGA53570,0,3,9,11,0,0,0,0,0,0,23,34,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,7,4,3,0,0,0,6,4,9,0,0,0,4,0,5,4,12,14,0,0,0,4,0,4,3,10,10,6,8,14,0,0,0,14,15,30,0,0,0,11,15,28,0,0,0,4,3,7,17,14,34,18,27,45,0,0,0,34,39,73,0,0,0,3,11,9,38,50,88,4,0,6,10,51,64,0,0,0,4,7,5,13,63,71,0,6,6,0,0,0,9,18,21,0,0,4,6,19,30,11,41,50,0,0,0,0,0,0,0,0,3,0,4,6,0,0,0,4,10,13,0,0,0,17,9,25,5,12,20,0,0,0,22,24,41,38,34,71,19,11,37,1177,993,2171
LGA53640,0,0,0,0,0,0,0,0,0,0,14,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,5,6,0,0,0,0,0,0,5,5,10,5,5,10,0,0,0,16,20,29,0,0,0,4,0,4,17,18,36,0,0,0,3,46,49,0,0,0,0,0,4,7,50,60,0,0,0,0,13,13,0,0,0,0,3,3,0,14,14,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,16,0,0,0,0,0,0,7,6,14,10,3,17,0,0,3,372,257,627
LGA53710,0,0,0,4,0,0,0,0,0,0,9,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5,4,0,0,0,11,5,20,0,0,0,0,0,0,13,7,22,0,0,0,0,23,28,0,0,0,3,3,3,0,25,30,0,0,0,0,24,23,0,11,11,0,0,0,0,3,3,0,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,6,3,0,0,0,4,4,10,3,3,7,0,0,0,170,166,338
LGA53780,5,128,61,189,111,19,131,62,30,92,1288,263,1554,0,0,0,0,0,6,7,5,11,0,0,7,0,0,0,39,17,56,9,3,6,0,3,3,64,29,91,3,0,4,30,74,100,43,21,63,41,36,76,115,133,247,0,0,0,135,38,169,79,124,203,213,158,371,0,3,3,580,479,1058,81,28,107,656,506,1164,0,0,0,72,99,177,285,218,500,359,318,675,4,0,4,327,416,743,0,0,6,829,456,1283,1158,876,2036,11,28,39,545,2508,3051,152,139,292,100,136,240,811,2810,3624,11,50,56,13,91,106,238,1044,1282,125,814,935,252,1058,1308,634,3057,3689,0,0,0,13,7,22,21,17,36,44,81,124,7,15,23,87,120,212,0,0,0,781,139,924,197,534,734,0,0,0,977,676,1652,834,345,1179,200,155,358,14282,13368,27649
LGA53800,10,63,40,97,140,49,189,52,4,58,891,239,1125,5,0,3,0,5,3,13,9,21,11,18,30,0,0,0,12,3,11,9,6,20,0,7,7,58,40,97,5,3,3,36,74,101,13,19,32,16,43,63,65,139,208,0,0,0,30,20,45,34,86,115,60,101,169,4,0,4,259,310,569,72,12,79,332,317,653,0,0,0,45,69,115,146,141,283,194,209,403,5,4,5,252,344,604,11,0,12,353,171,518,621,522,1141,11,16,28,284,1232,1522,87,196,277,33,70,101,413,1516,1927,6,50,63,170,829,1004,143,589,730,39,313,347,132,611,744,487,2388,2884,0,3,5,4,20,26,8,6,12,27,45,76,5,4,8,49,87,132,0,0,0,373,85,460,59,266,325,0,0,0,429,357,783,300,180,477,82,76,157,8088,8894,16975
LGA53920,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,6,0,0,0,14,3,23,0,0,0,14,3,23,0,0,0,34,27,59,5,4,6,34,29,67,0,0,0,44,32,69,0,0,0,15,6,27,58,42,94,7,7,12,66,120,187,0,5,5,3,11,16,70,139,212,0,7,5,13,19,34,18,42,67,10,12,22,17,33,56,60,116,180,0,0,5,6,3,11,0,10,16,0,0,0,0,0,0,7,19,27,0,0,0,15,0,12,6,5,11,0,0,0,16,8,25,4,0,7,29,24,45,609,514,1124
LGA53990,3,14,23,41,3,4,5,6,0,3,127,58,186,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,5,3,10,4,3,11,7,6,13,0,3,8,8,11,23,16,28,44,0,0,0,6,0,6,10,22,37,16,22,38,0,0,0,64,83,153,13,4,16,75,94,169,0,0,5,20,19,39,44,61,104,63,78,143,0,0,0,108,99,205,0,0,0,27,13,37,135,111,243,3,8,9,189,814,999,3,10,16,7,27,31,205,851,1057,0,16,17,4,55,59,30,135,168,13,81,94,30,212,237,75,497,567,0,0,4,13,13,23,5,14,16,22,36,55,0,0,0,37,60,99,0,0,0,84,22,109,17,120,138,0,0,0,104,144,247,175,74,254,43,40,86,4372,3648,8017
LGA54060,13,8,4,7,0,0,0,0,0,0,35,16,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,6,0,0,0,0,0,4,3,10,18,9,9,17,0,0,0,20,26,42,0,0,0,20,27,49,0,0,0,3,4,8,6,8,13,5,12,22,0,0,0,13,23,40,0,0,0,3,0,5,20,23,49,0,0,0,4,71,76,0,0,0,6,5,5,5,74,84,0,0,0,5,35,41,3,13,21,0,3,3,0,19,19,6,76,84,0,0,0,4,0,3,0,0,4,0,0,0,0,0,0,6,5,10,0,0,0,15,3,18,7,13,13,0,0,0,21,15,32,18,8,29,14,8,25,495,563,1062
LGA54130,0,0,6,5,0,0,0,4,6,9,16,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,0,5,5,0,0,0,11,13,21,0,0,0,0,0,5,11,11,24,0,0,0,8,44,46,0,0,0,0,4,4,7,49,51,0,0,0,0,3,3,0,0,4,0,0,0,0,7,7,0,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,4,0,7,0,0,0,0,0,0,4,0,7,4,0,7,6,8,8,320,253,566
LGA54170,24,144,88,231,18,8,28,11,9,23,583,184,767,7,0,10,11,19,28,107,91,194,3,0,4,3,3,3,52,14,68,16,6,25,5,14,16,196,153,351,20,19,35,92,193,288,78,181,263,167,142,310,356,540,896,0,0,3,25,30,52,226,473,696,248,500,752,4,4,6,791,899,1684,289,119,411,1084,1016,2106,0,0,0,187,370,562,369,352,718,558,724,1284,0,3,6,791,1103,1901,18,0,14,797,344,1144,1610,1456,3060,31,90,123,1085,4756,5842,731,1391,2125,179,340,520,2035,6575,8612,25,144,170,610,3001,3614,668,2970,3637,112,1014,1125,214,1608,1817,1637,8731,10367,14,14,25,14,21,30,50,75,124,320,358,674,28,21,49,413,497,908,0,0,0,347,100,452,416,1524,1933,0,18,18,768,1637,2402,571,518,1094,245,217,458,18225,31355,49576
LGA54200,10,208,66,273,196,44,237,146,54,196,1788,461,2246,0,0,3,10,9,14,0,0,3,7,0,11,0,0,0,10,6,14,4,5,9,5,16,18,35,32,71,3,0,7,49,36,84,4,6,17,23,27,48,88,69,156,0,6,7,97,39,135,70,113,177,165,152,319,3,3,6,225,271,494,49,26,77,281,303,574,0,0,0,120,85,204,162,120,282,283,202,483,0,0,0,108,144,254,0,0,0,103,46,150,214,192,408,16,18,31,344,1427,1768,11,6,19,36,114,151,409,1564,1970,4,25,30,7,82,96,100,451,554,45,313,360,77,354,428,234,1227,1466,0,0,0,10,12,20,15,28,42,39,62,100,0,4,7,64,106,173,0,0,0,296,67,365,103,291,391,0,0,0,400,361,760,423,190,614,116,86,209,8944,7438,16385
LGA54280,6,31,44,82,58,27,87,9,6,18,655,247,898,0,0,0,3,10,12,6,5,11,10,11,12,0,0,0,10,3,15,0,0,0,0,0,0,30,25,55,0,0,0,9,38,45,0,7,16,13,14,28,24,66,94,0,0,0,111,38,152,14,107,126,128,152,281,0,0,0,281,273,560,12,10,23,304,288,582,0,0,0,39,83,123,50,137,177,85,218,305,0,0,0,149,214,364,0,4,7,239,165,403,389,387,774,6,7,13,131,774,900,58,77,145,13,26,36,205,883,1092,5,29,41,89,412,498,84,319,404,16,149,166,61,332,398,259,1249,1509,0,0,4,5,19,16,0,13,10,22,60,84,4,9,9,28,95,127,0,0,0,420,107,522,38,172,205,0,0,0,456,279,734,309,182,495,114,81,199,9044,6967,16013
LGA54310,18,21,29,50,184,62,245,7,0,5,642,210,851,0,0,0,0,0,0,5,8,9,5,8,12,0,0,0,9,0,12,0,0,0,0,10,10,20,29,50,0,0,0,4,26,35,0,0,0,0,6,7,5,39,42,0,0,0,82,48,128,29,68,100,112,119,226,0,3,3,181,91,276,25,5,28,211,103,309,0,0,0,150,113,262,109,189,299,258,303,563,0,0,3,137,244,380,29,3,32,181,134,316,351,377,730,3,16,18,102,623,726,34,71,104,5,30,34,142,741,885,0,19,25,39,221,260,44,223,263,7,27,36,41,259,302,123,756,880,0,0,0,7,6,19,9,12,16,13,40,55,0,6,6,28,63,92,0,0,0,197,40,238,35,137,171,0,0,0,229,176,410,431,136,569,71,54,126,9006,5092,14098
LGA54340,0,4,9,17,0,0,0,12,5,11,35,24,61,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,7,0,0,0,7,15,16,3,3,11,0,4,4,9,26,33,0,0,0,0,0,0,5,7,13,5,7,13,0,0,0,15,28,39,0,0,0,15,28,39,0,0,0,7,3,12,11,9,23,17,15,32,0,0,0,37,46,82,0,0,0,10,7,22,47,56,103,0,5,5,29,128,159,3,11,13,4,4,10,36,149,182,0,3,5,22,92,118,11,45,59,6,27,29,12,32,45,49,207,253,0,0,0,6,3,3,0,0,0,0,4,4,0,0,0,6,9,7,0,0,0,47,13,62,7,20,27,0,0,0,57,32,89,24,14,35,25,18,47,911,912,1820
LGA54410,0,0,3,0,0,0,0,4,0,4,8,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,5,3,0,5,8,0,0,0,21,9,35,0,0,0,5,0,5,23,9,37,0,0,0,0,28,31,0,0,0,0,0,0,0,25,26,0,0,0,3,15,15,0,0,7,10,22,34,3,13,19,14,58,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,4,3,0,0,0,0,4,3,7,6,10,0,4,10,222,187,411
LGA54480,0,0,0,0,0,0,0,0,0,0,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,24,0,0,0,0,0,0,17,4,24,0,0,0,0,19,24,0,0,0,0,0,0,0,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,5,168,100,267
LGA54550,0,0,6,6,0,0,0,0,0,0,34,15,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,0,0,0,0,0,0,5,6,11,0,0,0,0,0,0,0,0,6,3,0,4,0,0,0,6,24,27,0,0,0,10,24,32,0,0,0,0,0,0,0,4,5,0,9,7,0,0,0,23,25,44,0,0,0,0,0,0,27,22,47,0,0,0,6,52,60,0,0,0,0,0,3,3,56,61,0,4,4,0,18,19,7,9,15,0,11,11,3,10,13,5,55,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,20,0,10,9,0,0,0,16,15,32,17,11,30,14,5,19,512,430,945
LGA54620,0,0,5,5,0,0,0,0,0,0,13,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,4,9,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,5,8,10,0,5,8,4,18,17,0,0,0,16,14,29,0,0,0,4,0,4,16,14,34,0,0,0,0,17,17,0,0,0,0,0,0,0,24,24,0,0,0,0,15,15,0,0,3,0,0,0,4,10,8,7,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,9,3,7,3,5,8,3,4,4,499,231,727
LGA54690,0,0,0,3,0,0,0,5,3,9,7,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,3,0,4,4,0,0,0,11,11,22,0,0,0,0,0,0,11,11,26,0,0,0,0,8,13,0,0,0,0,0,0,0,8,13,0,0,0,0,3,3,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,79,190
LGA54760,0,0,0,3,0,0,0,0,0,0,6,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,26,0,0,0,0,0,0,18,15,29,0,3,3,4,27,33,0,0,0,0,0,0,5,32,36,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,6,6,9,0,0,3,4,4,7,230,163,394
LGA54830,5,35,25,57,100,14,111,46,10,56,833,145,976,0,0,0,0,6,6,0,3,9,0,0,0,0,0,0,10,8,14,3,0,3,0,11,13,17,20,40,6,0,3,9,22,30,6,4,6,6,10,15,20,32,55,0,0,0,73,16,94,23,68,92,100,88,186,0,0,0,250,115,365,21,4,30,272,123,390,0,0,0,89,74,163,109,127,236,202,200,408,0,0,0,115,171,290,16,0,20,581,238,815,712,411,1123,12,15,20,153,936,1091,31,12,44,20,57,79,214,1024,1234,0,7,7,3,50,56,64,233,298,27,236,260,40,362,408,133,899,1031,0,0,0,25,5,31,3,13,15,47,44,85,0,0,3,76,63,136,0,0,0,207,34,240,32,148,177,0,0,0,237,183,422,639,169,810,102,72,175,11339,6193,17533
LGA54900,0,0,3,8,0,0,0,13,3,16,28,20,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,3,7,0,0,0,4,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,5,0,3,8,0,0,0,14,13,31,0,0,0,0,0,0,14,11,29,0,0,0,4,46,57,0,0,0,0,0,0,4,46,57,0,0,0,0,22,32,0,8,11,0,0,0,0,12,12,6,46,51,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,12,0,20,0,5,6,0,0,0,14,7,18,8,5,11,5,3,11,459,339,796
LGA54970,0,0,0,0,0,0,0,0,0,0,26,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5,0,0,0,12,3,16,0,0,0,19,3,20,0,0,0,55,13,60,0,5,13,52,15,72,0,0,0,18,17,32,4,0,4,9,5,12,29,20,54,0,3,7,9,21,23,0,0,0,0,0,0,7,19,28,0,0,0,4,11,14,0,7,5,0,0,0,4,8,9,9,28,38,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,6,8,0,0,0,5,0,9,0,0,5,0,0,0,10,0,12,21,11,30,31,8,38,2628,580,3209
LGA55040,0,4,3,4,0,0,0,0,0,0,58,12,68,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,12,14,24,17,15,33,0,0,0,12,0,12,0,0,0,12,0,12,0,0,0,20,10,30,20,29,52,40,38,80,0,0,0,16,21,39,0,0,0,7,7,8,27,23,46,5,4,5,7,42,52,0,0,0,0,0,0,6,48,53,0,0,0,0,11,17,4,6,8,0,0,0,3,18,20,11,31,40,0,0,0,0,0,4,0,5,4,0,0,0,0,0,0,4,4,10,0,0,0,23,3,25,0,0,0,0,0,0,23,4,25,31,14,39,19,13,33,2462,665,3130
LGA55110,14,107,72,180,35,8,34,9,8,16,465,231,697,0,0,0,8,16,24,6,14,27,20,18,35,4,0,0,19,9,23,6,3,3,0,3,7,56,59,115,7,11,22,23,109,130,10,37,49,48,55,104,92,213,303,0,0,0,24,28,57,119,289,404,143,316,464,3,3,6,223,412,639,59,26,83,288,441,725,0,0,5,87,172,261,203,294,496,293,473,759,0,0,0,287,487,775,11,9,19,220,116,334,511,618,1135,11,26,38,460,2196,2656,35,95,129,49,123,177,555,2439,3000,9,77,91,108,707,814,293,1299,1588,94,1017,1109,220,1231,1450,729,4327,5058,0,6,9,23,19,39,16,24,44,104,178,286,6,11,20,155,241,395,0,0,0,364,113,475,111,633,747,0,0,0,476,748,1224,383,324,710,165,126,294,8919,15696,24614
LGA55180,8,11,22,37,0,0,0,0,0,0,142,48,191,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,4,3,3,12,0,0,0,3,18,20,3,5,7,0,0,3,10,22,31,0,0,0,0,0,0,10,23,28,11,20,27,0,0,0,32,54,82,5,0,9,38,59,91,0,0,0,17,25,44,39,47,86,55,73,125,0,0,0,151,127,273,0,0,0,28,11,41,175,140,311,0,8,8,55,255,316,4,11,11,0,13,11,61,285,346,7,12,16,19,106,123,16,69,88,7,60,72,14,109,122,63,357,417,0,0,0,17,6,21,3,4,9,0,18,19,0,0,0,26,30,51,0,0,0,62,12,68,15,52,66,0,0,0,76,64,136,83,43,127,35,30,65,2128,2131,4260
LGA55250,0,0,0,0,0,0,3,0,0,0,34,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,5,0,0,0,8,0,8,0,0,0,8,0,8,0,0,0,3,8,10,0,0,4,4,9,15,0,0,0,12,9,22,0,0,0,10,6,15,22,13,36,0,0,3,19,34,50,10,11,19,0,0,0,25,42,72,0,4,4,0,13,17,5,10,18,0,0,0,0,10,10,12,35,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,15,0,0,0,0,0,0,14,0,15,12,8,19,10,8,20,1200,344,1547
LGA55320,4,127,49,174,63,35,100,27,21,45,625,201,821,3,3,7,13,11,30,38,23,62,6,0,3,0,0,0,55,22,73,17,8,23,3,10,11,131,81,210,17,16,30,71,133,205,16,41,57,154,114,263,262,302,560,4,3,7,30,14,48,275,404,674,307,418,723,3,13,13,979,1012,1992,299,119,415,1283,1141,2418,0,4,4,152,167,314,213,234,452,366,403,765,0,0,0,375,436,813,17,33,46,448,263,708,835,731,1573,22,48,72,749,2776,3522,836,1333,2175,169,347,507,1778,4499,6283,26,134,155,1734,6199,7936,683,2501,3180,187,1004,1189,183,788,969,2809,10617,13430,3,13,17,17,8,20,26,71,95,154,166,317,10,9,20,211,259,471,0,0,0,397,102,499,350,1063,1409,0,16,16,750,1174,1926,635,467,1108,219,183,402,17822,27177,44999
