POW_LGA_CODE_2021,Tot_HC_SA_Bf_91,Tot_HC_SA_91_95,Tot_HC_SA_96_00,Tot_HC_SA_01_05,Tot_HC_SA_06_10,Tot_HC_SA_11_15,Tot_HC_SA_16_20,Tot_HC_SA_2021,Tot_HC_SA_NS,Tot_HC_SA_Tot,Tot_ArtsR_Bf_91,Tot_ArtsR_91_95,Tot_ArtsR_96_00,Tot_ArtsR_01_05,Tot_ArtsR_06_10,Tot_ArtsR_11_15,Tot_ArtsR_16_20,Tot_ArtsR_2021,Tot_ArtsR_NS,Tot_ArtsR_Tot,Tot_OthSvs_Bf_91,Tot_OthSvs_91_95,Tot_OthSvs_96_00,Tot_OthSvs_01_05,Tot_OthSvs_06_10,Tot_OthSvs_11_15,Tot_OthSvs_16_20,Tot_OthSvs_2021,Tot_OthSvs_NS,Tot_OthSvs_Tot,Tot_IDNS_Bf_91,Tot_IDNS_91_95,Tot_IDNS_96_00,Tot_IDNS_01_05,Tot_IDNS_06_10,Tot_IDNS_11_15,Tot_IDNS_16_20,Tot_IDNS_2021,Tot_IDNS_NS,Tot_IDNS_Tot,Tot_Tot_Bf_91,Tot_Tot_91_95,Tot_Tot_96_00,Tot_Tot_01_05,Tot_Tot_06_10,Tot_Tot_11_15,Tot_Tot_16_20,Tot_Tot_2021,Tot_Tot_NS,Tot_Tot_Tot
LGA57840,265,75,85,136,339,320,296,0,8,1517,46,4,12,13,20,13,8,0,0,106,37,13,9,18,30,26,23,0,0,169,47,12,14,26,62,37,36,0,9,241,1424,293,402,603,1222,1083,948,5,49,6024
LGA57910,1366,349,438,718,1439,1194,869,9,50,6432,113,26,39,53,80,73,39,0,7,427,353,102,100,133,365,377,227,0,21,1674,396,102,117,235,381,394,327,5,86,2036,8515,2067,2696,3899,7333,6656,4670,59,419,36314
LGA57980,642,124,171,247,431,361,225,4,23,2235,42,12,10,16,26,33,16,0,0,162,74,13,28,34,62,76,42,0,3,333,48,17,21,42,70,60,68,0,20,338,1954,432,615,910,1568,1430,1006,21,95,8035
LGA58050,761,195,223,390,903,802,462,12,36,3793,55,3,15,25,39,39,16,0,0,199,289,86,76,104,271,232,136,0,28,1227,361,108,111,146,412,308,189,3,77,1717,6135,1416,1758,2510,5925,4825,2793,62,354,25779
LGA58190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,0,3,3,0,0,18
LGA58260,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,9,10,7,0,0,41
LGA58330,9,0,0,7,4,0,0,0,0,18,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,8,8,0,0,0,0,4,0,0,0,15,97,9,7,21,23,21,6,0,6,187
LGA58400,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,5,17
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,9
LGA58510,354,77,122,165,446,409,307,3,12,1897,482,134,157,241,486,379,234,4,31,2144,78,19,30,54,104,128,74,0,7,491,98,22,45,77,130,104,118,3,33,624,2981,792,1052,1574,3138,2849,2417,37,167,15011
