LGA_CODE_2021,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
LGA57700,84,4936,18,5041,27,1378,10,1410,99,3226,15,3338,11,563,5,581,4,243,4,253,12,44,0,49,5,189,592,780,242,10585,633,11464,122,6212,19,6354,40,1339,7,1386,67,2695,14,2772,10,368,3,385,0,177,0,181,0,25,0,27,3,153,400,556,242,10973,443,11658,203,11148,35,11397,60,2717,16,2799,164,5924,31,6112,28,934,4,965,4,415,3,434,12,65,0,76,10,341,991,1336,482,21555,1083,23120
LGA57770,3,134,0,145,9,33,0,40,19,117,0,137,4,16,0,22,4,13,0,18,0,0,0,0,3,7,63,66,45,323,61,434,9,182,0,192,3,39,0,42,12,81,0,92,5,18,0,18,0,10,0,10,0,0,0,0,0,10,62,67,22,336,61,425,9,320,0,334,8,72,0,82,28,198,0,230,10,31,0,44,4,26,0,30,0,4,0,4,3,6,121,137,71,656,124,852
LGA57840,93,12871,19,12985,18,848,0,871,32,1639,9,1679,6,248,0,254,10,195,0,204,3,56,0,58,12,325,754,1088,182,16178,787,17142,82,13531,35,13644,37,973,4,1016,38,2022,5,2061,12,299,0,316,4,277,4,289,3,98,0,102,16,514,709,1237,197,17716,758,18667,173,26399,53,26630,57,1826,8,1889,73,3664,10,3742,19,546,0,570,17,468,8,490,0,149,0,155,29,835,1465,2330,375,33892,1545,35806
LGA57910,362,58175,134,58678,99,5499,26,5625,210,11157,45,11412,59,2034,17,2112,36,2430,22,2485,11,830,6,848,31,1397,4170,5596,808,81530,4418,86760,471,63100,148,63719,114,5577,25,5713,246,12588,61,12894,59,2398,23,2478,47,3336,32,3415,13,1118,5,1134,36,1655,3550,5235,977,89773,3839,94588,836,121279,278,122394,218,11079,45,11344,458,23743,102,24307,115,4430,40,4590,80,5772,53,5901,24,1944,10,1980,68,3048,7717,10838,1790,171304,8259,181348
LGA57980,32,5312,18,5361,4,227,0,231,7,391,8,399,0,83,0,83,5,52,6,54,0,8,0,12,0,123,313,442,47,6197,342,6581,36,5966,13,6016,6,253,0,254,4,567,0,573,0,95,0,99,0,81,0,86,0,8,0,8,0,146,277,421,47,7116,296,7458,71,11274,31,11373,8,474,0,486,10,960,11,976,0,177,0,177,0,136,4,148,0,21,0,20,5,270,591,867,92,13312,644,14044
LGA58050,547,29535,80,30158,196,5435,15,5640,427,11787,49,12260,100,1968,13,2089,69,1435,19,1524,7,497,6,510,59,898,2853,3810,1409,51547,3038,55988,641,33018,77,33739,211,5315,16,5544,562,10973,53,11594,97,1797,14,1905,73,1667,14,1758,24,693,4,715,50,1018,2077,3147,1659,54479,2255,58392,1184,62554,159,63895,407,10748,24,11184,990,22767,103,23857,199,3759,28,3993,139,3106,30,3276,29,1188,4,1224,116,1905,4935,6958,3066,106025,5290,114384
LGA58190,0,68,0,68,0,16,0,13,3,35,0,34,0,14,0,9,0,12,0,12,0,0,0,0,0,0,26,22,6,139,22,165,3,60,0,66,3,7,0,15,6,21,0,27,0,0,0,0,3,3,0,10,0,0,0,0,0,6,17,24,17,107,17,139,3,133,0,135,4,20,0,24,11,55,0,61,0,15,0,18,3,11,0,18,0,0,0,0,0,8,37,47,19,246,41,305
LGA58260,0,81,0,85,5,24,0,29,4,57,0,64,0,8,0,15,3,7,0,12,0,0,0,0,0,6,31,36,13,183,34,238,6,88,3,95,0,15,0,23,0,36,0,38,0,9,0,6,0,6,0,5,0,0,0,0,0,3,35,36,14,166,34,209,12,169,3,180,6,46,0,48,4,90,0,99,3,15,0,20,4,13,0,18,0,4,0,4,0,7,66,76,29,354,68,445
LGA58330,13,678,5,702,8,194,5,206,17,603,0,620,0,104,0,108,4,71,0,75,0,5,0,4,0,45,224,277,47,1702,237,1989,14,786,4,809,7,213,0,222,9,468,0,481,3,80,4,85,0,57,0,55,0,0,0,0,3,37,177,220,42,1641,188,1876,35,1470,15,1515,14,411,9,432,22,1066,6,1099,5,184,4,188,4,131,0,134,0,5,0,0,3,84,409,496,83,3342,431,3866
LGA58400,3,39,0,45,0,13,0,10,3,44,0,46,0,9,0,11,0,6,0,6,0,0,0,0,0,9,13,20,3,116,14,134,4,32,0,35,0,5,0,6,0,42,0,43,0,10,0,10,0,4,0,4,0,0,0,0,0,0,14,20,5,105,14,122,5,71,0,81,0,18,0,20,3,84,0,90,0,18,0,21,0,11,0,11,0,0,0,0,3,12,28,34,9,218,29,256
LGA58470,4,15,0,17,5,5,0,4,11,10,0,17,3,0,0,3,8,0,0,15,0,0,0,0,6,4,6,10,36,28,6,68,6,13,0,20,9,4,0,11,11,7,0,20,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,30,0,56,12,26,0,43,12,3,0,14,19,20,0,35,7,0,0,7,8,0,0,15,0,0,0,0,6,4,9,12,62,56,9,128
LGA58510,126,10421,27,10573,23,962,4,982,64,1791,14,1865,12,287,0,302,6,246,0,250,0,100,3,102,24,426,929,1375,253,14222,975,15452,108,10764,15,10888,31,805,3,842,77,1674,7,1755,5,302,0,312,15,339,9,359,5,103,4,112,12,581,712,1307,244,14575,754,15571,234,21185,45,21466,50,1767,11,1823,133,3462,22,3620,19,587,7,611,18,582,7,611,0,200,7,214,35,1010,1636,2682,495,28799,1732,31026
LGA58540,3,133,3,141,0,32,0,34,7,103,0,110,0,14,0,21,0,9,0,9,0,3,0,3,0,4,36,42,8,295,43,351,0,116,0,124,0,26,0,28,0,87,0,92,0,11,0,11,0,13,0,13,0,0,0,0,0,3,33,39,7,259,37,306,4,250,3,262,4,61,0,62,9,188,0,200,0,25,0,24,0,25,0,25,0,3,0,3,0,9,72,80,19,557,79,651
LGA58570,65,11251,14,11332,9,815,0,832,19,1353,3,1381,8,181,0,192,4,257,3,259,0,74,0,76,3,197,884,1089,118,14132,909,15158,87,11668,14,11774,16,697,0,710,23,1284,6,1308,6,177,0,179,0,436,4,439,0,150,0,152,0,181,653,839,127,14587,681,15404,154,22921,33,23105,30,1511,3,1540,39,2636,10,2689,5,360,0,370,5,689,3,702,3,226,0,233,3,379,1537,1929,244,28723,1590,30558
LGA58610,3,248,0,254,6,65,5,63,7,211,3,228,0,49,0,50,0,40,0,36,0,4,0,4,0,12,71,87,21,614,81,719,0,284,0,283,0,70,0,74,3,197,3,206,3,40,0,36,0,19,0,19,0,3,0,3,0,9,75,94,13,626,85,725,5,531,3,538,9,132,0,145,14,408,9,431,0,86,0,89,0,57,0,59,0,3,0,3,3,19,151,175,33,1239,167,1441
LGA58680,0,87,0,90,0,20,0,26,0,64,0,63,0,15,0,16,0,6,0,6,0,3,0,0,0,0,46,51,3,194,47,251,3,76,0,77,0,21,0,21,0,45,0,45,0,5,0,9,0,6,0,5,0,0,0,0,0,0,35,42,4,160,44,200,5,160,0,165,0,46,0,41,0,110,0,114,0,21,0,23,0,15,0,18,0,3,0,0,0,6,81,87,7,354,85,452
LGA58760,401,41879,118,42398,137,7488,26,7649,315,15024,64,15401,73,2462,10,2549,28,1671,10,1713,18,735,7,760,34,1206,3466,4701,1004,70470,3706,75172,487,47954,112,48556,184,7235,24,7437,354,14184,54,14592,81,2338,17,2437,41,2072,11,2125,16,988,7,1013,37,1429,2398,3858,1201,76193,2627,80014,882,89834,231,90949,322,14720,44,15087,671,29206,123,30003,157,4798,30,4984,72,3741,23,3840,29,1726,16,1768,67,2634,5857,8563,2206,146659,6327,155195
LGA58820,17,485,4,506,9,194,0,207,13,586,9,605,10,119,0,125,3,75,0,83,0,8,0,8,0,64,127,197,45,1531,139,1721,25,587,0,613,12,214,0,224,14,495,0,512,6,91,0,94,0,74,6,88,0,3,0,3,0,69,92,161,53,1539,102,1695,41,1074,8,1118,21,411,0,431,28,1082,5,1112,11,205,0,222,3,155,7,169,0,9,0,9,6,139,219,356,99,3074,244,3415
LGA58890,3,145,0,142,3,21,0,26,3,89,0,88,0,20,0,17,0,15,0,13,0,0,0,0,0,3,32,37,11,289,32,338,3,150,0,155,0,24,0,26,3,57,0,57,0,8,0,10,0,5,0,5,0,0,0,0,0,5,34,35,10,249,34,286,3,296,0,297,4,44,0,52,7,142,0,148,0,26,0,26,0,20,0,20,0,4,0,4,0,8,67,77,19,539,67,625
LGA59030,0,45,0,45,0,11,0,10,0,23,0,24,0,11,0,11,0,0,0,0,0,0,0,0,0,4,9,13,0,89,9,107,0,43,0,43,0,18,0,18,3,19,0,19,0,8,0,8,0,7,0,7,0,0,0,0,0,0,12,12,3,86,12,98,0,87,0,87,0,27,0,28,3,46,0,49,0,12,0,12,0,7,0,7,0,0,0,0,0,4,20,25,4,180,20,204
LGA59100,0,105,0,102,0,25,0,27,0,83,0,78,0,21,0,18,0,8,0,8,0,0,0,0,0,4,49,52,4,232,51,291,3,113,0,116,0,26,0,26,0,57,0,58,0,15,0,15,0,0,0,0,0,0,0,0,0,0,42,39,3,211,38,254,4,214,0,220,0,46,0,45,4,137,0,139,0,36,0,32,0,12,0,12,0,0,0,0,0,6,90,94,6,449,88,541
LGA59170,0,199,0,207,0,38,0,41,0,85,0,80,0,13,0,13,0,7,0,7,0,4,0,4,0,5,44,46,3,356,42,403,0,198,0,202,0,34,0,39,6,73,0,74,0,14,0,14,0,8,0,8,0,0,0,0,0,9,39,49,3,336,44,381,4,403,3,405,0,78,0,78,3,153,0,159,0,26,0,26,0,16,0,14,0,4,0,4,0,18,80,94,10,692,89,781
LGA59250,12,77,0,90,3,20,0,19,15,36,0,59,0,9,0,10,5,9,0,8,0,0,0,0,8,3,108,116,44,149,104,305,9,34,0,42,0,3,0,4,29,7,0,34,4,0,0,3,10,0,0,12,0,0,0,0,4,7,35,38,53,58,35,143,21,106,0,128,0,23,0,29,47,42,0,93,3,9,0,16,15,10,0,23,0,0,0,0,7,10,137,158,98,214,142,447
LGA59310,10,232,3,243,0,53,0,55,12,160,3,173,3,25,0,22,0,12,0,14,0,0,0,0,0,9,47,52,26,485,58,565,8,211,4,218,0,40,0,44,8,125,4,127,4,20,0,27,0,17,0,14,0,0,0,0,0,10,35,44,20,423,38,482,14,447,7,466,4,90,0,99,18,278,6,305,5,44,0,46,3,27,0,26,0,0,0,0,0,20,79,101,47,906,93,1044
LGA59320,0,80,3,83,0,13,0,13,0,42,0,42,0,13,0,15,0,7,0,7,0,0,0,0,0,4,16,23,4,155,19,181,0,78,0,85,0,7,0,7,0,39,0,42,0,11,0,11,0,7,0,9,0,0,0,0,0,5,16,17,0,147,13,162,0,159,3,163,0,22,0,22,0,87,6,91,0,20,0,23,0,7,0,9,0,0,0,0,0,11,33,42,4,304,36,351
LGA59330,9,76,0,78,0,27,0,30,5,51,0,57,0,17,0,20,0,7,0,7,0,0,0,0,0,10,16,25,14,184,18,216,0,68,0,71,0,21,0,20,4,37,0,44,0,16,0,16,0,10,0,13,0,0,0,0,0,9,26,30,8,158,26,193,8,140,0,148,0,49,0,55,6,92,0,96,0,34,0,35,0,18,0,19,0,0,0,0,0,13,37,56,21,346,39,409
LGA59340,167,828,10,1000,112,157,4,274,228,387,5,624,72,83,0,155,90,49,0,143,17,7,0,26,71,39,458,569,756,1549,482,2778,185,1067,10,1263,162,136,7,297,274,236,4,512,93,42,0,131,81,9,0,88,20,3,0,24,80,18,446,541,887,1505,466,2859,350,1894,18,2268,274,291,9,570,505,618,8,1136,160,120,4,282,169,59,0,227,30,14,0,44,147,56,902,1102,1640,3053,944,5637
LGA59350,0,47,0,49,4,8,0,10,10,23,0,33,3,6,0,14,0,0,0,0,0,0,0,0,0,3,111,116,22,89,111,224,5,18,0,28,0,10,0,5,13,4,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,26,37,27,82,9,65,0,73,5,19,0,24,19,30,0,49,8,7,0,18,0,0,0,0,0,0,0,0,0,3,143,147,46,117,143,308
LGA59360,4,218,3,224,0,55,0,55,0,151,0,154,5,38,0,36,0,33,0,33,0,0,0,0,6,15,143,157,9,510,144,665,5,154,0,158,4,39,0,47,8,97,0,102,0,13,0,13,0,17,0,15,0,0,0,0,0,3,42,49,8,323,47,383,6,373,5,381,3,94,0,95,5,247,0,255,5,52,0,52,0,48,0,50,0,0,0,0,6,20,184,209,21,836,190,1051
LGA59370,15,554,3,566,6,114,0,122,12,431,6,447,0,81,3,83,5,56,0,63,0,0,0,0,4,38,130,176,40,1273,142,1460,13,656,7,678,5,135,0,140,21,355,0,373,3,53,0,58,3,43,0,47,0,0,0,0,9,41,95,146,49,1290,110,1445,25,1210,11,1244,9,248,0,263,36,784,4,817,3,132,3,147,5,103,0,112,0,0,0,5,13,83,226,318,93,2558,254,2905
LGA59499,39,952,5,994,17,216,0,231,62,546,3,617,20,109,5,137,13,56,0,78,4,12,0,10,592,855,711,2158,747,2752,731,4222,42,984,4,1030,22,184,0,205,37,370,5,410,18,71,0,90,9,33,0,36,5,9,0,14,455,350,407,1212,592,1997,417,3007,75,1937,6,2024,31,399,3,438,105,913,11,1024,40,176,12,225,27,87,0,117,5,24,0,30,1048,1207,1115,3375,1338,4747,1145,7225
LGA59799,5,138,0,139,3,33,0,38,0,63,0,59,0,9,0,13,0,0,0,0,0,3,0,3,0,8,191,197,7,256,193,453,0,33,0,30,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,3,38,19,61,9,167,0,173,3,34,0,38,0,66,0,61,0,11,0,16,0,0,0,0,0,3,0,3,0,8,214,226,9,289,218,515
