POA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA6053,4892,12096,824,1382,154,329,980,1713,128,196,86,156,15,17,0,0,9,10,231,381,0,0,0,0,0,0,0,0,0,0,0,7,6111,14192,637,..,6745,14192
POA6054,6587,16575,1170,2056,220,456,1394,2514,225,343,32,48,53,77,0,0,11,15,321,487,0,0,0,0,0,4,5,9,8,11,12,23,8317,19616,691,..,9005,19616
POA6055,10164,29173,304,603,70,128,375,731,21,41,31,47,0,0,0,0,9,17,61,99,38,57,105,142,0,5,15,23,151,230,26,63,10778,30301,624,..,11401,30301
POA6056,12837,32485,2076,3584,440,746,2514,4334,242,360,202,293,100,165,53,73,24,55,622,951,19,24,36,47,0,0,11,23,75,99,22,62,16072,37927,1606,..,17676,37927
POA6057,5991,15158,172,365,16,31,187,398,9,9,0,0,0,0,0,0,5,23,10,32,10,11,0,0,0,0,0,6,10,21,0,4,6204,15607,408,..,6615,15607
POA6058,4511,11463,431,697,22,45,462,737,0,0,0,0,0,0,0,0,9,16,9,16,10,25,97,134,3,13,0,0,111,169,5,0,5096,12397,329,..,5421,12397
POA6059,6847,18219,2127,3977,208,399,2334,4376,386,529,0,0,0,0,0,0,0,0,388,529,0,0,0,0,0,0,0,5,0,5,5,10,9579,23140,659,..,10243,23140
POA6060,4291,10436,4212,7673,1210,2613,5422,10289,1633,2717,146,227,39,53,0,0,0,0,1814,2997,0,0,0,0,0,0,0,0,0,0,11,18,11535,23737,1079,..,12614,23737
POA6061,9980,25976,5031,10752,669,1400,5697,12150,235,386,0,0,17,20,0,0,7,19,259,430,0,0,0,0,0,0,0,0,0,0,17,34,15948,38593,1454,..,17410,38593
POA6062,10918,28216,1766,3592,252,521,2016,4113,64,100,0,0,0,0,0,0,4,7,65,107,0,0,0,0,0,0,3,3,3,3,15,26,13028,32463,967,..,13992,32463
POA6063,4585,13689,281,513,18,25,304,542,33,37,25,35,0,0,0,0,8,16,69,90,0,0,0,0,0,0,0,0,0,0,0,4,4956,14325,283,..,5239,14325
POA6064,9250,26573,1244,2369,223,454,1473,2830,27,32,0,0,0,0,0,0,15,33,36,65,0,0,0,0,0,0,0,0,0,0,3,23,10758,29481,644,..,11402,29481
POA6065,21140,62137,1409,2670,112,255,1521,2928,0,4,37,51,0,0,0,0,17,20,51,75,115,139,17,17,33,51,9,30,166,231,9,17,22888,65383,1093,..,23984,65383
POA6066,5830,17072,272,435,68,124,336,558,0,0,0,0,0,0,0,0,10,25,10,25,0,0,0,0,0,0,0,0,0,0,3,4,6177,17657,290,..,6472,17657
POA6067,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,0,..,8,26
POA6068,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,..,4,4
POA6069,13935,40945,917,1872,223,454,1138,2326,44,77,94,174,0,0,0,0,15,16,154,262,0,0,0,0,0,0,0,0,0,4,10,15,15238,43556,932,..,16174,43556
POA6070,1280,3458,13,25,0,0,13,25,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,6,12,6,12,0,9,1305,3504,91,..,1395,3504
POA6071,1222,3188,12,18,0,0,12,18,0,0,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,0,0,0,4,4,1236,3214,85,..,1325,3214
POA6072,293,772,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,779,17,..,317,779
POA6073,1098,2827,82,102,0,0,82,102,0,0,0,0,0,0,0,0,0,0,0,0,9,20,0,0,0,0,0,0,9,20,4,3,1191,2953,93,..,1283,2953
POA6074,355,917,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,354,922,21,..,377,922
POA6076,7515,20014,368,520,41,67,406,588,42,65,0,0,0,0,0,0,23,39,61,103,0,0,0,0,4,21,36,88,42,106,11,22,8039,20845,560,..,8598,20845
POA6077,463,1335,100,142,26,38,125,181,0,0,0,0,0,0,0,0,4,29,4,29,0,0,0,0,0,0,0,0,0,0,0,0,592,1548,40,..,634,1548
POA6078,277,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,10,0,0,0,0,0,4,0,0,0,4,0,0,279,869,18,..,300,869
POA6079,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,34,4,..,12,34
POA6081,1676,4604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1677,4610,75,..,1761,4610
POA6082,1165,3123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,9,0,3,0,0,0,3,0,0,3,5,0,5,1170,3145,68,..,1238,3145
POA6083,1167,3160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,7,10,0,0,0,3,7,19,0,0,11,21,0,17,1188,3203,155,..,1344,3203
POA6084,2906,8055,7,19,0,0,12,27,0,0,0,0,0,0,0,0,0,3,0,3,6,4,0,0,3,0,3,4,10,5,9,7,2925,8101,328,..,3254,8101
POA6090,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,..,4,6
POA6100,2976,7224,771,1594,1130,2337,1903,3929,178,288,324,522,922,1474,612,1114,0,0,2030,3400,0,0,0,0,0,0,7,8,7,8,4,9,6920,14568,970,..,7893,14568
POA6101,4669,11372,1366,2668,156,340,1525,3003,479,971,299,500,46,67,0,0,0,0,825,1532,0,0,0,0,0,0,0,6,0,6,11,20,7034,15941,601,..,7628,15941
POA6102,2568,6583,1678,3781,400,968,2076,4752,335,458,92,145,107,133,0,0,0,0,536,733,0,0,0,0,0,0,0,0,0,0,10,16,5195,12081,657,..,5850,12081
POA6103,2075,5076,589,1056,444,983,1034,2046,249,413,489,784,324,490,696,1186,4,4,1760,2880,0,0,0,0,0,0,0,0,0,0,10,18,4873,10020,886,..,5761,10020
POA6104,4434,10858,605,1061,461,897,1064,1962,180,299,19,35,83,134,67,122,7,14,362,597,4,5,3,3,0,0,4,5,8,14,8,17,5881,13453,713,..,6591,13453
POA6105,4559,11636,819,1810,532,1076,1348,2889,173,275,77,124,67,132,0,0,12,17,328,550,6,7,0,0,0,0,3,10,11,17,10,21,6262,15105,733,..,6990,15105
POA6106,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,15,0,..,10,15
