POA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA6227,4,0,0,0,3,0,0,0,0,9,4,13,4,3,6,0,0,0,0,24,10,3,49,14,16,0,19,11,3,134,0,0,0,0,0,0,0,5,0,11,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,11,24,55,65,30,33,6,22,18,3,260
POA6228,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,4,0,0,0,6,0,31
POA6229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,6,3,3,4,3,7,0,40
POA6230,127,183,102,116,79,37,38,31,5,714,172,199,209,297,179,74,63,79,8,1278,424,292,2168,895,596,350,578,569,87,5964,31,19,73,88,79,84,54,103,7,544,34,22,40,74,96,48,36,57,8,410,12,38,18,17,20,4,15,22,0,150,32,31,48,40,33,29,35,56,53,354,1385,3532,2857,1871,1395,728,893,1104,191,13963
POA6232,28,33,23,33,15,4,7,3,0,155,36,51,40,92,44,21,11,16,15,324,108,83,707,241,185,107,197,150,30,1817,9,0,20,20,29,30,23,28,0,150,9,7,7,20,21,19,5,13,0,106,0,5,3,6,0,3,0,5,0,18,12,11,4,9,19,8,14,16,12,102,270,639,857,482,375,215,284,254,60,3435
POA6233,30,79,42,52,44,11,22,14,0,299,87,101,108,134,110,33,31,37,13,641,195,131,1343,441,342,159,368,245,53,3286,20,7,33,34,45,43,32,43,3,257,9,11,28,57,37,21,18,19,0,203,0,7,11,3,4,7,5,9,3,44,15,18,13,20,12,15,21,24,18,153,567,1324,1644,855,721,337,522,439,95,6507
POA6236,17,10,3,10,11,0,4,0,0,61,16,6,11,10,16,3,3,4,0,72,46,3,130,36,27,15,41,42,9,346,4,0,3,0,9,3,0,4,0,27,0,0,0,4,7,4,7,0,0,22,0,0,0,5,0,0,0,0,0,5,4,6,5,0,0,0,0,3,3,24,145,179,155,74,74,28,64,60,11,795
POA6237,15,13,6,5,12,0,0,0,0,55,20,14,10,10,14,6,4,4,0,81,38,18,163,51,41,14,45,33,5,413,0,0,0,4,0,5,0,6,0,25,0,0,0,3,10,5,0,9,0,28,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,7,30,113,215,199,97,99,33,66,65,12,891
POA6239,23,20,20,14,5,7,5,5,0,95,18,13,18,23,16,8,3,7,3,116,66,26,215,77,57,25,67,47,10,599,6,3,5,10,5,9,3,12,0,54,3,0,3,11,8,4,3,5,0,34,0,0,0,0,0,0,0,0,0,8,5,3,0,10,5,5,9,12,3,49,184,276,283,157,121,55,100,117,27,1318
POA6240,0,0,5,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,3,3,0,4,0,3,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,12,11,4,7,0,0,0,0,56
POA6243,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,0,0,0,0,0,17
POA6244,10,0,0,4,9,0,0,3,0,30,17,6,3,4,3,3,0,3,0,37,35,3,51,14,16,9,20,26,0,173,3,0,3,0,4,5,0,0,0,11,11,0,0,0,7,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,20,128,62,62,32,43,22,27,37,0,413
POA6251,0,0,0,0,5,0,0,0,0,11,7,0,0,0,0,0,0,0,0,12,4,0,11,3,6,0,6,5,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,24,11,10,9,11,5,8,14,0,91
POA6252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,3,0,3,7,8,3,31,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,6,3,6,9,11,3,42
POA6253,8,3,0,0,0,4,0,0,0,19,3,6,0,5,3,0,3,0,0,23,24,3,20,13,7,0,15,7,0,80,0,0,0,0,0,0,3,0,0,9,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,53,40,36,15,13,15,18,14,4,213
POA6254,0,0,0,0,0,0,0,4,0,9,0,3,5,0,0,0,0,0,0,11,7,0,30,5,0,0,9,3,0,70,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,21,42,9,7,3,15,14,0,127
POA6255,17,16,8,12,13,6,5,9,0,88,21,22,17,30,16,15,6,7,0,121,57,24,187,77,40,33,70,54,10,540,4,0,3,11,7,9,3,12,0,46,3,4,3,5,3,0,6,0,0,34,5,0,0,0,0,0,0,0,0,7,7,3,6,3,4,5,6,6,5,40,191,273,235,166,102,72,103,98,21,1259
POA6256,5,3,7,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,21,0,23,8,5,0,5,3,3,68,4,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,47,24,31,16,21,6,9,3,4,165
POA6258,25,16,15,14,5,3,3,9,0,98,36,15,10,36,21,7,0,8,0,142,123,28,272,121,68,31,64,84,16,807,4,6,8,10,25,12,11,15,0,98,11,5,8,14,10,11,10,13,0,83,4,0,0,0,0,0,0,3,0,15,13,3,0,7,4,9,4,11,5,69,308,311,337,226,157,86,102,187,23,1736
POA6260,14,4,3,0,0,3,0,0,0,25,14,4,0,9,5,0,0,8,0,32,31,0,30,19,10,8,7,20,5,133,0,0,0,0,0,0,4,8,0,14,3,0,0,0,6,6,0,6,0,21,5,5,0,0,0,0,0,3,0,9,11,0,0,0,0,5,0,10,0,26,106,63,37,44,34,21,20,66,10,400
POA6262,0,4,0,0,0,0,3,0,0,16,0,0,0,4,0,3,0,0,0,12,14,4,26,13,6,0,8,8,0,82,0,0,0,0,0,0,0,5,0,3,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,49,25,34,24,13,9,11,20,3,186
POA6271,3,9,0,9,4,0,7,3,0,45,14,12,19,26,15,4,6,3,0,99,35,19,179,82,40,18,47,66,0,485,0,0,6,9,4,5,0,13,0,34,4,0,0,5,4,4,0,3,0,29,0,0,0,0,0,0,0,0,0,3,3,8,3,6,4,3,4,4,6,37,106,224,214,143,99,42,65,102,13,1012
POA6275,4,10,6,5,3,0,6,0,0,36,11,9,3,9,4,3,0,3,0,39,22,0,44,11,12,0,12,21,0,137,0,0,0,0,0,0,0,5,0,12,0,0,0,0,5,0,0,3,0,10,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,10,0,0,15,78,79,61,37,35,6,24,45,5,379
POA6280,107,139,58,71,79,45,28,44,9,591,149,112,123,208,117,61,24,57,11,862,374,133,1529,554,392,236,375,394,58,4049,18,11,34,53,46,71,22,79,3,337,49,17,18,82,36,22,26,48,3,300,16,17,7,9,17,7,4,12,0,88,23,20,29,44,31,38,21,35,29,267,1166,2004,1900,1263,909,554,522,771,132,9219
POA6281,43,59,23,26,31,26,0,25,0,242,62,33,63,53,47,37,10,14,4,319,104,30,462,105,69,46,63,104,19,1000,4,6,12,6,13,15,5,19,0,68,9,6,10,14,16,15,5,4,0,85,11,6,3,3,8,0,0,3,0,32,18,15,4,13,5,12,3,5,6,82,457,766,641,305,274,197,104,230,45,3017
POA6282,18,16,4,8,0,5,0,0,0,49,9,11,3,4,10,3,0,4,0,49,26,13,52,10,13,3,5,17,4,146,0,0,3,0,6,5,0,6,0,19,5,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,7,4,3,0,4,0,6,0,0,5,23,128,193,77,45,48,30,13,49,12,602
POA6284,26,12,5,5,8,3,0,4,0,66,13,11,15,16,15,6,0,10,0,92,36,0,150,27,30,15,29,36,6,342,6,0,0,10,4,6,0,0,0,26,4,0,0,9,5,0,0,3,0,28,4,0,0,0,5,0,0,4,0,9,3,0,4,4,5,4,0,3,3,23,170,261,197,118,102,56,41,87,13,1051
POA6285,52,78,23,49,22,15,9,27,3,279,66,43,48,73,38,20,17,61,5,368,151,56,531,163,71,70,93,140,20,1295,8,8,20,16,17,16,8,14,0,103,21,7,10,27,21,25,5,14,0,122,3,4,8,0,3,5,5,3,0,38,11,6,15,17,0,9,11,12,7,96,574,980,774,476,266,233,170,368,49,3887
POA6286,7,0,7,4,0,0,0,0,0,27,0,3,5,3,6,0,0,0,0,24,11,0,43,11,4,8,11,14,0,111,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,5,0,7,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,3,47,66,62,34,21,23,14,28,4,302
POA6288,3,0,0,0,3,0,0,5,0,15,0,3,3,0,0,0,0,0,0,14,19,3,34,5,4,3,3,13,0,89,0,0,0,0,0,0,3,0,0,3,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,53,25,41,22,12,8,11,28,0,194
POA6290,12,7,4,6,4,3,0,4,0,42,7,4,4,7,7,5,0,4,0,32,24,4,68,29,11,12,9,18,4,168,0,0,0,4,0,3,0,4,0,8,0,0,0,0,3,0,0,6,0,11,0,0,0,0,0,0,0,0,0,3,4,0,4,0,9,0,0,4,0,25,72,76,82,57,37,34,13,39,5,409
POA6302,12,19,6,17,13,5,0,4,0,66,14,11,3,15,17,6,0,9,0,73,41,14,116,43,28,24,34,25,0,326,0,0,0,9,6,6,3,5,0,30,10,0,8,4,6,7,0,5,0,32,0,4,0,0,3,0,0,0,0,11,16,4,8,0,0,3,4,0,8,44,139,185,154,113,75,47,51,51,12,837
POA6304,3,10,3,4,0,4,0,0,0,30,8,3,7,4,7,0,0,6,0,37,28,7,33,20,9,7,23,17,6,138,0,0,3,5,0,0,0,6,0,13,6,0,0,3,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,3,13,101,66,55,38,24,11,28,39,10,370
POA6306,5,0,0,0,0,0,0,0,0,8,8,0,0,3,3,0,0,3,0,21,22,5,21,13,7,6,10,11,4,97,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,61,32,25,28,29,13,16,23,4,225
POA6308,16,3,0,0,6,0,0,4,0,24,11,0,0,3,9,0,0,5,0,38,32,12,39,13,14,5,16,21,3,154,3,0,0,0,0,0,0,3,0,11,11,0,0,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,13,87,47,51,30,30,9,21,39,12,337
POA6309,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,8,0,4,3,0,0,4,6,0,26,0,0,0,4,3,0,0,0,0,7,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,28,7,5,13,5,0,4,15,0,82
POA6311,6,0,0,4,0,0,0,0,0,14,0,0,5,0,0,0,0,0,0,9,7,6,17,9,8,3,8,7,0,66,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,20,15,20,5,8,18,0,142
POA6312,19,16,13,17,4,6,0,3,0,76,27,13,7,37,16,9,4,4,0,120,63,23,175,76,54,36,43,48,6,523,7,0,8,9,13,8,7,5,0,49,0,4,4,6,3,0,0,9,0,30,9,0,0,0,0,0,0,6,0,11,6,4,4,13,6,0,0,13,6,58,184,301,221,184,118,65,65,103,17,1257
POA6313,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,10,0,9,3,3,0,0,5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,5,5,5,0,3,8,0,66
POA6315,11,5,0,0,5,0,0,0,0,21,4,4,3,4,4,3,4,6,0,34,40,8,57,18,9,9,13,28,5,188,0,0,0,0,0,0,0,3,0,11,3,0,0,3,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,0,14,91,70,68,40,45,20,24,49,5,415
POA6316,4,0,0,0,0,0,0,0,0,9,3,0,0,0,3,0,0,0,0,11,10,0,7,4,8,4,7,3,0,44,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,34,15,10,11,10,8,9,4,0,102
POA6317,8,13,6,7,5,0,0,3,0,44,12,16,9,19,5,5,3,3,0,71,52,21,136,51,42,27,22,54,13,411,3,0,9,6,7,3,3,15,0,53,5,0,5,4,8,0,0,17,0,45,3,0,0,0,0,0,0,4,0,14,3,6,3,9,4,4,0,19,8,52,118,186,178,120,79,49,42,135,21,930
POA6318,10,0,0,0,0,0,0,0,0,9,9,0,0,0,3,0,0,0,0,17,13,0,8,4,4,0,5,11,0,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,48,22,10,12,14,4,4,17,0,136
POA6320,7,3,0,0,0,0,0,0,0,9,4,3,4,0,0,0,0,0,0,7,18,0,13,8,6,0,0,8,0,43,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,42,14,14,12,11,0,8,14,0,112
POA6321,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,12,0,6,9,0,0,5,12,0,47,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,35,6,9,13,8,0,10,15,3,105
POA6322,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,5,4,6,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,20,7,6,5,6,0,0,6,0,53
POA6323,4,3,0,0,3,0,0,3,0,16,4,4,6,5,6,0,0,4,0,19,13,4,22,17,13,6,8,13,5,105,3,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,6,0,4,0,4,0,0,0,0,16,39,41,30,25,27,9,17,29,7,228
POA6324,13,21,4,7,15,6,5,5,0,75,17,4,9,26,12,9,7,7,0,90,75,10,127,65,39,25,34,51,3,429,4,5,3,3,11,5,3,11,0,45,10,0,5,7,4,0,4,9,0,43,0,0,0,0,0,0,0,3,0,5,5,0,0,4,5,3,0,9,4,39,208,174,158,126,99,55,55,109,16,1003
POA6326,4,0,8,0,5,0,0,0,0,15,0,0,0,0,4,0,0,0,0,10,11,0,14,4,3,3,4,10,3,54,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,8,37,35,19,13,11,5,8,21,4,152
POA6327,8,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,10,10,0,3,6,0,3,0,6,0,31,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,11,6,4,0,3,4,0,70
POA6328,5,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,3,0,11,15,0,10,6,5,5,3,14,0,60,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,46,15,16,9,14,8,3,24,0,131
POA6330,120,202,63,161,108,43,25,32,7,759,173,173,123,295,177,70,30,85,13,1139,469,208,1642,825,408,307,385,471,58,4760,28,20,55,81,74,94,39,77,4,476,48,25,32,76,79,37,17,48,3,359,15,30,8,19,12,8,6,9,11,100,42,23,34,50,32,31,12,50,23,301,1347,2843,2074,1804,1111,671,552,885,132,11430
POA6333,33,30,12,17,21,6,0,15,7,142,25,27,19,33,23,10,6,13,9,160,91,28,221,74,42,31,45,70,9,606,6,9,0,9,3,7,6,9,0,52,10,3,5,7,6,4,0,5,0,45,6,8,0,0,0,0,0,3,0,25,8,8,6,10,8,4,3,10,6,60,341,510,305,213,165,79,64,161,31,1873
POA6335,5,0,0,0,0,0,0,0,0,10,8,0,4,5,0,0,3,0,0,15,13,0,32,6,7,5,13,11,6,86,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,8,50,19,40,9,12,6,13,21,6,189
POA6336,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,8,11,3,7,0,4,3,0,7,0,37,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,14,9,6,3,3,9,12,0,87
POA6337,6,4,0,0,0,0,3,0,0,7,3,0,0,0,4,3,0,0,0,15,13,9,16,0,0,0,9,8,0,59,3,0,0,0,6,0,0,0,0,9,6,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,4,0,7,50,23,19,3,13,0,15,14,0,142
POA6338,3,0,0,0,0,0,0,0,0,6,7,0,5,0,0,0,4,0,0,17,13,0,17,7,7,0,3,20,0,76,6,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,10,78,19,25,9,16,5,13,33,3,204
POA6341,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,10,8,0,0,0,4,5,8,3,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,33,6,0,4,4,5,6,7,0,70
POA6343,7,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,3,9,0,3,5,0,0,6,6,0,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,8,5,4,0,0,11,0,69
POA6346,11,5,0,0,0,0,0,0,0,12,5,0,0,3,4,0,0,7,3,27,25,5,38,9,8,0,19,11,3,110,0,0,0,0,0,0,3,0,0,17,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,5,0,0,16,76,30,40,22,27,9,34,22,12,264
POA6348,3,3,0,0,0,0,6,0,0,15,10,8,3,3,6,4,4,0,0,37,4,8,63,5,7,3,21,4,3,115,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,4,0,0,17,41,57,78,21,22,10,32,4,6,277
POA6350,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,5,0,9,3,5,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,13,6,10,12,8,0,0,9,0,64
POA6351,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,19
POA6352,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,5,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,3,8,5,4,0,9,0,36
POA6353,4,0,0,0,0,0,0,0,0,8,4,0,4,6,6,0,0,4,0,19,26,3,33,11,3,6,19,10,3,109,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,3,0,12,66,44,38,18,29,5,23,13,3,250
POA6355,8,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,7,0,14,21,0,9,4,5,0,0,4,0,40,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,5,0,15,67,13,13,7,4,0,10,21,7,132
POA6356,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0,0,0,0,36
POA6357,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,18
POA6358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,0,0,0,25
POA6359,7,0,0,0,3,0,0,0,0,9,6,0,0,0,3,0,0,0,0,15,9,0,7,3,0,0,5,9,0,32,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,11,37,13,12,6,16,4,14,13,0,112
POA6361,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,5,0,0,0,4,0,33
POA6363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,4,0,0,0,0,0,0,25
POA6365,0,4,0,0,0,0,0,0,0,7,3,4,0,8,0,0,0,0,0,9,16,0,10,5,4,0,4,9,0,57,0,0,0,0,0,0,0,3,0,11,5,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,48,22,18,13,11,7,12,18,5,143
POA6367,6,4,0,4,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,3,19,0,11,9,0,0,4,0,0,42,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,6,11,15,4,0,4,5,3,81
POA6368,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,4,0,0,0,0,3,0,20
POA6369,5,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,6,16,0,12,0,0,3,4,6,0,46,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,35,19,22,9,9,8,5,18,5,123
