POA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA6502,0,12,7,14,0,37,7,0,15,13,12,3,44,0,0,3,0,0,0,3,0,0,0,0,7,0,9,0,0,0,0,12,0,10,14,10,48,60,155,19,308
POA6503,7,14,12,9,0,34,7,0,11,9,4,0,34,0,0,0,0,0,0,0,0,0,0,5,17,0,27,4,0,0,5,12,4,27,20,16,144,122,313,40,663
POA6504,0,6,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,22,12,25,7,66
POA6505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,14,7,39
POA6506,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,3,0,17
POA6507,0,0,7,0,4,19,0,0,5,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,43,31,70,14,168
POA6509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,11,10,26,4,43
POA6510,13,34,7,21,0,75,4,4,20,10,23,0,60,0,0,0,0,0,0,3,0,0,0,6,26,0,30,0,0,0,4,0,3,8,16,18,98,63,256,20,470
POA6511,0,5,3,3,0,9,0,0,0,0,4,0,6,0,0,3,0,3,0,5,0,0,0,0,0,0,9,0,0,0,0,4,3,8,0,3,17,24,59,11,122
POA6512,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,13,4,26
POA6513,0,8,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,3,16,5,47
POA6514,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,8,0,0,0,0,9,0,9,4,4,6,10,82,5,121
POA6515,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,13,42,0,83
POA6516,8,26,5,7,0,58,0,0,15,13,13,3,48,0,0,0,5,0,0,10,0,0,0,4,13,0,21,0,0,4,4,21,0,30,14,18,91,87,278,24,516
POA6517,3,5,0,7,6,16,0,0,3,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,3,0,3,4,5,17,13,64,5,119
POA6518,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,25,4,44
POA6519,0,5,6,4,0,15,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,3,7,29,25,59,6,132
POA6521,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,29,18,61,7,119
POA6522,0,0,0,4,0,3,0,0,5,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,36,8,46,3,95
POA6525,11,34,13,26,3,99,4,4,31,24,29,7,97,0,0,0,4,0,0,6,0,0,0,4,18,0,25,0,4,3,3,24,4,40,19,30,145,151,463,50,851
POA6528,0,6,0,3,0,11,0,0,5,3,4,0,13,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,6,0,0,22,21,47,9,97
POA6530,134,514,176,363,31,1319,157,113,648,360,558,58,1897,3,4,15,4,29,4,65,11,8,34,67,333,15,467,7,3,25,39,165,49,289,418,369,1935,1506,5019,357,9600
POA6532,23,116,38,84,8,287,16,27,129,76,98,13,364,0,0,5,9,10,5,26,0,0,7,11,100,0,121,0,0,9,13,47,8,72,65,76,449,364,1214,95,2262
POA6535,7,13,5,14,7,52,0,0,13,7,17,0,45,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,5,4,13,3,12,63,46,169,28,326
POA6536,7,15,7,13,0,40,3,0,7,5,11,4,25,3,0,0,0,3,0,12,0,0,0,4,11,0,13,0,0,0,0,11,5,21,10,11,53,50,187,25,343
POA6537,0,11,0,10,0,20,0,0,7,4,0,0,11,0,0,7,4,3,0,13,0,0,0,0,4,0,10,0,0,0,0,5,0,10,22,3,77,45,139,18,305
POA6556,10,19,15,27,4,75,7,0,30,13,28,3,90,0,0,4,0,0,0,6,0,0,0,9,21,0,32,0,0,6,5,14,6,25,26,27,106,117,378,24,680
POA6558,0,4,5,9,0,27,0,0,10,3,13,0,31,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,6,9,0,17,14,12,34,40,127,15,246
POA6560,0,7,4,16,0,33,7,3,7,9,12,3,37,0,0,0,0,5,0,0,0,0,0,0,10,0,7,0,0,3,0,8,0,14,8,8,43,38,179,19,298
POA6562,5,18,0,15,0,36,0,0,14,11,12,10,42,0,0,0,0,0,0,6,0,0,0,4,27,0,27,5,0,4,0,6,0,17,10,10,52,62,218,23,379
POA6564,0,6,0,3,0,4,0,0,4,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,8,8,0,0,5,9,58,15,95
POA6566,9,31,13,28,5,95,7,17,33,34,50,5,141,8,0,0,0,6,0,13,0,0,4,5,24,0,32,0,0,3,0,21,12,37,35,42,135,140,433,51,835
POA6567,0,0,0,8,0,15,3,0,0,3,7,0,17,0,0,3,0,0,0,4,0,0,0,0,5,0,5,0,0,0,0,0,0,9,8,3,9,18,71,9,118
POA6568,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,31,0,50
POA6569,0,3,0,3,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,4,0,0,10,6,31,0,57
POA6571,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,5,10,0,18
POA6572,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,16
POA6574,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,0,25
POA6575,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,11,0,32
POA6603,4,13,5,3,0,33,4,0,14,3,10,3,29,0,0,0,0,0,0,0,0,0,5,0,22,0,18,0,0,0,0,8,0,7,9,8,58,34,171,14,292
POA6605,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,12
POA6606,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,8,4,15,0,29
POA6608,0,4,0,3,0,9,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,20,5,41
POA6609,3,13,3,3,0,25,5,0,5,3,8,0,18,0,0,0,0,0,0,0,0,0,0,0,9,0,14,0,0,6,3,4,0,12,9,10,48,33,78,14,186
POA6612,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,18,3,38
POA6613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,21
POA6614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,7
POA6616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,5
POA6620,0,4,0,4,0,9,0,0,6,0,5,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,22,20,73,4,129
POA6623,7,6,6,10,3,41,0,0,3,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,21,9,57,6,115
POA6625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,5,6,0,24
POA6627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,16
POA6628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
POA6630,0,7,0,7,0,14,0,0,9,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,29,13,42,8,95
POA6631,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
POA6632,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,0,19
POA6635,0,3,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,7,50,0,77
POA6638,3,6,0,4,0,14,0,0,7,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,22,20,54,10,114
POA6639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,19,0,26
POA6640,0,0,0,0,3,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,6,8,35,15,69
POA6642,0,11,3,12,6,40,3,0,4,6,7,0,23,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,0,3,3,3,10,16,7,59,37,139,16,276
POA6646,5,4,0,0,0,10,0,0,4,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9,9,5,27,17,72,7,129
POA6701,11,64,17,45,0,151,10,16,52,27,61,15,184,0,0,3,4,3,0,14,0,3,9,3,37,0,50,0,0,9,6,20,23,59,56,45,297,175,664,88,1318
POA6705,0,3,0,4,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,22,0,36
POA6707,11,44,7,18,5,95,10,3,31,13,24,5,83,3,0,4,3,9,0,24,0,0,0,5,23,0,39,7,0,16,5,38,9,75,62,30,294,173,577,60,1204
POA6710,3,13,6,4,0,24,0,0,13,0,10,0,24,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,3,0,19,0,24,10,10,69,36,176,10,318
POA6712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
POA6713,6,18,5,11,0,42,0,3,11,5,3,0,26,0,0,5,0,0,0,5,0,0,0,0,6,0,11,0,0,7,3,8,0,16,17,18,97,72,290,19,512
POA6714,79,282,71,129,9,643,66,50,204,84,109,15,532,0,0,11,11,20,6,50,6,3,32,34,163,7,251,22,9,43,35,185,30,325,341,234,1374,901,3338,224,6418
POA6716,5,10,4,8,0,35,0,4,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,10,0,12,11,10,52,54,251,17,402
POA6718,0,0,0,7,0,9,4,0,0,0,9,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,12,16,55,5,95
POA6720,6,29,10,26,3,70,6,10,28,11,20,0,70,0,0,0,0,0,0,8,0,0,0,0,7,0,15,0,0,0,0,12,5,16,14,25,121,99,482,34,773
POA6721,15,68,12,25,5,132,30,14,92,33,31,8,204,0,0,3,0,5,0,7,0,0,7,11,39,4,60,0,0,10,5,31,10,65,107,56,401,272,861,58,1760
POA6722,39,145,34,80,6,334,18,25,134,67,114,10,362,0,4,0,10,3,0,19,8,0,14,19,81,12,129,3,0,16,7,73,37,134,100,100,588,487,2024,146,3437
POA6725,62,218,66,109,21,521,82,55,268,135,165,43,754,3,0,12,10,26,3,60,4,3,20,21,79,8,135,10,0,36,14,66,37,169,227,176,1005,599,1384,200,3594
POA6726,34,121,38,67,3,309,64,46,166,78,91,10,463,4,0,6,7,10,0,32,4,3,19,9,45,0,79,3,3,9,3,33,17,75,188,131,599,346,754,85,2100
POA6728,24,76,16,61,3,188,19,9,69,24,59,6,181,0,0,21,3,12,3,40,0,0,5,12,34,0,51,0,0,3,0,13,8,29,54,47,231,128,448,42,955
POA6740,4,18,0,15,0,42,0,0,5,6,13,4,35,0,0,0,0,5,0,4,0,0,0,0,3,0,4,0,0,0,0,5,6,10,9,6,47,33,124,14,227
POA6743,18,119,39,57,15,267,33,37,146,64,68,26,374,0,0,6,0,13,0,21,9,0,11,5,57,3,87,8,0,11,3,47,31,97,136,86,552,296,794,127,1994
POA6751,11,78,17,28,0,139,4,6,35,16,15,0,78,0,0,0,0,0,0,5,0,0,3,9,17,0,32,0,0,0,5,21,9,42,50,35,265,194,853,51,1448
POA6753,9,66,25,26,6,145,14,11,45,24,43,7,138,0,0,0,3,5,0,15,0,3,12,8,45,3,75,0,0,5,0,29,10,45,94,45,404,317,1382,88,2323
POA6754,8,6,7,6,0,28,0,4,7,3,3,0,19,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,11,15,7,46,64,249,12,396
POA6758,0,4,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,4,21,4,57,45,233,7,370
POA6760,3,9,0,4,5,15,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,6,0,0,0,6,10,0,37,31,136,17,237
POA6762,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,10,0,10,0,0,0,0,0,0,0,8,0,39,24,129,7,204
POA6765,12,40,4,17,4,85,11,3,32,4,19,0,73,0,0,0,0,4,5,6,0,0,0,5,9,0,13,0,0,0,0,0,9,11,30,19,90,28,118,26,306
POA6770,16,46,0,29,8,117,0,4,21,7,31,3,75,0,0,0,0,4,0,3,3,0,3,0,3,0,14,0,0,0,0,8,13,22,30,25,111,42,191,33,429
